SKU,Type,Parent,Name,Brand,Categories,Suggested image filename 1,Suggested image filename 2,Image upload status,Notes,Short description
AUTOMATICTAPERMAINTENANCEKITS,simple,,Automatic Taper Maintenance Kits,Columbia Taping Tools,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts,columbia-taping-tools-automatic-taper-maintenance-kits-AUTOMATICTAPERMAINTENANCEKITS-01.webp,columbia-taping-tools-automatic-taper-maintenance-kits-AUTOMATICTAPERMAINTENANCEKITS-02.webp,,,Genuine Columbia Taping Tools OEM replacement part — Automatic Taper Maintenance Kits. Exact-fit replacement for Columbia Taping Tools automatic taping systems. Part #: AUTOMATICTAPERMAINTENANCEKITS.
CORNERROLLERMAINTENANCEKITS,simple,,Corner Roller Maintenance Kits,Columbia Taping Tools,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts,columbia-taping-tools-corner-roller-maintenance-kits-CORNERROLLERMAINTENANCEKITS-01.webp,columbia-taping-tools-corner-roller-maintenance-kits-CORNERROLLERMAINTENANCEKITS-02.webp,,,Genuine Columbia Taping Tools OEM roller or wheel component — Corner Roller Maintenance Kits. Exact-fit replacement for Columbia Taping Tools automatic taping systems. Part #: CORNERROLLERMAINTENANCEKITS.
CT128A,simple,,Columbia Taper Shaft Guide Roller Bushing,Columbia Taping Tools,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts,columbia-taping-tools-columbia-taper-shaft-guide-roller-bushing-CT128A-01.webp,columbia-taping-tools-columbia-taper-shaft-guide-roller-bushing-CT128A-02.webp,,,Genuine Columbia Taping Tools OEM precision bushing — Columbia Taper Shaft Guide Roller Bushing. Exact-fit replacement for Columbia Taping Tools automatic taping systems. Part #: CT128A.
CT20,simple,,Columbia Taper Hinge Block,Columbia Taping Tools,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts,columbia-taping-tools-columbia-taper-hinge-block-CT20-01.webp,columbia-taping-tools-columbia-taper-hinge-block-CT20-02.webp,,,Genuine Columbia Taping Tools OEM replacement part — Columbia Taper Hinge Block. Exact-fit replacement for Columbia Taping Tools automatic taping systems. Part #: CT20.
CT35,simple,,Columbia Taper Cap Reinforcing Tab,Columbia Taping Tools,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts,columbia-taping-tools-columbia-taper-cap-reinforcing-tab-CT35-01.webp,columbia-taping-tools-columbia-taper-cap-reinforcing-tab-CT35-02.webp,,,Genuine Columbia Taping Tools OEM replacement part — Columbia Taper Cap Reinforcing Tab. Exact-fit replacement for Columbia Taping Tools automatic taping systems. Part #: CT35.
CT5,simple,,Columbia Taper Right Wafer Bushing,Columbia Taping Tools,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts,columbia-taping-tools-columbia-taper-right-wafer-bushing-CT5-01.webp,columbia-taping-tools-columbia-taper-right-wafer-bushing-CT5-02.webp,,,Genuine Columbia Taping Tools OEM precision bushing — Columbia Taper Right Wafer Bushing. Exact-fit replacement for Columbia Taping Tools automatic taping systems. Part #: CT5.
CT97,simple,,Columbia Taper Mud Supply Valve Body,Columbia Taping Tools,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts,columbia-taping-tools-columbia-taper-mud-supply-valve-body-CT97-01.webp,columbia-taping-tools-columbia-taper-mud-supply-valve-body-CT97-02.webp,,,Genuine Columbia Taping Tools OEM control valve — Columbia Taper Mud Supply Valve Body. Exact-fit replacement for Columbia Taping Tools automatic taping systems. Part #: CT97.
FATBOYBOXES,simple,,Fat Boy Boxes,Columbia Taping Tools,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes,columbia-taping-tools-fat-boy-boxes-FATBOYBOXES-01.webp,columbia-taping-tools-fat-boy-boxes-FATBOYBOXES-02.webp,,,"Columbia offers the widest range of high quality, high capacity finishing boxes in the world. From our 5.5"" Fat Boy to our 12"", they are all star performers. Well-built and fine-tuned to offer great…"
FINISHINGBOXMAINTENANCEKITS,simple,,Finishing Box Maintenance Kits,Columbia Taping Tools,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts,columbia-taping-tools-finishing-box-maintenance-kits-FINISHINGBOXMAINTENANCEKITS-01.webp,columbia-taping-tools-finishing-box-maintenance-kits-FINISHINGBOXMAINTENANCEKITS-02.webp,,,Genuine Columbia Taping Tools OEM replacement part — Finishing Box Maintenance Kits. Exact-fit replacement for Columbia Taping Tools automatic taping systems. Part #: FINISHINGBOXMAINTENANCEKITS.
HANDLEMAINTENANCEKITS,simple,,Handle Maintenance Kits,Columbia Taping Tools,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts,columbia-taping-tools-handle-maintenance-kits-HANDLEMAINTENANCEKITS-01.webp,columbia-taping-tools-handle-maintenance-kits-HANDLEMAINTENANCEKITS-02.webp,,,Genuine Columbia Taping Tools OEM handle or extension — Handle Maintenance Kits. Exact-fit replacement for Columbia Taping Tools automatic taping systems. Part #: HANDLEMAINTENANCEKITS.
MUDPUMPMAINTENANCEKIT,simple,,Mud Pump Maintenance Kit,Columbia Taping Tools,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts,columbia-taping-tools-mud-pump-maintenance-kit-MUDPUMPMAINTENANCEKIT-01.webp,columbia-taping-tools-mud-pump-maintenance-kit-MUDPUMPMAINTENANCEKIT-02.webp,,,Genuine Columbia Taping Tools OEM pump component — Mud Pump Maintenance Kit. Exact-fit replacement for Columbia Taping Tools automatic taping systems. Part #: MUDPUMPMAINTENANCEKIT.
NAILSPOTTERMAINTENANCEKITS,simple,,Nailspotter Maintenance Kits,Columbia Taping Tools,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts,columbia-taping-tools-nailspotter-maintenance-kits-NAILSPOTTERMAINTENANCEKITS-01.webp,columbia-taping-tools-nailspotter-maintenance-kits-NAILSPOTTERMAINTENANCEKITS-02.webp,,,Genuine Columbia Taping Tools OEM replacement part — Nailspotter Maintenance Kits. Exact-fit replacement for Columbia Taping Tools automatic taping systems. Part #: NAILSPOTTERMAINTENANCEKITS.
PUTTYKNIVES,simple,,Putty Knives,Columbia Taping Tools,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts,columbia-taping-tools-putty-knives-PUTTYKNIVES-01.webp,columbia-taping-tools-putty-knives-PUTTYKNIVES-02.webp,,,Genuine Columbia Taping Tools OEM taping knife or trowel — Putty Knives. Exact-fit replacement for Columbia Taping Tools automatic taping systems. Part #: PUTTYKNIVES.
SURSS1001,simple,,SurPro Stilt Hardware Kit (SURSS1001),SurPro,Stilts & Accessories > SurPro > Stilt Accessories,surpro-surpro-stilt-hardware-kit-surss1001-SURSS1001-01.webp,surpro-surpro-stilt-hardware-kit-surss1001-SURSS1001-02.webp,,,SurPro Stilt Hardware Kit (SURSS1001) restores stability and smooth operation to your stilts with 8 sets of nuts &amp; bolts and 16 leg bearings.
SURSS1002B,simple,,SurPro Single Sided Stilts Strap Kit (SURSS1002B),SurPro,Stilts & Accessories > SurPro > Stilt Accessories,surpro-surpro-single-sided-stilts-strap-kit-surss1002b-SURSS1002B-01.webp,surpro-surpro-single-sided-stilts-strap-kit-surss1002b-SURSS1002B-02.webp,,,"Complete replacement strap kit for all SurPro single-sided stilts. Includes leg, arch, and toe straps with all necessary mounting hardware for a secure fit."
SURSS1003,simple,,SurPro Super Grip Floor Plate Kit (SURSS1003),SurPro,Stilts & Accessories > SurPro > Stilt Accessories,surpro-surpro-super-grip-floor-plate-kit-surss1003-SURSS1003-01.webp,surpro-surpro-super-grip-floor-plate-kit-surss1003-SURSS1003-02.webp,,,"SurPro Super Grip Floor Plate Kit (SURSS1003) provides a pair of high-traction replacement plates for S1 and S2 stilts, ensuring stable footing on any surface."
SURSS1004O,simple,,SurPro Main Body Spring Kit (SURSS1004O),SurPro,Stilts & Accessories > SurPro > Stilt Accessories,surpro-surpro-main-body-spring-kit-surss1004o-SURSS1004O-01.webp,surpro-surpro-main-body-spring-kit-surss1004o-SURSS1004O-02.webp,,,SurPro Main Body Spring Kit (SURSS1004O) restores stilt tension and stability. Includes two springs and HS145W-O hardware for one full pair of stilts.
SURSS1005P,simple,,SurPro Plastic Leg Band Kit for Single Sided Stilts (SURSS1005P),SurPro,Stilts & Accessories > SurPro > Stilt Accessories,surpro-surpro-plastic-leg-band-kit-for-single-sided-stilts-surss1005p-SURSS1005P-01.webp,surpro-surpro-plastic-leg-band-kit-for-single-sided-stilts-surss1005p-SURSS1005P-02.webp,,,"SurPro Plastic Leg Band Kit (SURSS1005P) offers a comfortable, flexible nylon upgrade for single-sided stilts. Includes two bands, two straps, and hardware."
SURSS1006,simple,,SurPro Key & Lock Side Pole Clamp & Bracket Kit (SURSS1006),SurPro,Stilts & Accessories > SurPro > Stilt Accessories,surpro-surpro-key-lock-side-pole-clamp-bracket-kit-surss1006-SURSS1006-01.webp,surpro-surpro-key-lock-side-pole-clamp-bracket-kit-surss1006-SURSS1006-02.webp,,,"SurPro Key &amp; Lock Side Pole Clamp and Bracket Kit (SURSS1006) for S1 and S1X stilts. Includes a complete pair of clamps, brackets, and bolt assemblies to restore stilt stability."
SURSS1007,simple,,SurPro Nylon Sleeve Kit (SURSS1007),SurPro,Stilts & Accessories > SurPro > Stilt Accessories,surpro-surpro-nylon-sleeve-kit-surss1007-SURSS1007-01.webp,surpro-surpro-nylon-sleeve-kit-surss1007-SURSS1007-02.webp,,,SurPro Nylon Sleeve Kit (SURSS1007) restores smooth joint articulation to your stilts. Includes four top (HS148M) and four bottom (HS149M) industrial-grade nylon sleeves.
SURSS1008,simple,,SurPro Wing Bolt Kit (SURSS1008),SurPro,Stilts & Accessories > SurPro > Stilt Accessories,surpro-surpro-wing-bolt-kit-surss1008-SURSS1008-01.webp,surpro-surpro-wing-bolt-kit-surss1008-SURSS1008-02.webp,,,"Maintain stilt stability with this replacement wing bolt kit, featuring an integrated stop and spring washer system to prevent loosening."
SURSS1009,simple,,SurPro Heel Bracket Kit (SURSS1009),SurPro,Stilts & Accessories > SurPro > Stilt Accessories,surpro-surpro-heel-bracket-kit-surss1009-SURSS1009-01.webp,surpro-surpro-heel-bracket-kit-surss1009-SURSS1009-02.webp,,,"Maintain stilt stability with this genuine SurPro replacement kit. Includes two adjustable heel brackets and four mounting screws for a complete, factory-spec repair."
SURSS1010L,simple,,SurPro Double Sided Stilts Leg Band Kit (SURSS1010L),SurPro,Stilts & Accessories > SurPro > Stilt Accessories,surpro-surpro-double-sided-stilts-leg-band-kit-surss1010l-SURSS1010L-01.webp,surpro-surpro-double-sided-stilts-leg-band-kit-surss1010l-SURSS1010L-02.webp,,,SurPro Left Leg Band replacement kit for standard Double-Sided Stilts. Restores stability and safety for S2 series models (excluding S2X).
SURSS1010R,simple,,SurPro Double Sided Right Leg Band Kit (SURSS1010R),SurPro,Stilts & Accessories > SurPro > Stilt Accessories,surpro-surpro-double-sided-right-leg-band-kit-surss1010r-SURSS1010R-01.webp,surpro-surpro-double-sided-right-leg-band-kit-surss1010r-SURSS1010R-02.webp,,,"Maintain your equipment's performance with this genuine SurPro right-side leg band replacement, designed for a secure fit on all standard double-sided stilt models."
SURSS1012,simple,,SurPro Foot Plate Kit (SURSS1012),SurPro,Stilts & Accessories > SurPro > Stilt Accessories,surpro-surpro-foot-plate-kit-surss1012-SURSS1012-01.webp,surpro-surpro-foot-plate-kit-surss1012-SURSS1012-02.webp,,,"SurPro Foot Plate Kit (SURSS1012) features an oversized, stable foot bed and dual-position arch strap mounting for superior heel security and balance on all SurPro stilts."
SURSS124,simple,,SurPro Stilts Lower Side Pole Bolt Kit (SURSS124),SurPro,Stilts & Accessories > SurPro > Stilt Accessories,surpro-surpro-stilts-lower-side-pole-bolt-kit-surss124-SURSS124-01.webp,surpro-surpro-stilts-lower-side-pole-bolt-kit-surss124-SURSS124-02.webp,,,"Maintain stilt stability with this genuine SurPro hardware kit. Includes (2) 1/4""-20 x 1-1/2"" cap screws, (2) locknuts, and (4) washers to securely fasten lower side poles."
SURSS132,simple,,SurPro Stilts Side Pole Clam Bolt Kit (SURSS132),SurPro,Stilts & Accessories > SurPro > Stilt Accessories,surpro-surpro-stilts-side-pole-clam-bolt-kit-surss132-SURSS132-01.webp,surpro-surpro-stilts-side-pole-clam-bolt-kit-surss132-SURSS132-02.webp,,,Maintain the structural integrity and stability of your SurPro stilts with this direct-fit replacement side pole clamp bolt kit.
SURSS134,simple,,SurPro Stilts Leg Band Bolt Kit (SURSS134),SurPro,Stilts & Accessories > SurPro > Stilt Accessories,surpro-surpro-stilts-leg-band-bolt-kit-surss134-SURSS134-01.webp,surpro-surpro-stilts-leg-band-bolt-kit-surss134-SURSS134-02.webp,,,"Replacement hardware kit for SurPro single-sided stilts. Includes four 1/4""-20 x 2"" cap screws, four locknuts, and eight washers for secure leg band attachment."
CAVH-TT,variable,,TapeTech Cove Applicator Head,TapeTech,Drywall Finishing Tools > TapeTech > Automatic Tapers,tapetech-tapetech-cove-applicator-head-CAVH-TT-01.webp,tapetech-tapetech-cove-applicator-head-CAVH-TT-02.webp,,,TapeTech Cove Applicator Head (55mm–90mm) for precise adhesive placement on cornices and coves. Compatible with all TapeTech applicators and tubes.
CAVH-TT-55mm,variation,CAVH-TT,TapeTech Cove Applicator Head - 55mm,TapeTech,Drywall Finishing Tools > TapeTech > Automatic Tapers,tapetech-tapetech-cove-applicator-head-55mm-CAVH-TT-55mm-01.webp,tapetech-tapetech-cove-applicator-head-55mm-CAVH-TT-55mm-02.webp,,,
CAVH-TT-75mm,variation,CAVH-TT,TapeTech Cove Applicator Head - 75mm,TapeTech,Drywall Finishing Tools > TapeTech > Automatic Tapers,tapetech-tapetech-cove-applicator-head-75mm-CAVH-TT-75mm-01.webp,tapetech-tapetech-cove-applicator-head-75mm-CAVH-TT-75mm-02.webp,,,
CAVH-TT-83mm,variation,CAVH-TT,TapeTech Cove Applicator Head - 83mm,TapeTech,Drywall Finishing Tools > TapeTech > Automatic Tapers,tapetech-tapetech-cove-applicator-head-83mm-CAVH-TT-83mm-01.webp,tapetech-tapetech-cove-applicator-head-83mm-CAVH-TT-83mm-02.webp,,,
CAVH-TT-90mm,variation,CAVH-TT,TapeTech Cove Applicator Head - 90mm,TapeTech,Drywall Finishing Tools > TapeTech > Automatic Tapers,tapetech-tapetech-cove-applicator-head-90mm-CAVH-TT-90mm-01.webp,tapetech-tapetech-cove-applicator-head-90mm-CAVH-TT-90mm-02.webp,,,
CFBOX-TT,variable,,TapeTech Continuous Flow Finishing Box,TapeTech,Drywall Finishing Tools > TapeTech > Continuous Flow System,tapetech-tapetech-continuous-flow-finishing-box-CFBOX-TT-01.webp,tapetech-tapetech-continuous-flow-finishing-box-CFBOX-TT-02.webp,,,"TapeTech Continuous Flow Finishing Box (7""–12"") for high-production drywall finishing. Familiar EasyClean™ design optimized for continuous mud delivery."
CFBOX-TT-7,variation,CFBOX-TT,"TapeTech Continuous Flow Finishing Box - 7""",TapeTech,Drywall Finishing Tools > TapeTech > Continuous Flow System,tapetech-tapetech-continuous-flow-finishing-box-7-CFBOX-TT-7-01.webp,tapetech-tapetech-continuous-flow-finishing-box-7-CFBOX-TT-7-02.webp,,,
CFBOX-TT-10,variation,CFBOX-TT,"TapeTech Continuous Flow Finishing Box - 10""",TapeTech,Drywall Finishing Tools > TapeTech > Continuous Flow System,tapetech-tapetech-continuous-flow-finishing-box-10-CFBOX-TT-10-01.webp,tapetech-tapetech-continuous-flow-finishing-box-10-CFBOX-TT-10-02.webp,,,
CFBOX-TT-12,variation,CFBOX-TT,"TapeTech Continuous Flow Finishing Box - 12""",TapeTech,Drywall Finishing Tools > TapeTech > Continuous Flow System,tapetech-tapetech-continuous-flow-finishing-box-12-CFBOX-TT-12-01.webp,tapetech-tapetech-continuous-flow-finishing-box-12-CFBOX-TT-12-02.webp,,,
CROLL-TT,variable,,TapeTech Premium Compound Roller,TapeTech,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,tapetech-tapetech-premium-compound-roller-CROLL-TT-01.webp,tapetech-tapetech-premium-compound-roller-CROLL-TT-02.webp,,,"TapeTech Premium Compound Roller (4""–12"") with 18mm nap for high-capacity mud application. Ideal for skimming and large-scale joint finishing."
CROLL-TT-4,variation,CROLL-TT,"TapeTech Premium Compound Roller - 4""",TapeTech,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,tapetech-tapetech-premium-compound-roller-4-CROLL-TT-4-01.webp,tapetech-tapetech-premium-compound-roller-4-CROLL-TT-4-02.webp,,,
CROLL-TT-9,variation,CROLL-TT,"TapeTech Premium Compound Roller - 9""",TapeTech,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,tapetech-tapetech-premium-compound-roller-9-CROLL-TT-9-01.webp,tapetech-tapetech-premium-compound-roller-9-CROLL-TT-9-02.webp,,,
CROLL-TT-12,variation,CROLL-TT,"TapeTech Premium Compound Roller - 12""",TapeTech,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,tapetech-tapetech-premium-compound-roller-12-CROLL-TT-12-01.webp,tapetech-tapetech-premium-compound-roller-12-CROLL-TT-12-02.webp,,,
EFBH-TT,variable,,TapeTech EasyFinish® Box Handle,TapeTech,Drywall Finishing Tools > TapeTech > Finishing Boxes,tapetech-tapetech-easyfinish-box-handle-EFBH-TT-01.webp,tapetech-tapetech-easyfinish-box-handle-EFBH-TT-02.webp,,,"Ergonomic TapeTech EasyFinish® Bent Box Handle (34""–72""). Optimized for Power Assist® boxes to provide maximum leverage and a perfect joint finish."
EFBH-TT-34,variation,EFBH-TT,"TapeTech EasyFinish® Box Handle - 34""",TapeTech,Drywall Finishing Tools > TapeTech > Finishing Boxes,tapetech-tapetech-easyfinish-box-handle-34-EFBH-TT-34-01.webp,tapetech-tapetech-easyfinish-box-handle-34-EFBH-TT-34-02.webp,,,
EFBH-TT-42,variation,EFBH-TT,"TapeTech EasyFinish® Box Handle - 42""",TapeTech,Drywall Finishing Tools > TapeTech > Finishing Boxes,tapetech-tapetech-easyfinish-box-handle-42-EFBH-TT-42-01.webp,tapetech-tapetech-easyfinish-box-handle-42-EFBH-TT-42-02.webp,,,
EFBH-TT-54,variation,EFBH-TT,"TapeTech EasyFinish® Box Handle - 54""",TapeTech,Drywall Finishing Tools > TapeTech > Finishing Boxes,tapetech-tapetech-easyfinish-box-handle-54-EFBH-TT-54-01.webp,tapetech-tapetech-easyfinish-box-handle-54-EFBH-TT-54-02.webp,,,
EFBH-TT-72,variation,EFBH-TT,"TapeTech EasyFinish® Box Handle - 72""",TapeTech,Drywall Finishing Tools > TapeTech > Finishing Boxes,tapetech-tapetech-easyfinish-box-handle-72-EFBH-TT-72-01.webp,tapetech-tapetech-easyfinish-box-handle-72-EFBH-TT-72-02.webp,,,
EZFB-TT,variable,,TapeTech EasyClean® Finishing Box,TapeTech,Drywall Finishing Tools > TapeTech > Finishing Boxes,tapetech-tapetech-easyclean-finishing-box-EZFB-TT-01.webp,tapetech-tapetech-easyclean-finishing-box-EZFB-TT-02.webp,,,"Professional TapeTech EasyClean® Finishing Box (7""–12"") with adjustable crown control and pivoting axle for flawless, single-pass joint finishing."
EZFB-TT-7,variation,EZFB-TT,"TapeTech EasyClean® Finishing Box - 7""",TapeTech,Drywall Finishing Tools > TapeTech > Finishing Boxes,tapetech-tapetech-easyclean-finishing-box-7-EZFB-TT-7-01.webp,tapetech-tapetech-easyclean-finishing-box-7-EZFB-TT-7-02.webp,,,
EZFB-TT-10,variation,EZFB-TT,"TapeTech EasyClean® Finishing Box - 10""",TapeTech,Drywall Finishing Tools > TapeTech > Finishing Boxes,tapetech-tapetech-easyclean-finishing-box-10-EZFB-TT-10-01.webp,tapetech-tapetech-easyclean-finishing-box-10-EZFB-TT-10-02.webp,,,
EZFB-TT-12,variation,EZFB-TT,"TapeTech EasyClean® Finishing Box - 12""",TapeTech,Drywall Finishing Tools > TapeTech > Finishing Boxes,tapetech-tapetech-easyclean-finishing-box-12-EZFB-TT-12-01.webp,tapetech-tapetech-easyclean-finishing-box-12-EZFB-TT-12-02.webp,,,
FBH-TT,variable,,TapeTech Finishing Box Handle,TapeTech,Drywall Finishing Tools > TapeTech > Finishing Boxes,tapetech-tapetech-finishing-box-handle-FBH-TT-01.webp,tapetech-tapetech-finishing-box-handle-FBH-TT-02.webp,,,"Professional TapeTech Finishing Box Handle (34""–72""). Lightweight and durable, designed for precision control with all TapeTech finishing boxes."
FBH-TT-34,variation,FBH-TT,"TapeTech Finishing Box Handle - 34""",TapeTech,Drywall Finishing Tools > TapeTech > Finishing Boxes,tapetech-tapetech-finishing-box-handle-34-FBH-TT-34-01.webp,tapetech-tapetech-finishing-box-handle-34-FBH-TT-34-02.webp,,,
FBH-TT-42,variation,FBH-TT,"TapeTech Finishing Box Handle - 42""",TapeTech,Drywall Finishing Tools > TapeTech > Finishing Boxes,tapetech-tapetech-finishing-box-handle-42-FBH-TT-42-01.webp,tapetech-tapetech-finishing-box-handle-42-FBH-TT-42-02.webp,,,
FBH-TT-54,variation,FBH-TT,"TapeTech Finishing Box Handle - 54""",TapeTech,Drywall Finishing Tools > TapeTech > Finishing Boxes,tapetech-tapetech-finishing-box-handle-54-FBH-TT-54-01.webp,tapetech-tapetech-finishing-box-handle-54-FBH-TT-54-02.webp,,,
FBH-TT-72,variation,FBH-TT,"TapeTech Finishing Box Handle - 72""",TapeTech,Drywall Finishing Tools > TapeTech > Finishing Boxes,tapetech-tapetech-finishing-box-handle-72-FBH-TT-72-01.webp,tapetech-tapetech-finishing-box-handle-72-FBH-TT-72-02.webp,,,
