SKU,Type,Name,image_count,exact,suffix,ambiguous_suffix,unmatched,recommended_images,unmatched_expected
C1H,simple,Columbia 4' Extendable One Handle,6,0,0,0,6,,columbia-4-extendable-one-handle-C1H-01.webp|columbia-4-extendable-one-handle-C1H-02.webp|columbia-4-extendable-one-handle-C1H-03.webp|columbia-4-extendable-one-handle-C1H-04.webp|columbia-4-extendable-one-handle-C1H-05.webp|columbia-4-extendable-one-handle-C1H-06.webp
C1HEXT,simple,Columbia 3'-5' Extendable One Handle,1,0,0,0,1,,columbia-3-5-extendable-one-handle-C1HEXT-01.webp
C1HS,simple,Columbia One – C1HS,6,0,0,0,6,,columbia-4-extendable-one-handle-C1H-01.webp|columbia-4-extendable-one-handle-C1H-02.webp|columbia-4-extendable-one-handle-C1H-03.webp|columbia-4-extendable-one-handle-C1H-04.webp|columbia-4-extendable-one-handle-C1H-05.webp|columbia-4-extendable-one-handle-C1H-06.webp
CBNCR,simple,Columbia Outside Bullnose Corner Roller,3,0,0,0,3,,columbia-outside-bullnose-corner-roller-CBNCR-01.webp|columbia-outside-bullnose-corner-roller-CBNCR-02.webp|columbia-outside-bullnose-corner-roller-CBNCR-03.webp
CC,simple,Columbia Corner Cobra Adjustable Roller,3,0,0,0,3,,columbia-corner-cobra-adjustable-roller-CC-01.webp|columbia-corner-cobra-adjustable-roller-CC-02.webp|columbia-corner-cobra-adjustable-roller-CC-03.webp
CEXT90,simple,Columbia External 90 Mud Applicator,4,0,0,0,4,,columbia-external-90-mud-applicator-CEXT90-01.webp|columbia-external-90-mud-applicator-CEXT90-02.webp|columbia-external-90-mud-applicator-CEXT90-03.webp|columbia-external-90-mud-applicator-CEXT90-04.webp
CF1B,simple,Columbia Direct Plate - Flusher,1,0,0,0,1,,columbia-direct-plate-flusher-CF1B-01.webp
CF4L,simple,Columbia Ball Spring Long Flusher,1,0,0,0,1,,columbia-ball-spring-long-flusher-CF4L-01.webp
CFB15,simple,Columbia Door Hinge,1,0,0,0,1,,columbia-door-hinge-CFB15-01.webp
CFB16,simple,Columbia Nylatron Bushing,1,0,0,0,1,,columbia-nylatron-bushing-CFB16-01.webp
CFB1A,simple,Columbia Hinge Seal,1,0,0,0,1,,columbia-hinge-seal-CFB1A-01.webp
CFB28,simple,"Columbia 8"" Roll Face",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-8-roll-face-CFB28-01.webp,
CFB47,simple,"Columbia 7"" Pressure Door",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-7-pressure-door-CFB47-01.webp,
CFB48,simple,"Columbia 8"" Pressure Door",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-8-pressure-door-CFB48-01.webp,
CFB6,simple,Columbia Mud Supply Valve Unit,2,0,0,0,2,,columbia-mud-supply-valve-unit-CFB6-01.webp|columbia-mud-supply-valve-unit-CFB6-02.webp
CFB77,simple,"Columbia 7"" Angle Box Door Gasket",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-7-angle-box-door-gasket-CFB77-01.webp,
CFB78,simple,"Columbia 8"" Door Gasket for Angle Box",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-8-door-gasket-for-angle-box-CFB78-01.webp,
CFB8,simple,Columbia Handle Mount Casting,2,0,0,0,2,,columbia-handle-mount-casting-CFB8-01.webp|columbia-handle-mount-casting-CFB8-02.webp
CFB8A,simple,Columbia ONE Angle Box Door Adaptor,1,0,0,0,1,,columbia-one-angle-box-door-adaptor-CFB8A-01.webp
CFLT,simple,Columbia Flat Applicator,3,0,0,0,3,,columbia-flat-applicator-CFLT-01.webp|columbia-flat-applicator-CFLT-02.webp|columbia-flat-applicator-CFLT-03.webp
CHXL,simple,Columbia 4-8' Long Extendible Handle,3,0,0,0,3,,columbia-4-8-long-extendible-handle-CHXL-01.webp|columbia-4-8-long-extendible-handle-CHXL-02.webp|columbia-4-8-long-extendible-handle-CHXL-03.webp
CLOSETMONSTERFLATBOXHANDLE,simple,Closet Monster Flat Box Handle,2,0,0,0,2,,columbia-closet-monster-flat-box-handle-CLOSETMONSTERFLATBOXHANDLE-01.webp|columbia-closet-monster-flat-box-handle-CLOSETMONSTERFLATBOXHANDLE-02.webp
CLT,simple,Cam Lock Tube,8,0,0,0,8,,columbia-cam-lock-tube-CLT-01.webp|columbia-cam-lock-tube-CLT-02.webp|columbia-cam-lock-tube-CLT-03.webp|columbia-cam-lock-tube-CLT-04.webp|columbia-cam-lock-tube-CLT-05.webp|columbia-cam-lock-tube-CLT-06.webp|columbia-cam-lock-tube-CLT-07.webp|columbia-cam-lock-tube-CLT-08.webp
CLTBF,simple,Columbia Compound Tube Box Filler,6,0,0,0,6,,columbia-compound-tube-box-filler-CLTBF-01.webp|columbia-compound-tube-box-filler-CLTBF-02.webp|columbia-compound-tube-box-filler-CLTBF-03.webp|columbia-compound-tube-box-filler-CLTBF-04.webp|columbia-compound-tube-box-filler-CLTBF-05.webp|columbia-compound-tube-box-filler-CLTBF-06.webp
CLTHA,simple,Columbia Tomalock,5,0,0,0,5,,columbia-tomalock-CLTHA-01.webp|columbia-tomalock-CLTHA-02.webp|columbia-tomalock-CLTHA-03.webp|columbia-tomalock-CLTHA-04.webp|columbia-tomalock-CLTHA-05.webp
CMH,simple,"Columbia 18"" Closet Monster Flat Box Handle",2,0,0,2,0,,columbia-18-inch-closet-monster-flat-box-handle-CMH-01.webp|columbia-18-inch-closet-monster-flat-box-handle-CMH-02.webp
CMT,simple,Compound Tubes,3,0,0,0,3,,columbia-compound-tubes-CMT-01.webp|columbia-compound-tubes-CMT-02.webp|columbia-compound-tubes-CMT-03.webp
COBCR,simple,Columbia Outside Corner Roller,2,0,0,0,2,,columbia-outside-corner-roller-COBCR-01.webp|columbia-outside-corner-roller-COBCR-02.webp
COBCRE,simple,European/Micro Outside Corner Roller,1,0,0,0,1,,columbia-european-micro-outside-corner-roller-COBCRE-01.webp
COBCRW,simple,Columbia Wide Outside Corner Roller,3,0,0,0,3,,columbia-wide-outside-corner-roller-COBCRW-01.webp|columbia-wide-outside-corner-roller-COBCRW-02.webp|columbia-wide-outside-corner-roller-COBCRW-03.webp
COL-AH,variable,Columbia Anglehead,4,0,4,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-anglehead-COL-AH-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-anglehead-COL-AH-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-anglehead-COL-AH-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-anglehead-COL-AH-01.webp,
25AH,variation,"Columbia 2.5"" Anglehead",1,0,0,0,1,,columbia-2-5-inch-anglehead-25AH-01.webp
2AH,variation,"Columbia 2"" Anglehead",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-2-anglehead-2AH-01.webp,
35AH,variation,"Columbia 3.5"" Anglehead",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-3-5-anglehead-35AH-01.webp,
3AH,variation,"Columbia 3"" Anglehead",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-3-anglehead-3AH-01.webp,
COL-AHBLADE,variable,Columbia Angle Head Carbide Blade,4,0,4,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-angle-head-carbide-blade-COL-AHBLADE-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-angle-head-carbide-blade-COL-AHBLADE-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-angle-head-carbide-blade-COL-AHBLADE-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-angle-head-carbide-blade-COL-AHBLADE-01.webp,
AH32,variation,"Columbia 2"" Angle Head Carbide Blade",1,0,0,0,1,,columbia-2-inch-angle-head-carbide-blade-AH32-01.webp
AH325,variation,"Columbia 2.5"" Angle Head Carbide Blade",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-2-5-angle-head-carbide-blade-AH325-01.webp,
AH33,variation,"Columbia 3"" Angle Head Carbide Blade",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-3-angle-head-carbide-blade-AH33-01.webp,
AH335,variation,"Columbia 3.5"" Angle Head Carbide Blade",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-3-5-angle-head-carbide-blade-AH335-01.webp,
COL-AHRBK,variable,Columbia Anglehead Blade Maintenance Kit,4,0,4,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-anglehead-blade-maintenance-kit-COL-AHRBK-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-anglehead-blade-maintenance-kit-COL-AHRBK-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-anglehead-blade-maintenance-kit-COL-AHRBK-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-anglehead-blade-maintenance-kit-COL-AHRBK-01.webp,
AHRBK2,variation,"Columbia 2"" Anglehead Blade Maintenance Kit",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-2-inch-anglehead-blade-maintenance-k-AHRBK2-01.webp,
AHRBK25,variation,"Columbia 2.5"" Anglehead Blade Maintenance Kit",1,0,0,1,0,,columbia-2-5-inch-anglehead-blade-maintenance-kit-AHRBK25-01.webp
AHRBK3,variation,"Columbia 3"" Anglehead Blade Maintenance Kit",1,0,0,1,0,,columbia-3-inch-anglehead-blade-maintenance-kit-AHRBK3-01.webp
AHRBK35,variation,"Columbia 3.5"" Anglehead Blade Maintenance Kit",1,0,0,1,0,,columbia-3-5-inch-anglehead-blade-maintenance-kit-AHRBK35-01.webp
COL-AHSPRING,variable,Columbia Angle Head Frame Tension Spring,3,0,3,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-angle-head-frame-tension-spring-COL-AHSPRING-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-angle-head-frame-tension-spring-COL-AHSPRING-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-angle-head-frame-tension-spring-COL-AHSPRING-01.webp,
AH72,variation,"Columbia 2"" Angle Head Frame Tension Spring",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-2-inch-angle-head-frame-tension-spri-AH72-01.webp,
AH725,variation,"Columbia 2.5"" Angle Head Frame Tension Spring",1,0,0,1,0,,columbia-2-5-inch-angle-head-frame-tension-spring-AH725-01.webp
AH73,variation,"Columbia 3"" Angle Head Tension Spring",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-3-angle-head-tension-spring-AH73-01.webp,
AH735,variation,"Columbia 3.5"" Angle Head Frame Tension Spring",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-3-angle-head-tension-spring-AH73-01.webp,
COL-BBH,variable,Columbia 180-Grip Bent Flat Box Handle,5,0,5,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-180-grip-bent-flat-box-handle-COL-BBH-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-180-grip-bent-flat-box-handle-COL-BBH-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-180-grip-bent-flat-box-handle-COL-BBH-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-180-grip-bent-flat-box-handle-COL-BBH-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-180-grip-bent-flat-box-handle-COL-BBH-01.webp,
3BBH,variation,"Columbia 36"" 180-Grip Bent Flat Box Handle",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-36-inch-180-grip-bent-flat-box-handl-3BBH-01.webp,
42BBH,variation,"Columbia 42"" 180-Grip Bent Flat Box Handle",1,0,0,1,0,,columbia-42-inch-180-grip-bent-flat-box-handle-42BBH-01.webp
4BBH,variation,"Columbia 48"" 180-Grip Bent Flat Box Handle",1,0,0,1,0,,columbia-48-inch-180-grip-bent-flat-box-handle-4BBH-01.webp
5BBH,variation,"Columbia 60"" 180-Grip Bent Flat Box Handle",1,0,0,1,0,,columbia-60-inch-180-grip-bent-flat-box-handle-5BBH-01.webp
6BBH,variation,"Columbia 72"" 180-Grip Bent Flat Box Handle",1,0,0,1,0,,columbia-72-inch-180-grip-bent-flat-box-handle-6BBH-01.webp
COL-BH,variable,Columbia 180-Grip Flat Box Handle,5,0,5,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-180-grip-flat-box-handle-COL-BH-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-180-grip-flat-box-handle-COL-BH-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-180-grip-flat-box-handle-COL-BH-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-180-grip-flat-box-handle-COL-BH-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-180-grip-flat-box-handle-COL-BH-01.webp,
3BH,variation,"Columbia 36"" 180-Grip Flat Box Handle",1,0,0,0,1,,columbia-36-inch-180-grip-flat-box-handle-3BH-01.webp
42BH,variation,"Columbia 42"" 180-Grip Flat Box Handle",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-42-180-grip-flat-box-handle-42BH-01.webp,
4BH,variation,"Columbia 48"" 180-Grip Flat Box Handle",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-48-180-grip-flat-box-handle-4BH-01.webp,
5BH,variation,"Columbia 60"" 180-Grip Flat Box Handle",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-60-180-grip-flat-box-handle-5BH-01.webp,
6BH,variation,"Columbia 72"" 180-Grip Featherweight Flat Box Handle",1,0,0,1,0,,columbia-72-inch-180-grip-featherweight-flat-box-handl-6BH-01.webp
COL-CFB,variable,Columbia Throttle Box,2,0,2,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-throttle-box-COL-CFB-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-throttle-box-COL-CFB-01.webp,
7CFB,variation,"Columbia 7"" Throttle Box",1,0,0,0,1,,columbia-7-inch-throttle-box-7CFB-01.webp
8CFB,variation,"Columbia 8"" Throttle Box",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-8-throttle-box-8CFB-01.webp,
COL-CLT,variable,Columbia Cam Lock Tube,4,0,3,0,1,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-32-cam-lock-tube-CLT32-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-42-cam-lock-tube-CLT42-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-55-cam-lock-tube-CLT55-01.webp,columbia-cam-lock-tube-CLT-01.webp
CLT24,variation,"Columbia 24"" Cam Lock Tube",1,0,0,0,1,,columbia-cam-lock-tube-CLT-01.webp
CLT32,variation,"Columbia 32"" Cam Lock Tube",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-32-cam-lock-tube-CLT32-01.webp,
CLT42,variation,"Columbia 42"" Cam Lock Tube",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-42-cam-lock-tube-CLT42-01.webp,
CLT55,variation,"Columbia 55"" Cam Lock Tube",1,0,1,0,0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-55-cam-lock-tube-CLT55-01.webp,
