"Brands","Name","SKU","MPN","Description","Additional Information","Categories","Weight (lbs)","Length (in)","Width (in)","Height (in)","Images"
"TapeTech","MudRunner® Pro","MR01TT","MR01TT","TapeTech MudRunner® Pro MR01TT The new second generation MudRunner® Pro tool applies joint compound to inside and outside corners faster and with precision control and minimal effort. The new MudRunner® Pro offers a tremendous update in the efficiency of finishing corners in drywall. The tool offers more versatility when needed in adjustment to length, both integrated and with the MRX01TT extension (sold separately). The new MudRunner® Pro also offers a 20% increase in piston strength for greater compound application. Adjustable Length: 52.5"" - 60.5"" Use With Any Inside Or Outside Corner Finisher Thicker Mud Applies Effortlessly Clear Tube For Visible Mud Level Reduces Wear-and-Tear On Your Shoulders Requires A Pump/Filler To Fill Requires An Applicator Head To Apply/Finish","Weight: 7 lbs | Dimensions: 6 × 54 × 6 in","Finishing Tools: Inside Corners","7","6","54","6","https://tapetech.com/wp-content/uploads/2025/01/18473_TapeTechMR01TT_001.jpg | https://tapetech.com/wp-content/uploads/2025/01/18473_TapeTechMR01TT_003.jpg | https://tapetech.com/wp-content/uploads/2025/01/18473_TapeTechMR01TT_003-1.jpg | https://tapetech.com/wp-content/uploads/2025/01/18473_TapeTechMR01TT_004.jpg | https://tapetech.com/wp-content/uploads/2025/01/18473_TapeTechMR01TT_005.jpg | https://tapetech.com/wp-content/uploads/2025/01/18473_TapeTechMR01TT_006.jpg"
"TapeTech","EEX7590 0.75"" 90 Outside Corner Edger","EEX7590","EEX7590","TapeTech Outside Corner Edgers for 90° Corners are designed to produce smooth, uniform and square 90° outside corners for EIFS, Stucco, Plaster, Concrete and other materials. Handcrafted from 0.65mm stainless steel, TapeTech corner edgers are robust enough to efficiently create perfect results in thick materials. Custom wood handles are ergonomic for all-day use and the unique TapeTech black and gold design helps distinguish your tools from others on the jobsite. Available in five sizes for ultimate versatility in nearly every situation.","Weight: 0.3 lbs | Dimensions: 0.75 × 0.75 × 6 in","Taping Knives & Trowels","0.3","0.75","0.75","6","https://tapetech.com/wp-content/uploads/2024/10/18284_TapeTechStiffOutsideCornerEdgerfor90Corners_001.jpg"
"TapeTech","EIN15090 1.5"" 90 Inside Corner Edger","EIN15090","EIN15090","TapeTech Inside Corner Edgers for 90° Corners are designed to produce smooth, uniform and square 90° inside corners for EIFS, Stucco, Plaster, Concrete and other materials. Handcrafted from 0.65mm stainless steel, TapeTech corner edgers are robust enough to efficiently create perfect results in thick materials. Custom wood handles are ergonomic for all-day use and the unique TapeTech black and gold design helps distinguish your tools from others on the jobsite. Available in five sizes for ultimate versatility in nearly every situation.","Weight: 0.4 lbs | Dimensions: 1.5 × 1.5 × 6.5 in","Taping Knives & Trowels","0.4","1.5","1.5","6.5","https://tapetech.com/wp-content/uploads/2024/10/EIN15090_001.jpg"
"TapeTech","EEX15090 1.5"" 90 Outside Corner Edger","EEX15090","EEX15090","TapeTech Outside Corner Edgers for 90° Corners are designed to produce smooth, uniform and square 90° outside corners for EIFS, Stucco, Plaster, Concrete and other materials. Handcrafted from 0.65mm stainless steel, TapeTech corner edgers are robust enough to efficiently create perfect results in thick materials. Custom wood handles are ergonomic for all-day use and the unique TapeTech black and gold design helps distinguish your tools from others on the jobsite. Available in five sizes for ultimate versatility in nearly every situation.","Weight: 0.4 lbs | Dimensions: 1.5 × 1.5 × 6.5 in","Taping Knives & Trowels","0.4","1.5","1.5","6.5","https://tapetech.com/wp-content/uploads/2024/10/18286_TapeTechStiffOutsideCornerEdgerfor90Corners_001.jpg"
"TapeTech","1"" Premium Stainless Steel Joint Knife","JK01SSTT","JK01SSTT","TapeTech Premium Taping and Jointing Knives feature the optimal combination of design, materials experience and testing to produce knives with the best balance, flex, comfort, and control so you achieve premium results when applying and smoothing joint compound. The handle?s over-sized, tapered shape provides the most ergonomic, slip-resistant grip. The enlarged, alloy hammer end allows it to be used to set protruding fasteners, adjust installation flaws, and protect against damage if the knife is dropped. TapeTech Premium Taping and Joint Knife blades are precision ground and polished to provide the perfect amount of flex and finish. The Carbon Steel and Blue Steel blades provide ultimate feel while Stainless Steel blades maximize rust resistance. TapeTech Premium Taping Knives feature the strongest backing plate in the industry, preventing unwanted blade deflection while providing smooth, consistent control and finish. Features: Premium Stainless Steel Blade Resists Corrosion and Cleans Up Fast Precision Grind Provides Perfect Flex and Finish Oversized, Tapered, Soft-Grip Handle Provides Optimal Control and Comfort Alloy Metal Hammer End Sets Protruding Fasteners, Adjusts Installation Flaws and Protects Against Damage From Drops. Easy-To-Remove Label Lifetime Limited Warranty","Weight: 0.28 lbs | Dimensions: 1 × 2 × 9.25 in","Taping Knives & Trowels","0.28","1","2","9.25","https://tapetech.com/wp-content/uploads/2022/06/JK01SSTT_01.jpg | https://tapetech.com/wp-content/uploads/2022/05/JKXXSSTT_01.jpg | https://tapetech.com/wp-content/uploads/2022/05/JKXXSSTT_02.jpg | https://tapetech.com/wp-content/uploads/2022/05/JKXXSSTT_03.jpg | https://tapetech.com/wp-content/uploads/2022/05/JKXXSSTT_04.jpg"
"TapeTech","EIN10090 1"" 90 Inside Corner Edger","EIN10090","EIN10090","TapeTech Inside Corner Edgers for 90° Corners are designed to produce smooth, uniform and square 90° inside corners for EIFS, Stucco, Plaster, Concrete and other materials. Handcrafted from 0.65mm stainless steel, TapeTech corner edgers are robust enough to efficiently create perfect results in thick materials. Custom wood handles are ergonomic for all-day use and the unique TapeTech black and gold design helps distinguish your tools from others on the jobsite. Available in five sizes for ultimate versatility in nearly every situation.","Weight: 0.35 lbs | Dimensions: 1 × 1 × 6 in","Taping Knives & Trowels","0.35","1","1","6","https://tapetech.com/wp-content/uploads/2024/10/EIN10090_001.jpg"
"TapeTech","EEX10090 1"" 90 Outside Corner Edger","EEX10090","EEX10090","TapeTech Outside Corner Edgers for 90° Corners are designed to produce smooth, uniform and square 90° outside corners for EIFS, Stucco, Plaster, Concrete and other materials. Handcrafted from 0.65mm stainless steel, TapeTech corner edgers are robust enough to efficiently create perfect results in thick materials. Custom wood handles are ergonomic for all-day use and the unique TapeTech black and gold design helps distinguish your tools from others on the jobsite. Available in five sizes for ultimate versatility in nearly every situation.","Weight: 0.35 lbs | Dimensions: 1 × 1 × 6 in","Taping Knives & Trowels","0.35","1","1","6","https://tapetech.com/wp-content/uploads/2024/10/18285_TapeTechStiffOutsideCornerEdgerfor90Corners_001.jpg"
"TapeTech","10"" Premium Blue Steel Taping Knife","TK10BSTT","TK10BSTT","TapeTech Premium Taping and Jointing Knives feature the optimal combination of design, materials experience and testing to produce knives with the best balance, flex, comfort, and control so you achieve premium results when applying and smoothing joint compound. The handle?s over-sized, tapered shape provides the most ergonomic, slip-resistant grip. The enlarged, alloy hammer end allows it to be used to set protruding fasteners, adjust installation flaws, and protect against damage if the knife is dropped. TapeTech Premium Taping and Joint Knife blades are precision ground and polished to provide the perfect amount of flex and finish. The Carbon Steel and Blue Steel blades provide ultimate feel. TapeTech Premium Taping Knives feature the strongest backing plate in the industry, preventing unwanted blade deflection while providing smooth, consistent control and finish. Features: Premium Blue Steel Blade Provides More Corrosion Resistance Than Carbon Steel Strongest Backing Plate In The Industry Prevents Blade Deflection Precision Grind Provides Perfect Flex and Finish Oversized, Tapered, Soft-Grip Handle Provides Optimal Control and Comfort Alloy Metal Hammer End Sets Protruding Fasteners, Adjusts Installation Flaws and Protects Against Damage From Drops. Easy-To-Remove Label Lifetime Limited Warranty","Weight: 0.56 lbs | Dimensions: 1 × 10 × 9.375 in","Taping Knives & Trowels","0.56","1","10","9.375","https://tapetech.com/wp-content/uploads/2022/06/TK10BSTT_01.jpg | https://tapetech.com/wp-content/uploads/2022/05/Taping-Knives_Backing-Plate.jpg | https://tapetech.com/wp-content/uploads/2022/05/TKXXBSTT_02.jpg | https://tapetech.com/wp-content/uploads/2022/05/TKXXBSTT_03.jpg | https://tapetech.com/wp-content/uploads/2022/05/TKXXBSTT_04.jpg | https://tapetech.com/wp-content/uploads/2022/05/TKXXBSTT_05.jpg"
"TapeTech","10"" Premium Stainless Steel Taping Knife","TK10SSTT","TK10SSTT","TapeTech Premium Taping and Jointing Knives feature the optimal combination of design, materials experience and testing to produce knives with the best balance, flex, comfort, and control so you achieve premium results when applying and smoothing joint compound. The handle?s over-sized, tapered shape provides the most ergonomic, slip-resistant grip. The enlarged, alloy hammer end allows it to be used to set protruding fasteners, adjust installation flaws, and protect against damage if the knife is dropped. TapeTech Premium Taping and Joint Knife blades are precision ground and polished to provide the perfect amount of flex and finish. The Carbon Steel and Blue Steel blades provide ultimate feel while Stainless Steel blades maximize rust resistance. TapeTech Premium Taping Knives feature the strongest backing plate in the industry, preventing unwanted blade deflection while providing smooth, consistent control and finish. Features: Premium Stainless Steel Blade Resists Corrosion and Cleans Up Fast Strongest Backing Plate In The Industry Prevents Blade Deflection Precision Grind Provides Perfect Flex and Finish Oversized, Tapered, Soft-Grip Handle Provides Optimal Control and Comfort Alloy Metal Hammer End Sets Protruding Fasteners, Adjusts Installation Flaws and Protects Against Damage From Drops. Easy-To-Remove Label Lifetime Limited Warranty","Weight: 0.56 lbs | Dimensions: 1 × 10 × 9.375 in","Taping Knives & Trowels","0.56","1","10","9.375","https://tapetech.com/wp-content/uploads/2022/06/TK10SSTT_01.jpg | https://tapetech.com/wp-content/uploads/2022/05/Taping-Knives_Backing-Plate.jpg | https://tapetech.com/wp-content/uploads/2022/05/TKXXSSTT_01.jpg | https://tapetech.com/wp-content/uploads/2022/05/TK12SSTT-App-2.png | https://tapetech.com/wp-content/uploads/2022/05/TK12SSTT-App-1.png"
"TapeTech","12"" Compound Roller Frame","CCAGE12","CCAGE12","TapeTech 12"" Roller Cage CCAGE12 &amp;nbsp; TapeTech drywall joint compound rollers are ideal for applying large amounts of drywall compound on walls and ceilings for finishing large patches and butt joints, or skimming entire walls, ceilings and rooms. They are a great alternative to breaking out a sprayer or trying to apply the compound with knives or trowels. Simply apply the joint compound with the TapeTech premium drywall joint compound roller and then skim the area with a TapeTech premium finishing knife for an amazing finish. TapeTech compound rollers are designed for use with TapeTech roller frames. The shafts of our dedicated roller frames are a full 5/16” thick, providing the strongest frame in the industry – a must for this heavy-duty application. The roller and roller frames quickly and easily attach to our TapeTech model CROLLHAN2 extendable support handle (44” – 79”) to make quick work of most walls and ceilings without the need for stilts or scaffolds. &amp;nbsp; Key Features: Robust Design: Features a full 5/16” thick frame design – stronger than smaller ¼” thick frames – and the most robust joint compound roller frame on the market. Comfortable Handle: The TapeTech Roller frames feature a comfortable, two-component over molded handle that provides comfortable handling and positive grip, even when wet. Highest Quality: TapeTech premium drywall joint compound rollers are manufactured in Europe exclusively for TapeTech, using the highest quality reticulated polypropylene nap for great results and long life. Highest Capacity: When matched with a TapeTech premium drywall joint compound roller, applies nearly 50% more compound to the surface between fills compared to other high nap rollers and frames. Highest Coverage: The unique design and manufacturing of TapeTech premium joint compound rollers releases more compound from the nap and onto the surface, providing the highest coverage rate per roller load. Extended Reach: Easily attaches to TapeTech CROLLHAN2 extendable handle to reach most common walls and ceilings without stilts or scaffolds. With super secure attachment and lightweight but robust construction, you’ll quickly knock out any wall coverage or skimming job. Ideal for Skimming: The TapeTech premium drywall joint compound rollers are ideal for quickly applying large amounts of compound over patches, butt joints or entire surfaces. The perfect set up for skimming with TapeTech premium finishing knives. Available in 4 sizes: TapeTech premium joint compound roller frames are available in 4-inch, 9-inch and 12-inch sizes plus an integrated 2-inch model that includes the roller and frame together.","Weight: 0.5 lbs | Dimensions: 1.5 × 1.5 × 12 in","Taping Knives & Trowels","0.5","1.5","1.5","12","https://tapetech.com/wp-content/uploads/2024/12/18462_CCAGE12_001.jpg | https://tapetech.com/wp-content/uploads/2024/11/18462_CCAGE12_002.jpg | https://tapetech.com/wp-content/uploads/2024/11/18462_CCAGE12_003.jpg | https://tapetech.com/wp-content/uploads/2024/11/18462_CCAGE12_004.jpg | https://tapetech.com/wp-content/uploads/2024/11/18462_CCAGE12_005.jpg"
"TapeTech","12"" Premium Blue Steel Taping Knife","TK12BSTT","TK12BSTT","TapeTech Premium Taping and Jointing Knives feature the optimal combination of design, materials experience and testing to produce knives with the best balance, flex, comfort, and control so you achieve premium results when applying and smoothing joint compound. The handle?s over-sized, tapered shape provides the most ergonomic, slip-resistant grip. The enlarged, alloy hammer end allows it to be used to set protruding fasteners, adjust installation flaws, and protect against damage if the knife is dropped. TapeTech Premium Taping and Joint Knife blades are precision ground and polished to provide the perfect amount of flex and finish. The Carbon Steel and Blue Steel blades provide ultimate feel. TapeTech Premium Taping Knives feature the strongest backing plate in the industry, preventing unwanted blade deflection while providing smooth, consistent control and finish. Features: Premium Blue Steel Blade Provides More Corrosion Resistance Than Carbon Steel Strongest Backing Plate In The Industry Prevents Blade Deflection Precision Grind Provides Perfect Flex and Finish Oversized, Tapered, Soft-Grip Handle Provides Optimal Control and Comfort Alloy Metal Hammer End Sets Protruding Fasteners, Adjusts Installation Flaws and Protects Against Damage From Drops. Easy-To-Remove Label Lifetime Limited Warranty","Weight: 0.625 lbs | Dimensions: 1 × 12 × 9.375 in","Taping Knives & Trowels","0.625","1","12","9.375","https://tapetech.com/wp-content/uploads/2022/06/TK12BSTT_01.jpg | https://tapetech.com/wp-content/uploads/2022/05/Taping-Knives_Backing-Plate.jpg | https://tapetech.com/wp-content/uploads/2022/05/TKXXBSTT_02.jpg | https://tapetech.com/wp-content/uploads/2022/05/TKXXBSTT_03.jpg | https://tapetech.com/wp-content/uploads/2022/05/TKXXBSTT_04.jpg | https://tapetech.com/wp-content/uploads/2022/05/TKXXBSTT_05.jpg"
"TapeTech","12"" Premium Compound Roller","CROLL12","CROLL12","TapeTech 12"" Premium Compound Roller CROLL12 &amp;nbsp; TapeTech drywall joint compound rollers are ideal for applying large amounts of drywall compound on walls and ceilings for finishing large patches and butt joints, or skimming entire walls, ceilings and rooms. They are a great alternative to breaking out a sprayer or trying to apply the compound with knives or trowels. Simply apply the joint compound with the TapeTech premium drywall joint compound roller and then skim the area with a TapeTech premium finishing knife for an amazing finish. &amp;nbsp; Key Features: Highest Quality: TapeTech premium drywall joint compound rollers are manufactured in Europe exclusively for TapeTech, using the highest quality reticulated polypropylene nap for great results and long life. Highest Capacity: TapeTech premium drywall joint compound rollers feature an 18mm nap - nearly 50% thicker than other brands with ½” nap – allowing you to apply nearly 50% more compound to the surface between fills compared to other high nap rollers. Highest Coverage: The unique design and manufacturing of TapeTech premium joint compound rollers releases more compound from the nap and onto the surface, providing the highest coverage rate per roller load. Robust Frame Design: TapeTech premium drywall joint compound rollers are designed for use with TapeTech roller frames (sold separately). Our frames are a full 5/16” thick – stronger than smaller ¼” thick frames on the market. Extended Reach: Easily reach most common walls and ceilings using the TapeTech CROLLHAN2 extendable handle (sold separately). With super secure attachment and lightweight but robust construction, you’ll quickly knock out any wall coverage or skimming job. Ideal for Skimming: The TapeTech premium drywall joint compound rollers are ideal for quickly applying large amounts of compound over patches, butt joints or entire surfaces. The perfect set up for skimming with TapeTech premium finishing knives.","Weight: 1.4 lbs | Dimensions: 3 × 3 × 12 in","Taping Knives & Trowels","1.4","3","3","12","https://tapetech.com/wp-content/uploads/2024/12/18458_CROLL12_001.jpg | https://tapetech.com/wp-content/uploads/2024/11/18458_CROLL12_002.jpg | https://tapetech.com/wp-content/uploads/2024/12/18458_CROLL12_003.jpg"
"TapeTech","12"" Premium Stainless Steel Taping Knife","TK12SSTT","TK12SSTT","TapeTech Premium Taping and Jointing Knives feature the optimal combination of design, materials experience and testing to produce knives with the best balance, flex, comfort, and control so you achieve premium results when applying and smoothing joint compound. The handle?s over-sized, tapered shape provides the most ergonomic, slip-resistant grip. The enlarged, alloy hammer end allows it to be used to set protruding fasteners, adjust installation flaws, and protect against damage if the knife is dropped. TapeTech Premium Taping and Joint Knife blades are precision ground and polished to provide the perfect amount of flex and finish. The Carbon Steel and Blue Steel blades provide ultimate feel while Stainless Steel blades maximize rust resistance. TapeTech Premium Taping Knives feature the strongest backing plate in the industry, preventing unwanted blade deflection while providing smooth, consistent control and finish. Features: Premium Stainless Steel Blade Resists Corrosion and Cleans Up Fast Strongest Backing Plate In The Industry Prevents Blade Deflection Precision Grind Provides Perfect Flex and Finish Oversized, Tapered, Soft-Grip Handle Provides Optimal Control and Comfort Alloy Metal Hammer End Sets Protruding Fasteners, Adjusts Installation Flaws and Protects Against Damage From Drops. Easy-To-Remove Label Lifetime Limited Warranty","Weight: 0.625 lbs | Dimensions: 1 × 12 × 9.375 in","Taping Knives & Trowels","0.625","1","12","9.375","https://tapetech.com/wp-content/uploads/2022/06/TK12SSTT_01.jpg | https://tapetech.com/wp-content/uploads/2022/05/Taping-Knives_Backing-Plate.jpg | https://tapetech.com/wp-content/uploads/2022/05/TKXXSSTT_01.jpg | https://tapetech.com/wp-content/uploads/2022/05/TK12SSTT-App-2.png | https://tapetech.com/wp-content/uploads/2022/05/TK12SSTT-App-1.png"
"TapeTech","12"" x 4.7"" Premium Gold Stainless Steel Finishing Trowel","TG12054-PS","TG12054-PS","TapeTech Premium MIDFLEXX finishing trowels produce a superior finish on drywall, plaster, EIFS, stucco, concrete, epoxy and micro-cement due to the added flexibility of the blade compared to standard trowels. Crafted using 0.4 mm European triple-hardened gold stainless steel, these trowels ensure maximum performance and long life. The ProSoft handle is slip-resistant and comfortable to reduce user fatigue. The blades on the TapeTech MIDFLEXX finishing trowels are attached to the handle mount using a special technology that robotically and precisely welds the rivets to the blade surface. These superior quality stainless steel rivets are then pressed into the handle mount, resulting in the strongest trowels available. Other brands use two-sided tape to attach the blade to the mount.","Weight: 0.9 lbs | Dimensions: 3 × 5 × 12 in","Taping Knives & Trowels","0.9","3","5","12","https://tapetech.com/wp-content/uploads/2024/06/18168_TG12054PS_001.jpg | https://tapetech.com/wp-content/uploads/2024/10/18168_TG12054PS_005.jpg | https://tapetech.com/wp-content/uploads/2024/10/18168_TG12054PS_004.jpg | https://tapetech.com/wp-content/uploads/2024/10/18168_TG12054PS_003.jpg | https://tapetech.com/wp-content/uploads/2024/10/18168_TG12054PS_002.jpg"
"TapeTech","12"" x 4.7"" Premium Gold Stainless Steel Curved Finishing Trowel","TG120565-PSCU","TG120565-PSCU","TapeTech premium curved drywall trowels allow you to professionally feather and taper drywall, EIFS and stucco joints, leaving extra joint compound where you need it most – over butt joints and uneven adjacent gypsum or EPS panels. The triple-hardened stainless steel blades ensure maximum performance, and the ProSoft handle is slip-resistant and comfortable to reduce user fatigue.","Weight: 0.93 lbs | Dimensions: 3 × 5 × 12 in","Taping Knives & Trowels","0.93","3","5","12","https://tapetech.com/wp-content/uploads/2024/11/18178_TapeTech12inx4.7inPremiumGoldCurvedFinishingTrowel_001.jpg | https://tapetech.com/wp-content/uploads/2024/11/18178_TapeTech12inx4-1.7inPremiumGoldCurvedFinishingTrowel_005.jpg | https://tapetech.com/wp-content/uploads/2024/11/18178_TapeTech12inx4-1.7inPremiumGoldCurvedFinishingTrowel_003.jpg | https://tapetech.com/wp-content/uploads/2024/11/18178_TapeTech12inx4-1.7inPremiumGoldCurvedFinishingTrowel_002.jpg"
"TapeTech","12"" x 5"" Premium Gold Stainless Steel Finishing Trowel - ProSoft Grip","TG120565-PS","TG120565-PS","TapeTech Premium Finishing Trowels are the highest quality finishing trowels on the market. The 0.65 mm blade thickness makes these finishing trowels the workhorse of your tool kit and the perfect starting point towards the perfect finish of drywall, plaster, EIFS, stucco, epoxy and micro-cements. The triple-hardened European stainless steel blades ensure maximum performance, and the ProSoft handle is slip-resistant and comfortable to reduce user fatigue. TapeTech Premium Finishing Trowels provide the ultimate combination of performance, flexibility and durability, resulting in long life and a perfect finish every time.","Weight: 0.93 lbs | Dimensions: 3 × 5 × 12 in","Taping Knives & Trowels","0.93","3","5","12","https://tapetech.com/wp-content/uploads/2024/06/18222_TG120565-PS_001.jpg | https://tapetech.com/wp-content/uploads/2024/10/18222_TG120565-PS_003.jpg"
"TapeTech","13″ x 13″ Premium Hawk - Black","HWK002-BLK","HWK002-BLK","Crafted from solid extruded aluminum, the HAWK002 is robust and resists corrosion. The black anodized finish features our exclusive IMR Technology which provides durability and improved material removal. Rounded corners provide safety and comfort. The ergonomic ProSoft handle with extra foam pad helps prevent hand fatigue. And the hollow design of the handle allows you to rest the tool on scaffolding posts.","","Taping Knives & Trowels","","","","","https://tapetech.com/wp-content/uploads/2026/04/18860-HWK002-BLK-001.jpg | https://tapetech.com/wp-content/uploads/2026/04/18860_HWK002-BLK_002.jpg | https://tapetech.com/wp-content/uploads/2026/04/18860_HWK002-BLK_003.jpg"
"TapeTech","13"" x 13"" Aluminum Hawk","HWK001-PS","HWK001-PS","Professional Grade ultra-light aluminum Hawk with 1.75mm tray features milled grooves to prevent slippage of compound, plaster, EIFS material or stucco. Rubber cushion under tray provides comfort and prevents abrasions. Features the ergonomic TapeTech ProSoft grip for all-day comfort and reduced fatigue.","Weight: 1.52 lbs | Dimensions: 5 × 13 × 13 in","Taping Knives & Trowels","1.52","5","13","13","https://tapetech.com/wp-content/uploads/2024/10/HWK001-PS_001.jpg | https://tapetech.com/wp-content/uploads/2024/10/HWK001-PS_002.jpg"
"TapeTech","14"" Premium Blue Steel Taping Knife","TK14BSTT","TK14BSTT","TapeTech Premium Taping and Jointing Knives feature the optimal combination of design, materials experience and testing to produce knives with the best balance, flex, comfort, and control so you achieve premium results when applying and smoothing joint compound. The handle?s over-sized, tapered shape provides the most ergonomic, slip-resistant grip. The enlarged, alloy hammer end allows it to be used to set protruding fasteners, adjust installation flaws, and protect against damage if the knife is dropped. TapeTech Premium Taping and Joint Knife blades are precision ground and polished to provide the perfect amount of flex and finish. The Carbon Steel and Blue Steel blades provide ultimate feel. TapeTech Premium Taping Knives feature the strongest backing plate in the industry, preventing unwanted blade deflection while providing smooth, consistent control and finish. Features: Premium Blue Steel Blade Provides More Corrosion Resistance Than Carbon Steel Strongest Backing Plate In The Industry Prevents Blade Deflection Precision Grind Provides Perfect Flex and Finish Oversized, Tapered, Soft-Grip Handle Provides Optimal Control and Comfort Alloy Metal Hammer End Sets Protruding Fasteners, Adjusts Installation Flaws and Protects Against Damage From Drops. Easy-To-Remove Label Lifetime Limited Warranty","Weight: 0.7 lbs | Dimensions: 1 × 14 × 9.375 in","Taping Knives & Trowels","0.7","1","14","9.375","https://tapetech.com/wp-content/uploads/2022/06/TK14BSTT_01.jpg | https://tapetech.com/wp-content/uploads/2022/05/Taping-Knives_Backing-Plate.jpg | https://tapetech.com/wp-content/uploads/2022/05/TKXXBSTT_02.jpg | https://tapetech.com/wp-content/uploads/2022/05/TKXXBSTT_03.jpg | https://tapetech.com/wp-content/uploads/2022/05/TKXXBSTT_04.jpg | https://tapetech.com/wp-content/uploads/2022/05/TKXXBSTT_05.jpg"
"TapeTech","14"" Premium Stainless Steel Taping Knife","TK14SSTT","TK14SSTT","TapeTech Premium Taping and Jointing Knives feature the optimal combination of design, materials experience and testing to produce knives with the best balance, flex, comfort, and control so you achieve premium results when applying and smoothing joint compound. The handle?s over-sized, tapered shape provides the most ergonomic, slip-resistant grip. The enlarged, alloy hammer end allows it to be used to set protruding fasteners, adjust installation flaws, and protect against damage if the knife is dropped. TapeTech Premium Taping and Joint Knife blades are precision ground and polished to provide the perfect amount of flex and finish. The Carbon Steel and Blue Steel blades provide ultimate feel while Stainless Steel blades maximize rust resistance. TapeTech Premium Taping Knives feature the strongest backing plate in the industry, preventing unwanted blade deflection while providing smooth, consistent control and finish. Features: Premium Stainless Steel Blade Resists Corrosion and Cleans Up Fast Strongest Backing Plate In The Industry Prevents Blade Deflection Precision Grind Provides Perfect Flex and Finish Oversized, Tapered, Soft-Grip Handle Provides Optimal Control and Comfort Alloy Metal Hammer End Sets Protruding Fasteners, Adjusts Installation Flaws and Protects Against Damage From Drops. Easy-To-Remove Label Lifetime Limited Warranty","Weight: 0.7 lbs | Dimensions: 1 × 14 × 9.375 in","Taping Knives & Trowels","0.7","1","14","9.375","https://tapetech.com/wp-content/uploads/2022/06/TK14SSTT_01.jpg | https://tapetech.com/wp-content/uploads/2022/05/Taping-Knives_Backing-Plate.jpg | https://tapetech.com/wp-content/uploads/2022/05/TKXXSSTT_01.jpg | https://tapetech.com/wp-content/uploads/2022/05/TK12SSTT-App-2.png | https://tapetech.com/wp-content/uploads/2022/05/TK12SSTT-App-1.png"
"TapeTech","14"" x 4.3"" Premium Gold Stainless Steel Finishing Trowel","TG14053-PS","TG14053-PS","TapeTech Premium MAXFLEXX finishing trowels provide the highest amount of flexibility and control, producing the ultimate finish on drywall, plaster, EIFS, stucco, concrete, epoxy and micro-cement. Crafted using 0.3 mm European triple-hardened gold stainless steel, these trowels ensure maximum performance and long life. The ProSoft handle is slip-resistant and comfortable to reduce user fatigue. MAX-FLEXX finishing trowels are the perfect tool for the final coat. The blades on the TapeTech MAXFLEXX finishing trowels are attached to the handle mount using a special technology that robotically and precisely welds the rivets to the blade surface. These superior quality stainless steel rivets are then pressed into the handle mount, resulting in the strongest trowels available. Other brands use two-sided tape to attach the blade to the mount.","Weight: 1 lbs | Dimensions: 5 × 5 × 5 in","Taping Knives & Trowels","1","5","5","5","https://tapetech.com/wp-content/uploads/2024/06/18165_TG14053PS_001.jpg | https://tapetech.com/wp-content/uploads/2024/10/18165_TG14053PS_005.jpg | https://tapetech.com/wp-content/uploads/2024/10/18165_TG14053PS_004.jpg | https://tapetech.com/wp-content/uploads/2024/10/18165_TG14053PS_003.jpg | https://tapetech.com/wp-content/uploads/2024/10/18165_TG14053PS_002.jpg"
"TapeTech","14"" x 4.7"" Premium Gold Stainless Steel Curved Finishing Trowel","TG140565-PSCU","TG140565-PSCU","TapeTech premium curved drywall trowels allow you to professionally feather and taper drywall, EIFS and stucco joints, leaving extra joint compound where you need it most – over butt joints and uneven adjacent gypsum or EPS panels. The triple-hardened stainless steel blades ensure maximum performance, and the ProSoft handle is slip-resistant and comfortable to reduce user fatigue.","Weight: 1.04 lbs | Dimensions: 3 × 5 × 14 in","Taping Knives & Trowels","1.04","3","5","14","https://tapetech.com/wp-content/uploads/2024/10/18179_TapeTechGoldStainlessSteelCurvedFinishingTrowel_001-1.jpg | https://tapetech.com/wp-content/uploads/2024/10/18179_TapeTechGoldStainlessSteelCurvedFinishingTrowel_005-1.jpg | https://tapetech.com/wp-content/uploads/2024/10/18179_TapeTechGoldStainlessSteelCurvedFinishingTrowel_004-1.jpg | https://tapetech.com/wp-content/uploads/2024/10/18179_TapeTechGoldStainlessSteelCurvedFinishingTrowel_003-1.jpg | https://tapetech.com/wp-content/uploads/2024/10/18179_TapeTechGoldStainlessSteelCurvedFinishingTrowel_002-1.jpg"
"TapeTech","14"" x 4.7"" Premium Gold Stainless Steel Finishing Trowel","TG14054-PS","TG14054-PS","TapeTech Premium MIDFLEXX finishing trowels produce a superior finish on drywall, plaster, EIFS, stucco, concrete, epoxy and micro-cement due to the added flexibility of the blade compared to standard trowels. Crafted using 0.4 mm European triple-hardened gold stainless steel, these trowels ensure maximum performance and long life. The ProSoft handle is slip-resistant and comfortable to reduce user fatigue. The blades on the TapeTech MIDFLEXX finishing trowels are attached to the handle mount using a special technology that robotically and precisely welds the rivets to the blade surface. These superior quality stainless steel rivets are then pressed into the handle mount, resulting in the strongest trowels available. Other brands use two-sided tape to attach the blade to the mount.","Weight: 1.01 lbs | Dimensions: 3 × 5 × 14 in","Taping Knives & Trowels","1.01","3","5","14","https://tapetech.com/wp-content/uploads/2024/06/18169_TG14054PS_001.jpg | https://tapetech.com/wp-content/uploads/2024/10/18169_TG14054PS_005.jpg | https://tapetech.com/wp-content/uploads/2024/10/18169_TG14054PS_004.jpg | https://tapetech.com/wp-content/uploads/2024/10/18169_TG14054PS_003.jpg | https://tapetech.com/wp-content/uploads/2024/10/18169_TG14054PS_002.jpg"
