Brands,SKU,MPN,Name,Categories,Short description
Columbia Taping Tools,COL3 KIT,,"Columbia 3"" Angle Head Rebuild Kit (COL3 KIT)",Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Columbia 3"" Angle Head Rebuild Kit contains all essential wear parts to restore factory-standard performance, smooth operation, and consistent mud application for your 3-inch corner finisher."
Columbia Taping Tools,G3NS &AMP; C1H,,"Columbia 3"" Nail Spotter with Featherlight Handle (G3NS &AMP; C1H)",Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"The Columbia 3"" Nail Spotter with Featherlight Handle automates the filling and feathering of drywall fastener indentations, delivering a consistent, professional finish in a single pass while reducing manual labor and fatigue."
Columbia Taping Tools,COL3.5 KIT,,"Columbia 3.5"" Angle Head Rebuild Kit (COL3.5 KIT)",Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Restore your 3.5-inch angle head to factory performance with this comprehensive rebuild kit, featuring genuine Columbia carbide blades and essential hardware for professional-grade corner finishing."
Columbia Taping Tools,FA328,FA328,Columbia 3/8 Flat Washer (FA328),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,3/8 Flat Washer (FA328)
Columbia Taping Tools,FA360,FA360,Columbia 3/8 Lock Washer (FA360),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,3/8 Lock Washer (FA360)
Columbia Taping Tools,FA359,FA359,Columbia 3/8 x 1/2 Roll Pin (FA359),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,3/8 x 1/2 Roll Pin (FA359)
Columbia Taping Tools,FA319,FA319,Columbia 3/8-16 Hex Nut (FA319),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,3/8-16 Hex Nut (FA319)
Columbia Taping Tools,FA358,FA358,Columbia 3/8-16 Nyloc Nut (FA358),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,3/8-16 Nyloc Nut (FA358)
Columbia Taping Tools,FA526,FA526,Columbia 3/8-16 x 1 Hex Bolt (FA526),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,3/8-16 x 1 Hex Bolt (FA526)
Columbia Taping Tools,FA325,FA325,Columbia 3/8-16 x 1-1/2 Socket Head Screw (FA325),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,3/8-16 x 1-1/2 Socket Head Screw (FA325)
Columbia Taping Tools,FA318,FA318,Columbia 3/8-16 x 1-1/4 Hex Bolt (FA318),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,3/8-16 x 1-1/4 Hex Bolt (FA318)
Columbia Taping Tools,FA321,FA321,Columbia 3/8-16 x 3/4 Socket Head Screw (FA321),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,3/8-16 x 3/4 Socket Head Screw (FA321)
Columbia Taping Tools,FA355,FA355,Columbia 3/8-16 x 5/8 Flat Head Screw (FA355),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,3/8-16 x 5/8 Flat Head Screw (FA355)
Columbia Taping Tools,FA21K,FA21K,Columbia 4-40 Lock Washer (FA21K),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,4-40 Lock Washer (FA21K)
Columbia Taping Tools,FA22K,FA22K,Columbia 4-40 Nyloc Nut (FA22K),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,4-40 Nyloc Nut (FA22K)
Columbia Taping Tools,FA21A,FA21A,Columbia 4-40 x 1/4 Flat Head Screw (FA21A),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,4-40 x 1/4 Flat Head Screw (FA21A)
Columbia Taping Tools,FA20A,FA20A,Columbia 4-40 x 3/16 Flat Head Screw (FA20A),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,4-40 x 3/16 Flat Head Screw (FA20A)
Columbia Taping Tools,FA313,FA313,Columbia 5/16-18 Nyloc Jam Nut (FA313),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,5/16-18 Nyloc Jam Nut (FA313)
Columbia Taping Tools,FA-306,,"Columbia 5/16-18 x 1 1/4"" Hex Bolt (FA-306)",Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Columbia 5/16-18 x 1 1/4"" Hex Bolt (FA-306) provides a secure, professional-grade fastening solution for drywall finishing equipment maintenance and assembly."
Columbia Taping Tools,FA309,FA309,Columbia 5/16-18 x 1/2 Socket Head Screw (FA309),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,5/16-18 x 1/2 Socket Head Screw (FA309)
Columbia Taping Tools,FA350,FA350,Columbia 5/16-18 x 7/8 Socket Head Screw (FA350),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,5/16-18 x 7/8 Socket Head Screw (FA350)
Columbia Taping Tools,FA391,FA391,Columbia 6-32 x 1 Pan Head Screw (FA391),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,6-32 x 1 Pan Head Screw (FA391)
Columbia Taping Tools,FA393,FA393,Columbia 6-32 x 1-1/2 Pan Head Screw (FA393),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,6-32 x 1-1/2 Pan Head Screw (FA393)
Columbia Taping Tools,FA392,FA392,Columbia 6-32 x 1-1/4 Pan Head Screw (FA392),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,6-32 x 1-1/4 Pan Head Screw (FA392)
Columbia Taping Tools,FA27A,FA27A,Columbia 6-32 x 1/4 Pan Head Screw (FA27A),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,6-32 x 1/4 Pan Head Screw (FA27A)
Columbia Taping Tools,FA242,FA242,Columbia 6-32 x 3/8 Pan Head Screw (FA242),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,6-32 x 3/8 Pan Head Screw (FA242)
Columbia Taping Tools,FA376,FA376,Columbia 6-32 x 5/8 Socket Head Screw (FA376),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,6-32 x 5/8 Socket Head Screw (FA376)
Columbia Taping Tools,FA390,FA390,Columbia 6-32 x 7/8 Pan Head Screw (FA390),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,6-32 x 7/8 Pan Head Screw (FA390)
Columbia Taping Tools,GCTBOXSET8/10,,"Columbia 8"" and 10"" Flat Box Combo (GCTBOXSET8/10)",Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Columbia 8"" and 10"" Flat Box Combo set designed for professional drywall finishing, offering dual-size versatility for efficient, high-quality joint application."
Columbia Taping Tools,FA263,FA263,Columbia 8-32 x 5/8 Flat Head Screw (FA263),Drywall Finishing Tools > Columbia Taping Tools > Fasteners,8-32 x 5/8 Flat Head Screw (FA263)
Columbia Taping Tools,402019-A,,Columbia AH5 - Angle Head Frame Retainer Clip (402019-A),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Columbia AH5 - Angle Head Frame Retainer Clip (402019-A) provides a secure, reliable connection for your angle head tools, ensuring consistent performance and minimal downtime on the job site."
Columbia Taping Tools,CFB-1A,,Columbia Angle Box Hinge Seal - CFB1A (CFB-1A),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,Columbia Taping Tools Angle Box Hinge Seal (CFB-1A) is a precision-engineered replacement part designed to prevent compound leaks and maintain consistent pressure in your corner applicator boxes for professional-grade drywall finishing.
Columbia Taping Tools,CFB-19,,Columbia Angle Box Nylatron Bushing (CFB-19),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Columbia Angle Box Nylatron Bushing (CFB-19) is a durable, self-lubricating replacement part designed to reduce friction and restore smooth, precise movement to your angle box during corner finishing."
Columbia Taping Tools,AB54,AB54,Columbia Automatic Box Air Valve Assembly (AB54),Drywall Finishing Tools > Columbia Taping Tools > Box Handle,Automatic Box Air Valve Assembly (AB54)
Columbia Taping Tools,AB3A LEFT,AB3A LEFT,Columbia Automatic Box End Plate Left (AB3A LEFT),Drywall Finishing Tools > Columbia Taping Tools > Box Handle,Automatic Box End Plate Left - AB3A LEFT
Columbia Taping Tools,AB3A RIGHT,AB3A RIGHT,Columbia Automatic Box End Plate Right (AB3A RIGHT),Drywall Finishing Tools > Columbia Taping Tools > Box Handle,Automatic Box End Plate Right - AB3A RIGHT
Columbia Taping Tools,AB1,AB1,Columbia Automatic Box Handle Body (AB1),Drywall Finishing Tools > Columbia Taping Tools > Box Handle,Automatic Box Handle Body (AB1)
Columbia Taping Tools,AB50,AB50,Columbia Automatic Box Pressure Spring (AB50),Drywall Finishing Tools > Columbia Taping Tools > Box Handle,Automatic Box Pressure Spring (AB50)
Columbia Taping Tools,AB51,AB51,Columbia Automatic Box Release Clip (AB51),Drywall Finishing Tools > Columbia Taping Tools > Box Handle,Automatic Box Release Clip (AB51)
Columbia Taping Tools,AB52,AB52,Columbia Automatic Box Thumb Valve Seat (AB52),Drywall Finishing Tools > Columbia Taping Tools > Box Handle,Automatic Box Thumb Valve Seat (AB52)
Columbia Taping Tools,BH6,,Columbia Box Handle Hinge Pin (BH6),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,Columbia Taping Tools Box Handle Hinge Pin (BH6) is a precision-engineered replacement part designed to restore stability and smooth articulation to 180 Grip flat box handles.
Columbia Taping Tools,809011-A2,,Columbia Box Handle Thumb Screw (180 Degree Handle) (809011-A2),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Genuine Columbia Taping Tools thumb screw for 180-degree box handles, providing secure, tool-free locking and reliable performance for professional drywall finishing."
Columbia Taping Tools,BH-5,,Columbia Box Handle Upper Mounting Bracket - BH5 (BH-5),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Columbia Box Handle Upper Mounting Bracket - BH5 is a durable, genuine replacement part designed for BH5 series handles to ensure secure, reliable performance and precise control during drywall finishing."
Columbia Taping Tools,CF15-3.5,CF15-3.5,"Columbia Corner Flusher Tension Spring 15 x 3.5"" (CF15-3.5)",Drywall Finishing Tools > Columbia Taping Tools > Corner Flusher,Corner Flusher Tension Spring 15 x 3.5 in (CF15-3.5)
Columbia Taping Tools,GCR &AMP; R-0001,,Columbia Corner Roller with Extendable Handle (GCR &AMP; R-0001),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Columbia Corner Roller with Extendable Handle features a hybrid stainless steel and Delrin split-wheel design to reduce drag and weight. Includes a 3-to-8-foot adjustable handle for efficient, high-reach corner finishing."
Columbia Taping Tools,CTA-87,,Columbia Cover Plate Assembly (CTA-87),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Columbia Cover Plate Assembly (CTA-87) is a durable, precision-engineered replacement part designed to upgrade Columbia automatic tapers with a lever-actuated, quick-clean system for improved job site efficiency."
Columbia Taping Tools,CT-87CS,,Columbia Cover Plate Cork Seal (CT-87CS),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,Columbia Cover Plate Cork Seal (CT-87CS) is a high-density replacement gasket designed to prevent mud leakage and maintain consistent pressure in Columbia automatic tapers.
Columbia Taping Tools,050081F-A,,Columbia Creaser Return Spring (050081F-A),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Genuine Columbia Taping Tools return spring for CT54 creaser assemblies, designed to restore optimal tension and tool responsiveness."
Columbia Taping Tools,50229-A,,Columbia CT128 - Taper Shaft Guide Strap (50229-A),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"The Columbia CT128 Taper Shaft Guide Strap ensures precise shaft alignment and reduced mechanical friction for consistent, reliable performance in professional drywall taping applications."
Columbia Taping Tools,50232-A,,Columbia CT129A - Taper Strap Bracket (50232-A),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"The Columbia CT129A Taper Strap Bracket is a durable, precision-engineered component designed to maintain structural alignment and reliable performance in automatic drywall taping tools."
Columbia Taping Tools,50226-A,,Columbia CT129B - Taper Sleeve (Plastic Roller) (50226-A),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Columbia CT129B Taper Sleeve (Plastic Roller) for automatic drywall tapers. Durable, high-impact replacement part designed for smooth, consistent tape advancement and reliable field performance."
Columbia Taping Tools,50141-A,,Columbia CT27 - Taper Knife Guide Bracket Left (50141-A),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,The Columbia CT27 left-hand knife guide bracket ensures precise knife alignment and consistent performance for automatic drywall tapers.
Columbia Taping Tools,CT-28,,Columbia CT28 - Taper Roller Bushing (CT-28),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Columbia Taping Tools CT28 Taper Roller Bushing provides essential support for the taper side plate, reducing friction and ensuring smooth, reliable operation for your automatic drywall taper."
Columbia Taping Tools,CT-101,,Columbia Filler Valve Return Spring (CT-101),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,Maintain consistent material flow and tool responsiveness with this precision-engineered replacement return spring for Columbia Taping Tools filler valves.
Columbia Taping Tools,FG4-45,FG4-45,"Columbia Flat Box 45 Degree Corner Guide 4"" (FG4-45)",Drywall Finishing Tools > Columbia Taping Tools > Flat Box,Flat Box 45 Degree Corner Guide 4 in (FG4-45)
Columbia Taping Tools,FG3A,FG3A,Columbia Flat Box Angle Guide 3A (FG3A),Drywall Finishing Tools > Columbia Taping Tools > Flat Box,Flat Box Angle Guide 3A (FG3A)
Columbia Taping Tools,HFFFB5-8,,Columbia Flat Box Axle 8in - HFFB5-8 (HFFFB5-8),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Replacement 8-inch flat box axle for Columbia Taping Tools, engineered for smooth pressure plate operation and consistent compound application."
Columbia Taping Tools,FFBA-10-5.5,,"Columbia Flat Box Blade Bar Assembly 5.5"" - FFBA10-5.5 (FFBA-10-5.5)",Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Columbia Taping Tools 5.5"" Flat Box Blade Bar Assembly ensures consistent mud distribution and professional-grade finishing for 5.5-inch drywall flat boxes."
Columbia Taping Tools,FFB1B,FFB1B,Columbia Flat Box Body 1B (FFB1B),Drywall Finishing Tools > Columbia Taping Tools > Flat Box,Flat Box Body 1B (FFB1B)
Columbia Taping Tools,FFB40-10,FFB40-10,"Columbia Flat Box Door Gasket 10"" (FFB40-10)",Drywall Finishing Tools > Columbia Taping Tools > Flat Box,Flat Box Door Gasket 10 in (FFB40-10)
Columbia Taping Tools,FFB 42,FFB 42,Columbia Flat Box Door Pivot (FFB 42),Drywall Finishing Tools > Columbia Taping Tools > Flat Box,Flat Box Door Pivot - FFB 42
Columbia Taping Tools,FFB44,FFB44,Columbia Flat Box Door Pivot Pin (FFB44),Drywall Finishing Tools > Columbia Taping Tools > Flat Box,Flat Box Door Pivot Pin (FFB44)
Columbia Taping Tools,FFB 16A,FFB 16A,Columbia Flat Box Handle Bracket 16A (FFB 16A),Drywall Finishing Tools > Columbia Taping Tools > Flat Box,Flat Box Handle Bracket 16A - FFB 16A
Columbia Taping Tools,BH-11,,Columbia Flat Box Handle Strap Connecting Pin (BH-11),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Maintain peak performance with the Columbia Taping Tools BH-11 connecting pin, designed for a secure, stable link between your flat box and handle strap."
Columbia Taping Tools,FFB-25-10,,Columbia Flat Box Rubber Gasket Retainer 10in (FFB-25-10),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Maintain airtight seal integrity and consistent compound application in your 10-inch flat box with this durable, precision-engineered gasket retainer from Columbia Taping Tools."
Columbia Taping Tools,FFB-25-12,,Columbia Flat Box Rubber Gasket Retainer 12in (FFB-25-12),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Columbia Flat Box Rubber Gasket Retainer 12in (FFB-25-12) ensures a secure, leak-free seal for consistent compound application and professional finishing results."
Columbia Taping Tools,FFB25-7,,Columbia Flat Box Rubber Gasket Retainer 7in (FFB25-7),Drywall Finishing Tools > Columbia Taping Tools > Parts & Accessories,"Columbia Flat Box Rubber Gasket Retainer 7in (FFB25-7) secures the gasket for a tight seal, preventing leaks and ensuring consistent mud flow for professional drywall finishing."
Columbia Taping Tools,FFB SA,FFB SA,Columbia Flat Box Side Arm Assembly (FFB SA),Drywall Finishing Tools > Columbia Taping Tools > Flat Box,Flat Box Side Arm Assembly - FFB SA
Columbia Taping Tools,FFB10-10,FFB10-10,"Columbia Flat Box Side Cover 10"" (FFB10-10)",Drywall Finishing Tools > Columbia Taping Tools > Flat Box,Flat Box Side Cover 10 in (FFB10-10)
Columbia Taping Tools,FFB 2S-10,FFB 2S-10,"Columbia Flat Box Side Plate 10"" Short (FFB 2S-10)",Drywall Finishing Tools > Columbia Taping Tools > Flat Box,Flat Box Side Plate 10 in Short - FFB 2S-10
Columbia Taping Tools,FFB35,FFB35,Columbia Flat Box Spring Assembly (FFB35),Drywall Finishing Tools > Columbia Taping Tools > Flat Box,Flat Box Spring Assembly (FFB35)
Columbia Taping Tools,FFB24-10,FFB24-10,"Columbia Flat Box Wheel Axle 24"" 10"" (FFB24-10)",Drywall Finishing Tools > Columbia Taping Tools > Flat Box,Flat Box Wheel Axle 24 in 10 in (FFB24-10)
Columbia Taping Tools,HB48B,HB48B,Columbia Hot Mud Pump Handle B (HB48B),Drywall Finishing Tools > Columbia Taping Tools > Mud Pump,Hot Mud Pump Handle B (HB48B)
