canonical_id,canonical_label,sort_order,parent_id,is_subcategory,wc_category_label,brand,brand_wc_path,columbia_family_names,search_tags,notes
handles,Handles,40,,FALSE,Handles & Extensions,Asgard,Drywall Finishing Tools > Asgard > Handles & Extensions,,flat box handle | extension handle | drywall handle,
handles,Handles,40,,FALSE,Handles & Extensions,Columbia,Drywall Finishing Tools > Columbia > Handles & Extensions,"Flat Box Handle | Closet Monster Flat Box Handle | Columbia One | Long Extendible Handle | The Matrix Box Handles | Twist Lock Handle","MH | MHS | MHL | C1H | TL3-8 | CHXL | matrix handle | columbia one | twist lock",
handles,Handles,40,,FALSE,Handles & Extensions,Platinum Drywall Tools,Drywall Finishing Tools > Platinum Drywall Tools > Handles & Extensions,,flat box handle | extension handle,
handles,Handles,40,,FALSE,Handles & Extensions,TapeTech,Drywall Finishing Tools > TapeTech > Handles & Extensions,,flat box handle | extension handle | box handle,
corner-tools,Corner Tools,50,,FALSE,Corner Tools,Asgard,Drywall Finishing Tools > Asgard > Corner Tools,,"angle head | corner flusher | corner roller | AH25-AD | AH30-AD | AH35-AD",
corner-tools,Corner Tools,50,,FALSE,Corner Tools,Columbia,Drywall Finishing Tools > Columbia > Corner Tools,"Angleheads | Anglehead Adaptor | Applicators | External Corner Applicator | Flat Applicators | Inside Corner Applicator | Two Way Internal Corner Applicator | Corner Flushers | Combo Flusher | Direct Corner Flusher | Standard Corner Flusher | Corner Rollers | Corner Cobra | Inside Corner Roller | Outside Corner Roller | Throttle Box | Cam Lock Tube | Cam Lock Tube Box Filler | Compound Tubes","corner tool | angle head | corner flusher | corner roller | applicator | compound tube | throttle box",
corner-tools,Corner Tools,50,,FALSE,Corner Tools,Platinum Drywall Tools,Drywall Finishing Tools > Platinum Drywall Tools > Corner Tools,,corner tool | corner flusher,
corner-tools,Corner Tools,50,,FALSE,Corner Tools,TapeTech,Drywall Finishing Tools > TapeTech > Corner Tools,,corner tool | corner flusher | corner roller | compound roller,
corner-rollers,Corner Rollers,51,corner-tools,TRUE,Corner Tools,Asgard,Drywall Finishing Tools > Asgard > Corner Tools,,corner roller | inside corner roller | outside corner roller,Subcategory of corner-tools
corner-rollers,Corner Rollers,51,corner-tools,TRUE,Corner Tools,Columbia,Drywall Finishing Tools > Columbia > Corner Tools,"Corner Cobra | Inside Corner Roller | Outside Corner Roller","CC | CR | COBCR | CBNCR | COBCRW | COBCRE | corner cobra | bullnose roller | wide roller",Subcategory of corner-tools
corner-rollers,Corner Rollers,51,corner-tools,TRUE,Corner Tools,TapeTech,Drywall Finishing Tools > TapeTech > Corner Tools,,corner roller | inside corner roller | outside corner roller,Subcategory of corner-tools
corner-rollers,Corner Rollers,51,corner-tools,TRUE,Corner Tools,Platinum Drywall Tools,Drywall Finishing Tools > Platinum Drywall Tools > Corner Tools,,corner roller | inside corner roller | outside corner roller,Subcategory of corner-tools
corner-flushers,Corner Flushers,52,corner-tools,TRUE,Corner Tools,Asgard,Drywall Finishing Tools > Asgard > Corner Tools,,corner flusher | angle flusher,Subcategory of corner-tools
corner-flushers,Corner Flushers,52,corner-tools,TRUE,Corner Tools,Columbia,Drywall Finishing Tools > Columbia > Corner Tools,"Combo Flusher | Direct Corner Flusher | Standard Corner Flusher","SF | DF | CSF | 2.5SF | 3SF | 3.5SF | 4SF | 2.5DF | 3DF | 3.5DF | 4DF | WTSF | WTDF | WTCSF",Subcategory of corner-tools
corner-flushers,Corner Flushers,52,corner-tools,TRUE,Corner Tools,TapeTech,Drywall Finishing Tools > TapeTech > Corner Tools,,corner flusher | corner finisher,Subcategory of corner-tools
corner-flushers,Corner Flushers,52,corner-tools,TRUE,Corner Tools,Platinum Drywall Tools,Drywall Finishing Tools > Platinum Drywall Tools > Corner Tools,,corner flusher | corner finisher,Subcategory of corner-tools
angle-heads,Angleheads,53,corner-tools,TRUE,Corner Tools,Asgard,Drywall Finishing Tools > Asgard > Corner Tools,,"AH25-AD | AH30-AD | AH35-AD | angle head | anglehead",Subcategory of corner-tools
angle-heads,Angleheads,53,corner-tools,TRUE,Corner Tools,Columbia,Drywall Finishing Tools > Columbia > Corner Tools,"Angleheads | Anglehead Adaptor","2AH | 2.5AH | 3AH | 3.5AH | AHA | angle head | anglehead adaptor",Subcategory of corner-tools
angle-heads,Angleheads,53,corner-tools,TRUE,Corner Tools,TapeTech,Drywall Finishing Tools > TapeTech > Corner Tools,,angle head | anglehead,Subcategory of corner-tools
angle-heads,Angleheads,53,corner-tools,TRUE,Corner Tools,Platinum Drywall Tools,Drywall Finishing Tools > Platinum Drywall Tools > Corner Tools,,angle head | anglehead,Subcategory of corner-tools
applicators,Applicators,54,corner-tools,TRUE,Corner Tools,Columbia,Drywall Finishing Tools > Columbia > Corner Tools,"External Corner Applicator | Flat Applicators | Inside Corner Applicator | Two Way Internal Corner Applicator","CFLT | CEXT90 | ICA2-1 | ICA4-1 | ICATW | inside corner applicator | external corner applicator | flat applicator",Subcategory of corner-tools
applicators,Applicators,54,corner-tools,TRUE,Corner Tools,TapeTech,Drywall Finishing Tools > TapeTech > Corner Tools,,applicator | corner applicator,Subcategory of corner-tools
applicators,Applicators,54,corner-tools,TRUE,Corner Tools,Platinum Drywall Tools,Drywall Finishing Tools > Platinum Drywall Tools > Corner Tools,,applicator | corner applicator,Subcategory of corner-tools
compound-tubes,Compound Tubes,55,corner-tools,TRUE,Corner Tools,Columbia,Drywall Finishing Tools > Columbia > Corner Tools,"Cam Lock Tube | Cam Lock Tube Box Filler | Compound Tubes","CMT24 | CMT32 | CMT42 | CMT55 | CLT24 | CLT32 | CLT42 | CLT55 | CLTBF | compound tube | mud tube | cam lock tube",Subcategory of corner-tools
compound-tubes,Compound Tubes,55,corner-tools,TRUE,Corner Tools,TapeTech,Drywall Finishing Tools > TapeTech > Corner Tools,,compound tube | mud tube,Subcategory of corner-tools
compound-tubes,Compound Tubes,55,corner-tools,TRUE,Corner Tools,Platinum Drywall Tools,Drywall Finishing Tools > Platinum Drywall Tools > Corner Tools,,compound tube | mud tube,Subcategory of corner-tools
pumps,Pumps,60,,FALSE,Mud Pans & Pumps,Asgard,Drywall Finishing Tools > Asgard > Mud Pans & Pumps,,mud pump | box filler | gooseneck | drywall pump,
pumps,Pumps,60,,FALSE,Mud Pans & Pumps,Columbia,Drywall Finishing Tools > Columbia > Mud Pans & Pumps,"Box Filler | Columbia X Graco PowerFill 3.5 | Gooseneck | Mud Pump | Tall Boy Mud Pump","HMP | TBMP | BF | TBBF | GN | TBGN | CPFP | CPFGN | mud pump | box filler | gooseneck | powerfill | tall boy pump",
pumps,Pumps,60,,FALSE,Mud Pans & Pumps,Platinum Drywall Tools,Drywall Finishing Tools > Platinum Drywall Tools > Mud Pans & Pumps,,mud pump | box filler | gooseneck,
pumps,Pumps,60,,FALSE,Mud Pans & Pumps,TapeTech,Drywall Finishing Tools > TapeTech > Mud Pans & Pumps,,mud pump | box filler | gooseneck,
nailspotters,Nailspotters,70,,FALSE,Nail Spotters,Asgard,Drywall Finishing Tools > Asgard > Nail Spotters,,nailspotter | nail spotter | spotters | screw spotter,
nailspotters,Nailspotters,70,,FALSE,Nail Spotters,Columbia,Drywall Finishing Tools > Columbia > Corner Tools,Nailspotters,2NS | 3NS | nailspotter | nail spotter,Review: Columbia nailspotters currently placed in Corner Tools WC path. Candidate for dedicated Nail Spotters path in future revision.
nailspotters,Nailspotters,70,,FALSE,Nail Spotters,Platinum Drywall Tools,Drywall Finishing Tools > Platinum Drywall Tools > Nail Spotters,,nailspotter | nail spotter | spotters,
nailspotters,Nailspotters,70,,FALSE,Nail Spotters,TapeTech,Drywall Finishing Tools > TapeTech > Nail Spotters,,nailspotter | nail spotter | spotters,
smoothing-blades,Smoothing Blades,80,,FALSE,Knives & Blades,Columbia,Drywall Finishing Tools > Columbia > Knives & Blades,"Fat Boy Smoothing Blades | Sabre Smoothing Blades | Tomahawk Smoothing Blades | Tomalock","FSB7 | FSB10 | FSB12 | FSB14 | FSB16 | FSB18 | FSB24 | FSB32 | FSB40 | FSB48 | SSB7 | SSB10 | SSB12 | SSB14 | SSB16 | SSB18 | SSB24 | SSB32 | SSB40 | SSB48 | TSB7 | TSB10 | TSB12 | TSB14 | TSB18 | TSB24 | TSB32 | TSB40 | TSB48 | CLTHA | smoothing blade | fat boy | sabre blade | tomahawk blade | tomalock",
smoothing-blades,Smoothing Blades,80,,FALSE,Knives & Blades,TapeTech,Drywall Finishing Tools > TapeTech > Knives & Blades,,smoothing blade | skimming blade | finishing blade,
toolsets,Toolsets,90,,FALSE,Tool Sets & Kits,Asgard,Drywall Finishing Tools > Asgard > Tool Sets & Kits,,tool set | tool kit | bundle | drywall kit,
toolsets,Toolsets,90,,FALSE,Tool Sets & Kits,Columbia,Drywall Finishing Tools > Columbia > Tool Sets & Kits,"The Commando Set | The Predator Tactical Set | The Sabre Set | The Tactical Set | The Warrior Set","SACS | PTS | SBSET | TS | TWS | commando set | predator set | sabre set | tactical set | warrior set",
toolsets,Toolsets,90,,FALSE,Tool Sets & Kits,Platinum Drywall Tools,Drywall Finishing Tools > Platinum Drywall Tools > Tool Sets & Kits,,tool set | tool kit | bundle,
toolsets,Toolsets,90,,FALSE,Tool Sets & Kits,TapeTech,Drywall Finishing Tools > TapeTech > Tool Sets & Kits,,tool set | tool kit | bundle,
