Status,Official Model,Catalog SKU,Catalog Name,"Existing GTIN, UPC, EAN, or ISBN","Official GTIN, UPC, EAN, or ISBN",Existing Weight (lbs),Official Weight (lbs),Existing Length (in),Official Length (in),Existing Width (in),Official Width (in),Existing Height (in),Official Height (in),Existing Meta: _dtb_shipping_package_length_cm,Official Meta: _dtb_shipping_package_length_cm,Existing Meta: _dtb_shipping_package_width_cm,Official Meta: _dtb_shipping_package_width_cm,Existing Meta: _dtb_shipping_package_height_cm,Official Meta: _dtb_shipping_package_height_cm,Existing Meta: _dtb_shipping_package_weight_kg,Official Meta: _dtb_shipping_package_weight_kg,Existing Meta: _dtb_shipping_spec_source,Official Meta: _dtb_shipping_spec_source,Existing Meta: _dtb_shipping_spec_model,Official Meta: _dtb_shipping_spec_model,Existing Meta: _dtb_shipping_spec_description,Official Meta: _dtb_shipping_spec_description,Existing Meta: _dtb_shipping_spec_verified,Official Meta: _dtb_shipping_spec_verified,Action,Notes
MATCHED_EXACT_SKU,EZ10TT,EZ10TT,"TapeTech EasyClean® Finishing Box - 10""",873876002610,873876002610,3.3,3.3,12,12,6,6,4,4,,,,,,,,,,,,,,,,,UNCHANGED,Exact normalized SKU and TapeTech brand guard passed.
MATCHED_EXACT_SKU,EZ12TT,EZ12TT,"TapeTech EasyClean® Finishing Box - 12""",873876002627,873876002627,3.85,3.85,14,14,6,6,4,4,,,,,,,,,,,,,,,,,UNCHANGED,Exact normalized SKU and TapeTech brand guard passed.
MATCHED_EXACT_SKU,76TT,76TT,TapeTech EasyClean® Pump - Standard,873876002108,873876002108,9.6,9.6,23.5,23.5,7.5,7.5,6.5,6.5,,,,,,,,,,,,,,,,,UNCHANGED,Exact normalized SKU and TapeTech brand guard passed.
MATCHED_EXACT_SKU,EHC07,EHC07,"TapeTech MaxxBox® High Capacity Finishing Box - 7""",873876002115,873876002115,4,4,9,9,8,8,6,6,,,,,,,,,,,,,,,,,UNCHANGED,Exact normalized SKU and TapeTech brand guard passed.
MATCHED_EXACT_SKU,EHC10,EHC10,"TapeTech MaxxBox® High Capacity Finishing Box - 10""",873876002122,873876002122,4.5,4.5,12,12,8,8,6,6,,,,,,,,,,,,,,,,,UNCHANGED,Exact normalized SKU and TapeTech brand guard passed.
MATCHED_EXACT_SKU,EHC12,EHC12,"TapeTech MaxxBox® High Capacity Finishing Box - 12""",873876002139,873876002139,5,5,14,14,8,8,6,6,,,,,,,,,,,,,,,,,UNCHANGED,Exact normalized SKU and TapeTech brand guard passed.
MATCHED_EXACT_SKU,PAHC07,PAHC07,"TapeTech Power Assist® MaxxBox® Finishing Box - 7""",873876002306,873876002306,4.2,4.2,9,9,8,8,6,6,,,,,,,,,,,,,,,,,UNCHANGED,Exact normalized SKU and TapeTech brand guard passed.
MATCHED_EXACT_SKU,PAHC10,PAHC10,"TapeTech Power Assist® MaxxBox® Finishing Box - 10""",873876002313,873876002313,4.8,4.8,12,12,8,8,6,6,,,,,,,,,,,,,,,,,UNCHANGED,Exact normalized SKU and TapeTech brand guard passed.
MATCHED_EXACT_SKU,PAHC12,PAHC12,"TapeTech Power Assist® MaxxBox® Finishing Box - 12""",873876002320,873876002320,5.2,5.2,14,14,8,8,6,6,,,,,,,,,,,,,,,,,UNCHANGED,Exact normalized SKU and TapeTech brand guard passed.
MATCHED_EXACT_SKU,FHTT,FHTT,TapeTech Support Handle - Fiberglass,873876002726,873876002726,3.3,3.3,45.5,45.5,2.25,2.25,2.25,2.25,,,,,,,,,,,,,,,,,UNCHANGED,Exact normalized SKU and TapeTech brand guard passed.
MATCHED_EXACT_SKU,14TT,14TT,TapeTech MudRunner® Compound Applicator - Standard,873876000371,873876000371,8.75,8.75,65,65,6.5,6.5,6.5,6.5,,,,,,,,,,,,,,,,,UNCHANGED,Exact normalized SKU and TapeTech brand guard passed.
