ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Meta: search_keywords,Meta: seo_title,Meta: seo_description,Meta: seo_canonical,Meta: seo_robots,Meta: seo_focus_keyword,Meta: seo_secondary_keywords,Meta: schema_brand,Meta: schema_mpn,Meta: schema_condition,Meta: _dtb_brand_key,Meta: _dtb_brand_label,Meta: _dtb_product_kind,Meta: _dtb_commerce_mode,Meta: _dtb_category_key,Meta: _dtb_display_category_key,Meta: _dtb_is_parts,Meta: _dtb_parent_product_sku,Meta: _dtb_variation_axis,Meta: _dtb_variation_value,Meta: _dtb_variation_label,Meta: _dtb_default_variation_sku,Meta: _dtb_variation_sort,Meta: _dtb_inherit_parent_image,Meta: _dtb_schematic_brand,Meta: _dtb_schematic_group,Meta: _dtb_schematic_position,Meta: _dtb_replacement_part_for,Meta: _dtb_compatible_tool_skus,Meta: _dtb_validation_status,Meta: _dtb_validation_errors,Meta: _dtb_brand,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _dtb_specs_json,Meta: _includes_0_name,Meta: _includes_0_sku,Meta: _includes_1_name,Meta: _includes_1_sku,Meta: _includes_2_name,Meta: _includes_2_sku,Meta: _includes_3_name,Meta: _includes_3_sku,Meta: _includes_4_name,Meta: _includes_4_sku,Meta: _includes_5_name,Meta: _includes_5_sku,Meta: _includes_6_name,Meta: _includes_6_sku,Meta: _includes_7_name,Meta: _includes_7_sku,Meta: _includes_8_name,Meta: _includes_8_sku,Meta: _includes_9_name,Meta: _includes_9_sku,Meta: _includes_10_name,Meta: _includes_10_sku,Meta: _includes_11_name,Meta: _includes_11_sku,Meta: _includes_12_name,Meta: _includes_12_sku,Meta: _includes_13_name,Meta: _includes_13_sku,Meta: _includes_14_name,Meta: _includes_14_sku
,variation,CLT55,,"Columbia Cam Lock Tube - 55""",1,0,visible,"The Columbia Cam Lock Tube - 55"" is a professional-grade compound applicator featuring a secure firehose-style connection for reliable drywall finishing. Its durable, precision-machined design ensures consistent flow and simplified maintenance for high-pressure taping tasks.","<p>Columbia Cam Lock Tube - 55"" provides a robust solution for professional drywall compound application, engineered for high-pressure performance and long-term reliability. This applicator utilizes a secure, firehose-style locking mechanism that ensures a positive connection, preventing accidental disconnections during demanding taping tasks. Built for the rigors of daily job site use, the tube balances high-grade aluminum and steel construction to deliver consistent flow and precise control for semi-automatic finishing workflows. <h3>Features:</h3><ul><li><strong>Secure Cam Lock System:</strong> Utilizes brass cams and a stainless steel lock ring to maintain a reliable, firehose-style connection under pressure.</li><li><strong>Quick-Clean Design:</strong> Features a rapid-remove bottom cap, allowing for efficient maintenance and the prevention of compound buildup.</li><li><strong>Premium Materials:</strong> Hand-assembled with high-grade U.S. aluminum and steel to ensure optimal weight balance and structural durability.</li><li><strong>Precision Engineering:</strong> Manufactured with tight tolerances to provide smooth mechanical action and consistent output during extended use.</li></ul></p>",,,taxable,,1,,,0,0,,,,,0,,,220.00,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_clt24_01.webp,,,COL-CAM-LOCK-TUBE,,,,,,4,Columbia Tools,Size,"55""",1,0,,"Columbia, Cam Lock Tube, 55 inch, drywall tool, compound applicator, taping, finishing, drywall, construction, professional","Columbia Cam Lock Tube 55"" | Professional Drywall Applicator",The 55-inch Columbia Cam Lock Tube offers a secure firehose-style connection and durable aluminum construction for professional drywall finishing.,/product/columbia-cam-lock-tube-55-inch/,"index, follow",Columbia Cam Lock Tube 55 inch,"drywall compound tube, taping tool, drywall finishing applicator, cam lock compound tube, Columbia drywall tools",Columbia Tools,CLT55,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-CAM-LOCK-TUBE,Size,"55""","55""",,4,1,,,,,,official-brand-catalog-price-validated,,Columbia Tools,,,,,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""CLT55""},{""label"":""Model"",""value"":""CLT55""},{""label"":""Size"",""value"":""55\""""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,CMH,,Columbia Closet Monster Handle,1,0,visible,"The Columbia Closet Monster Handle is a 19-inch specialized tool engineered for precision drywall finishing in tight spaces like closets and behind scaffolding. Its compact, durable design features a manual wing-nut locking system for consistent control in restricted areas.","<h3>Columbia Closet Monster Handle</h3><p>The Columbia Closet Monster Handle is a precision-engineered tool designed for drywall professionals who require maneuverability in restricted environments. Measuring 19 inches, this handle provides the necessary leverage for finishing closets, narrow corridors, and areas obstructed by scaffolding where standard-length handles are impractical.</p><p>This unit replaces conventional brake systems with a reliable, adjustable wing-nut mechanism. This allows for precise, manual locking of the flat box at any required angle, ensuring consistent mud application and professional results in tight quarters.</p><h3>Features:</h3><ul><li><strong>Compact 19-Inch Design:</strong> Optimized for high-performance finishing in confined spaces and restricted job site areas.</li><li><strong>180-Degree Grip Head:</strong> Utilizes the signature Columbia head architecture for smooth, consistent pressure distribution.</li><li><strong>Manual Wing-Nut Locking:</strong> Provides a secure, fixed-angle setting for the flat box, eliminating the need for traditional brake components.</li><li><strong>Commercial-Grade Durability:</strong> Constructed to withstand the rigors of daily professional use, matching the build quality of full-sized Columbia equipment.</li></ul>",,,taxable,,1,,,0,0,,,,,0,,,115.00,Drywall Finishing Tools > Columbia Tools > Flat Box Handles,"Columbia,Drywall Finishing Tools",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_cmh_01.webp,,,,,,,,,0,Columbia Tools,,,,,,"Columbia, Closet Monster, drywall handle, flat box handle, 19 inch handle, drywall finishing, CMH",Columbia Closet Monster Handle | 19-Inch Drywall Tool,"The 19-inch Columbia Closet Monster Handle offers professional control for drywall finishing in tight spaces. Durable, compact, and easy to adjust.",/product/columbia-closet-monster-handle-cmh/,"index, follow",Columbia Closet Monster Handle,"drywall flat box handle, 19 inch drywall handle, closet drywall tool, drywall finishing handle, Columbia drywall tools",Columbia Tools,CMH,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,flat-box-handles,flat-box-handles,0,,,,,,,0,,,,,,official-brand-catalog-price-validated,,Columbia Tools,,,,,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""CMH""},{""label"":""Model"",""value"":""CMH""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,COL-COMBO-FLUSHER,,Columbia Combo Flusher,1,0,visible,"The Columbia Combo Flusher is a precision-engineered angle finishing tool featuring hand-ground surfaces and a removable wheel system for customizable performance. Built from high-grade U.S. aluminum and steel, it delivers consistent results for professional drywall contractors.","<h3>Professional Angle Finishing</h3><p>Columbia Combo Flusher provides the precision required for high-end drywall finishing. Each unit is manufactured in a Canadian facility using premium U.S. aluminum and steel, ensuring the durability necessary for daily job site use. Every blade is hand-ground and verified on a granite plate to guarantee a perfectly flat surface, resulting in consistent, professional-grade corner finishes.</p><h3>Versatile Operation</h3><p>The integrated wheel system minimizes friction during application, allowing for smoother passes and reduced operator fatigue. For contractors who prefer a traditional feel, the wheels are easily removable using the included allen key. This tool is engineered to handle the rigorous demands of professional drywall contractors, offering reliable performance across various joint configurations.</p><h3>Features</h3><ul><li><strong>Precision Ground:</strong> Each flusher is hand-finished and tested on a granite plate for maximum accuracy.</li><li><strong>Durable Construction:</strong> Built with high-grade U.S. aluminum and steel components for long-term reliability.</li><li><strong>Removable Wheels:</strong> Includes a wheel system for reduced friction, with an allen key provided for quick removal.</li><li><strong>Configuration Options:</strong> Available in 2.5"", 3"", 3"" Widetrack, and 3.5"" sizes to accommodate specific project requirements.</li></ul>",,,taxable,,1,,,0,0,,,,,0,,,,Drywall Finishing Tools > Columbia Tools > Corner Flushers,"Columbia,Drywall Finishing Tools",,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_tools_2_5csf_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_tools_3csf_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_3wtdf_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_tools_3_5csf_01.webp",,,,,,,,,8,Columbia Tools,Size,"2.5"", 3"", 3"" Widetrack, 3.5""",1,0,"2.5""","Columbia Combo Flusher, drywall corner tool, angle flusher, drywall finishing, corner finishing, drywall tools, professional drywall equipment",Columbia Combo Flusher | Professional Drywall Angle Tool,"Achieve flawless corner finishes with the Columbia Combo Flusher. Features hand-ground precision, removable wheels, and durable U.S. steel construction.",/product/columbia-combo-flusher-angle-finishing-tool/,"index, follow",Columbia Combo Flusher,"drywall corner flusher, angle finishing tool, drywall finishing tools, corner finisher, drywall taping tools",Columbia Tools,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,corner-flushers,corner-flushers,0,,,,,2.5CSF,,0,,,,,,official-brand-catalog-validated,,Columbia Tools,,,,,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""COL-COMBO-FLUSHER""},{""label"":""Size"",""value"":""2.5\"", 3\"", 3\"" Widetrack, 3.5\""""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,2.5CSF,,"Columbia Combo Flusher - 2.5""",0,0,hidden,"The Columbia Combo Flusher - 2.5"" is a precision-engineered angle finishing tool featuring hand-ground surfaces for flawless corner work. Its versatile design includes removable wheels, allowing contractors to switch between wheeled and traditional finishing styles.","<h3>Professional Drywall Finishing Precision</h3><p>Columbia Combo Flusher - 2.5"" provides the exacting standards required for high-end drywall finishing. Each unit is individually hand-ground and verified on a granite surface plate to guarantee a perfectly flat finish, eliminating common imperfections in corner work. Manufactured in Canada using premium U.S. aluminum and steel, this tool is built to withstand the daily rigors of professional job sites.</p><p>The design features an integrated wheel system that minimizes friction for a smoother, more consistent pass. For contractors who prefer a traditional, non-wheeled feel, the wheels can be quickly removed using the provided allen key, offering a customizable experience tailored to your specific finishing technique.</p><h3>Features</h3><ul><li><strong>Hand-Ground Accuracy:</strong> Each blade is precision-ground and tested for flatness to ensure professional-grade results.</li><li><strong>Durable Construction:</strong> Fabricated from high-grade U.S. aluminum and steel components for maximum longevity.</li><li><strong>Adaptable Design:</strong> Includes a removable wheel system, allowing for both wheeled and traditional finishing styles.</li><li><strong>Canadian Manufacturing:</strong> Engineered and produced in a state-of-the-art facility to meet strict quality control standards.</li></ul>",,,taxable,,1,,,0,0,,,,,0,,,,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_tools_2_5csf_01.webp,,,COL-COMBO-FLUSHER,,,,,,1,Columbia Tools,Size,"2.5""",1,0,,"Columbia Combo Flusher, 2.5 inch flusher, drywall corner tool, angle head, drywall finishing equipment, professional drywall tools","Columbia Combo Flusher 2.5"" | Professional Drywall Tool","Achieve flawless corner finishes with the 2.5"" Columbia Combo Flusher. Features hand-ground precision and removable wheels for a custom feel.",/product/columbia-combo-flusher-2-5-inch/,"index, follow",Columbia Combo Flusher 2.5 inch,"drywall angle flusher, corner finishing tool, drywall finishing, Columbia Taping Tools",Columbia Tools,2.5CSF,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-COMBO-FLUSHER,Size,"2.5""","2.5""",,1,0,,,,,,official-brand-catalog-validated,,Columbia Tools,,,,,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""2.5CSF""},{""label"":""Model"",""value"":""2.5CSF""},{""label"":""Size"",""value"":""2.5\""""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,3CSF,,"Columbia Combo Flusher - 3""",1,0,visible,"The 3"" Columbia Combo Flusher offers professional-grade precision with a hand-ground surface for flawless corner finishing. Its durable aluminum and steel construction features a removable wheel system for customizable operation.","<p>Columbia Combo Flusher - 3"" provides professional-grade precision for drywall corner finishing, engineered to meet the rigorous demands of high-volume contractors. Each unit is meticulously hand-ground and verified on a granite plate to ensure a perfectly flat surface, resulting in consistent, high-quality finishes across every joint. Built from durable U.S. aluminum and steel, this tool is designed for long-term reliability in demanding job site environments. The integrated wheel system reduces friction for smoother operation, while the included allen key allows for quick removal for those who prefer a traditional, wheel-free feel. <h3>Features:</h3><ul><li><strong>Precision Engineering:</strong> Every blade is hand-ground and checked against a granite plate for absolute flatness and accuracy.</li><li><strong>Premium Construction:</strong> Manufactured with high-grade U.S. aluminum and steel components for maximum durability.</li><li><strong>Removable Wheel System:</strong> Integrated wheels minimize friction during use and can be easily removed with the provided allen key.</li><li><strong>Professional Performance:</strong> Designed for consistent, flawless corner finishing in demanding drywall applications.</li></ul></p>",,,taxable,,1,,,0,0,,,,,0,,,150.00,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_tools_3csf_01.webp,,,COL-COMBO-FLUSHER,,,,,,2,Columbia Tools,Size,"3""",1,0,,"Columbia 3 inch flusher, drywall corner tool, angle head, drywall finishing, professional drywall tools, 3CSF","Columbia Combo Flusher 3"" | Professional Drywall Tool","Achieve flawless corner finishes with the 3"" Columbia Combo Flusher. Features hand-ground precision, durable U.S. steel, and a removable wheel system.",/product/columbia-combo-flusher-3-inch/,"index, follow",Columbia Combo Flusher 3 inch,"drywall angle finisher, corner finishing tool, drywall taping tools, Columbia Taping Tools, drywall flusher",Columbia Tools,3CSF,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-COMBO-FLUSHER,Size,"3""","3""",,2,0,,,,,,official-brand-catalog-price-validated,,Columbia Tools,,,,,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""3CSF""},{""label"":""Model"",""value"":""3CSF""},{""label"":""Size"",""value"":""3\""""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,3WTCSF,,"Columbia Combo Flusher - 3"" Widetrack",0,0,hidden,"The Columbia Combo Flusher 3"" Widetrack is a precision-engineered drywall tool featuring hand-ground surfaces for flawless corner finishing. Its durable aluminum and steel construction includes a removable wheel system for versatile operation.","<p>Columbia Combo Flusher - 3"" Widetrack provides professional-grade precision for drywall angle finishing. Each unit is individually hand-ground and verified on a granite plate to ensure a perfectly flat surface, delivering consistent results in demanding corner applications. Manufactured in Canada using high-grade U.S. aluminum and steel, this tool is built to withstand the rigors of daily job site use while maintaining structural integrity. The integrated wheel system minimizes friction for smooth operation, though the wheels can be easily removed with the provided allen key for those who prefer a traditional, non-wheeled finish. <h3>Features:</h3><ul><li><strong>Precision Ground:</strong> Every blade is hand-finished and tested on a granite plate to guarantee absolute flatness and accuracy.</li><li><strong>Durable Construction:</strong> Fabricated from premium U.S. aluminum and steel components for long-term reliability.</li><li><strong>Adaptable Design:</strong> Features a removable wheel system that allows for both smooth-glide operation and traditional manual finishing.</li><li><strong>Professional Grade:</strong> Engineered specifically for high-volume drywall contractors requiring consistent, high-quality corner joints.</li></ul></p>",,,taxable,,1,,,0,0,,,,,0,,,,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_3wtdf_01.webp,,,COL-COMBO-FLUSHER,,,,,,3,Columbia Tools,Size,"3"" Widetrack",1,0,,"3WTCSF, Columbia Combo Flusher, 3 inch Widetrack, drywall corner tool, angle head, drywall finishing, taping tool","Columbia 3"" Widetrack Combo Flusher | Professional Drywall Tool","Achieve perfect corner finishes with the Columbia 3"" Widetrack Combo Flusher. Features hand-ground precision and a removable wheel system for versatility.",/product/columbia-combo-flusher-3-inch-widetrack-3wtcsf/,"index, follow",Columbia 3 inch Widetrack Combo Flusher,"drywall angle finisher, corner finishing tool, drywall taping tools, Columbia Taping Tools, 3 inch flusher",Columbia Tools,3WTCSF,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-COMBO-FLUSHER,Size,"3"" Widetrack","3"" Widetrack",,3,1,,,,,,official-brand-catalog-validated,,Columbia Tools,,,,,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""3WTCSF""},{""label"":""Model"",""value"":""3WTCSF""},{""label"":""Size"",""value"":""3\"" Widetrack""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,3.5CSF,,"Columbia Combo Flusher - 3.5""",0,0,hidden,"The 3.5"" Columbia Combo Flusher is a precision-engineered drywall tool featuring hand-ground surfaces for flawless corner finishing. Its durable aluminum and steel construction includes a removable wheel system for versatile, smooth operation.","<p>Columbia Combo Flusher - 3.5"" provides professional-grade precision for drywall corner finishing, engineered to meet the high-volume demands of commercial contractors. Each unit is meticulously hand-ground and verified on a granite plate to ensure a perfectly flat surface, resulting in consistent, high-quality finishes across every joint. Manufactured in Canada using premium U.S. aluminum and steel, this tool is built for long-term durability in rugged job site environments. The integrated wheel system minimizes friction for smooth, effortless operation, while the included allen key allows for quick wheel removal for those who prefer a traditional, non-wheeled feel. <h3>Features:</h3><ul><li><strong>Precision Ground:</strong> Each flusher is hand-finished and verified for absolute flatness to ensure seamless corner application.</li><li><strong>Durable Construction:</strong> Fabricated from high-grade U.S. aluminum and steel components for maximum longevity.</li><li><strong>Adaptable Design:</strong> Features a removable wheel system that allows users to switch between wheeled and traditional finishing styles.</li><li><strong>Professional Reliability:</strong> Engineered in a state-of-the-art facility to withstand the rigors of daily professional use.</li></ul></p>",,,taxable,,1,,,0,0,,,,,0,,,,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_tools_3_5csf_01.webp,,,COL-COMBO-FLUSHER,,,,,,4,Columbia Tools,Size,"3.5""",1,0,,"Columbia Combo Flusher, 3.5 inch flusher, drywall corner tool, angle head, drywall finishing, professional drywall tools","Columbia Combo Flusher 3.5"" | Professional Drywall Tool","Achieve flawless corner finishes with the 3.5"" Columbia Combo Flusher. Features hand-ground precision, durable steel construction, and removable wheels.",/product/columbia-combo-flusher-3-5/,"index, follow",Columbia Combo Flusher 3.5,"drywall angle finisher, corner flusher, drywall finishing tool, Columbia Taping Tools",Columbia Tools,3.5CSF,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-COMBO-FLUSHER,Size,"3.5""","3.5""",,4,0,,,,,,official-brand-catalog-validated,,Columbia Tools,,,,,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""3.5CSF""},{""label"":""Model"",""value"":""3.5CSF""},{""label"":""Size"",""value"":""3.5\""""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,COL-COMPOUND-TUBE,,Columbia Compound Tube,1,0,visible,"The Columbia Compound Tube is a precision-machined, semi-automatic applicator designed to reduce contractor fatigue and ensure consistent compound flow. Built from high-grade aluminum and steel, it offers reliable performance for demanding drywall finishing tasks.","<p>Columbia Compound Tube provides professional drywall contractors with a high-performance, semi-automatic solution for efficient joint compound application. Engineered to minimize physical exertion, this tool ensures a consistent flow rate when paired with standard finishing heads, significantly improving productivity on large-scale projects. Each unit is manufactured in Canada using premium US aluminum and steel, resulting in a robust build that withstands the rigors of daily job site use. The internal architecture is specifically designed to reduce friction, allowing for smooth, reliable operation throughout the workday. <h3>Features:</h3><ul><li><strong>Optimized Flow Mechanics:</strong> Internal components are engineered to reduce resistance, ensuring smooth compound delivery with minimal effort.</li><li><strong>Industrial-Grade Materials:</strong> Built with high-grade US aluminum and stainless steel for maximum durability and corrosion resistance.</li><li><strong>Precision Engineering:</strong> Each tube is hand-assembled and precision-machined in Canada to guarantee a superior fit and consistent performance.</li><li><strong>Application Versatility:</strong> Available in 24"", 32"", 42"", and 55"" lengths to accommodate various ceiling heights and reach requirements.</li></ul></p>",,,taxable,,1,,,0,0,,,,,0,,,,Drywall Finishing Tools > Columbia Tools > Semi-Automatic Tools,"Columbia,Drywall Finishing Tools",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_cmt24_01.webp,,,,,,,,,21,Columbia Tools,Size,"24"", 32"", 42"", 55""",1,0,"24""","Columbia, drywall applicator, compound tube, drywall finishing, mud tube, semi-automatic tool, drywall contractor equipment",Columbia Compound Tube | Professional Drywall Applicator,"Professional-grade Columbia Compound Tube for efficient drywall finishing. Precision-machined aluminum and steel construction for reliable, smooth flow.",/product/columbia-compound-tube-drywall-applicator/,"index, follow",Columbia Compound Tube,"drywall finishing tools, semi-automatic compound applicator, drywall mud tube, professional drywall tools",Columbia Tools,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,semi-automatic-tools,semi-automatic-tools,0,,,,,CMT24,,0,,,,,,official-brand-catalog-validated,,Columbia Tools,,,,,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""COL-COMPOUND-TUBE""},{""label"":""Size"",""value"":""24\"", 32\"", 42\"", 55\""""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,CMT24,,"Columbia Compound Tube - 24""",1,0,visible,"The Columbia Compound Tube - 24"" is a precision-engineered applicator designed for smooth, low-friction compound delivery. Built for professional drywallers, it combines durable US aluminum construction with reliable Canadian craftsmanship.","<h3>Columbia Compound Tube - 24""</h3><p>Columbia Compound Tube - 24"" provides professional drywall contractors with a reliable, semi-automatic solution for efficient compound application. Designed to reduce physical fatigue during extended finishing tasks, this tool ensures consistent material flow across a variety of finishing heads.</p><p>Built with high-grade US aluminum and robust steel components, this unit is precision-machined in Canada to withstand the rigors of daily job site use. The internal architecture is engineered to minimize friction, allowing for smooth, controlled delivery that improves overall workflow speed.</p><h3>Features:</h3><ul><li><strong>Optimized Mechanics:</strong> Internal design reduces resistance, ensuring smooth compound delivery with minimal operator effort.</li><li><strong>Rugged Build:</strong> Constructed with premium US aluminum and a stainless steel ball for long-term durability.</li><li><strong>Precision Engineering:</strong> Each unit is hand-assembled in a Canadian facility to guarantee high-quality fit and finish.</li><li><strong>Extended Reach:</strong> The 24"" length is ideal for standard wall and ceiling applications, part of a versatile range of available sizes.</li></ul>",,,taxable,,1,,,0,0,,,,,0,,,158.00,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_cmt24_01.webp,,,COL-COMPOUND-TUBE,,,,,,1,Columbia Tools,Size,"24""",1,0,,"Columbia Compound Tube, 24 inch compound tube, drywall applicator, drywall finishing, taping tool, CMT24","Columbia Compound Tube 24"" | Pro Drywall Finishing Tool","The 24"" Columbia Compound Tube offers professional-grade, low-friction drywall compound application. Durable, precision-machined, and built for efficiency.",/product/columbia-compound-tube-24/,"index, follow","Columbia Compound Tube 24""","drywall finishing tool, compound applicator, drywall taping tool, professional drywall equipment",Columbia Tools,CMT24,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-COMPOUND-TUBE,Size,"24""","24""",,1,1,,,,,,official-brand-catalog-price-validated,,Columbia Tools,,,,,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""CMT24""},{""label"":""Model"",""value"":""CMT24""},{""label"":""Size"",""value"":""24\""""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,CMT32,,"Columbia Compound Tube - 32""",1,0,visible,"The Columbia Compound Tube - 32"" is a professional-grade applicator designed for smooth, low-resistance compound delivery. Built with premium US aluminum, it offers contractors a durable and efficient tool for high-volume drywall finishing.","<h3>Columbia Compound Tube - 32""</h3><p>Columbia Compound Tube - 32"" provides professional drywall contractors with a reliable, semi-automatic solution for efficient compound application. Engineered to reduce operator fatigue, this tool ensures consistent material flow across various finishing heads, streamlining the taping and finishing process.</p><p>Built with high-grade US aluminum and robust steel components, this unit is precision-machined in Canada to withstand the rigors of daily job site use. The internal architecture is specifically designed to minimize friction, allowing for smooth, controlled delivery of joint compound.</p><h3>Features:</h3><ul><li><strong>Optimized Flow:</strong> Internal mechanics are engineered for low-resistance compound delivery, ensuring consistent output.</li><li><strong>Rugged Build:</strong> Constructed with premium US aluminum and a stainless steel ball for long-term durability.</li><li><strong>Precision Engineering:</strong> Each unit is hand-assembled in Canada to maintain strict quality standards and a superior fit.</li><li><strong>Extended Reach:</strong> The 32-inch length provides an ideal balance of capacity and maneuverability for standard ceiling heights.</li></ul>",,,taxable,,1,,,0,0,,,,,0,,,167.00,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_cmt24_01.webp,,,COL-COMPOUND-TUBE,,,,,,2,Columbia Tools,Size,"32""",1,0,,"Columbia, compound tube, 32 inch, drywall finishing, taping tool, applicator, drywall contractor, CMT32","Columbia Compound Tube - 32"" | Professional Drywall Tool","The 32-inch Columbia Compound Tube offers professional drywallers a durable, low-friction applicator for efficient, semi-automatic compound delivery.",/product/columbia-compound-tube-32/,"index, follow",Columbia Compound Tube 32 inch,"drywall finishing tool, compound applicator, drywall taping tool, semi-automatic drywall tube",Columbia Tools,CMT32,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-COMPOUND-TUBE,Size,"32""","32""",,2,1,,,,,,official-brand-catalog-price-validated,,Columbia Tools,,,,,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""CMT32""},{""label"":""Model"",""value"":""CMT32""},{""label"":""Size"",""value"":""32\""""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
