product_id,sellable_id,sku_code,product_title,sellable_title,full_title,recommended_sellable_title
353658831,716872773,TTBTS,TapeTech Basic Taping Set,TapeTech Basic Taping Set,TapeTech Basic Taping Set TapeTech Basic Taping Set,Standard
353658827,716872770,TTBBS,TapeTech Basic Box Set,TapeTech Basic Box Set,TapeTech Basic Box Set TapeTech Basic Box Set,Standard
353658825,716872768,ATX01TT,TapeTech Automatic Taper Extension,TapeTech Automatic Taper Extension,TapeTech Automatic Taper Extension TapeTech Automatic Taper Extension,Standard
353658817,716872758,NS02WX1HDL,"TapeTech 2"" Nail Spotter with X1 Extension Handle","TapeTech 2"" Nail Spotter with X1 Extension Handle","TapeTech 2"" Nail Spotter with X1 Extension Handle TapeTech 2"" Nail Spotter with X1 Extension Handle",Standard
353658793,716872725,TTSFS-2,TapeTech Standard Full Set - With 2 Pumps,TapeTech Standard Full Set - With 2 Pumps,TapeTech Standard Full Set - With 2 Pumps TapeTech Standard Full Set - With 2 Pumps,Standard
353658791,716872723,TTSFS,TapeTech Standard Full Set - Standard,TapeTech Standard Full Set - Standard,TapeTech Standard Full Set - Standard TapeTech Standard Full Set - Standard,Standard
353658578,716872281,PT-GN,Platinum Gooseneck,Platinum Gooseneck,Platinum Gooseneck Platinum Gooseneck,Standard
353658574,716872275,PT-TP,Platinum Semi Automatic Drywall Taper,Platinum Semi Automatic Drywall Taper,Platinum Semi Automatic Drywall Taper Platinum Semi Automatic Drywall Taper,Standard
353658571,716872272,PT-AICA,Platinum 4 Wheel Inside Angle / Corner Applicator,Platinum 4 Wheel Inside Angle / Corner Applicator,Platinum 4 Wheel Inside Angle / Corner Applicator Platinum 4 Wheel Inside Angle / Corner Applicator,Standard
353658566,716872265,PT-MNBH,Platinum Mini Box Handle,Platinum Mini Box Handle,Platinum Mini Box Handle Platinum Mini Box Handle,Standard
353658546,716872241,PT-EBH,"Platinum Extendable Flat Box Handle 40"" – 64""","Platinum Extendable Flat Box Handle 40"" – 64""","Platinum Extendable Flat Box Handle 40"" – 64"" Platinum Extendable Flat Box Handle 40"" – 64""",Standard
353658544,716872236,PT-EXT3IN1-1,Platinum Extendable Angle Head Handle,Platinum Extendable Angle Head Handle,Platinum Extendable Angle Head Handle Platinum Extendable Angle Head Handle,Standard
353658538,716872232,PT-FIN,Platinum Drywall Starter Finishing Set,Platinum Drywall Starter Finishing Set,Platinum Drywall Starter Finishing Set Platinum Drywall Starter Finishing Set,Standard
353658531,716872224,PT-CP,Platinum Drywall Pump w/Filler,Platinum Drywall Pump w/Filler,Platinum Drywall Pump w/Filler Platinum Drywall Pump w/Filler,Standard
353658524,716872218,PT-BF,Platinum Box Filler Attachment,Platinum Box Filler Attachment,Platinum Box Filler Attachment Platinum Box Filler Attachment,Standard
353658517,716872206,PT-CA8,"Platinum 8"" Corner Applicator","Platinum 8"" Corner Applicator","Platinum 8"" Corner Applicator Platinum 8"" Corner Applicator",Standard
353658500,716872170,PT-FA,"Platinum 4"" Flat Applicator","Platinum 4"" Flat Applicator","Platinum 4"" Flat Applicator Platinum 4"" Flat Applicator",Standard
353658444,716872089,4-677P,LEVEL5 The Ultimate Taping & Finishing Set,LEVEL5 The Ultimate Taping & Finishing Set,LEVEL5 The Ultimate Taping & Finishing Set LEVEL5 The Ultimate Taping & Finishing Set,Standard
353658441,716872085,4-630,LEVEL5 The Starter Taping Set,LEVEL5 The Starter Taping Set,LEVEL5 The Starter Taping Set LEVEL5 The Starter Taping Set,Standard
353658439,716872082,4-661P,LEVEL5 The Full Taping Set w/ Ext. Handles & MiniShot,LEVEL5 The Full Taping Set w/ Ext. Handles & MiniShot,LEVEL5 The Full Taping Set w/ Ext. Handles & MiniShot LEVEL5 The Full Taping Set w/ Ext. Handles & MiniShot,Standard
353658430,716872072,4-746,LEVEL5 Outside Corner Tool,LEVEL5 Outside Corner Tool,LEVEL5 Outside Corner Tool LEVEL5 Outside Corner Tool,Standard
353658428,716872067,4-773,LEVEL5 MiniShot Ext. Handle,LEVEL5 MiniShot Ext. Handle,LEVEL5 MiniShot Ext. Handle LEVEL5 MiniShot Ext. Handle,Standard
353658424,716872062,4-772,LEVEL5 MiniShot,LEVEL5 MiniShot,LEVEL5 MiniShot LEVEL5 MiniShot,Standard
353658420,716872057,4-714,LEVEL5 Gooseneck,LEVEL5 Gooseneck,LEVEL5 Gooseneck LEVEL5 Gooseneck,Standard
353658413,716872047,4-687P,LEVEL5 Finishing Set w/ Ext. Handles & MiniShot,LEVEL5 Finishing Set w/ Ext. Handles & MiniShot,LEVEL5 Finishing Set w/ Ext. Handles & MiniShot LEVEL5 Finishing Set w/ Ext. Handles & MiniShot,Standard
353658412,716872044,5-311,LEVEL5 Drywall Banjo,LEVEL5 Drywall Banjo,LEVEL5 Drywall Banjo LEVEL5 Drywall Banjo,Standard
353658409,716872039,4-707,LEVEL5 Corner Roller,LEVEL5 Corner Roller,LEVEL5 Corner Roller LEVEL5 Corner Roller,Standard
353658405,716872023,4-741,LEVEL5 Compound Tube,LEVEL5 Compound Tube,LEVEL5 Compound Tube LEVEL5 Compound Tube,Standard
353658400,716872011,4-771,LEVEL5 Compound Pump,LEVEL5 Compound Pump,LEVEL5 Compound Pump LEVEL5 Compound Pump,Standard
353658395,716872002,4-715,LEVEL5 Box Filler,LEVEL5 Box Filler,LEVEL5 Box Filler LEVEL5 Box Filler,Standard
353658390,716871996,4-760,LEVEL5 Automatic Taper,LEVEL5 Automatic Taper,LEVEL5 Automatic Taper LEVEL5 Automatic Taper,Standard
353658379,716871977,4-792,"LEVEL5 31""- 50"" Corner Roller/Nail Spotter Handle","LEVEL5 31""- 50"" Corner Roller/Nail Spotter Handle","LEVEL5 31""- 50"" Corner Roller/Nail Spotter Handle LEVEL5 31""- 50"" Corner Roller/Nail Spotter Handle",Standard
