model,tool_name,official_reference_type,official_reference_url,official_note,local_image_prefix
EZ10TT,10in EasyClean Box,operation guide pdf,https://tapetech.com/wp-content/uploads/2022/07/EZ10TT_OG.pdf,"Official TapeTech EasyClean box operation guide covering the EZ box family.",ez10tt_
EZ12TT,12in EasyClean Box,official catalog,https://tapetech.com/wp-content/uploads/2026/01/TapeTech-Product-Catalog_ENG_web.pdf,"Official TapeTech 2026 catalog; EasyClean Boxes section is listed on page 24 in the table of contents.",ez12tt_
EZ15TT,15in EasyClean Box,official catalog,https://tapetech.com/wp-content/uploads/2026/01/TapeTech-Product-Catalog_ENG_web.pdf,"Official TapeTech 2026 catalog; EasyClean Boxes section is listed on page 24 in the table of contents.",ez15tt_
NS02TT,2in EasyClean Nail Spotter,official catalog,https://tapetech.com/wp-content/uploads/2026/01/TapeTech-Product-Catalog_ENG_web.pdf,"Official TapeTech 2026 catalog; Nail Spotters section is listed on page 18 in the table of contents.",ns02tt_
NS03TT,3in EasyClean Nail Spotter,official catalog,https://tapetech.com/wp-content/uploads/2026/01/TapeTech-Product-Catalog_ENG_web.pdf,"Official TapeTech 2026 catalog; Nail Spotters section is listed on page 18 in the table of contents.",ns03tt_
PAHC07,7in Power Assist MaxxBox,operation guide pdf,https://tapetech.com/wp-content/uploads/2022/07/PAHC07_OG.pdf,"Official TapeTech Power Assist box operation guide covering PAHC07, PAHC10, and PAHC12.",pahc07_
PAHC10,10in Power Assist MaxxBox,operation guide pdf,https://tapetech.com/wp-content/uploads/2022/07/PAHC07_OG.pdf,"Official TapeTech Power Assist box operation guide covering PAHC07, PAHC10, and PAHC12.",pahc10_
PAHC12,12in Power Assist MaxxBox,operation guide pdf,https://tapetech.com/wp-content/uploads/2022/07/PAHC07_OG.pdf,"Official TapeTech Power Assist box operation guide covering PAHC07, PAHC10, and PAHC12.",pahc12_
QB06-QSX,6.25in QuickBox QSX,operation guide pdf,https://tapetech.com/wp-content/uploads/2022/07/QB06-QSX_OG.pdf,"Official TapeTech QuickBox QSX operation guide covering the 6.25in model.",qb06-qsx_
QB08-QSX,8.5in QuickBox QSX,operation guide pdf,https://tapetech.com/wp-content/uploads/2022/07/QB08-QSX_OG.pdf,"Official TapeTech QuickBox QSX operation guide covering the 8.5in model.",qb08-qsx_
XHTT,Universal Extension Handle,official catalog,https://tapetech.com/wp-content/uploads/2026/01/TapeTech-Product-Catalog_ENG_web.pdf,"Official TapeTech 2026 catalog; handle/support sections are the best official real-world reference currently surfaced for XHTT.",xhtt_
