Brands,SKU,MPN,Name,Description,Short description,Categories
Columbia Taping Tools,CT78,CT78,Columbia Taper Drive Chain,<p>Columbia Taper Drive Chain</p>,Columbia Taper Drive Chain...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,CT79,CT79,Columbia Taper Hollow Shaft,<p>Columbia Taper Hollow Shaft</p>,Columbia Taper Hollow Shaft...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,CT7A,CT7A,Columbia Taper Side Plate Hub,<p>Columbia Taper Side Plate Hub</p>,Columbia Taper Side Plate Hub...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,CT8,CT8,Columbia Taper Side Plate Support Right,<p>Columbia Taper Side Plate Support Right</p>,Columbia Taper Side Plate Support Right...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,CT81,CT81,Columbia Taper Clutch Return Spring,<p>Columbia Taper Clutch Return Spring</p>,Columbia Taper Clutch Return Spring...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,CT85,CT85,Columbia Taper Clutch Release Shaft,<p>Columbia Taper Clutch Release Shaft</p>,Columbia Taper Clutch Release Shaft...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,CT86,CT86,Columbia Taper Toe Kicker Cable,<p>Columbia Taper Toe Kicker Cable</p>,Columbia Taper Toe Kicker Cable...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,CT87A,CT87A,Columbia Taper Bracket Base,<p>Columbia Taper Bracket Base</p>,Columbia Taper Bracket Base...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,CT87CS,CT87CS,Columbia Cover Plate Cork Seal,<p>Columbia Cover Plate Cork Seal</p>,Columbia Cover Plate Cork Seal...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,CT88,CT88,Columbia Taper Clutch Release Rod,<p>Columbia Taper Clutch Release Rod</p>,Columbia Taper Clutch Release Rod...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,CT89,CT89,Columbia Taper Release Rod Sleeve,<p>Columbia Taper Release Rod Sleeve</p>,Columbia Taper Release Rod Sleeve...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,CT92,CT92,Columbia Taper Release Clip,<p>Columbia Taper Release Clip</p>,Columbia Taper Release Clip...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,CT92A,CT92A,Columbia Taper L Clip,<p>Columbia Taper L Clip</p>,Columbia Taper L Clip...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,CT93,CT93,Columbia Taper Mud Shut Off Lever Arm,<p>Columbia Taper Mud Shut Off Lever Arm</p>,Columbia Taper Mud Shut Off Lever Arm...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,CT94,CT94,Columbia Taper Mud Shut Off Upper Plate,<p>Columbia Taper Mud Shut Off Upper Plate</p>,Columbia Taper Mud Shut Off Upper Plate...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,CT95,CT95,Columbia Taper Control Valve,<p>Columbia Taper Control Valve</p>,Columbia Taper Control Valve...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,CT96,CT96,Columbia Taper Mud Shut Off Gasket,<p>Columbia Taper Mud Shut Off Gasket</p>,Columbia Taper Mud Shut Off Gasket...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,CT97,CT97,Columbia Taper Mud Supply Valve Body,<p>Columbia Taper Mud Supply Valve Body</p>,Columbia Taper Mud Supply Valve Body...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,CT98,CT98,Columbia Taper Mud Supply Seal Plate,<p>Columbia Taper Mud Supply Seal Plate</p>,Columbia Taper Mud Supply Seal Plate...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,CTA107,CTA107,Columbia Piston Assembly for Taper,<p>Columbia Piston Assembly for Taper</p>,Columbia Piston Assembly for Taper...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,CTA13,CTA13,Columbia Taper Dog Base Bracket,<p>Columbia Taper Dog Base Bracket</p>,Columbia Taper Dog Base Bracket...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,CTA41,CTA41,Columbia Taper Cutter Block Assembly,<p>Columbia Taper Cutter Block Assembly</p>,Columbia Taper Cutter Block Assembly...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,CTA59,CTA59,Columbia Taper Magnet,<p>Columbia Taper Magnet</p>,Columbia Taper Magnet...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,CTA84,CTA84,Columbia Cable Pulley Guide,<p>There are currently no resources for this product.</p>,There are currently no resources for this product....,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,CTA87CL,CTA87CL,Columbia Cover Plate Assembly,<p>Columbia Cover Plate Assembly</p>,Columbia Cover Plate Assembly...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,CTA99,CTA99,Columbia Removable Cover Plate Pin,<p>Columbia Removable Cover Plate Pin</p>,Columbia Removable Cover Plate Pin...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,CTR1,CTR1,Columbia Taper Maintenance Kit,<p>There are currently no resources for this product.</p>,There are currently no resources for this product....,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,CTR42A,CTR42A,Columbia Taper Blades Maintenance Kit,<p>There are currently no resources for this product.</p>,There are currently no resources for this product....,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,CTR72,CTR72,Columbia Taper Cables Kit-3 per pack,<p>Columbia Taper Cables Kit-3 per pack</p>,Columbia Taper Cables Kit-3 per pack...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,DIRECTCORNERFLUSHER,DIRECTCORNERFLUSHER,Direct Corner Flusher,"<p>(2.5DF, 3DF, 3.5DF, 4DF, 3WTDF)</p> <p>Columbia Direct Corner Flushers have redefined angle finishing. They are built from the best materials, but above all, they are each hand ground and checked on a granite plate for perfection. Each one comes with wheels and an allen key for those who prefer not to use them.</p> <h4>FEATURES:</h4> <ul> <li>Precision hand ground and set</li> <li>5 designs: 2.5″, 3″, 3.5″, 4″ and wide track</li> <li>Wheels come standard</li> <li>Hand made from U.S. aluminum and steel components</li> <li>Machined in our state of the art facility in Canada</li> </ul> <p>DOWNLOAD:</p> <p></p>","(2.5DF, 3DF, 3.5DF, 4DF, 3WTDF) Columbia Direct Corner Flushers have redefined angle finishing. They are built from the best materials, but above all, they are each hand ground and checked on a…",Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools
Columbia Taping Tools,FA201,FA201,Columbia 1/16&#34; X 3/8&#34; Split Pin,"<p>Columbia 1/16"" X 3/8"" Split Pin&nbsp;</p>","Columbia 1/16"" X 3/8"" Split Pin&nbsp;...",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA208,FA208,Columbia 4-40 x 1/8&#34; Binder Slot,"<p>Columbia 4-40 x 1/8"" Binder Slot</p>","Columbia 4-40 x 1/8"" Binder Slot...",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA215,FA215,Columbia 4-40 x 5/16 Binder Slot,<p>Columbia 4-40 x 5/16 Binder Slot</p>,Columbia 4-40 x 5/16 Binder Slot...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA220,FA220,Columbia 4-40 X 3/4&#34; Bind Head Screw,"<p>Columbia 4-40 X 3/4"" Bind Head Screw</p>","Columbia 4-40 X 3/4"" Bind Head Screw...",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA222,FA222,Columbia 5-40 X 3/8&#34; Bind Head Screw,"<p>Columbia 5-40 X 3/8"" Bind Head Screw&nbsp;IA</p>","Columbia 5-40 X 3/8"" Bind Head Screw&nbsp;IA...",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA224,FA224,Columbia 1/8&#34; X 3/8&#34; Split Pin,"<p>Columbia 1/8"" X 3/8"" Split Pin&nbsp;</p>","Columbia 1/8"" X 3/8"" Split Pin&nbsp;...",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA225,FA225,Columbia 1/8&#34; X 3/8&#34; Special Washer,"<p>Columbia 1/8"" X 3/8"" Special Washer</p>","Columbia 1/8"" X 3/8"" Special Washer...",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA231,FA231,Columbia #6 X 3/8&#34; Hex Bolt,"<p>Columbia #6 X 3/8"" Hex Bolt</p>","Columbia #6 X 3/8"" Hex Bolt...",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA232,FA232,Columbia 6-32 Hex Nut,<p>Columbia 6-32 Hex Nut</p>,Columbia 6-32 Hex Nut...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA234,FA234,Columbia 6-32 Nyloc Jam Nut,<p>Columbia 6-32 Nyloc Jam Nut</p>,Columbia 6-32 Nyloc Jam Nut...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA245,FA245,Columbia 6-32 X 1/2&#34; Fill. Head Screw,"<p>Columbia 6-32 X 1/2"" Fill. Head Screw</p>","Columbia 6-32 X 1/2"" Fill. Head Screw...",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA247,FA247,Columbia 6-32 X 5/8&#34; Hex Bolt,"<p>Columbia 6-32 X 5/8"" Hex Bolt</p>","Columbia 6-32 X 5/8"" Hex Bolt...",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA252,FA252,Columbia #8 Star Washer,<p>Columbia #8 Star Washer</p>,Columbia #8 Star Washer...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA253,FA253,Columbia #8 Flat Washer,<p>Columbia #8 Flat Washer</p>,Columbia #8 Flat Washer...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA256,FA256,Columbia 8-32 x 3/16&#34; Pan Slot SS Screw,"<p>Columbia 8-32 x 3/16"" Pan Slot SS Screw</p>","Columbia 8-32 x 3/16"" Pan Slot SS Screw...",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA261,FA261,Columbia 8-32 X 3/8&#34; Socket Hd Screw,"<p>Columbia 8-32 X 3/8"" Socket Hd Screw</p>","Columbia 8-32 X 3/8"" Socket Hd Screw...",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA262,FA262,Columbia 8-32 X 1/2&#34; Socket Hd. Screw,"<p>Columbia 8-32 X 1/2"" Socket Hd. Screw</p>","Columbia 8-32 X 1/2"" Socket Hd. Screw...",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA266,FA266,Columbia 8-32 X 1&#34; Flat Head Screw,"<p>Columbia 8-32 X 1"" Flat Head Screw</p>","Columbia 8-32 X 1"" Flat Head Screw...",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA267,FA267,Columbia 8-32 X 1/2&#34; Pan Head Screw,"<p>Columbia 8-32 X 1/2"" Pan Head Screw</p>","Columbia 8-32 X 1/2"" Pan Head Screw...",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA268,FA268,Columbia #10 Flat Washer,<p>Columbia #10 Flat Washer</p>,Columbia #10 Flat Washer...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA270,FA270,Columbia #10 X 3/4&#34; Fender Washer,"<p>Columbia #10 X 3/4"" Fender Washer&nbsp;</p>","Columbia #10 X 3/4"" Fender Washer&nbsp;...",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA273,FA273,Columbia 10-24 X 1&#34; Hex Bolt,"<p>Columbia 10-24 X 1"" Hex Bolt</p>","Columbia 10-24 X 1"" Hex Bolt...",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA274,FA274,Columbia 10-24 X 3/8&#34; Socket Hd Screw,"<p>Columbia 10-24 X 3/8"" Socket Hd Screw</p>","Columbia 10-24 X 3/8"" Socket Hd Screw...",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA275,FA275,Columbia 10-24 X 3/4&#34; Hex Bolt,"<p>Columbia 10-24 X 3/4"" Hex Bolt&nbsp;</p>","Columbia 10-24 X 3/4"" Hex Bolt&nbsp;...",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA276,FA276,Columbia 10-24 X 7/8 Pan Head Screw,<p>Columbia 10-24 X 7/8 Pan Head Screw</p>,Columbia 10-24 X 7/8 Pan Head Screw...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA278,FA278,Columbia #8 Belleville Washer,<p>Columbia #8 Belleville Washer&nbsp;</p>,Columbia #8 Belleville Washer&nbsp;...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA279,FA279,Columbia 10-24 X 1-1/4in Hex Bolt,<p>Columbia 10-24 X 1-1/4in Hex Bolt</p>,Columbia 10-24 X 1-1/4in Hex Bolt...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA280,FA280,Columbia #10 Belleville Washer,<p>Columbia #10 Belleville Washer</p>,Columbia #10 Belleville Washer...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA281,FA281,Columbia 10-32 X Nyloc Jam Nut-2 per pack,<p>Columbia 10-32 X Nyloc Jam Nut-2 per pack</p>,Columbia 10-32 X Nyloc Jam Nut-2 per pack...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA285,FA285,Columbia 1/4&#34; Plastic Washer,"<p>Columbia 1/4"" Plastic Washer</p>","Columbia 1/4"" Plastic Washer...",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA289,FA289,Columbia Split Pin 1/4&#34; X 2&#34;,"<p>Columbia Split Pin 1/4"" X 2""&nbsp;</p>","Columbia Split Pin 1/4"" X 2""&nbsp;...",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA290,FA290,Columbia 1/4-20 Nyloc Nut,<p>Columbia 1/4-20 Nyloc Nut</p>,Columbia 1/4-20 Nyloc Nut...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA292,FA292,Columbia 1/4-20 Nyloc Jam Nut,<p>Columbia 1/4-20 Nyloc Jam Nut</p>,Columbia 1/4-20 Nyloc Jam Nut...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA294,FA294,Columbia 1/4-20 X 3/8&#34; Socket Hd Screw,"<p>Columbia 1/4-20 X 3/8"" Socket Hd Screw</p>","Columbia 1/4-20 X 3/8"" Socket Hd Screw...",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA295,FA295,Columbia 1/4-20 X 1/2&#34; Flat Socket,"<p>Columbia 1/4-20 X 1/2"" Flat Socket</p>","Columbia 1/4-20 X 1/2"" Flat Socket...",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA296,FA296,Columbia 1/4-20 X 1/2&#34; Hex Bolt,"<p>Columbia 1/4-20 X 1/2"" Hex Bolt</p>","Columbia 1/4-20 X 1/2"" Hex Bolt...",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA298,FA298,Columbia 1/4-20 X 7/8&#34; Flat Socket,"<p>Columbia 1/4-20 X 7/8"" Flat Socket&nbsp;</p>","Columbia 1/4-20 X 7/8"" Flat Socket&nbsp;...",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA300,FA300,Columbia 1/4-20 X 2&#34; Hex Bolt,"<p>Columbia 1/4-20 X 2"" Hex Bolt&nbsp;</p>","Columbia 1/4-20 X 2"" Hex Bolt&nbsp;...",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA302,FA302,Columbia 1/4-28 X 1/4&#34; Set Screw,"<p>Columbia 1/4-28 X 1/4"" Set Screw</p>","Columbia 1/4-28 X 1/4"" Set Screw...",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA305,FA305,Columbia 5/16-18 X 3/4&#34; Hex Bolt,"<p>Columbia 5/16-18 X 3/4"" Hex Bolt</p>","Columbia 5/16-18 X 3/4"" Hex Bolt...",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA306,FA306,Columbia 5/16-18 X 1-1/4&#34; Hex Bolt,"<p>Columbia 5/16-18 X 1-1/4"" Hex Bolt</p>","Columbia 5/16-18 X 1-1/4"" Hex Bolt...",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA308,FA308,Columbia 33/64 X 7/8&#34; Flat Washer,"<p>Columbia 33/64 X 7/8"" Flat Washer</p>","Columbia 33/64 X 7/8"" Flat Washer...",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA312,FA312,Columbia 10-24 X 1/4&#34; Set Screw,"<p>Columbia 10-24 X 1/4"" Set Screw&nbsp;</p>","Columbia 10-24 X 1/4"" Set Screw&nbsp;...",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA314,FA314,Columbia 10-24 X 1-1/2 Pan Slot,<p>Columbia 10-24 X 1-1/2 Pan Slot</p>,Columbia 10-24 X 1-1/2 Pan Slot...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA379,FA379,Columbia 1/4&#34; E-Clip for Matrix Handle,"<p>Columbia 1/4"" E-Clip for Matrix Handle</p>","Columbia 1/4"" E-Clip for Matrix Handle...",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FA380,FA380,Columbia 1/8&#34; E-Clip for Matrix Handle,"<p>Columbia 1/8"" E-Clip for Matrix Handle</p>","Columbia 1/8"" E-Clip for Matrix Handle...",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FATBOYBOXES,FATBOYBOXES,Fat Boy Boxes,"<p>Columbia offers the widest range of high quality, high capacity finishing boxes in the world. From our 5.5″ Fat Boy to our 12″, they are all star performers. Well-built and fine-tuned to offer great flat joints for years. We have been told for years that our boxes are the smoothest finishing and easiest to push, and now they’re also the highest capacity on the market. We are very proud to get this feedback and will make sure that every Fat Boy box we make exceeds your expectations.</p> <h4>FEATURES:</h4> <ul> <li>Available in 5.5″, 8″, 10″, 12″ sizes</li> <li>Bead wheel protects axel from wear while running box on bead</li> <li>Hand made from U.S. billet aluminum and steel components</li> <li>Machined in our state of the art facility in Canada</li> </ul> <h4>DOWNLOADS:</h4> <p><br /> <br /> </p>","Columbia offers the widest range of high quality, high capacity finishing boxes in the world. From our 5.5″ Fat Boy to our 12″, they are all star performers. Well-built and fine-tuned to offer great…",Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes
Columbia Taping Tools,FATBOYSMOOTHINGBLADES,FATBOYSMOOTHINGBLADES,Fat Boy Smoothing Blades,"<p style=""text-align: center;""><strong>Fat Boy Smoothing Blades</strong></p> <p style=""text-align: center;""><strong>Available Now</strong></p> <p style=""text-align: center;"">Columbia is proud to launch the&nbsp;<strong>Fat Boy Smoothing Blades</strong>&mdash;built for comfort, precision, and performance.</p> <p style=""text-align: center;"">With a lightweight,&nbsp;<strong>rubberized ergonomic grip</strong>&nbsp;to reduce slipping, the Fat Boy delivers smooth, even finishes with control. Its replaceable stainless steel blade offers long-term durability, while the new Fat Boy Smoothing Blade Claw expands your finishing options.</p> <p style=""text-align: center;"">Two new Fiberglass Telescopic Extension Poles debut alongside the blades. Their snap lock system connects seamlessly with the Fat Boy Adapter and also works with our 2K Handle Mud Rollers, giving unmatched versatility.</p> <p style=""text-align: center;"">When used by Hand or handles&mdash;the Fat Boy brings efficiency and comfort to every pass.</p> <h3 style=""text-align: center;"">Key Features:</h3> <ul class=""last-child""> <li style=""text-align: center;""> <p class=""mcePastedContent"" style=""text-align: left;""><strong>Replaceable &nbsp;Stainless Blade</strong>: Long-lasting and ultra-durable.</p> <p class=""mcePastedContent""><strong>Lightweight &amp; Ergonomic Grip</strong>: Designed for comfort, control, and less fatigue.</p> <p class=""mcePastedContent""><strong>Rounded Anti-Trace Edges</strong>: Minimize lines and imperfections.</p> <p class=""mcePastedContent"" style=""text-align: left;""><strong>New Fiberglass Telescopic Poles with Snap Lock</strong>: Extend your reach and work seamlessly with Fat Boy Blades and 2K Handle Mud Rollers.</p> <h3 class=""mcePastedContent"" style=""text-align: center;"">Available Sizes &amp; Part #:</h3> <p class="""" style=""text-align: center;""><strong>Fat Boy Smoothing Blades</strong></p> <p class="""" style=""text-align: center;""><strong>Fat Boy Smoothing Blade</strong>&nbsp;7&rdquo; – FSB7</p> <p class="""" style=""text-align: center;""><strong>Fat Boy Smoothing Blade</strong>&nbsp;10&rdquo; – FSB10</p> <p class="""" style=""text-align: center;""><strong>Fat Boy Smoothing Blade</strong>&nbsp;12&rdquo; – FSB12</p> <p class=""mcePastedContent"" style=""text-align: center;""><strong>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Fat Boy Smoothing Blade</strong>&nbsp;14&rdquo; – FSB14</p> <p class="""" style=""text-align: center;""><strong>Fat Boy Smoothing Blade</strong>&nbsp;16&rdquo; – FSB16</p> <p class="""" style=""text-align: center;""><strong>Fat Boy Smoothing Blade</strong>&nbsp;18&rdquo; – FSB18</p> <p class="""" style=""text-align: center;""><strong>Fat Boy Smoothing Blade</strong>&nbsp;24&rdquo; – FSB24</p> <p class="""" style=""text-align: center;""><strong>Fat Boy Smoothing Blade&nbsp;</strong>32&rdquo; – FSB32</p> <p class="""" style=""text-align: center;""><strong>Fat Boy Smoothing Blade</strong>&nbsp;40&rdquo; – FSB40</p> <p class="""" style=""text-align: center;""><strong>Fat Boy Smoothing Blade</strong>&nbsp;48&rdquo; – FSB48</p> <p class="""" style=""text-align: center;""><strong>FSBC</strong>&nbsp;– Fat Boy Smoothing Blade Claw</p>","Fat Boy Smoothing Blades Available Now Columbia is proud to launch the Fat Boy Smoothing Blades —built for comfort, precision, and performance. With a lightweight, rubberized ergonomic grip to reduce…",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FFB17,FFB17,Columbia Door Spring,<p>Columbia Door Spring</p>,Columbia Door Spring...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FFB43,FFB43,Columbia Bead Wheel Bushing,<p>Columbia Bead Wheel Bushing</p>,Columbia Bead Wheel Bushing...,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FINISHINGBOXMAINTENANCEKITS,FINISHINGBOXMAINTENANCEKITS,Finishing Box Maintenance Kits,<p>Finishing Box Maintenance Kits by Columbia Tools.</p>,Finishing Box Maintenance Kits by Columbia Tools.,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FINISHINGHAWKS,FINISHINGHAWKS,Finishing Hawks,"<h3 data-ogsc="""">Finishing Hawk</h3> <p data-start=""0"" data-end=""251"">Introducing the Columbia Finishing Hawk&mdash;crafted for professional drywall finishers who demand precision, comfort, and control. Designed for smooth gliding while working with a trowel or knife, this 13&rdquo; hawk is built to elevate your finishing workflow.</p> <p data-start=""253"" data-end=""532"">Made from high-quality aluminum with milled grooves for enhanced grip and material control, it features round corners for safety and smoother handling. The ergonomic, replaceable cork handle and rubber cover offer superior comfort and reduced fatigue during long days on the job.</p> <p data-start=""534"" data-end=""632"" data-is-last-node="""" data-is-only-node="""">Proudly 100% made in Poland, the Columbia Finishing Hawk is a trusted tool for flawless finishing.</p> <p data-ogsc=""""><strong>Available Size:</strong></p> <ul> <li> <p data-ogsc="""">13&rdquo;</p> <p data-ogsc=""""><strong>Key Features:</strong></p> <ul class=""last-child""> <li> <p data-ogsc="""">Round Corners</p> <p data-ogsc="""">High-Quality Aluminum Plate</p> <p data-ogsc="""">Milled Grooves</p> <p data-ogsc="""">Ergonomic &amp; Replaceable Cork Handle</p> <p data-ogsc="""">Rubber Cover</p> <p data-ogsc="""">100% Made in Poland</p> <p><strong>Individual Part Numbers:</strong></p> <p>13-H-S – 13″ X 13″ HAWK</p>","Finishing Hawk Introducing the Columbia Finishing Hawk—crafted for professional drywall finishers who demand precision, comfort, and control. Designed for smooth gliding while working with a trowel…",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,FLATBOXES,FLATBOXES,Flat Boxes,"<p>(5.5FFB, 7FFB, 8FFB, 10FFB, 12FFB, 14FFB)</p> <p>Columbia offers the widest range of high quality Flat Boxes in the world. From our 5.5&rdquo; specialty box to our 14&rdquo; they are all star performers. Well-built and fine-tuned to offer great flat joints for years. We have been being told for years that our boxes are the smoothest finishing and easiest to push. We are very proud to get this feedback and will make sure that every Flat Box we make exceeds your expectations.</p> <h4>FEATURES:</h4> <ul> <li>Available in 5.5″, 7″, 8″, 10″, 12″ and now 14″ sizes</li> <li>Manual sweeping grip for tight spaces when you cannot actuate the box handle (not on the 5.5″ box)</li> <li>Bead wheel protects axel from wear while running box on bead</li> <li>Hand made from U.S. billet aluminum and steel components</li> <li>Machined in our state of the art facility in Canada</li> </ul> <h4>DOWNLOADS:</h4> <p><br /> <br /> <br /> <br /> </p>","(5.5FFB, 7FFB, 8FFB, 10FFB, 12FFB, 14FFB) Columbia offers the widest range of high quality Flat Boxes in the world. From our 5.5” specialty box to our 14” they are all star performers. Well-built and…",Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes
