Brands,Type,SKU,MPN,Name,Description,Short description,Categories
Asgard,variation,PA10-AD,PA10-AD,"Asgard 10"" Power Assist Finishing Box (PA10-AD)",,,Drywall Finishing Tools > Asgard > Finishing Boxes
Asgard,variation,PA12-AD,PA12-AD,"Asgard 12"" Power Assist Finishing Box (PA12-AD)",,,Drywall Finishing Tools > Asgard > Finishing Boxes
Columbia Taping Tools,variable,COL-AH,COL-AH,Columbia Anglehead,"<p>Columbia Angleheads are the pinnacle of corner finishing technology, overbuilt for maximum durability and precision. Available in 2"", 2.5"", 3"", and 3.5"" sizes, these tools deliver a paint-ready finish that runs ""like it's on ice."" Designed to work perfectly behind a corner roller or for skimming on a corner box, Columbia Angleheads feather edges flawlessly on both sides of internal corners in a single pass. Machined from premium billet aluminum and high-quality steel components in Canada, they represent the ultimate in professional-grade reliability.</p><ul><li><strong>Slick Performance:</strong> Engineered for zero-drag operation, leaving a professional, paint-ready finish.</li><li><strong>Robust Construction:</strong> Hand-made from U.S. billet aluminum and steel for extreme job site durability.</li><li><strong>Versatile Application:</strong> Ideal for both wiping after a roller and finishing with a corner box.</li><li><strong>Full Size Range:</strong> Available in 2"" (2AH), 2.5"" (25AH), 3"" (3AH), and 3.5"" (35AH) widths.</li><li><strong>Canadian Precision:</strong> Machined in Columbia's state-of-the-art facility for guaranteed performance.</li></ul>","Premium Columbia Angleheads (2""–3.5"") for flawless internal corner finishing. Features billet aluminum construction and ultra-smooth operation.",Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools
Columbia Taping Tools,variation,25AH,25AH,"Columbia 2.5"" Anglehead",,,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools
Columbia Taping Tools,variation,2AH,2AH,"Columbia 2"" Anglehead",,,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools
Columbia Taping Tools,variation,35AH,35AH,"Columbia 3.5"" Anglehead",,,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools
Columbia Taping Tools,variation,3AH,3AH,"Columbia 3"" Anglehead",,,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools
Columbia Taping Tools,variable,COL-AHBLADE,COL-AHBLADE,Columbia Angle Head Carbide Blade,"<p>The Columbia Angle Head Carbide Blade is a premium replacement component designed to restore factory-level precision to your Columbia Anglehead. Crafted from high-grade carbide, these blades are engineered for extreme wear resistance and longevity. Available in specific sizes for 2"", 2.5"", 3"", and 3.5"" angle heads, they ensure a sharp, clean feathering edge for professional drywall finishing.</p><ul><li><strong>Carbide Durability:</strong> High-grade carbide construction for extended life and consistent performance.</li><li><strong>Precision Edge:</strong> Delivers a sharp, clean cut for paint-ready corner finishes.</li><li><strong>OEM Compatibility:</strong> Specifically designed for genuine Columbia Angleheads.</li><li><strong>Available Sizes:</strong> AH32 (2""), AH325 (2.5""), AH33 (3""), and AH335 (3.5"").</li></ul>","Premium Carbide replacement blades for Columbia Angleheads. Available in 2"", 2.5"", 3"", and 3.5"" sizes for long-lasting precision.",Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools
Columbia Taping Tools,variation,AH32,AH32,"Columbia 2"" Angle Head Carbide Blade",,,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools
Columbia Taping Tools,variation,AH325,AH325,"Columbia 2.5"" Angle Head Carbide Blade",,,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools
Columbia Taping Tools,variation,AH33,AH33,"Columbia 3"" Angle Head Carbide Blade",,,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools
Columbia Taping Tools,variation,AH335,AH335,"Columbia 3.5"" Angle Head Carbide Blade",,,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools
Columbia Taping Tools,variable,COL-AHRBK,COL-AHRBK,Columbia Anglehead Blade Maintenance Kit,"<p>The Columbia Anglehead Blade Maintenance Kit (COL-AHRBK) provides all essential OEM replacement components to restore and maintain your Columbia Anglehead. Available for 2"", 2.5"", 3"", and 3.5"" models, these kits simplify routine maintenance and keep your finishing tools operating at peak performance. Using genuine Columbia Taping Tools components ensures a precise fit and long-lasting reliability for paint-ready corner results.</p><ul><li><strong>Complete Refresh:</strong> Includes all necessary OEM parts to rebuild the blade assembly of your anglehead.</li><li><strong>Precision Fit:</strong> Engineered specifically for genuine Columbia Anglehead models to restore factory performance.</li><li><strong>Extended Tool Life:</strong> Simplifies routine maintenance to prevent premature tool wear.</li><li><strong>Available Kit Sizes:</strong> 2"" (AHRBK2), 2.5"" (AHRBK25), 3"" (AHRBK3), and 3.5"" (AHRBK35).</li></ul>","Genuine Columbia OEM Blade Maintenance Kits for 2""–3.5"" Angleheads. Restores precision feathering and extends tool life.",Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools
Columbia Taping Tools,variation,AHRBK2,AHRBK2,"Columbia 2"" Anglehead Blade Maintenance Kit",,,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools
Columbia Taping Tools,variation,AHRBK25,AHRBK25,"Columbia 2.5"" Anglehead Blade Maintenance Kit",,,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools
Columbia Taping Tools,variation,AHRBK3,AHRBK3,"Columbia 3"" Anglehead Blade Maintenance Kit",,,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools
Columbia Taping Tools,variation,AHRBK35,AHRBK35,"Columbia 3.5"" Anglehead Blade Maintenance Kit",,,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools
Columbia Taping Tools,variable,COL-AHSPRING,COL-AHSPRING,Columbia Angle Head Frame Tension Spring,"<p>The Columbia Angle Head Frame Tension Spring is a genuine OEM replacement component designed to maintain the optimal tension required for professional angle finishing. Available for 2"", 2.5"", 3"", and 3.5"" angle heads, these springs ensure the frames and skids maintain consistent contact with the drywall surface for a flawless finish. Fatigue or damage to these springs can lead to inconsistent compound application; replacing them with genuine Columbia parts restores factory performance.</p><ul><li><strong>OEM Quality:</strong> Genuine Columbia replacement springs for guaranteed fit and tension.</li><li><strong>Critical Performance:</strong> Maintains the necessary frame pressure for smooth corner feathering.</li><li><strong>Durable Build:</strong> Constructed from high-tensile steel for extended service life.</li><li><strong>Available Sizes:</strong> AH72 (2""), AH725 (2.5""), AH73 (3""), and AH735 (3.5"").</li></ul>","Genuine Columbia OEM Frame Tension Springs for 2""–3.5"" Angleheads. Restores consistent pressure and finishing performance.",Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools
Columbia Taping Tools,variation,AH72,AH72,"Columbia 2"" Angle Head Frame Tension Spring",,,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools
Columbia Taping Tools,variation,AH725,AH725,"Columbia 2.5"" Angle Head Frame Tension Spring",,,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools
Columbia Taping Tools,variation,AH73,AH73,"Columbia 3"" Angle Head Tension Spring",,,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools
Columbia Taping Tools,variation,AH735,AH735,"Columbia 3.5"" Angle Head Frame Tension Spring",,,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools
Columbia Taping Tools,variable,COL-BBH,COL-BBH,Columbia 180-Grip Bent Flat Box Handle,"<p>The Columbia 180-Grip Bent Box Handle is a versatile, high-leverage tool designed for professional drywall finishing. Featuring a unique bent design, this handle provides superior leverage on butt joints and headers while allowing for full braking capability over the entire 180-degree angle span. The advanced braking system eliminates axle slippage, ensuring cleaner and more efficient compound application. Available in lengths from 36"" to 72"", these handles are built from heavy-duty billet aluminum for years of rugged job site use.</p><ul><li><strong>180-Degree Braking:</strong> Full braking control at any angle to prevent slippage and improve precision.</li><li><strong>High-Leverage Bent Design:</strong> Provides increased power and control, especially on butt joints and high walls.</li><li><strong>Rugged Billet Aluminum:</strong> Extra-strong construction for long-term durability with minimal moving parts.</li><li><strong>Available Lengths:</strong> 36"" (3BBH), 42"" (42BBH), 48"" (4BBH), 60"" (5BBH), and 72"" (6BBH).</li><li><strong>Ergonomic Comfort:</strong> Designed to reduce operator strain during extended finishing sessions.</li></ul>","Columbia 180-Grip Bent Flat Box Handle (36""–72"") offers full 180° braking and high-leverage control for efficient flat joint finishing.",Drywall Finishing Tools > Columbia Taping Tools > Handles & Extensions
Columbia Taping Tools,variation,3BBH,3BBH,"Columbia 36"" 180-Grip Bent Flat Box Handle",,,Drywall Finishing Tools > Columbia Taping Tools > Handles & Extensions
Columbia Taping Tools,variation,42BBH,42BBH,"Columbia 42"" 180-Grip Bent Flat Box Handle",,,Drywall Finishing Tools > Columbia Taping Tools > Handles & Extensions
Columbia Taping Tools,variation,4BBH,4BBH,"Columbia 48"" 180-Grip Bent Flat Box Handle",,,Drywall Finishing Tools > Columbia Taping Tools > Handles & Extensions
Columbia Taping Tools,variation,5BBH,5BBH,"Columbia 60"" 180-Grip Bent Flat Box Handle",,,Drywall Finishing Tools > Columbia Taping Tools > Handles & Extensions
Columbia Taping Tools,variation,6BBH,6BBH,"Columbia 72"" 180-Grip Bent Flat Box Handle",,,Drywall Finishing Tools > Columbia Taping Tools > Handles & Extensions
Columbia Taping Tools,variable,COL-BH,COL-BH,Columbia 180-Grip Flat Box Handle,"<p>The Columbia 180-Grip Flat Box Handle is a professional-grade tool designed for maximum control and efficiency during drywall finishing. Available in lengths from 36"" to 72"", these handles feature a full 180-degree braking span, allowing you to lock the flat box at any angle without slippage. Constructed from lightweight, high-strength billet aluminum with a hard-anodized tube and comfort grips, this handle is built to endure years of heavy job site use while reducing operator fatigue.</p><ul><li><strong>Full Braking Range:</strong> 180-degree angle span allows for continuous braking and precise box positioning.</li><li><strong>Lightweight & Strong:</strong> Featherweight billet aluminum design offers superior strength-to-weight ratio.</li><li><strong>Durable Anodized Finish:</strong> Hard-anodized tube resists wear and corrosion.</li><li><strong>Available Lengths:</strong> 36"" (3BH), 42"" (42BH), 48"" (4BH), 60"" (5BH), and 72"" (6BH).</li><li><strong>Simplified Maintenance:</strong> Fewer moving parts mean reduced breakdowns and easier cleaning.</li></ul>","Columbia 180-Grip Flat Box Handle (36""–72"") provides full braking control at any angle. Lightweight billet aluminum construction for professional durability.",Drywall Finishing Tools > Columbia Taping Tools > Handles & Extensions
Columbia Taping Tools,variation,3BH,3BH,"Columbia 36"" 180-Grip Flat Box Handle",,,Drywall Finishing Tools > Columbia Taping Tools > Handles & Extensions
Columbia Taping Tools,variation,42BH,42BH,"Columbia 42"" 180-Grip Flat Box Handle",,,Drywall Finishing Tools > Columbia Taping Tools > Handles & Extensions
Columbia Taping Tools,variation,4BH,4BH,"Columbia 48"" 180-Grip Flat Box Handle",,,Drywall Finishing Tools > Columbia Taping Tools > Handles & Extensions
Columbia Taping Tools,variation,5BH,5BH,"Columbia 60"" 180-Grip Flat Box Handle",,,Drywall Finishing Tools > Columbia Taping Tools > Handles & Extensions
Columbia Taping Tools,variation,6BH,6BH,"Columbia 72"" 180-Grip Featherweight Flat Box Handle",,,Drywall Finishing Tools > Columbia Taping Tools > Handles & Extensions
Columbia Taping Tools,variable,COL-CFB,COL-CFB,Columbia Throttle Box,"<p>The Columbia Throttle Box is a high-performance corner box available in 7"" and 8"" sizes, designed to quickly and efficiently apply joint compound to internal corners. Featuring a full billet aluminum construction and a threaded stainless steel ball, these boxes are built to last. All Columbia Corner Boxes now feature automatic assist capabilities, making them at least 50% easier to push than standard boxes. Adjustable spring tension helps reduce air pockets, while the box seamlessly integrates with your choice of angle head or applicator head for a superior finish.</p><ul><li><strong>Automatic Assist:</strong> Engaging axle reduces push effort by 50% for faster, easier corner coating.</li><li><strong>Precision Build:</strong> All billet aluminum construction with a durable stainless steel ball interface.</li><li><strong>Adjustable Tension:</strong> New spring design allows for custom tension settings to prevent air pockets.</li><li><strong>Seamless Integration:</strong> Designed for use with all standard Columbia angle heads and applicators.</li><li><strong>Available Sizes:</strong> 7"" (7CFB) and 8"" (8CFB).</li></ul>","Columbia Throttle Box (7"" or 8"") with automatic assist. Reduces push effort by 50% for fast, professional internal corner coating.",Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes
Columbia Taping Tools,variation,7CFB,7CFB,"Columbia 7"" Throttle Box",,,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes
Columbia Taping Tools,variation,8CFB,8CFB,"Columbia 8"" Throttle Box",,,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes
Columbia Taping Tools,variable,COL-CLT,COL-CLT,Columbia Cam Lock Tube,"<p>The Columbia Cam Lock Tube is the industry standard for applying fast-set compounds with precision and reliability. Utilizing firehose-style brass cams that lock securely to a stainless steel ring, this tube ensures a leak-proof, positive connection every time. Available in 24"", 32"", 42"", and 55"" lengths, the Cam Lock Tube features a quick-remove bottom for complete cleaning and is hand-made from premium U.S. aluminum and steel components.</p><ul><li><strong>Positive Locking System:</strong> Brass cams and a stainless steel lock ring provide a secure, fail-safe connection.</li><li><strong>Easy Maintenance:</strong> Quick-remove bottom allows for rapid and thorough cleaning of fast-set mud.</li><li><strong>Precision Machined:</strong> Billet machined in Canada using top-tier U.S. materials.</li><li><strong>Available Lengths:</strong> 24"" (CLT24), 32"" (CLT32), 42"" (CLT42), and 55"" (CLT55).</li><li><strong>Contractor Grade:</strong> Designed to withstand the rigors of heavy daily use with hot mud.</li></ul>","Columbia Cam Lock Compound Tube (24""–55"") featuring a secure brass cam-lock system and quick-remove bottom for easy cleaning.",Drywall Finishing Tools > Columbia Taping Tools > Pumps & Accessories
Columbia Taping Tools,variation,CLT24,CLT24,"Columbia 24"" Cam Lock Tube",,,Drywall Finishing Tools > Columbia Taping Tools > Pumps & Accessories
Columbia Taping Tools,variation,CLT32,CLT32,"Columbia 32"" Cam Lock Tube",,,Drywall Finishing Tools > Columbia Taping Tools > Pumps & Accessories
Columbia Taping Tools,variation,CLT42,CLT42,"Columbia 42"" Cam Lock Tube",,,Drywall Finishing Tools > Columbia Taping Tools > Pumps & Accessories
Columbia Taping Tools,variation,CLT55,CLT55,"Columbia 55"" Cam Lock Tube",,,Drywall Finishing Tools > Columbia Taping Tools > Pumps & Accessories
Columbia Taping Tools,variable,COL-CMPX6,COL-CMPX6,Columbia Stainless Steel Mud Pan,"<p>The Columbia Stainless Steel Mud Pan is a premium hand tool designed for professional drywallers who require durability and comfort. Available in 12"" and 14"" sizes, these pans are crafted from heavy-gauge stainless steel with watertight, laser-welded seams for maximum reliability. The tapered ends and sides ensure a secure grip, while the straight edges are ideal for wiping joint knives clean. Each pan includes a free soft, non-slip rubber grip for enhanced comfort during long hours of use.</p><ul><li><strong>Heavy-Gauge Stainless Steel:</strong> Built for extreme durability and resistance to wear and tear.</li><li><strong>Laser-Welded Seams:</strong> Ensures 100% watertight performance and long-lasting structural integrity.</li><li><strong>Ergonomic Grip:</strong> Includes a free, removable non-slip rubber grip to reduce hand fatigue.</li><li><strong>Clean Performance:</strong> Straight edges allow for effortless knife cleaning and compound management.</li><li><strong>Available Sizes:</strong> 12"" (C12MPX6) and 14"" (C14MPX6).</li></ul>","Premium Columbia Stainless Steel Mud Pan (12"" or 14"") with laser-welded seams and a free non-slip rubber grip for professional durability.",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,variation,C12MPX6,C12MPX6,"Columbia 12"" Stainless Steel Mud Pan",,,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,variation,C14MPX6,C14MPX6,"Columbia 14"" Stainless Steel Mud Pan",,,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,variable,COL-CMT,COL-CMT,Columbia Compound Mud Tube,"<p>Columbia Compound Mud Tubes are high-quality, long-lasting tools designed for effortless compound application. Available in 24"", 32"", 42"", and 55"" lengths, these tubes feature a stainless steel ball and precision-engineered components that make pushing compound significantly easier than competitive models. Hand-made from U.S. aluminum and steel, they are machined in Canada to ensure the highest standards of performance and reliability for professional finishers.</p><ul><li><strong>Low-Effort Push:</strong> Specialized design reduces the physical force required to dispense compound.</li><li><strong>Industrial Durability:</strong> Features a stainless steel ball and rugged aluminum construction for extended life.</li><li><strong>Precision Machined:</strong> Crafted in a state-of-the-art Canadian facility with premium U.S. materials.</li><li><strong>Available Lengths:</strong> 24"" (CMT24), 32"" (CMT32), 42"" (CMT42), and 55"" (CMT55).</li><li><strong>Universal Application:</strong> Perfect for supplying mud to flushers, corner applicators, and bead heads.</li></ul>","Columbia Compound Mud Tube (24""–55"") engineered for low-effort pushing and long-term durability. Hand-made aluminum and steel construction.",Drywall Finishing Tools > Columbia Taping Tools > Pumps & Accessories
Columbia Taping Tools,variation,CMT24,CMT24,"Columbia 24"" Compound Mud Tube",,,Drywall Finishing Tools > Columbia Taping Tools > Pumps & Accessories
Columbia Taping Tools,variation,CMT32,CMT32,"Columbia 32"" Compound Mud Tube",,,Drywall Finishing Tools > Columbia Taping Tools > Pumps & Accessories
Columbia Taping Tools,variation,CMT42,CMT42,"Columbia 42"" Compound Mud Tube",,,Drywall Finishing Tools > Columbia Taping Tools > Pumps & Accessories
Columbia Taping Tools,variation,CMT55,CMT55,"Columbia 55"" Compound Mud Tube",,,Drywall Finishing Tools > Columbia Taping Tools > Pumps & Accessories
Columbia Taping Tools,variable,COL-CSF,COL-CSF,Columbia Combo Flusher,"<p>Columbia Combo Flushers redefine internal corner finishing by offering a precision-engineered tool that is hand-ground and verified on a granite plate for absolute perfection. Available in 2.5"", 3"", and 3.5"" sizes, these flushers are designed to both apply and smooth joint compound in a single motion. Each unit comes standard with wheels for fluid movement and includes an Allen key for those who prefer to operate without them. Hand-made from U.S. aluminum and steel components, they offer unmatched durability for professional finishers.</p><ul><li><strong>Hand-Ground Precision:</strong> Each flusher is individually set and checked on a granite plate for flawless geometry.</li><li><strong>Dual Functionality:</strong> Works as both a direct and indirect flusher for maximum job site versatility.</li><li><strong>Smooth Movement:</strong> Integrated wheels ensure low-friction gliding across drywall surfaces.</li><li><strong>Premium Build:</strong> Constructed from U.S. aluminum and steel, machined in Canada.</li><li><strong>Available Sizes:</strong> 2.5"" (25CSF), 3"" (3CSF), and 3.5"" (35CSF).</li></ul>","Columbia Combo Flusher (2.5""–3.5"") for professional internal corner finishing. Hand-ground for perfection and features integrated wheels for smooth operation.",Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools
Columbia Taping Tools,variation,25CSF,25CSF,"Columbia 2.5"" Combo Flusher",,,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools
Columbia Taping Tools,variation,35CSF,35CSF,"Columbia 3.5"" Combo Flusher",,,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools
Columbia Taping Tools,variation,3CSF,3CSF,"Columbia 3"" Combo Flusher",,,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools
Columbia Taping Tools,variable,COL-CTK,COL-CTK,Columbia Stainless Steel Comfort Grip Taping Knife,"<p>Columbia Stainless Steel Comfort Grip Taping Knives are engineered for professionals who demand speed, precision, and durability. Available in 8"", 10"", 12"", and 14"" sizes, these knives feature medium-flex stainless steel blades that glide smoothly for consistent coating and faster finishing. Each blade is double-riveted to a heavy-gauge aluminum back plate and over-molded with a rubberized comfort grip for maximum control and reduced fatigue. Competitively priced to match carbon steel, these knives offer unbeatable value and rust resistance for the toughest job sites.</p><ul><li><strong>Stainless Steel Blade:</strong> Medium-flex blade provides smooth application and ultimate rust resistance.</li><li><strong>Ergonomic Comfort Grip:</strong> Rubberized handle designed to minimize hand strain and maximize control.</li><li><strong>Heavy-Duty Build:</strong> Double-riveted handle and heavy-gauge aluminum back plate for rugged strength.</li><li><strong>Superior Value:</strong> Premium stainless steel performance at a price comparable to carbon steel.</li><li><strong>Available Sizes:</strong> 8"" (CTK8), 10"" (CTK10), 12"" (CTK12), and 14"" (CTK14).</li></ul>","Professional Columbia Stainless Steel Taping Knife (8""–14"") with ergonomic comfort grip and heavy-duty aluminum back plate. Premium rust resistance and flex.",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,variation,CTK10,CTK10,"Columbia 10"" Stainless Steel Comfort Grip Taping Knife",,,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,variation,CTK12,CTK12,"Columbia 12"" Stainless Steel Comfort Grip Taping Knife",,,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,variation,CTK14,CTK14,"Columbia 14"" Stainless Steel Comfort Grip Taping Knife",,,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,variation,CTK8,CTK8,"Columbia 8"" Stainless Steel Comfort Grip Taping Knife",,,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,variable,COL-DF,COL-DF,Columbia Direct Corner Flusher,"<p>Columbia Direct Corner Flushers are the gold standard for high-speed angle finishing, designed to apply and smooth joint compound in a single, flawless pass. Available in 2.5"", 3"", and 3.5"" widths, each flusher is meticulously hand-ground and verified on a granite plate to ensure perfect geometry. These tools are constructed from high-grade U.S. aluminum and steel, offering extreme durability for high-volume job sites. Every flusher comes standard with easy-glide wheels and an Allen key for customizable setup.</p><ul><li><strong>Precision Hand-Ground:</strong> Individually calibrated on a granite plate for absolute accuracy in every corner.</li><li><strong>Direct Application:</strong> Engineered to apply and wipe compound simultaneously for maximum efficiency.</li><li><strong>Fluid Movement:</strong> Standard wheels provide a smooth glide along walls, reducing operator effort.</li><li><strong>Available Sizes:</strong> 2.5"" (25DF), 3"" (3DF), and 3.5"" (35DF).</li><li><strong>Canadian Craftsmanship:</strong> Machined in Columbia's state-of-the-art facility using premium materials.</li></ul>","Columbia Direct Corner Flusher (2.5""–3.5"") for fast, professional internal corner coating. Hand-ground for precision with integrated wheels.",Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools
Columbia Taping Tools,variation,25DF,25DF,"Columbia 2.5"" Direct Corner Flusher",,,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools
Columbia Taping Tools,variation,35DF,35DF,"Columbia 3.5"" Direct Corner Flusher",,,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools
Columbia Taping Tools,variation,3DF,3DF,"Columbia 3"" Direct Corner Flusher",,,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools
