wc_row_number,wc_mpn,wc_sku,changed_fields,old_name,new_name,old_short_description,new_short_description,old_description,new_description,old_categories,new_categories,notes
578,056133,12896,Short description,TapeTech Stainless Steel Pyramid Blades 10 pack,TapeTech Stainless Steel Pyramid Blades 10 pack,,TapeTech Stainless Steel Pyramid Blades 10 pack,,,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,short description can be populated from reference
603,8000TT,13661,"Short description, Categories",TapeTech Wizard Compact Flat Box Handle,TapeTech Wizard Compact Flat Box Handle,,TapeTech Wizard Compact Flat Box Handle 8000TT,TapeTech Wizard Compact Flat Box Handle 8000TT,TapeTech Wizard Compact Flat Box Handle 8000TT,Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Box Handles > Wizard Compact Finishing Box Handle,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
613,8000TT-PA,13686,"Short description, Categories",TapeTech Wizard Compact Flat Box Handle,TapeTech Wizard Compact Flat Box Handle,,TapeTech Wizard Compact Flat Box Handle 8000TT-PA for Power Assist Boxes,TapeTech Wizard Compact Flat Box Handle 8000TT-PA for Power Assist Boxes,TapeTech Wizard Compact Flat Box Handle 8000TT-PA for Power Assist Boxes,Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Box Handles > Wizard Compact Finishing Box Handle,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
614,CF25TT,13759,"Short description, Categories",TapeTech Direct Flusher,TapeTech Direct Flusher,,"TapeTech 2.5"" Direct Flusher CF25TT","TapeTech 2.5"" Direct Flusher CF25TT","TapeTech 2.5"" Direct Flusher CF25TT",Drywall Finishing Tools > TapeTech > Corner & Angle Tools,Drywall Finishing Tools > TapeTech > Semi-Automatic Tools > Corner Flushers > Corner Flusher,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
615,CF30TT,13760,"Short description, Categories","TapeTech 3"" Direct Flusher","TapeTech 3"" Direct Flusher",,"TapeTech 3"" Direct Flusher CF30TT","TapeTech 3"" Direct Flusher CF30TT","TapeTech 3"" Direct Flusher CF30TT",Drywall Finishing Tools > TapeTech > Corner & Angle Tools,Drywall Finishing Tools > TapeTech > Semi-Automatic Tools > Corner Flushers > Corner Flusher,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
616,CF35TT,13761,"Short description, Categories",TapeTech Direct Flusher,TapeTech Direct Flusher,,"TapeTech 3.5"" Direct Flusher CF35TT","TapeTech 3.5"" Direct Flusher CF35TT","TapeTech 3.5"" Direct Flusher CF35TT",Drywall Finishing Tools > TapeTech > Corner & Angle Tools,Drywall Finishing Tools > TapeTech > Semi-Automatic Tools > Corner Flushers > Corner Flusher,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
617,CF40TT,13762,"Short description, Categories","TapeTech 4"" Direct Flusher","TapeTech 4"" Direct Flusher",,"TapeTech 4"" Direct Flusher CF40TT","TapeTech 4"" Direct Flusher CF40TT","TapeTech 4"" Direct Flusher CF40TT",Drywall Finishing Tools > TapeTech > Corner & Angle Tools,Drywall Finishing Tools > TapeTech > Semi-Automatic Tools > Corner Flushers > Corner Flusher,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
618,CT24TT,13763,"Short description, Categories",TapeTech Compound Tube,TapeTech Compound Tube,,"TapeTech 24"" Compound Tube CT24TT","TapeTech 24"" Compound Tube CT24TT","TapeTech 24"" Compound Tube CT24TT",Drywall Finishing Tools > TapeTech > Corner & Angle Tools,Drywall Finishing Tools > TapeTech > Semi-Automatic Tools > Compound Tubes > Compound Tube,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
619,CT36TT,13764,"Short description, Categories",TapeTech Compound Tube,TapeTech Compound Tube,,"TapeTech 36"" Compound Tube CT36TT","TapeTech 36"" Compound Tube CT36TT","TapeTech 36"" Compound Tube CT36TT",Drywall Finishing Tools > TapeTech > Corner & Angle Tools,Drywall Finishing Tools > TapeTech > Semi-Automatic Tools > Compound Tubes > Compound Tube,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
620,CT42TT,13765,"Short description, Categories",TapeTech Compound Tube,TapeTech Compound Tube,,"TapeTech 42"" Compound Tube CT42TT","TapeTech 42"" Compound Tube CT42TT","TapeTech 42"" Compound Tube CT42TT",Drywall Finishing Tools > TapeTech > Corner & Angle Tools,Drywall Finishing Tools > TapeTech > Semi-Automatic Tools > Compound Tubes > Compound Tube,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
621,CFK01TT,13766,Short description,TapeTech Roller Wheel Kit for Corner Flushers,TapeTech Roller Wheel Kit for Corner Flushers,,TapeTech Roller Wheel Kit for Corner Flushers CFK01TT,TapeTech Roller Wheel Kit for Corner Flushers CFK01TT,TapeTech Roller Wheel Kit for Corner Flushers CFK01TT,Drywall Finishing Tools > TapeTech > Parts,Drywall Finishing Tools > TapeTech > Parts,short description can be populated from reference
622,CFK02TT,13767,Short description,TapeTech Creaser Wheel Kit for Corner Flushers,TapeTech Creaser Wheel Kit for Corner Flushers,,TapeTech Creaser Wheel Kit for Corner Flushers CFK02TT,TapeTech Creaser Wheel Kit for Corner Flushers CFK02TT,TapeTech Creaser Wheel Kit for Corner Flushers CFK02TT,Drywall Finishing Tools > TapeTech > Corner & Angle Tools,Drywall Finishing Tools > TapeTech > Corner & Angle Tools,short description can be populated from reference
626,42TT,13865,"Short description, Categories","TapeTech 2.5"" Angle Head","TapeTech 2.5"" Angle Head",,"TapeTech 2.5"" Angle Head 42TT","TapeTech 2.5"" Angle Head 42TT","TapeTech 2.5"" Angle Head 42TT",Drywall Finishing Tools > TapeTech > Parts,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Corner Finishers > Corner Finisher,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
627,PAHC07,13866,"Short description, Categories",TapeTech PowerAssist MaxxBox,TapeTech PowerAssist MaxxBox,,"TapeTech 7"" PowerAssist MaxxBox PAHC07","TapeTech 7"" PowerAssist MaxxBox PAHC07","TapeTech 7"" PowerAssist MaxxBox PAHC07",Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Power Assist Boxes > Power Assist MaxxBox,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
628,PAHC10,13867,"Short description, Categories",TapeTech PowerAssist MaxxBox,TapeTech PowerAssist MaxxBox,,"TapeTech 10"" PowerAssist MaxxBox PAHC10","TapeTech 10"" PowerAssist MaxxBox PAHC10","TapeTech 10"" PowerAssist MaxxBox PAHC10",Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Power Assist Boxes > Power Assist MaxxBox,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
629,PAHC12,13868,"Short description, Categories",TapeTech PowerAssist MaxxBox,TapeTech PowerAssist MaxxBox,,"TapeTech 12"" PowerAssist MaxxBox PAHC12","TapeTech 12"" PowerAssist MaxxBox PAHC12","TapeTech 12"" PowerAssist MaxxBox PAHC12",Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Power Assist Boxes > Power Assist MaxxBox,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
643,420009,13898,Short description,"TapeTech Blade, Carbide, 2.5"" CF","TapeTech Blade, Carbide, 2.5"" CF",,"TapeTech Blade, Carbide, 2.5"" CF",,,Drywall Finishing Tools > TapeTech > Parts,Drywall Finishing Tools > TapeTech > Parts,short description can be populated from reference
651,QB06-QSX,14131,"Short description, Categories",TapeTech QuickBox QSX 6.5 in Finishing Box,TapeTech QuickBox QSX 6.5 in Finishing Box,,TapeTech QuickBox QSX 6.5in Finishing Box,TapeTech QuickBox QSX 6.5in Finishing Box,TapeTech QuickBox QSX 6.5in Finishing Box,Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > QuickBox QSX > QuickBox Finishing Box,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
652,QB6023-5,14133,Short description,"TapeTech 6.5"" QSX Crown Finishing Blade","TapeTech 6.5"" QSX Crown Finishing Blade",,"TapeTech 6.5"" QSX Crown Finishing Blade","<p>TapeTech 6.5"" QSX Crown Finishing Blade</p>","<p>TapeTech 6.5"" QSX Crown Finishing Blade</p>",Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Finishing Boxes,short description can be populated from reference
653,QB6033-5,14134,Short description,"TapeTech 6.5"" QSX Exterior Seaming Blade","TapeTech 6.5"" QSX Exterior Seaming Blade",,"TapeTech 6.5"" QSX Exterior Seaming Blade","<p>TapeTech 6.5"" QSX Exterior Seaming Blade</p>","<p>TapeTech 6.5"" QSX Exterior Seaming Blade</p>",Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Finishing Boxes,short description can be populated from reference
654,EZ07TT,14148,"Name, Short description, Categories",TapeTech EasyClean™ Flat Box,TapeTech EasyCleanTM Flat Box,,"TapeTech 7"" EasyCleanTM Flat Box EZ07TT","TapeTech 7"" EasyClean™ Flat Box EZ07TT","TapeTech 7"" EasyClean™ Flat Box EZ07TT",Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Finishing Boxes > EasyClean Finishing Box,name differs from reference; short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
655,EZ10TT,14149,"Name, Short description, Categories",TapeTech EasyClean™ Flat Box,TapeTech EasyCleanTM Flat Box,,"TapeTech 10"" EasyCleanTM Flat Box EZ10TT","TapeTech 10"" EasyClean™ Flat Box EZ10TT","TapeTech 10"" EasyClean™ Flat Box EZ10TT",Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Finishing Boxes > EasyClean Finishing Box,name differs from reference; short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
656,EZ12TT,14150,"Name, Short description, Categories",TapeTech EasyClean™ Flat Box,TapeTech EasyCleanTM Flat Box,,"TapeTech 12"" EasyCleanTM Flat Box EZ12TT","TapeTech 12"" EasyClean™ Flat Box EZ12TT","TapeTech 12"" EasyClean™ Flat Box EZ12TT",Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Finishing Boxes > EasyClean Finishing Box,name differs from reference; short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
657,FHTT,14151,"Short description, Categories",TapeTech Interchangeable Fiberglass Support Handle,TapeTech Interchangeable Fiberglass Support Handle,,TapeTech Interchangeable Fiberglass Support Handle FHTT,TapeTech Interchangeable Fiberglass Support Handle FHTT,TapeTech Interchangeable Fiberglass Support Handle FHTT,Drywall Finishing Tools > TapeTech > Automatic Tapers,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Box Handles > Fiberglass Handle,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
658,XHTT,14152,"Short description, Categories",TapeTech Interchangeable Extendable Support Handle,TapeTech Interchangeable Extendable Support Handle,,TapeTech Interchangeable Extendable Support Handle XHTT,TapeTech Interchangeable Extendable Support Handle XHTT,TapeTech Interchangeable Extendable Support Handle XHTT,Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Box Handles > Extension Handle,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
659,CAA-TT,14153,"Short description, Categories",TapeTech Angle Box Handle Adapter,TapeTech Angle Box Handle Adapter,,TapeTech Angle Box Handle Adapter CAA-TT,TapeTech Angle Box Handle Adapter CAA-TT,TapeTech Angle Box Handle Adapter CAA-TT,Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Box Handles > Corner Applicator Adapter,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
660,CFA-TT,14154,"Short description, Categories",TapeTech Corner Finisher Handle Adapter,TapeTech Corner Finisher Handle Adapter,,TapeTech Corner Finisher Handle Adapter CFA-TT,TapeTech Corner Finisher Handle Adapter CFA-TT&nbsp;,TapeTech Corner Finisher Handle Adapter CFA-TT&nbsp;,Drywall Finishing Tools > TapeTech > Automatic Tapers,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Box Handles > Corner Finisher Adapter,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
661,NSA-TT,14155,"Short description, Categories",TapeTech Nail Spotter Handle Adapter,TapeTech Nail Spotter Handle Adapter,,TapeTech Nail Spotter Handle Adapter NSA-TT,TapeTech Nail Spotter Handle Adapter NSA-TT,TapeTech Nail Spotter Handle Adapter NSA-TT,Drywall Finishing Tools > TapeTech > Automatic Tapers,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Box Handles > Nail Spotter Adapter,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
666,NS02TT,14166,"Short description, Categories",TapeTech EasyClean® Nail Spotter Head,TapeTech EasyClean® Nail Spotter Head,,"TapeTech 2"" EasyClean® Nail Spotter NS02TT","TapeTech 2"" EasyClean® Nail Spotter NS02TT","TapeTech 2"" EasyClean® Nail Spotter NS02TT",Drywall Finishing Tools > TapeTech > Automatic Tapers,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Nail Spotters > Nail Spotter,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
667,NS03TT,14167,"Short description, Categories",TapeTech EasyClean® Nail Spotter Head,TapeTech EasyClean® Nail Spotter Head,,"TapeTech 3"" EasyClean® Nail Spotter NS03TT","TapeTech 3"" EasyClean® Nail Spotter NS03TT","TapeTech 3"" EasyClean® Nail Spotter NS03TT",Drywall Finishing Tools > TapeTech > Automatic Tapers,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Nail Spotters > Nail Spotter,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
668,CA07TT,14168,Short description,TapeTech Corner Applicator Head,TapeTech Corner Applicator Head,,"TapeTech 7"" Angle Box CA07TT","TapeTech 7"" Angle Box CA07TT","TapeTech 7"" Angle Box CA07TT",Drywall Finishing Tools > TapeTech > Automatic Tapers,Drywall Finishing Tools > TapeTech > Automatic Tapers,short description can be populated from reference
669,CA08TT,14169,Short description,TapeTech Corner Applicator Head,TapeTech Corner Applicator Head,,"TapeTech 8"" Angle Box CA08TT","TapeTech 8"" Angle Box CA08TT","TapeTech 8"" Angle Box CA08TT",Drywall Finishing Tools > TapeTech > Automatic Tapers,Drywall Finishing Tools > TapeTech > Automatic Tapers,short description can be populated from reference
676,76XLTT,14476,"Short description, Categories",TapeTech Extra Long EasyClean Loading Pump,TapeTech Extra Long EasyClean Loading Pump,,TapeTech Extra Long EasyClean Loading Pump 76XLTT,TapeTech Extra Long EasyClean Loading Pump 76XLTT,TapeTech Extra Long EasyClean Loading Pump 76XLTT,Drywall Finishing Tools > TapeTech > Automatic Tapers,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Loading Pumps > Extra Long EasyClean Pump,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
677,85XLTT,14477,"Short description, Categories",TapeTech Extra Long Gooseneck for 76XLTT Pump,TapeTech Extra Long Gooseneck for 76XLTT Pump,,TapeTech XL Gooseneck for 76XLTT Pump,TapeTech XL Gooseneck for 76XLTT Pump,TapeTech XL Gooseneck for 76XLTT Pump,Drywall Finishing Tools > TapeTech > Automatic Tapers,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Loading Pumps > Gooseneck,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
678,CTA01TT,14478,"Short description, Categories",TapeTech Compound Tube Filler Adapter,TapeTech Compound Tube Filler Adapter,,TapeTech Compound Tube Filler Adapter CTA01TT,TapeTech Compound Tube Filler Adapter CTA01TT,TapeTech Compound Tube Filler Adapter CTA01TT,Drywall Finishing Tools > TapeTech > Automatic Tapers,Drywall Finishing Tools > TapeTech > Semi-Automatic Tools > Adapters & Accessories > Filler Adapter,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
679,ATX01TT,14516,"Short description, Categories",TapeTech Automatic Taper Extension,TapeTech Automatic Taper Extension,,TapeTech Automatic Taper Extension ATX01TT,TapeTech Automatic Taper Extension ATX01TT,TapeTech Automatic Taper Extension ATX01TT,Drywall Finishing Tools > TapeTech > Automatic Tapers,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Automatic Tapers > Automatic Taper Extension,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
681,EZ15TT,14559,"Name, Short description, Categories",TapeTech EasyClean™ Flat Box,TapeTech EasyCleanTM Flat Box,,"TapeTech 15"" EasyCleanTM Flat Box EZ15TT","TapeTech 15"" EasyClean™ Flat Box EZ15TT","TapeTech 15"" EasyClean™ Flat Box EZ15TT",Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Finishing Boxes > EasyClean Finishing Box,name differs from reference; short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
685,QB08-QSX,14578,"Short description, Categories",TapeTech QuickBox QSX in Finishing Box,TapeTech QuickBox QSX in Finishing Box,,"TapeTech QuickBox QSX 8"" Finishing Box","TapeTech QuickBox QSX 8"" Finishing Box","TapeTech QuickBox QSX 8"" Finishing Box",Drywall Finishing Tools > TapeTech > Continuous Flow System,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > QuickBox QSX > QuickBox Finishing Box,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
686,QB8023-5,14580,Short description,"TapeTech 8"" QSX Crowned Finishing Blade","TapeTech 8"" QSX Crowned Finishing Blade",,"TapeTech 8"" QSX Crowned Finishing Blade","<p>TapeTech 8"" QSX Crowned Finishing Blade</p>","<p>TapeTech 8"" QSX Crowned Finishing Blade</p>",Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Finishing Boxes,short description can be populated from reference
689,07TT-C,14767,"Short description, Categories",TapeTech Carbon Fiber Automatic Taper,TapeTech Carbon Fiber Automatic Taper,,TapeTech Carbon Fiber EasyClean Automatic Taper,TapeTech Carbon Fiber EasyClean Automatic Taper,TapeTech Carbon Fiber EasyClean Automatic Taper,Drywall Finishing Tools > TapeTech > Automatic Tapers,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Automatic Tapers > EasyClean Carbon Fiber Automatic Taper,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
710,PK35CSTT,15052,"Short description, Categories",TapeTech Carbon Steel Pointing Knife,TapeTech Carbon Steel Pointing Knife,,"TapeTech 3.5"" Carbon Steel Pointing Knife","TapeTech 3.5"" Carbon Steel Pointing Knife","TapeTech 3.5"" Carbon Steel Pointing Knife",Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,Drywall Finishing Tools > TapeTech > Premium Knives & Trowels > Specialty Knives > Clipped & Pointed Knife,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
711,CK06CSTT,15053,"Short description, Categories",TapeTech Carbon Steel Clipped Joint Knife,TapeTech Carbon Steel Clipped Joint Knife,,"TapeTech 6"" Carbon Steel Clipped Joint Knife","TapeTech 6"" Carbon Steel Clipped Joint Knife","TapeTech 6"" Carbon Steel Clipped Joint Knife",Drywall Finishing Tools > TapeTech > Taping Knives & Trowels,Drywall Finishing Tools > TapeTech > Premium Knives & Trowels > Specialty Knives > Clipped Knife,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
712,PFKHATT,15071,Short description,TapeTech Premium Finishing Knife Handle Adapter,TapeTech Premium Finishing Knife Handle Adapter,,TapeTech Finishing Knife Handle Adapter PFKHATT,TapeTech Finishing Knife Handle Adapter PFKHATT,TapeTech Finishing Knife Handle Adapter PFKHATT,Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Finishing Boxes,short description can be populated from reference
714,PFK07TT,16512,Short description,TapeTech Premium Finishing Knife,TapeTech Premium Finishing Knife,,"TapeTech 7"" Premium Finishing Knife PFK07TT","TapeTech 7"" Premium Finishing Knife PFK07TT","TapeTech 7"" Premium Finishing Knife PFK07TT",Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Finishing Boxes,short description can be populated from reference
715,PFK12TT,16513,Short description,TapeTech Premium Finishing Knife,TapeTech Premium Finishing Knife,,"TapeTech 12"" Premium Finishing Knife PFK12TT","TapeTech 12"" Premium Finishing Knife PFK12TT","TapeTech 12"" Premium Finishing Knife PFK12TT",Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Finishing Boxes,short description can be populated from reference
716,PFK14TT,16514,Short description,TapeTech Premium Finishing Knife,TapeTech Premium Finishing Knife,,"TapeTech 14"" Premium Finishing Knife PFK14TT","TapeTech 14"" Premium Finishing Knife PFK14TT","TapeTech 14"" Premium Finishing Knife PFK14TT",Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Finishing Boxes,short description can be populated from reference
717,PFK18TT,16515,Short description,TapeTech Premium Finishing Knife,TapeTech Premium Finishing Knife,,"TapeTech 18"" Premium Finishing Knife PFK18TT","TapeTech 18"" Premium Finishing Knife PFK18TT","TapeTech 18"" Premium Finishing Knife PFK18TT",Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Finishing Boxes,short description can be populated from reference
718,PFK24TT,16516,Short description,TapeTech Premium Finishing Knife,TapeTech Premium Finishing Knife,,"TapeTech 24"" Premium Finishing Knife PFK24TT","TapeTech 24"" Premium Finishing Knife PFK24TT","TapeTech 24"" Premium Finishing Knife PFK24TT",Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Finishing Boxes,short description can be populated from reference
