"sku","name","brand","description","features","price","image"
"TSB-32","Columbia 32"" Tomahawk Smoothing Blade","Columbia Taping Tools","The Columbia Tomahawk set of Smoothing Blades is the most durable set on the market today. With no plastic pieces, the Tomahawk doesn't snap under pressure. And because the blades use a Flat Box handle, there are no plastic adaptors that will break with the weight of the larger blades. This also increases the stability and your ability to adjust the angle of attack while in motion. The Columbia Tomahawk will change what the industry expects from a professional grade Smoothing Blade.","Columbia 32"" Tomahawk Smoothing Blade","122.21","https://drywalltoolbox.com/brands/Columbia/tsb-32.webp"
"7CFB","Columbia 7"" ThrottleBox Angle Box","Columbia Taping Tools","Columbia Angle Box-Corner Flusher Applicator 7""is used with any brand of angle head to finish inside 90-degree corners.Made from Billet Aluminum & Steel with a threaded ball on the end of the cone. The non-swelling door rubber gasket runs smooth. The longer filler nozzle makes for easier filling.","The 7″ Throttle Box is another great product of ours that offers years of great performance. All billet construction with a threaded stainless steel ball, this Corner Box looks and operates seamlessly. All our Corner Boxes now come standard with automatic capabilities, making pushing the box at least 50% easier than standard boxes. The new springs have adjustable tensions and greatly reduce the occurence of air pockets while running. The Throttle Box allows the corners to be quickly coated with your choice of angle head or applicator head. *Patent Pending | Features: | Available in 7″ and 8″ sizes | New spring tension allows for 50% easier push | Hand made from U.S. billet aluminum and steel components | Machined in our state of the art facility in Canada | Patent Pending","313.64","https://drywalltoolbox.com/brands/Columbia/7cfb.webp"
"8FFB","Columbia 8"" Drywall Flat Finisher Box","Columbia Taping Tools","Columbia Drywall Taping Tools 8” Flat Box is the perfect sized box for base coating taped seams. This new 8"" Columbia box has many new improvements including the ""No Swell"" rubber gaskets, pivoting axle, and aluminum wheels with integrated o-rings. The adjustable, stainless steel blade delivers the right amount of drywall compound to finish flat joints evenly. The box will fit on all leading brands of flat box handles.Covered by a5 Year manufacture warranty.","Columbia Taping Tools 8"" Hinged Drywall Flat Finisher Box features precision joint compound metering adjustment for top quality finish surfaces on drywall butt joints and flat seams. Integrated door axle and pressure plate system allows smooth, easy operation and quick access for easy cleanup! New, ultra-reliable door plate wiper resists expansion or deterioration, for long-term ease of operation and greater reliability. | 8"" Hinged Drywall Flat Finisher Box by Columbia Taping Tools has a new improved wiper on the pressure plate, combined with a smooth pivoting hinge axle, making this one of the easiest drywall flat finisher boxes to operate when finishing drywall butt joints and flat seams. 8"" Hinged Flat Box by Columbia Taping Tools is an excellent choice for base coating tape seams. | Features: | Hinged pressure plate and quick release tabs for extremely easy cleanup! | 8"" Columbia Hinged Flat Box is excellent for applying base coat on drywall flat seams. | ""Commercial Grade"" pressure plate wiper resists expansion or corrosion for easy operation and long service life. | Aluminum wheels with o-ring tires are long lasting and smooth running. | Compatible with all leading brands of flat box handles (except Tapeworm) | Can be operated with or without pressure plate springs | Smooth operation without door springs is possible due to reduced drag of Integrated Pressure Door Axle.","389.34","https://drywalltoolbox.com/brands/Columbia/8ffb.webp"
"CEXT90","Columbia Outside 90 Corner Applicator Head","Columbia Taping Tools","Columbia External 90 ° Applicators are all machined from solid aluminum billet and are used to apply joint compound to outside 90-degree angles. Simply attach it to your compound tube, corner box or Mudrunner. They are very accurate and their Delrin wheels glide along the wall.","The Columbia External 90 ° Mud Applicator works for all sizes of outside bead as it puts out 3 layers of mud, one in the middle, and one on each side. The amount of pressure applied to the tube will dictate how much mud you need for larger or smaller bead. These applicators are machined from solid billet aluminum and are very accurate as their Delrin wheels glide along the wall. | Features: | Hand made from U.S. aluminum and steel components | Machined in our state of the art facility in Canada","127.62","https://drywalltoolbox.com/brands/Columbia/cext90.webp"
"PTAPER","Columbia Carbon Fiber Automatic Taper","Columbia Taping Tools","The Columbia Predator Automatic Taper is the world's first Carbon Fiber Taper and the benefits that come with this are endless. The Columbia Taper is a precision-built tool that has been perfected over 38 years, but now it is also20% lighterthan all other tapers on the market anddent-proof. This tool will tape flats and angles effortlessly year after year. From less drag in the corners to our easy to remove cap for cleaning, this tool will not let you down.","The Predator is the world’s first Carbon Fiber Taper and the benefits that come with this are endless. The Columbia Taper is a precision built tool that has been perfected over 38 years, but now it is also significantly lighter than all other tapers on the market and dent proof. This tool will tape flats and angles effortlessly year after year. From less drag in the corners to our easy to remove cap for cleaning, this tool will not let you down. Stainless steel side plates and cable drum and creaser arms offer a lifetime of corrosion resistance. The Patent Pending Pump Action cutting sleeve gives the operator a smoother glide over teflon bearings, superb grip and the pull ring is great for higher ceilings. The Predator maintains it’s stable temperature and remains warm to the touch. Every taper comes standard with an adjustable brake and quick release for tape changing. The Titanium pull rod is just another detail that adds style and edge to this innovative, unique taper. If you are serious about taping and care how a taper feels and performs this is the one for you. | Features: | Handmade from Carbon Fiber and steel components | Titanium pull rod | Adjustable Brake | Quick release for tape changing | Reduced Drag system for corners | Stainless steel side plates, creaser arms and cable drum | Quick release cap | NEW Very smooth Patent Pending Pump Action cutting system with a roller chain | 53″ in length | Machined in our state of the art factory in Canada","1838.55","https://drywalltoolbox.com/brands/Columbia/ptaper.webp"
"CT-34R","Removable Cover Plate Attachment Block","Columbia Taping Tools","Removable Cover Plate Attachment Block - CT34R","Columbia Removable Cover Plate Attachment Block","","https://cdn11.bigcommerce.com/s-dbb3r9a7se/stencil/382d9e80-277d-013e-e48e-4a4f5670f649/e/04e821c0-e5dd-013e-f544-2ec1a3f21564/img/ProductDefault.svg"
"CTA-41","Columbia Taper Cutter Block Assembly","Columbia Taping Tools","Columbia Taper Cutter Block Assembly","Columbia Taper Cutter Block Assembly","","https://drywalltoolbox.com/brands/Columbia/cta-41.webp"
"CT-111","Taper Piston Cup","Columbia Taping Tools","Taper Piston Cup - CT111","Columbia Taper Piston Cup","","https://drywalltoolbox.com/brands/Columbia/ct-111.webp"
"12FBBA","Columbia 12"" Fat Boy Automatic Assist Drywall Flat Box","Columbia Taping Tools","The Columbia 12"" Fat Boy Automatic Assist Drywall Flat Box combines a 30% higher mud capacity with a precision spring-loaded assist mechanism that actively reduces the force needed to dispense compound — delivering consistent, professional-grade finishes with dramatically less physical effort. Built for high-volume professional use and backed by a 5-year manufacturer warranty.","Columbia offers the widest range of high quality Finishing Boxes in the world. The Automatic Flat Boxes reduce the need to push the compound on to the wall. By engaging, the box springs put pressure on the compound chamber requiring only a light push to operate the box. Well-built and fine-tuned to offer great flat joints for years. We have been told for years that our boxes are the smoothest finishing and easiest to push. We are very proud to get this feedback and will make sure that every Finishing Box we make exceeds your expectations. | Features: | Available in 8″, 10″, 12″ & 14″ regular and 8″, 10″ & 12″ Fat Boy sizes | Engaging axel creates pressure on mud release | Over 50% easier to push | Great for vertical flats | Bead wheel protects axel from wear while running box on bead | Hand made from U.S. billet aluminum and steel components | Machined in our state of the art facility in Canada","502.90","https://drywalltoolbox.com/brands/Columbia/12fbba.webp"
"12FBB","Columbia 12"" Fat Boy Drywall Flat Finishing Box","Columbia Taping Tools","The Columbia 12"" Fat Boy Drywall Flat Finishing Box delivers 30% more mud capacity than standard 12"" models for extended runs and fewer pump trips. Featuring an easy-open door plate for fast cleanup and universal handle compatibility, this high-productivity finishing tool is backed by a 5-year Columbia manufacturer warranty.","Columbia offers the widest range of high quality, high capacity finishing boxes in the world. From our 5.5″ Fat Boy to our 12″, they are all star performers. Well-built and fine-tuned to offer great flat joints for years. We have been told for years that our boxes are the smoothest finishing and easiest to push, and now they’re also the highest capacity on the market. We are very proud to get this feedback and will make sure that every Fat Boy box we make exceeds your expectations. | Features: | Available in 5.5″, 8″, 10″, 12″ sizes | Bead wheel protects axel from wear while running box on bead | Hand made from U.S. billet aluminum and steel components | Machined in our state of the art facility in Canada","465.05","https://drywalltoolbox.com/brands/Columbia/12fbb.webp"
"14FFB","Columbia 14"" Drywall Flat Finishing Box","Columbia Taping Tools","The Columbia 14"" Drywall Flat Finishing Box is the industry's largest capacity flat box, purpose-built for professionals who need maximum coverage and fewer pump trips on wide butt joints and large-scale flat finishing. Precision-machined for a consistent, feathered finish, it integrates with all major handle brands and delivers production-grade performance on every pass.","Columbia offers the widest range of high quality Flat Boxes in the world. From our 5.5” specialty box to our 14” they are all star performers. Well-built and fine-tuned to offer great flat joints for years. We have been being told for years that our boxes are the smoothest finishing and easiest to push. We are very proud to get this feedback and will make sure that every Flat Box we make exceeds your expectations. | Features: | Available in 5.5″, 7″, 8″, 10″, 12″ and now 14″ sizes | Manual sweeping grip for tight spaces when you cannot actuate the box handle (not on the 5.5″ box) | Bead wheel protects axel from wear while running box on bead | Hand made from U.S. billet aluminum and steel components | Machined in our state of the art facility in Canada","421.79","https://drywalltoolbox.com/brands/Columbia/14ffb.webp"
"ICA2-1","Columbia Inside Corner Applicator 2 Wheels","Columbia Taping Tools","Columbia Inside Corner Applicators","Columbia Inside Corner Applicators are all machined from solid aluminum billet. They are very accurate and their Delrin wheels glide along the wall. Offered in two and four wheel designs. | Features: | The one way model is offered with two wheels or four wheels | Hand made from U.S. aluminum and steel components | Machined in our state of the art facility in Canada","68.13","https://drywalltoolbox.com/brands/Columbia/ica2-1.webp"
"3CSF","Columbia Combo Flusher","Columbia Taping Tools","Columbia Combo Flushers have redefined angle finishing. They are built from the best materials, but above all, they are each hand ground and checked on a granite plate for perfection. Each one comes with wheels and an allen key for those who prefer not to use them.","Columbia Combo Flushers have redefined angle finishing. They are built from the best materials, but above all, they are each hand ground and checked on a granite plate for perfection. Each one comes with wheels and an allen key for those who prefer not to use them. | Features: | Precision hand ground and set | 4 designs: 2.5″, 3″, 3.5″ & wide track | Hand made from U.S. aluminum and steel components | Machined in our state of the art facility in Canada","163.31","https://drywalltoolbox.com/brands/Columbia/3csf.webp"
"3.5SF","Columbia 3.5"" Standard Drywall Corner Flusher with Wheels","Columbia Taping Tools","Columbia 3.5"" Standard Corner Flushers have redefined angle finishing. They are built from the best materials, but above all, they are each hand ground and checked on a granite plate for perfection. Each one comes with wheels and an Allen key for those who prefer not to use them.","Columbia Standard Corner Flushers have redefined angle finishing. They are built from the best materials, but above all, they are each hand ground and checked on a granite plate for perfection. Each one comes with wheels and an allen key for those who prefer not to use them. | Features: | Precision hand ground and set | 5 designs: 2.5″, 3″, 3.5″, 4″ and wide track | Wheels come standard | Hand made from U.S. aluminum and steel components | Machined in our state of the art facility in Canada","133.02","https://drywalltoolbox.com/brands/Columbia/3.5sf.webp"
