Type,SKU,Parent SKU,Slug,Name,Published,Visibility in catalog,Short description,Description,Regular price,In stock?,Categories,Tags,Brands,Parent,Position,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s),meta:product_family,meta:model,meta:search_keywords,meta:seo_title,meta:seo_description,meta:seo_robots,meta:seo_focus_keyword,meta:schema_brand,meta:schema_mpn,meta:schema_condition
variation,4-905,DRYWALL-COMPOUND-ROLLER-WITH-FRAME,level-5-drywall-compound-roller-with-frame-9,"Level5 Drywall Compound Roller with Frame -  9""",1,visible,,,37.0,1,Drywall Finishing Tools > Level 5 > Corner Tools,"12"", 4-905, 4-906, 9"", Level 5, Corner Tools, level 5, mud roller, red handle",Level 5,DRYWALL-COMPOUND-ROLLER-WITH-FRAME,1,Size,"9""",,,Level 5 Drywall Compound Roller with Frame,4-905,"Level 5 Drywall Compound Roller with Frame - [4-905], Level 5, Drywall Finishing Tools > Level 5 > Corner Tools, 4-905","Level5 Drywall Compound Roller with Frame -  9""",,"index,follow",Level 5 Drywall Compound Roller with Frame - [4-905],Level 5,4-905,NewCondition
variation,4-906,DRYWALL-COMPOUND-ROLLER-WITH-FRAME,level-5-drywall-compound-roller-with-frame-12,"Level5 Drywall Compound Roller with Frame -  12""",1,visible,,,40.0,1,Drywall Finishing Tools > Level 5 > Corner Tools,"12"", 4-905, 4-906, 9"", Level 5, Corner Tools, level 5, mud roller, red handle",Level 5,DRYWALL-COMPOUND-ROLLER-WITH-FRAME,2,Size,"12""",,,Level 5 Drywall Compound Roller with Frame,4-906,"Level 5 Drywall Compound Roller with Frame - [4-906], Level 5, Drywall Finishing Tools > Level 5 > Corner Tools, 4-906","Level5 Drywall Compound Roller with Frame -  12""",,"index,follow",Level 5 Drywall Compound Roller with Frame - [4-906],Level 5,4-906,NewCondition
simple,5-362,,level-5-duffel-tool-bag-24,"Level5 Duffel Tool Bag - 24""",1,visible,"Protect Your Tools in the new Level 5 24"" Duffel Tool Bag.","<p>Protect Your Tools in the new Level 5 24"" Duffel Tool Bag.</p> <p>This multi-functional 24-inch duffel bag is designed for effortless organization and easy access to all your essential drywall hand tools and accessories. Our signature red duffel has large velcro side pockets, mesh pockets on each end, and a spacious zippered opening for easy access to your tools.</p> <p>For extra comfort and versatility, the bag features a padded grip handle and an adjustable shoulder strap. Crafted from heavy-duty nylon, this tool bag is built to withstand wear and tear and all the rigors of the job site.</p> <p><strong><em>Note: Tools not included.</em></strong></p>",134.0,1,Drywall Finishing Tools > Level 5 > Semi-Automatic Taping Tools,"5-362, Level 5, Semi Automatic Taping Tools, tool bag",Level 5,,0,,,,,Level 5 Duffel Tool Bag,5-362,"Level 5 Duffel Tool Bag - 24"" - [5-362], Level 5, Drywall Finishing Tools > Level 5 > Semi-Automatic Taping Tools, 5-362","Level5 Duffel Tool Bag - 24"" -","Protect Your Tools in the new Level 5 24"" Duffel Tool Bag.","index,follow","Level 5 Duffel Tool Bag - 24"" - [5-362]",Level 5,5-362,NewCondition
variable,EXTENDABLE-ACCESSORY-HANDLE,,level-5-extendable-accessory-handle,Level5 Extendable Accessory Handle,1,visible,"The Level 5 Tools Accessory Handles are the only handles on the market that are made of solid aluminum for jobsite durability. Unlike competitive handles that use fiberglass that is easily broken, the Level 5 handle is designed to last for years.","<p>The Level 5 Tools Accessory Handles are the only handles on the market that are made of solid aluminum for jobsite durability. Unlike competitive handles that use fiberglass that is easily broken, the Level 5 handle is designed to last for years.<br/></p>",,1,Drywall Finishing Tools > Level 5 > Automatic Taping Tools,"4-792, 4-793, 4-794, 4-795, 4-796, 4-798, 4-799, 4-880, 4-881, Automatic Taping Tools, Level 5, No Head, extendable handle, extension pole, handles, level 5, level 5 handle, level5 handles",Level 5,,0,Type,Corner Applicator Handle | Corner Finisher Handle | Corner Roller Handle | Nail Spotter Handle | No Head,Size,"52"" | 72""",Level 5 Extendable Accessory Handle,LVL5-LEVEL-5-EXTENDABLE-ACCESSORY-HANDLE,"Level 5 Extendable Accessory Handle - [4-794, 4-798, 4-795, 4-799, 4-792, 4-796, 4-757, 4-758, 4-880, 4-881], Level 5, Drywall Finishing Tools > Level 5 > Automatic Taping Tools, LVL5-LEVEL-5-EXTENDABLE-ACCESSORY-HANDLE",Level5 Extendable Accessory Handle -,The Level 5 Tools Accessory Handles are the only handles on the market that are made of solid aluminum for jobsite durability. Unlike competitive handles t,"index,follow","Level 5 Extendable Accessory Handle - [4-794, 4-798, 4-795, 4-799, 4-792, 4-796, 4-757, 4-758, 4-880, 4-881]",Level 5,"4-794, 4-798, 4-795, 4-799, 4-792, 4-796, 4-757, 4-758, 4-880, 4-881",NewCondition
variation,4-794,EXTENDABLE-ACCESSORY-HANDLE,level-5-extendable-accessory-handle-corner-applicator-handle-52,"Level5 Extendable Accessory Handle -  Corner Applicator Handle / 52""",1,visible,,,194.0,1,Drywall Finishing Tools > Level 5 > Automatic Taping Tools,"4-792, 4-793, 4-794, 4-795, 4-796, 4-798, 4-799, 4-880, 4-881, Automatic Taping Tools, Level 5, No Head, extendable handle, extension pole, handles, level 5, level 5 handle, level5 handles",Level 5,EXTENDABLE-ACCESSORY-HANDLE,1,Type,Corner Applicator Handle,Size,"52""",Level 5 Extendable Accessory Handle,4-794,"Level 5 Extendable Accessory Handle - [4-794], Level 5, Drywall Finishing Tools > Level 5 > Automatic Taping Tools, 4-794","Level5 Extendable Accessory Handle -  Corner Applicator Handle / 52""",,"index,follow",Level 5 Extendable Accessory Handle - [4-794],Level 5,4-794,NewCondition
variation,4-798,EXTENDABLE-ACCESSORY-HANDLE,level-5-extendable-accessory-handle-corner-applicator-handle-72,"Level5 Extendable Accessory Handle -  Corner Applicator Handle / 72""",1,visible,,,214.0,1,Drywall Finishing Tools > Level 5 > Automatic Taping Tools,"4-792, 4-793, 4-794, 4-795, 4-796, 4-798, 4-799, 4-880, 4-881, Automatic Taping Tools, Level 5, No Head, extendable handle, extension pole, handles, level 5, level 5 handle, level5 handles",Level 5,EXTENDABLE-ACCESSORY-HANDLE,2,Type,Corner Applicator Handle,Size,"72""",Level 5 Extendable Accessory Handle,4-798,"Level 5 Extendable Accessory Handle - [4-798], Level 5, Drywall Finishing Tools > Level 5 > Automatic Taping Tools, 4-798","Level5 Extendable Accessory Handle -  Corner Applicator Handle / 72""",,"index,follow",Level 5 Extendable Accessory Handle - [4-798],Level 5,4-798,NewCondition
variation,4-795,EXTENDABLE-ACCESSORY-HANDLE,level-5-extendable-accessory-handle-corner-finisher-handle-52,"Level5 Extendable Accessory Handle -  Corner Finisher Handle / 52""",1,visible,,,207.0,1,Drywall Finishing Tools > Level 5 > Automatic Taping Tools,"4-792, 4-793, 4-794, 4-795, 4-796, 4-798, 4-799, 4-880, 4-881, Automatic Taping Tools, Level 5, No Head, extendable handle, extension pole, handles, level 5, level 5 handle, level5 handles",Level 5,EXTENDABLE-ACCESSORY-HANDLE,3,Type,Corner Finisher Handle,Size,"52""",Level 5 Extendable Accessory Handle,4-795,"Level 5 Extendable Accessory Handle - [4-795], Level 5, Drywall Finishing Tools > Level 5 > Automatic Taping Tools, 4-795","Level5 Extendable Accessory Handle -  Corner Finisher Handle / 52""",,"index,follow",Level 5 Extendable Accessory Handle - [4-795],Level 5,4-795,NewCondition
variation,4-799,EXTENDABLE-ACCESSORY-HANDLE,level-5-extendable-accessory-handle-corner-finisher-handle-72,"Level5 Extendable Accessory Handle -  Corner Finisher Handle / 72""",1,visible,,,227.0,1,Drywall Finishing Tools > Level 5 > Automatic Taping Tools,"4-792, 4-793, 4-794, 4-795, 4-796, 4-798, 4-799, 4-880, 4-881, Automatic Taping Tools, Level 5, No Head, extendable handle, extension pole, handles, level 5, level 5 handle, level5 handles",Level 5,EXTENDABLE-ACCESSORY-HANDLE,4,Type,Corner Finisher Handle,Size,"72""",Level 5 Extendable Accessory Handle,4-799,"Level 5 Extendable Accessory Handle - [4-799], Level 5, Drywall Finishing Tools > Level 5 > Automatic Taping Tools, 4-799","Level5 Extendable Accessory Handle -  Corner Finisher Handle / 72""",,"index,follow",Level 5 Extendable Accessory Handle - [4-799],Level 5,4-799,NewCondition
variation,4-792,EXTENDABLE-ACCESSORY-HANDLE,level-5-extendable-accessory-handle-corner-roller-handle-52,"Level5 Extendable Accessory Handle -  Corner Roller Handle / 52""",1,visible,,,198.0,1,Drywall Finishing Tools > Level 5 > Automatic Taping Tools,"4-792, 4-793, 4-794, 4-795, 4-796, 4-798, 4-799, 4-880, 4-881, Automatic Taping Tools, Level 5, No Head, extendable handle, extension pole, handles, level 5, level 5 handle, level5 handles",Level 5,EXTENDABLE-ACCESSORY-HANDLE,5,Type,Corner Roller Handle,Size,"52""",Level 5 Extendable Accessory Handle,4-792,"Level 5 Extendable Accessory Handle - [4-792], Level 5, Drywall Finishing Tools > Level 5 > Automatic Taping Tools, 4-792","Level5 Extendable Accessory Handle -  Corner Roller Handle / 52""",,"index,follow",Level 5 Extendable Accessory Handle - [4-792],Level 5,4-792,NewCondition
variation,4-796,EXTENDABLE-ACCESSORY-HANDLE,level-5-extendable-accessory-handle-corner-roller-handle-72,"Level5 Extendable Accessory Handle -  Corner Roller Handle / 72""",1,visible,,,219.0,1,Drywall Finishing Tools > Level 5 > Automatic Taping Tools,"4-792, 4-793, 4-794, 4-795, 4-796, 4-798, 4-799, 4-880, 4-881, Automatic Taping Tools, Level 5, No Head, extendable handle, extension pole, handles, level 5, level 5 handle, level5 handles",Level 5,EXTENDABLE-ACCESSORY-HANDLE,6,Type,Corner Roller Handle,Size,"72""",Level 5 Extendable Accessory Handle,4-796,"Level 5 Extendable Accessory Handle - [4-796], Level 5, Drywall Finishing Tools > Level 5 > Automatic Taping Tools, 4-796","Level5 Extendable Accessory Handle -  Corner Roller Handle / 72""",,"index,follow",Level 5 Extendable Accessory Handle - [4-796],Level 5,4-796,NewCondition
variation,4-757,EXTENDABLE-ACCESSORY-HANDLE,level-5-extendable-accessory-handle-nail-spotter-handle-52,"Level5 Extendable Accessory Handle -  Nail Spotter Handle / 52""",1,visible,,,188.0,0,Drywall Finishing Tools > Level 5 > Automatic Taping Tools,"4-792, 4-793, 4-794, 4-795, 4-796, 4-798, 4-799, 4-880, 4-881, Automatic Taping Tools, Level 5, No Head, extendable handle, extension pole, handles, level 5, level 5 handle, level5 handles",Level 5,EXTENDABLE-ACCESSORY-HANDLE,7,Type,Nail Spotter Handle,Size,"52""",Level 5 Extendable Accessory Handle,4-757,"Level 5 Extendable Accessory Handle - [4-757], Level 5, Drywall Finishing Tools > Level 5 > Automatic Taping Tools, 4-757","Level5 Extendable Accessory Handle -  Nail Spotter Handle / 52""",,"index,follow",Level 5 Extendable Accessory Handle - [4-757],Level 5,4-757,NewCondition
variation,4-758,EXTENDABLE-ACCESSORY-HANDLE,level-5-extendable-accessory-handle-nail-spotter-handle-72,"Level5 Extendable Accessory Handle -  Nail Spotter Handle / 72""",1,visible,,,209.0,1,Drywall Finishing Tools > Level 5 > Automatic Taping Tools,"4-792, 4-793, 4-794, 4-795, 4-796, 4-798, 4-799, 4-880, 4-881, Automatic Taping Tools, Level 5, No Head, extendable handle, extension pole, handles, level 5, level 5 handle, level5 handles",Level 5,EXTENDABLE-ACCESSORY-HANDLE,8,Type,Nail Spotter Handle,Size,"72""",Level 5 Extendable Accessory Handle,4-758,"Level 5 Extendable Accessory Handle - [4-758], Level 5, Drywall Finishing Tools > Level 5 > Automatic Taping Tools, 4-758","Level5 Extendable Accessory Handle -  Nail Spotter Handle / 72""",,"index,follow",Level 5 Extendable Accessory Handle - [4-758],Level 5,4-758,NewCondition
variation,4-880,EXTENDABLE-ACCESSORY-HANDLE,level-5-extendable-accessory-handle-no-head-52,"Level5 Extendable Accessory Handle -  No Head / 52""",1,visible,,,153.0,1,Drywall Finishing Tools > Level 5 > Automatic Taping Tools,"4-792, 4-793, 4-794, 4-795, 4-796, 4-798, 4-799, 4-880, 4-881, Automatic Taping Tools, Level 5, No Head, extendable handle, extension pole, handles, level 5, level 5 handle, level5 handles",Level 5,EXTENDABLE-ACCESSORY-HANDLE,9,Type,No Head,Size,"52""",Level 5 Extendable Accessory Handle,4-880,"Level 5 Extendable Accessory Handle - [4-880], Level 5, Drywall Finishing Tools > Level 5 > Automatic Taping Tools, 4-880","Level5 Extendable Accessory Handle -  No Head / 52""",,"index,follow",Level 5 Extendable Accessory Handle - [4-880],Level 5,4-880,NewCondition
variation,4-881,EXTENDABLE-ACCESSORY-HANDLE,level-5-extendable-accessory-handle-no-head-72,"Level5 Extendable Accessory Handle -  No Head / 72""",1,visible,,,173.0,1,Drywall Finishing Tools > Level 5 > Automatic Taping Tools,"4-792, 4-793, 4-794, 4-795, 4-796, 4-798, 4-799, 4-880, 4-881, Automatic Taping Tools, Level 5, No Head, extendable handle, extension pole, handles, level 5, level 5 handle, level5 handles",Level 5,EXTENDABLE-ACCESSORY-HANDLE,10,Type,No Head,Size,"72""",Level 5 Extendable Accessory Handle,4-881,"Level 5 Extendable Accessory Handle - [4-881], Level 5, Drywall Finishing Tools > Level 5 > Automatic Taping Tools, 4-881","Level5 Extendable Accessory Handle -  No Head / 72""",,"index,follow",Level 5 Extendable Accessory Handle - [4-881],Level 5,4-881,NewCondition
simple,4-715,,level-5-filler,Level5 Filler,1,visible,The Level 5 Tools Filler is made of high-strength cast aluminum and an extruded stainless steel filler nozzle. The filler is designed for quick changes with the gooseneck when required.,<p>The Level 5 Tools Filler is made of high-strength cast aluminum and an extruded stainless steel filler nozzle. The filler is designed for quick changes with the gooseneck when required.<br/></p>,75.0,1,Drywall Finishing Tools > Level 5 > Automatic Taping Tools,"4-715, Automatic Taping Tools, Level 5, box filler, filler",Level 5,,0,,,,,Level 5 Filler,4-715,"Level 5 Filler - [4-715], Level 5, Drywall Finishing Tools > Level 5 > Automatic Taping Tools, 4-715",Level5 Filler -,The Level 5 Tools Filler is made of high-strength cast aluminum and an extruded stainless steel filler nozzle. The filler is designed for quick changes wit,"index,follow",Level 5 Filler - [4-715],Level 5,4-715,NewCondition
variable,ACCESSORY-HANDLE,,level-5-fixed-accessory-handle,Level5 Fixed Accessory Handle,1,visible,"The Level 5 Tools Accessory Handles are the only handles on the market that are made of solid aluminum for jobsite durability. Unlike competitive handles that use fiberglass that is easily broken, the Level 5 handle is designed to last for years.","<p>The Level 5 Tools Accessory Handles are the only handles on the market that are made of solid aluminum for jobsite durability. Unlike competitive handles that use fiberglass that is easily broken, the Level 5 handle is designed to last for years.<br/></p>",,1,Drywall Finishing Tools > Level 5 > Automatic Taping Tools,"4-756, 4-777, 4-778, 4-779, Automatic Taping Tools, Level 5, fixed handle, handles, level 5, level 5 handle, level5 handles",Level 5,,0,Type,Corner Roller Handle | Corner Applicator Handle | Corner Finisher Handle | Nail Spotter Handle,,,Level 5 Fixed Accessory Handle,LVL5-LEVEL-5-ACCESSORY-HANDLE,"Level 5 Fixed Accessory Handle - [4-777, 4-778, 4-779, 4-756], Level 5, Drywall Finishing Tools > Level 5 > Automatic Taping Tools, LVL5-LEVEL-5-ACCESSORY-HANDLE",Level5 Fixed Accessory Handle -,The Level 5 Tools Accessory Handles are the only handles on the market that are made of solid aluminum for jobsite durability. Unlike competitive handles t,"index,follow","Level 5 Fixed Accessory Handle - [4-777, 4-778, 4-779, 4-756]",Level 5,"4-777, 4-778, 4-779, 4-756",NewCondition
variation,4-777,ACCESSORY-HANDLE,level-5-fixed-accessory-handle-corner-roller-handle,Level5 Fixed Accessory Handle -  Corner Roller Handle,1,visible,,,102.0,1,Drywall Finishing Tools > Level 5 > Automatic Taping Tools,"4-756, 4-777, 4-778, 4-779, Automatic Taping Tools, Level 5, fixed handle, handles, level 5, level 5 handle, level5 handles",Level 5,ACCESSORY-HANDLE,1,Type,Corner Roller Handle,,,Level 5 Fixed Accessory Handle,4-777,"Level 5 Fixed Accessory Handle - [4-777], Level 5, Drywall Finishing Tools > Level 5 > Automatic Taping Tools, 4-777",Level5 Fixed Accessory Handle -  Corner Roller Handle,,"index,follow",Level 5 Fixed Accessory Handle - [4-777],Level 5,4-777,NewCondition
variation,4-778,ACCESSORY-HANDLE,level-5-fixed-accessory-handle-corner-applicator-handle,Level5 Fixed Accessory Handle -  Corner Applicator Handle,1,visible,,,102.0,1,Drywall Finishing Tools > Level 5 > Automatic Taping Tools,"4-756, 4-777, 4-778, 4-779, Automatic Taping Tools, Level 5, fixed handle, handles, level 5, level 5 handle, level5 handles",Level 5,ACCESSORY-HANDLE,2,Type,Corner Applicator Handle,,,Level 5 Fixed Accessory Handle,4-778,"Level 5 Fixed Accessory Handle - [4-778], Level 5, Drywall Finishing Tools > Level 5 > Automatic Taping Tools, 4-778",Level5 Fixed Accessory Handle -  Corner Applicator Handle,,"index,follow",Level 5 Fixed Accessory Handle - [4-778],Level 5,4-778,NewCondition
variation,4-779,ACCESSORY-HANDLE,level-5-fixed-accessory-handle-corner-finisher-handle,Level5 Fixed Accessory Handle -  Corner Finisher Handle,1,visible,,,102.0,1,Drywall Finishing Tools > Level 5 > Automatic Taping Tools,"4-756, 4-777, 4-778, 4-779, Automatic Taping Tools, Level 5, fixed handle, handles, level 5, level 5 handle, level5 handles",Level 5,ACCESSORY-HANDLE,3,Type,Corner Finisher Handle,,,Level 5 Fixed Accessory Handle,4-779,"Level 5 Fixed Accessory Handle - [4-779], Level 5, Drywall Finishing Tools > Level 5 > Automatic Taping Tools, 4-779",Level5 Fixed Accessory Handle -  Corner Finisher Handle,,"index,follow",Level 5 Fixed Accessory Handle - [4-779],Level 5,4-779,NewCondition
variation,4-756,ACCESSORY-HANDLE,level-5-fixed-accessory-handle-nail-spotter-handle,Level5 Fixed Accessory Handle -  Nail Spotter Handle,1,visible,,,97.0,0,Drywall Finishing Tools > Level 5 > Automatic Taping Tools,"4-756, 4-777, 4-778, 4-779, Automatic Taping Tools, Level 5, fixed handle, handles, level 5, level 5 handle, level5 handles",Level 5,ACCESSORY-HANDLE,4,Type,Nail Spotter Handle,,,Level 5 Fixed Accessory Handle,4-756,"Level 5 Fixed Accessory Handle - [4-756], Level 5, Drywall Finishing Tools > Level 5 > Automatic Taping Tools, 4-756",Level5 Fixed Accessory Handle -  Nail Spotter Handle,,"index,follow",Level 5 Fixed Accessory Handle - [4-756],Level 5,4-756,NewCondition
variable,FLAT-BOX-EXTENSION-HANDLE,,level-5-flat-box-extendable-handle,Level5 Flat Box Extendable Handle,1,visible,Lightweight aluminum build and easy slide adjustment lever provide unrivaled performance and convenience.,"<p>Lightweight aluminum build and easy slide adjustment lever provide unrivaled performance and convenience.</p> <h3>Features</h3> <ul> <li>Effortlessly adjust your handle length on-the-fly for maximum comfort</li> <li>Premium, aircraft-grade aluminum is both strong and lightweight</li> <li>Anodized for corrosion resistance and easy cleaning</li> <li>Simple design means easier maintenance and repairs</li> </ul>",,1,Drywall Finishing Tools > Level 5 > Automatic Taping Tools,"4-759, 4-780, 4-781, 4-782, Automatic Taping Tools, Level 5, flat box handle, flatbox handle, level 5 handle, level5",Level 5,,0,Size,"23"" - 32"" | 30"" - 42"" | 40"" - 62"" | 48"" - 78""",,,Level 5 Flat Box Extendable Handle,LVL5-LEVEL-5-FLAT-BOX-EXTENSION-HANDLE,"Level 5 Flat Box Extendable Handle - [4-782, 4-781, 4-780, 4-759], Level 5, Drywall Finishing Tools > Level 5 > Automatic Taping Tools, LVL5-LEVEL-5-FLAT-BOX-EXTENSION-HANDLE",Level5 Flat Box Extendable Handle -,Lightweight aluminum build and easy slide adjustment lever provide unrivaled performance and convenience.,"index,follow","Level 5 Flat Box Extendable Handle - [4-782, 4-781, 4-780, 4-759]",Level 5,"4-782, 4-781, 4-780, 4-759",NewCondition
variation,4-782,FLAT-BOX-EXTENSION-HANDLE,level-5-flat-box-extendable-handle-23-32,"Level5 Flat Box Extendable Handle -  23"" - 32""",1,visible,,,305.0,1,Drywall Finishing Tools > Level 5 > Automatic Taping Tools,"4-759, 4-780, 4-781, 4-782, Automatic Taping Tools, Level 5, flat box handle, flatbox handle, level 5 handle, level5",Level 5,FLAT-BOX-EXTENSION-HANDLE,1,Size,"23"" - 32""",,,Level 5 Flat Box Extendable Handle,4-782,"Level 5 Flat Box Extendable Handle - [4-782], Level 5, Drywall Finishing Tools > Level 5 > Automatic Taping Tools, 4-782","Level5 Flat Box Extendable Handle -  23"" - 32""",,"index,follow",Level 5 Flat Box Extendable Handle - [4-782],Level 5,4-782,NewCondition
variation,4-781,FLAT-BOX-EXTENSION-HANDLE,level-5-flat-box-extendable-handle-30-42,"Level5 Flat Box Extendable Handle -  30"" - 42""",1,visible,,,325.0,1,Drywall Finishing Tools > Level 5 > Automatic Taping Tools,"4-759, 4-780, 4-781, 4-782, Automatic Taping Tools, Level 5, flat box handle, flatbox handle, level 5 handle, level5",Level 5,FLAT-BOX-EXTENSION-HANDLE,2,Size,"30"" - 42""",,,Level 5 Flat Box Extendable Handle,4-781,"Level 5 Flat Box Extendable Handle - [4-781], Level 5, Drywall Finishing Tools > Level 5 > Automatic Taping Tools, 4-781","Level5 Flat Box Extendable Handle -  30"" - 42""",,"index,follow",Level 5 Flat Box Extendable Handle - [4-781],Level 5,4-781,NewCondition
variation,4-780,FLAT-BOX-EXTENSION-HANDLE,level-5-flat-box-extendable-handle-40-62,"Level5 Flat Box Extendable Handle -  40"" - 62""",1,visible,,,336.0,1,Drywall Finishing Tools > Level 5 > Automatic Taping Tools,"4-759, 4-780, 4-781, 4-782, Automatic Taping Tools, Level 5, flat box handle, flatbox handle, level 5 handle, level5",Level 5,FLAT-BOX-EXTENSION-HANDLE,3,Size,"40"" - 62""",,,Level 5 Flat Box Extendable Handle,4-780,"Level 5 Flat Box Extendable Handle - [4-780], Level 5, Drywall Finishing Tools > Level 5 > Automatic Taping Tools, 4-780","Level5 Flat Box Extendable Handle -  40"" - 62""",,"index,follow",Level 5 Flat Box Extendable Handle - [4-780],Level 5,4-780,NewCondition
variation,4-759,FLAT-BOX-EXTENSION-HANDLE,level-5-flat-box-extendable-handle-48-78,"Level5 Flat Box Extendable Handle -  48"" - 78""",1,visible,,,346.0,1,Drywall Finishing Tools > Level 5 > Automatic Taping Tools,"4-759, 4-780, 4-781, 4-782, Automatic Taping Tools, Level 5, flat box handle, flatbox handle, level 5 handle, level5",Level 5,FLAT-BOX-EXTENSION-HANDLE,4,Size,"48"" - 78""",,,Level 5 Flat Box Extendable Handle,4-759,"Level 5 Flat Box Extendable Handle - [4-759], Level 5, Drywall Finishing Tools > Level 5 > Automatic Taping Tools, 4-759","Level5 Flat Box Extendable Handle -  48"" - 78""",,"index,follow",Level 5 Flat Box Extendable Handle - [4-759],Level 5,4-759,NewCondition
variable,FLAT-BOX-HANDLE,,level-5-flat-box-handle-fixed-length,Level5 Flat Box Handle (Fixed Length),1,visible,The Level 5 Tools Flat Box Handles are designed with a sturdy wrap-around brake that is designed for unlimited positions during use and long wear life.,"<p>The Level 5 Tools Flat Box Handles are designed with a sturdy wrap-around brake that is designed for unlimited positions during use and long wear life.</p> <p>The stainless steel pivoting lever system featured on this drywall handle provides extreme durability and will last longer than other flat box handles. The heavy gauge aluminum tube is stronger than competitive drywall handles and can take job site abuse.</p> <p>Available in 34"", 42"" and 54"" lengths. We also have a range of extendable handles available.</p>",,1,Drywall Finishing Tools > Level 5 > Automatic Taping Tools,"4-711, 4-712, Automatic Taping Tools, Level 5, box handle, fixed handle, flat box handle, level 5, level5",Level 5,,0,Size,"34"" | 42"" | 54""",,,Level 5 Flat Box Handle (Fixed Length),LVL5-LEVEL-5-FLAT-BOX-HANDLE,"Level 5 Flat Box Handle (Fixed Length) - [4-711, 4-712, 4-740], Level 5, Drywall Finishing Tools > Level 5 > Automatic Taping Tools, LVL5-LEVEL-5-FLAT-BOX-HANDLE",Level5 Flat Box Handle (Fixed Length) -,The Level 5 Tools Flat Box Handles are designed with a sturdy wrap-around brake that is designed for unlimited positions during use and long wear life.,"index,follow","Level 5 Flat Box Handle (Fixed Length) - [4-711, 4-712, 4-740]",Level 5,"4-711, 4-712, 4-740",NewCondition
variation,4-711,FLAT-BOX-HANDLE,level-5-flat-box-handle-fixed-length-34,"Level5 Flat Box Handle (Fixed Length) -  34""",1,visible,,,194.0,1,Drywall Finishing Tools > Level 5 > Automatic Taping Tools,"4-711, 4-712, Automatic Taping Tools, Level 5, box handle, fixed handle, flat box handle, level 5, level5",Level 5,FLAT-BOX-HANDLE,1,Size,"34""",,,Level 5 Flat Box Handle (Fixed Length),4-711,"Level 5 Flat Box Handle (Fixed Length) - [4-711], Level 5, Drywall Finishing Tools > Level 5 > Automatic Taping Tools, 4-711","Level5 Flat Box Handle (Fixed Length) -  34""",,"index,follow",Level 5 Flat Box Handle (Fixed Length) - [4-711],Level 5,4-711,NewCondition
variation,4-712,FLAT-BOX-HANDLE,level-5-flat-box-handle-fixed-length-42,"Level5 Flat Box Handle (Fixed Length) -  42""",1,visible,,,203.0,1,Drywall Finishing Tools > Level 5 > Automatic Taping Tools,"4-711, 4-712, Automatic Taping Tools, Level 5, box handle, fixed handle, flat box handle, level 5, level5",Level 5,FLAT-BOX-HANDLE,2,Size,"42""",,,Level 5 Flat Box Handle (Fixed Length),4-712,"Level 5 Flat Box Handle (Fixed Length) - [4-712], Level 5, Drywall Finishing Tools > Level 5 > Automatic Taping Tools, 4-712","Level5 Flat Box Handle (Fixed Length) -  42""",,"index,follow",Level 5 Flat Box Handle (Fixed Length) - [4-712],Level 5,4-712,NewCondition
variation,4-740,FLAT-BOX-HANDLE,level-5-flat-box-handle-fixed-length-54,"Level5 Flat Box Handle (Fixed Length) -  54""",1,visible,,,224.0,1,Drywall Finishing Tools > Level 5 > Automatic Taping Tools,"4-711, 4-712, Automatic Taping Tools, Level 5, box handle, fixed handle, flat box handle, level 5, level5",Level 5,FLAT-BOX-HANDLE,3,Size,"54""",,,Level 5 Flat Box Handle (Fixed Length),4-740,"Level 5 Flat Box Handle (Fixed Length) - [4-740], Level 5, Drywall Finishing Tools > Level 5 > Automatic Taping Tools, 4-740","Level5 Flat Box Handle (Fixed Length) -  54""",,"index,follow",Level 5 Flat Box Handle (Fixed Length) - [4-740],Level 5,4-740,NewCondition
