brand,official_sku,normalized_sku,product_name,alternate_names,section,catalog_item_type,launch_candidate,source_pdf,source_pdf_pages,source_catalog_pages,source_item_nos,source_lines,extraction_methods,source_validation,price,price_source,notes
Columbia,14 FFB,14FFB,"14"" Flat Finisher Box",,Flat Finisher Box,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,12,11,14 FFB,14 FFB 14” Flat Finisher Box,pdf_text,sku_found_in_pdf_text,,,
Columbia,5.5FBB,5.5FBB,"5.5"" Fat Boy Flat Box",,Flat Finisher Box,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,12,11,5.5FBB,5.5FBB 5.5” Fat Boy Flat Box,pdf_text,sku_found_in_pdf_text,,,
Columbia,5.5FFB,5.5FFB,"5.5"" Flat Finisher Box",,Flat Finisher Box,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,12,11,5.5FFB,5.5FFB 5.5” Flat Finisher Box at all times.,pdf_text,sku_found_in_pdf_text,,,
Columbia,7FFB,7FFB,"7"" Flat Finisher Box",,Flat Finisher Box,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,12,11,7FFB,7FFB 7” Flat Finisher Box,pdf_text,sku_found_in_pdf_text,,,
Columbia,8FBB,8FBB,"8"" Fat Boy Flat Box",,Flat Finisher Box,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,12,11,8FBB,8FBB 8” Fat Boy Flat Box,pdf_text,sku_found_in_pdf_text,,,
Columbia,8FFB,8FFB,"8"" Flat Finisher Box",,Flat Finisher Box,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,12,11,8FFB,8FFB 8“ Flat Finisher Box,pdf_text,sku_found_in_pdf_text,,,
Columbia,10FBBA,10FBBA,"10"" Automatic Fat Boy Box",,Automatic Flat Boxes,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,13,12,10FBBA,10FBBA 10” Automatic Fat Boy Box,pdf_text,sku_found_in_pdf_text,,,
Columbia,10FFBA,10FFBA,"10"" Automatic Flat Box",,Automatic Flat Boxes,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,13,12,10FFBA,10FFBA 10” Automatic Flat Box,pdf_text,sku_found_in_pdf_text,,,
Columbia,12FBBA,12FBBA,"12"" Automatic Fat Boy Box",,Automatic Flat Boxes,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,13,12,12FBBA,12FBBA 12” Automatic Fat Boy Box Inside,pdf_text,sku_found_in_pdf_text,,,
Columbia,12FFBA,12FFBA,"12"" Automatic Flat Box",,Automatic Flat Boxes,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,13,12,12FFBA,12FFBA 12” Automatic Flat Box,pdf_text,sku_found_in_pdf_text,,,
Columbia,14FFBA,14FFBA,"14"" Automatic Flat Box",,Automatic Flat Boxes,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,13,12,14FFBA,14FFBA 14” Automatic Flat Box,pdf_text,sku_found_in_pdf_text,,,
Columbia,8FBBA,8FBBA,"8"" Automatic Fat Boy Box",,Automatic Flat Boxes,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,13,12,8FBBA,8FBBA 8” Automatic Fat Boy Box,pdf_text,sku_found_in_pdf_text,,,
Columbia,8FFBA,8FFBA,"8"" Automatic Flat Box",,Automatic Flat Boxes,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,13,12,8FFBA,8FFBA 8” Automatic Flat Box,pdf_text,sku_found_in_pdf_text,,,
Columbia,ITC-K,ITC-K,Track Conversion Kit,,Automatic Flat Boxes,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,13,12,ITC-K,ITC-K Track Conversion Kit,pdf_text,sku_found_in_pdf_text,,,
Columbia,2NS,2NS,"2"" Nail Spotter",,Nail Spotters,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,14,13,2NS,2NS 2” Nail Spotter,pdf_text,sku_found_in_pdf_text,,,
Columbia,3NS,3NS,"3"" Nail Spotter",,Nail Spotters,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,14,13,3NS,3NS 3” Nail Spotter,pdf_text,sku_found_in_pdf_text,,,
Columbia,HNSA-5-2,HNSA-5-2,"2"" Wheel Conversion Kit","Nail Spotter Wheel Kit 2""",Nail Spotters; Maintenance Kits,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,14; 24,13; 23,HNSA-5-2,"HNSA-5-2 2” Wheel Conversion Kit; HNSA-5-2 Nail Spotter Wheel Kit 2""",pdf_text; pdf_visual_table,sku_found_in_pdf_text; sku_verified_from_rendered_pdf_or_garbled_text,,,appears as both tool and maintenance_kit
Columbia,HNSA-5-3,HNSA-5-3,"3"" Wheel Conversion Kit","Nail Spotter Wheel Kit 3""",Nail Spotters; Maintenance Kits,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,14; 24,13; 23,HNSA-5-3,"HNSA-5-3 3” Wheel Conversion Kit; HNSA-5-3 Nail Spotter Wheel Kit 3""",pdf_text; pdf_visual_table,sku_found_in_pdf_text; sku_verified_from_rendered_pdf_or_garbled_text,,,appears as both tool and maintenance_kit
Columbia,BF,BF,Box Filler,,Mud Pumps,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,15,14,BF,BF Box Filler,pdf_text,sku_found_in_pdf_text,,,
Columbia,GN,GN,Gooseneck,,Mud Pumps,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,15,14,GN,GN Gooseneck,pdf_text,sku_found_in_pdf_text,,,
Columbia,HMP,HMP,Hot Mud Pump,,Mud Pumps,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,15,14,HMP,HMP Hot Mud Pump,pdf_text,sku_found_in_pdf_text,,,
Columbia,HMP-C,HMP-C,Hot Mud Pump (CDN),,Mud Pumps,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,15,14,HMP-C,HMP-C Hot Mud Pump (CDN)*,pdf_text,sku_found_in_pdf_text,,,
Columbia,TBBF,TBBF,Tall Boy Box Filler,,Mud Pumps,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,15,14,TBBF,TBBF Tall Boy Box Filler,pdf_text,sku_found_in_pdf_text,,,
Columbia,TBGN,TBGN,Tall Boy Gooseneck,,Mud Pumps,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,15,14,TBGN,TBGN Tall Boy Gooseneck,pdf_text,sku_found_in_pdf_text,,,
Columbia,TBMP,TBMP,Tall Boy Hot Mud Pump,,Mud Pumps,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,15,14,TBMP,TBMP Tall Boy Hot Mud Pump,pdf_text,sku_found_in_pdf_text,,,
Columbia,CLTHA,CLTHA,Tomalock Adapter,,Smoothing Blades,smoothing_tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,16,15,CLTHA,The CLTHA,pdf_text,sku_found_in_pdf_text,,,
Columbia,TSB-10,TSB-10,"10"" Tomahawk",,Smoothing Blades,smoothing_tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,16,15,TSB-10,TSB-10 10” Tomahawk,pdf_text,sku_found_in_pdf_text,,,
Columbia,TSB-12,TSB-12,"12"" Tomahawk",,Smoothing Blades,smoothing_tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,16,15,TSB-12,TSB-12 12” Tomahawk,pdf_text,sku_found_in_pdf_text,,,
Columbia,TSB-14,TSB-14,"14"" Tomahawk",,Smoothing Blades,smoothing_tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,16,15,TSB-14,TSB-14 14” Tomahawk,pdf_text,sku_found_in_pdf_text,,,
Columbia,TSB-18,TSB-18,"18"" Tomahawk",,Smoothing Blades,smoothing_tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,16,15,TSB-18,TSB-18 18” Tomahawk,pdf_text,sku_found_in_pdf_text,,,
Columbia,TSB-24,TSB-24,"24"" Tomahawk",,Smoothing Blades,smoothing_tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,16,15,TSB-24,TSB-24 24” Tomahawk,pdf_text,sku_found_in_pdf_text,,,
Columbia,TSB-32,TSB-32,"32"" Tomahawk",,Smoothing Blades,smoothing_tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,16,15,TSB-32,TSB-32 32” Tomahawk,pdf_text,sku_found_in_pdf_text,,,
Columbia,TSB-40,TSB-40,"40"" Tomahawk",,Smoothing Blades,smoothing_tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,16,15,TSB-40,TSB-40 40” Tomahawk,pdf_text,sku_found_in_pdf_text,,,
Columbia,TSB-48,TSB-48,"48"" Tomahawk",,Smoothing Blades,smoothing_tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,16,15,TSB-48,TSB-48 48” Tomahawk,pdf_text,sku_found_in_pdf_text,,,
Columbia,TSB-7,TSB-7,"7"" Tomahawk",,Smoothing Blades,smoothing_tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,16,15,TSB-7,TSB-7 7” Tomahawk,pdf_text,sku_found_in_pdf_text,,,
Columbia,C1H,C1H,Columbia One Handle,,Columbia One,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,17,16,C1H,C1H Columbia One Handle,pdf_text,sku_found_in_pdf_text,,,
Columbia,C1HEXT,C1HEXT,Columbia One Extendible (3-5'),,Columbia One,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,17,16,C1HEXT,C1HEXT Columbia One Extendible (3-5’),pdf_text,sku_found_in_pdf_text,,,
Columbia,C1HS,C1HS,Columbia One Handle Stubby,,Columbia One,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,17,16,C1HS,C1HS Columbia One Handle Stubby,pdf_text,sku_found_in_pdf_text,,,
Columbia,CHXL,CHXL,Columbia Long Extendible (4-8'),,Columbia One,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,17,16,CHXL,CHXL Columbia Long Extendible (4-8’),pdf_text,sku_found_in_pdf_text,,,
Columbia,3BH,3BH,3' 180 Degree Grip Flat Box Handle,,Flat Box Handles,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,18,17,3BH,3BH 3’ 180° Grip Flat Box Handle,pdf_text,sku_found_in_pdf_text,,,
Columbia,42BH,42BH,"42"" 180 Degree Grip Flat Box Handle",,Flat Box Handles,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,18,17,42BH,42BH 42” 180° Grip Flat Box Handle,pdf_text,sku_found_in_pdf_text,,,
Columbia,4BH,4BH,4' 180 Degree Grip Flat Box Handle,,Flat Box Handles,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,18,17,4BH,4BH 4’ 180° Grip Flat Box Handle,pdf_text,sku_found_in_pdf_text,,,
Columbia,5BH,5BH,5' 180 Degree Grip Flat Box Handle,,Flat Box Handles,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,18,17,5BH,5BH 5’ 180° Grip Flat Box Handle,pdf_text,sku_found_in_pdf_text,,,
Columbia,6BH,6BH,6' 180 Degree Grip Flat Box Handle,,Flat Box Handles,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,18,17,6BH,6BH 6’ 180° Grip Flat Box Handle,pdf_text,sku_found_in_pdf_text,,,
Columbia,CMH,CMH,Closet Monster Handle,,Flat Box Handles,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,18,17,CMH,CMH Closet Monster Handle,pdf_text,sku_found_in_pdf_text,,,
Columbia,MH,MH,"Matrix Flat Box Handle 40-60""",,Flat Box Handles,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,18,17,MH,CMH Closet Monster Handle,pdf_text,sku_found_in_pdf_text,,,
Columbia,MHL,MHL,"Matrix Flat Box Handle 56-76""",,Flat Box Handles,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,18,17,MHL,MHL Matrix Flat Box Handle 56-76”,pdf_text,sku_found_in_pdf_text,,,
Columbia,MHS,MHS,"Matrix Flat Box Handle 29-39""",,Flat Box Handles,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,18,17,MHS,MHS Matrix Flat Box Handle 29-39”,pdf_text,sku_found_in_pdf_text,,,
Columbia,CLT24,CLT24,"24"" Cam Lock Tube",,Semi Automatic Taper / Compound Tubes,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,19,18,CLT24,CLT24 24” Cam Lock Tube,pdf_text,sku_found_in_pdf_text,,,
Columbia,CLT32,CLT32,"32"" Cam Lock Tube",,Semi Automatic Taper / Compound Tubes,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,19,18,CLT32,CLT32 32” Cam Lock Tube,pdf_text,sku_found_in_pdf_text,,,
Columbia,CLT42,CLT42,"42"" Cam Lock Tube",,Semi Automatic Taper / Compound Tubes,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,19,18,CLT42,CLT42 42” Cam Lock Tube,pdf_text,sku_found_in_pdf_text,,,
Columbia,CLT55,CLT55,"55"" Cam Lock Tube",,Semi Automatic Taper / Compound Tubes,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,19,18,CLT55,CLT55 55” Cam Lock Tube,pdf_text,sku_found_in_pdf_text,,,
Columbia,CMT24,CMT24,"24"" Compound Tube",,Semi Automatic Taper / Compound Tubes,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,19,18,CMT24,CMT24 24” Compound Tube Stainless steel ball,pdf_text,sku_found_in_pdf_text,,,
Columbia,CMT32,CMT32,"32"" Compound Tube",,Semi Automatic Taper / Compound Tubes,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,19,18,CMT32,CMT32 32” Compound Tube,pdf_text,sku_found_in_pdf_text,,,
Columbia,CMT42,CMT42,"42"" Compound Tube",,Semi Automatic Taper / Compound Tubes,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,19,18,CMT42,CMT42 42” Compound Tube,pdf_text,sku_found_in_pdf_text,,,
Columbia,CMT55,CMT55,"55"" Compound Tube",,Semi Automatic Taper / Compound Tubes,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,19,18,CMT55,CMT55 55” Compound Tube,pdf_text,sku_found_in_pdf_text,,,
Columbia,SAT,SAT,Semi Automatic Taper,,Semi Automatic Taper / Compound Tubes,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,19,18,SAT,specific amount of compound to a large volume of tape. It has a tape,pdf_text,sku_found_in_pdf_text,,,
Columbia,CEXT90,CEXT90,External 90 Applicator,,Billet Mud Applicators / UHMW Mud Applicators,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,20,19,CEXT90,CEXT90 External 90 Applicator,pdf_text,sku_found_in_pdf_text,,,
Columbia,CFLT,CFLT,Flat Applicator,,Billet Mud Applicators / UHMW Mud Applicators,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,20,19,CFLT,CFLT Flat Applicator,pdf_text,sku_found_in_pdf_text,,,
Columbia,FMH,FMH,L-Trim Applicator (Plastic),,Billet Mud Applicators / UHMW Mud Applicators,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,20,19,FMH,FMH L-Trim Applicator (Plastic),pdf_text,sku_found_in_pdf_text,,,
Columbia,IA90,IA90,Inside 90 Degree Applicator (Plastic),,Billet Mud Applicators / UHMW Mud Applicators,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,20,19,IA90,IA90 Inside 90° Applicator (Plastic),pdf_text,sku_found_in_pdf_text,,,
Columbia,ICA2-1,ICA2-1,"Inside Corner Applicator (2 Wheels) - 1""",,Billet Mud Applicators / UHMW Mud Applicators,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,20,19,ICA2-1,ICA2-1 Inside Corner Applicator (2 Wheels) - 1”,pdf_text,sku_found_in_pdf_text,,,
Columbia,ICA4-1,ICA4-1,"Inside Corner Applicator (4 Wheels) - 1""",,Billet Mud Applicators / UHMW Mud Applicators,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,20,19,ICA4-1,ICA4-1 Inside Corner Applicator (4 Wheels) - 1”,pdf_text,sku_found_in_pdf_text,,,
Columbia,ICATW,ICATW,Two-Way Internal Corner Applicator (4 Wheels),,Billet Mud Applicators / UHMW Mud Applicators,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,20,19,ICATW,ICATW Two-Way Internal Corner Applicator (4 Wheels),pdf_text,sku_found_in_pdf_text,,,
Columbia,OA90,OA90,Outside 90 Degree Applicator (Plastic),,Billet Mud Applicators / UHMW Mud Applicators,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,20,19,OA90,OA90 Outside 90° Applicator (Plastic),pdf_text,sku_found_in_pdf_text,,,
Columbia,OA90-325,OA90-325,Outside 90 Degree 325 Applicator (Plastic),,Billet Mud Applicators / UHMW Mud Applicators,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,20,19,OA90-325,OA90-325 Outside 90° 325 Applicator (Plastic),pdf_text,sku_found_in_pdf_text,,,
Columbia,2.5CSF,2.5CSF,"2.5"" Combo Flusher",,Corner Flushers,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,21,20,2.5CSF,2.5CSF 2.5” Combo Flusher,pdf_text,sku_found_in_pdf_text,,,
