"type","path","from_id","to_id","from_title","to_title"
"json_update","Columbia\Schematics\AutomaticTapers\PredatorTaper\Head\schematic_data.json","columbia-predator-taper-head","columbia-predator-taper-head","predator_taper_head","PREDATOR-TAPER-HEAD"
"json_update","Columbia\Schematics\CompoundTubes\CamLockTube\schematic_data.json","columbia-cam-lock-tube-2019","columbia-cam-lock-tube-2019","Cam_Lock_Tube_2019","CAM-LOCK-TUBE-2019"
"json_update","Columbia\Schematics\CornerFlushers\ComboFlusher\schematic_data.json","columbia-classic-combo-flusher-1","columbia-classic-combo-flusher-1","Classic_Combo_Flusher-1","CLASSIC-COMBO-FLUSHER-1"
"json_update","Columbia\Schematics\CornerRollers\CornerCobra\schematic_data.json","columbia-corner-cobra","columbia-corner-cobra","Corner Cobra","CORNER-COBRA"
"json_update","Columbia\Schematics\CornerRollers\InsideCornerRoller\schematic_data.json","columbia-insidecornerroller-2014-1-squared","columbia-insidecornerroller-2014-1-squared","InsideCornerRoller-2014_1-squared","INSIDECORNERROLLER-2014-1-SQUARED"
"json_update","Columbia\Schematics\FinishingBoxes\FatBoyBox\schematic_data.json","columbia-fat-boy-box","columbia-fat-boy-box","fat_boy_box","FAT-BOY-BOX"
"json_update","Columbia\Schematics\Handles\ColumbiaOne\schematic_data.json","columbia-columbia-one","columbia-columbia-one","Columbia_One","COLUMBIA-ONE"
"json_update","Columbia\Schematics\Handles\MatrixBoxHandle\BoxHandle\schematic_data.json","columbia-matrix-handle","columbia-matrix-handle","Matrix_Handle","MATRIX-HANDLE"
"json_update","Columbia\Schematics\Handles\MatrixBoxHandle\ExtensionHousing\schematic_data.json","columbia-extension-housing-schematic-1","columbia-extension-housing-schematic-1","Extension_Housing_Schematic-1","EXTENSION-HOUSING-SCHEMATIC-1"
"json_update","Columbia\Schematics\Handles\MatrixBoxHandle\Head\schematic_data.json","columbia-matrix-head","columbia-matrix-head","Matrix_Head","MATRIX-HEAD"
"json_update","Columbia\Schematics\Handles\MatrixBoxHandle\Lever\schematic_data.json","columbia-matrix-lever-1","columbia-matrix-lever-1","Matrix_Lever-1","MATRIX-LEVER-1"
"json_update","Columbia\Schematics\Handles\MatrixBoxHandle\Pinchbox\schematic_data.json","columbia-matrix-pinchbox-1","columbia-matrix-pinchbox-1","Matrix_Pinchbox-1","MATRIX-PINCHBOX-1"
"json_update","Columbia\Schematics\Pumps\BoxFiller\schematic_data.json","columbia-box-filler","columbia-box-filler","Box_Filler","BOX-FILLER"
"json_update","Level5\Schematics\AutomaticTapers\Cover-Plate-Assembly\schematic_data.json","level5-7377-cover-plate-assembly-old-style","level5-7377-cover-plate-assembly-old-style","7377_SCH","7377-SCH"
"json_update","Level5\Schematics\AutomaticTapers\Cutter-Chain-Assembly\schematic_data.json","level5-9333-cutter-chain-assembly","level5-9333-cutter-chain-assembly","9333_SCH","9333-SCH"
"json_update","Level5\Schematics\AutomaticTapers\Drive-Dog-Assembly\schematic_data.json","level5-7097-drive-dog-assembly","level5-7097-drive-dog-assembly","7097_SCH","7097-SCH"
"json_update","Level5\Schematics\AutomaticTapers\Gooser-Assembly\schematic_data.json","level5-7293-gooser-assembly","level5-7293-gooser-assembly","7293_SCH","7293-SCH"
"json_update","Level5\Schematics\AutomaticTapers\Taper-Wheel-Assembly\schematic_data.json","level5-7218-taper-wheel-assembly","level5-7218-taper-wheel-assembly","7218_SCH","7218-SCH"
"json_update","Level5\Schematics\CornerFinishers\3.5-inch-Corner-Finisher\schematic_data.json","level5-4-734-3-5-corner-finisher","level5-4-734-3-5-corner-finisher","4-734_SCH","4-734-SCH"
"json_update","Level5\Schematics\CornerRollers\Corner-Roller\schematic_data.json","level5-corner-roller-4-707","level5-corner-roller-4-707","4-707_SCH","4-707-SCH"
"json_update","Level5\Schematics\FinishingBoxes\10-inch-Flat-Box\schematic_data.json","level5-10-inch-flat-box-4-765","level5-10-inch-flat-box-4-765","4-765_SCH","4-765-SCH"
"json_update","Level5\Schematics\FinishingBoxes\10-inch-Mega-Flat-Box\schematic_data.json","level5-10-inch-mega-flat-box-4-768","level5-10-inch-mega-flat-box-4-768","4-768_SCH","4-768-SCH"
"json_update","Level5\Schematics\FinishingBoxes\12-inch-Flat-Box\schematic_data.json","level5-12-inch-flat-box-4-766","level5-12-inch-flat-box-4-766","4-766_SCH","4-766-SCH"
"json_update","Level5\Schematics\FinishingBoxes\12-inch-Mega-Box\schematic_data.json","level5-12-inch-mega-box-4-769","level5-12-inch-mega-box-4-769","4-769_SCH","4-769-SCH"
"json_update","Level5\Schematics\FinishingBoxes\14-inch-Flat-Box\schematic_data.json","level5-14-inch-flat-box-4-770","level5-14-inch-flat-box-4-770","4-770_SCH","4-770-SCH"
"json_update","Level5\Schematics\FinishingBoxes\7-inch-Flat-Box\schematic_data.json","level5-7-inch-flat-box-4-764","level5-7-inch-flat-box-4-764","4-764_SCH","4-764-SCH"
"json_update","Level5\Schematics\FinishingBoxes\7-inch-Mega-Flat-Box\schematic_data.json","level5-7-inch-mega-flat-box-4-767","level5-7-inch-mega-flat-box-4-767","4-767_SCH","4-767-SCH"
"json_update","Level5\Schematics\Pumps\Compound-Pump\schematic_data.json","level5-compound-pump-4-771","level5-compound-pump-4-771","4-771_SCH","4-771-SCH"
"json_update","Platinum\Schematics\CompoundPump\schematic_data.json","platinum-compound-pump","platinum-compound-pump","PT-Compound-Pump_SCH","PT-COMPOUND-PUMP-SCH"
"json_update","Platinum\Schematics\CornerRollerHandle\schematic_data.json","platinum-platinum-corner-roller-handle-page-001","platinum-platinum-corner-roller-handle-page-001","platinum_corner_roller_Handle-page-001","PLATINUM-CORNER-ROLLER-HANDLE-PAGE-001"
"json_update","Platinum\Schematics\FlatBox\schematic_data.json","platinum-flat-box","platinum-flat-box","Platinum_Flat_Box_SCH","PLATINUM-FLAT-BOX-SCH"
"json_update","Platinum\Schematics\OutsideCornerRoller\schematic_data.json","platinum-outside-corner-roller","platinum-outside-corner-roller","platinum_outside_cornerroller_SCH","PLATINUM-OUTSIDE-CORNERROLLER-SCH"
"json_update","TapeTech\Schematics\07TT\schematic_data.json","tapetech-07tt-sch-v11","tapetech-07tt-sch-v11","07TT_SCH_v11","07TT-SCH-V11"
"json_update","TapeTech\Schematics\17TT\schematic_data.json","tapetech-17tt-sch","tapetech-17tt-sch","17TT_SCH","17TT-SCH"
"json_update","TapeTech\Schematics\20TTX\schematic_data.json","tapetech-20ttx-sch","tapetech-20ttx-sch","20TTX_SCH","20TTX-SCH"
"json_update","TapeTech\Schematics\25TTX\schematic_data.json","tapetech-25ttx-sch","tapetech-25ttx-sch","25TTX_SCH","25TTX-SCH"
"json_update","TapeTech\Schematics\30TTX\schematic_data.json","tapetech-30ttx-sch","tapetech-30ttx-sch","30TTX_SCH","30TTX-SCH"
"json_update","TapeTech\Schematics\35TT\schematic_data.json","tapetech-35tt-sch","tapetech-35tt-sch","35TT_SCH","35TT-SCH"
"json_update","TapeTech\Schematics\40TT\schematic_data.json","tapetech-40tt-sch","tapetech-40tt-sch","40TT_SCH","40TT-SCH"
"json_update","TapeTech\Schematics\42TT\schematic_data.json","tapetech-42tt-sch","tapetech-42tt-sch","42TT_SCH","42TT-SCH"
"json_update","TapeTech\Schematics\45TT\schematic_data.json","tapetech-45tt-sch","tapetech-45tt-sch","45TT_SCH","45TT-SCH"
"json_update","TapeTech\Schematics\48TT\schematic_data.json","tapetech-48tt-sch","tapetech-48tt-sch","48TT_SCH","48TT-SCH"
"json_update","TapeTech\Schematics\50TT\schematic_data.json","tapetech-50tt-sch","tapetech-50tt-sch","50TT_SCH","50TT-SCH"
"json_update","TapeTech\Schematics\63TT\schematic_data.json","tapetech-63tt-sch","tapetech-63tt-sch","63TT_SCH","63TT-SCH"
"json_update","TapeTech\Schematics\68TT\schematic_data.json","tapetech-68tt-sch","tapetech-68tt-sch","68TT_SCH","68TT-SCH"
"json_update","TapeTech\Schematics\8054TT\schematic_data.json","tapetech-8054tt-sch","tapetech-8054tt-sch","8054TT_SCH","8054TT-SCH"
