status,schematic_id,brand,old_model_number,new_model_number,old_model_name,new_model_name,method,confidence,catalog_source
unchanged,columbia-3-5inch-corner-flusher-schematic-2015,Columbia Tools,3.5INCH-CORNER-FLUSHER-SCHEMATIC-2015,3.5INCH-CORNER-FLUSHER-SCHEMATIC-2015,3.5INCH CORNER FLUSHER SCHEMATIC 2015,3.5INCH CORNER FLUSHER SCHEMATIC 2015,,,
unchanged,columbia-8-wheel-external-corner-applicator-1,Columbia Tools,8-WHEEL-EXTERNAL-CORNER-APPLICATOR-1,8-WHEEL-EXTERNAL-CORNER-APPLICATOR-1,8 WHEEL EXTERNAL CORNER APPLICATOR 1,8 WHEEL EXTERNAL CORNER APPLICATOR 1,,,
unchanged,columbia-anglehead-2014-3,Columbia Tools,AngleHead-2014-3,AngleHead-2014-3,AngleHead 2014 3,AngleHead 2014 3,,,
unchanged,columbia-auto-box-schematic-2022,Columbia Tools,AUTO-BOX-SCHEMATIC-2022,AUTO-BOX-SCHEMATIC-2022,AUTO BOX SCHEMATIC 2022,AUTO BOX SCHEMATIC 2022,,,
unchanged,columbia-box-filler,Columbia Tools,BOX-FILLER,BOX-FILLER,BOX FILLER,BOX FILLER,,,
unchanged,columbia-cam-lock-tube-2019,Columbia Tools,CAM-LOCK-TUBE-2019,CAM-LOCK-TUBE-2019,CAM LOCK TUBE 2019,CAM LOCK TUBE 2019,,,
unchanged,columbia-classic-combo-flusher-1,Columbia Tools,CLASSIC-COMBO-FLUSHER-1,CLASSIC-COMBO-FLUSHER-1,CLASSIC COMBO FLUSHER 1,CLASSIC COMBO FLUSHER 1,,,
unchanged,columbia-closetmonster-2015,Columbia Tools,ClosetMonster-2015,ClosetMonster-2015,ClosetMonster 2015,ClosetMonster 2015,,,
unchanged,columbia-compound-tube-schematic-2022,Columbia Tools,COMPOUND-TUBE-SCHEMATIC-2022,COMPOUND-TUBE-SCHEMATIC-2022,COMPOUND TUBE SCHEMATIC 2022,COMPOUND TUBE SCHEMATIC 2022,,,
unchanged,columbia-corner-box-schematic,Columbia Tools,CORNER-BOX-SCHEMATIC,CORNER-BOX-SCHEMATIC,CORNER BOX,CORNER BOX,,,
unchanged,columbia-corner-cobra,Columbia Tools,CORNER-COBRA,CORNER-COBRA,CORNER COBRA,CORNER COBRA,,,
unchanged,columbia-directstandardflusher-2015,Columbia Tools,DirectStandardFlusher-2015,DirectStandardFlusher-2015,DirectStandardFlusher 2015,DirectStandardFlusher 2015,,,
unchanged,columbia-extendable-handle,Columbia Tools,extendable-handle,extendable-handle,extendable handle,extendable handle,,,
unchanged,columbia-extension-housing-schematic-1,Columbia Tools,EXTENSION-HOUSING-SCHEMATIC-1,EXTENSION-HOUSING-SCHEMATIC-1,EXTENSION HOUSING SCHEMATIC 1,EXTENSION HOUSING SCHEMATIC 1,,,
unchanged,columbia-fat-boy-box,Columbia Tools,FAT-BOY-BOX,FAT-BOY-BOX,FAT BOY BOX,FAT BOY BOX,,,
unchanged,columbia-flat-box-hinged-schematic-2022,Columbia Tools,FLAT-BOX-HINGED-SCHEMATIC-2022,FLAT-BOX-HINGED-SCHEMATIC-2022,FLAT BOX HINGED SCHEMATIC 2022,FLAT BOX HINGED SCHEMATIC 2022,,,
unchanged,columbia-gooseneck-1-1,Columbia Tools,Gooseneck-1-1,Gooseneck-1-1,Gooseneck 1 1,Gooseneck 1 1,,,
unchanged,columbia-ica1-2-2015,Columbia Tools,ICA1-2-2015,ICA1-2-2015,ICA1 2 2015,ICA1 2 2015,,,
unchanged,columbia-ica1-4-2015,Columbia Tools,ICA1-4-2015,ICA1-4-2015,ICA1 4 2015,ICA1 4 2015,,,
unchanged,columbia-insidecornerroller-2014-1-squared,Columbia Tools,INSIDECORNERROLLER-2014-1-SQUARED,INSIDECORNERROLLER-2014-1-SQUARED,INSIDECORNERROLLER 2014 1 SQUARED,INSIDECORNERROLLER 2014 1 SQUARED,,,
unchanged,columbia-matrix-head,Columbia Tools,MATRIX-HEAD,MATRIX-HEAD,MATRIX HEAD,MATRIX HEAD,,,
unchanged,columbia-matrix-lever-1,Columbia Tools,MATRIX-LEVER-1,MATRIX-LEVER-1,MATRIX LEVER 1,MATRIX LEVER 1,,,
unchanged,columbia-matrix-pinchbox-1,Columbia Tools,MATRIX-PINCHBOX-1,MATRIX-PINCHBOX-1,MATRIX PINCHBOX 1,MATRIX PINCHBOX 1,,,
unchanged,columbia-mud-pump-schematic-2022,Columbia Tools,MUD-PUMP-SCHEMATIC-2022,MUD-PUMP-SCHEMATIC-2022,MUD PUMP SCHEMATIC 2022,MUD PUMP SCHEMATIC 2022,,,
unchanged,columbia-nail-spotter-schematic-2022,Columbia Tools,NAIL-SPOTTER-SCHEMATIC-2022,NAIL-SPOTTER-SCHEMATIC-2022,NAIL SPOTTER SCHEMATIC 2022,NAIL SPOTTER SCHEMATIC 2022,,,
unchanged,columbia-outsidecornerrollers-2016-1,Columbia Tools,OutsideCornerRollers-2016-1,OutsideCornerRollers-2016-1,OutsideCornerRollers 2016 1,OutsideCornerRollers 2016 1,,,
unchanged,columbia-predator-taper-body,Columbia Tools,PREDATOR-TAPER-BODY,PREDATOR-TAPER-BODY,PREDATOR TAPER BODY,PREDATOR TAPER BODY,,,
unchanged,columbia-sander-head-schematic,Columbia Tools,SANDER-HEAD-SCHEMATIC,SANDER-HEAD-SCHEMATIC,SANDER HEAD,SANDER HEAD,,,
unchanged,columbia-semi-automatic-taper-schematic-2022,Columbia Tools,SEMI-AUTOMATIC-TAPER-SCHEMATIC-2022,SEMI-AUTOMATIC-TAPER-SCHEMATIC-2022,SEMI AUTOMATIC TAPER SCHEMATIC 2022,SEMI AUTOMATIC TAPER SCHEMATIC 2022,,,
unchanged,columbia-tall-boy-mud-pump-schematic-2022,Columbia Tools,TALL-BOY-MUD-PUMP-SCHEMATIC-2022,TALL-BOY-MUD-PUMP-SCHEMATIC-2022,TALL BOY MUD PUMP SCHEMATIC 2022,TALL BOY MUD PUMP SCHEMATIC 2022,,,
unchanged,columbia-tomahawk-schematic-2022,Columbia Tools,TOMAHAWK-SCHEMATIC-2022,TOMAHAWK-SCHEMATIC-2022,TOMAHAWK SCHEMATIC 2022,TOMAHAWK SCHEMATIC 2022,,,
unchanged,platinum-compound-pump,Platinum Drywall Tools,PT-COMPOUND-PUMP-SCH,PT-COMPOUND-PUMP-SCH,Compound Pump,Compound Pump,,,
unchanged,tapetech-07tt-sch-v11,TapeTech,07TT-SCH-V11,07TT-SCH-V11,07TT SCH V11,07TT SCH V11,,,
unchanged,tapetech-17tt-sch,TapeTech,17TT-SCH,17TT-SCH,17TT SCH,17TT SCH,,,
unchanged,tapetech-20ttx-sch,TapeTech,20TTX-SCH,20TTX-SCH,20TTX SCH,20TTX SCH,,,
unchanged,tapetech-25ttx-sch,TapeTech,25TTX-SCH,25TTX-SCH,25TTX SCH,25TTX SCH,,,
unchanged,tapetech-30ttx-sch,TapeTech,30TTX-SCH,30TTX-SCH,30TTX SCH,30TTX SCH,,,
unchanged,tapetech-35tt-sch,TapeTech,35TT-SCH,35TT-SCH,35TT SCH,35TT SCH,,,
unchanged,tapetech-40tt-sch,TapeTech,40TT-SCH,40TT-SCH,40TT SCH,40TT SCH,,,
unchanged,tapetech-42tt-sch,TapeTech,42TT-SCH,42TT-SCH,42TT SCH,42TT SCH,,,
unchanged,tapetech-45tt-sch,TapeTech,45TT-SCH,45TT-SCH,45TT SCH,45TT SCH,,,
unchanged,tapetech-48tt-sch,TapeTech,48TT-SCH,48TT-SCH,48TT SCH,48TT SCH,,,
unchanged,tapetech-50tt-sch,TapeTech,50TT-SCH,50TT-SCH,50TT SCH,50TT SCH,,,
unchanged,tapetech-63tt-sch,TapeTech,63TT-SCH,63TT-SCH,63TT SCH,63TT SCH,,,
unchanged,tapetech-68tt-sch,TapeTech,68TT-SCH,68TT-SCH,68TT SCH,68TT SCH,,,
unchanged,tapetech-8054tt-sch,TapeTech,8054TT-SCH,8054TT-SCH,8054TT SCH,8054TT SCH,,,
