action,schematic_id,brand,old_model_number,new_model_number,model_name,catalog_sku,catalog_name,catalog_type,catalog_kind,score,runner_up_score,reason
review,asgard-xh-ad,Asgard,XH-AD,XH-AD,Extendable Support Handle,,,,,0,0,no candidate
update,columbia-2-way-internal-corner,Columbia Tools,CTT-ICA2,ICATW,2-Way Internal Corner Applicator,ICATW,Columbia Billet Mud Applicator - Two-Way Internal Corner - 4 Wheels,variation,drywall-finishing-tool,99,38,"model name contained, tokens 8/3, image filename SKU, variation label"
review,columbia-angle-head,Columbia Tools,CTT-AH,CTT-AH,Angle Head,AHA,Columbia Angle Head Adapter,simple,drywall-finishing-tool,99,99,"model name contained, tokens 2/2, exact model phrase"
update,columbia-automatic-flat-box,Columbia Tools,CTT-AFB,COL-AUTOMATIC-FLAT-BOX,Automatic Flat Box,COL-AUTOMATIC-FLAT-BOX,Columbia Automatic Flat Box,variable,drywall-finishing-tool,99,88,"model name contained, tokens 3/3, exact model phrase, family product"
review,columbia-box-filler,Columbia Tools,BOXFILLER,BOXFILLER,Box Filler,COL-BOX-FILLER,Columbia Box Filler,variable,drywall-finishing-tool,99,99,"model name contained, tokens 2/2, exact model phrase, family product"
update,columbia-cam-lock-tube,Columbia Tools,CTT-CLT,COL-CAM-LOCK-TUBE,Cam Lock Tube,COL-CAM-LOCK-TUBE,Columbia Cam Lock Tube,variable,drywall-finishing-tool,99,88,"model name contained, tokens 3/3, exact model phrase, family product"
review,columbia-closet-monster-flat-box-handle,Columbia Tools,CTT-CM,CTT-CM,Closet Monster Flat Box Handle,CMH,Columbia Closet Monster Handle,simple,drywall-finishing-tool,76,26,"catalog name contained, tokens 4/4"
update,columbia-combo-flusher,Columbia Tools,CTT-CCF,COL-COMBO-FLUSHER,Combo Flusher,COL-COMBO-FLUSHER,Columbia Combo Flusher,variable,drywall-finishing-tool,99,88,"model name contained, tokens 2/2, exact model phrase, family product"
review,columbia-compound-tube,Columbia Tools,CTT-CT,CTT-CT,Compound Tube,PCMT42,"Columbia Predator Compound Tube 42""",simple,drywall-finishing-tool,99,99,"model name contained, tokens 2/2, exact model phrase"
update,columbia-corner-cobra,Columbia Tools,CORNERCOBRA,CC,Corner Cobra,CC,Columbia Corner Cobra,simple,drywall-finishing-tool,99,9,"model name contained, tokens 1/1, exact model phrase"
review,columbia-direct-corner-flusher,Columbia Tools,CTT-DCF,CTT-DCF,Direct Corner Flusher,2.5DF,"Columbia Direct Flusher - 2.5""",variation,drywall-finishing-tool,91,86,"model name contained, tokens 3/2, image filename SKU, variation label not in seed"
update,columbia-external-corner-applicator,Columbia Tools,CTT-ECA,CEXT90,External Corner Applicator,CEXT90,Columbia Billet Mud Applicator - External 90,variation,drywall-finishing-tool,99,38,"model name contained, tokens 5/2, image filename SKU, variation label"
update,columbia-fat-boy-box,Columbia Tools,CTT-FBB,COL-AUTOMATIC-FAT-BOY-BOX,Fat Boy Box,COL-AUTOMATIC-FAT-BOY-BOX,Columbia Automatic Fat Boy Box,variable,drywall-finishing-tool,99,88,"model name contained, tokens 3/3, exact model phrase, family product"
review,columbia-flat-box,Columbia Tools,CTT-FB,CTT-FB,Flat Box,COL-FAT-BOY-FLAT-BOX,Columbia Fat Boy Flat Box,variable,drywall-finishing-tool,99,99,"model name contained, tokens 2/2, exact model phrase, family product"
review,columbia-flat-box-handle,Columbia Tools,CTT-FBH,CTT-FBH,Flat Box Handle,COL-MATRIX-FLAT-BOX-HANDLE,Columbia Matrix Flat Box Handle,variable,drywall-finishing-tool,99,99,"model name contained, tokens 2/2, exact model phrase, family product"
review,columbia-gooseneck-adapter,Columbia Tools,CTT-GNA,CTT-GNA,Gooseneck Adapter,COL-GOOSENECK,Columbia Gooseneck,variable,drywall-finishing-tool,80,76,"catalog name contained, tokens 2/2, family product"
review,columbia-inside-corner-applicator,Columbia Tools,2WHEEL,2WHEEL,Inside Corner Applicator,ICA2-1,"Columbia Billet Mud Applicator - Inside Corner - 2 Wheels - 1""",variation,drywall-finishing-tool,91,91,"model name contained, tokens 6/2, image filename SKU, variation label not in seed"
review,columbia-inside-corner-roller,Columbia Tools,CTT-ICR,CTT-ICR,Inside Corner Roller,CR,Columbia Corner Roller,simple,drywall-finishing-tool,59,21,"catalog name contained, tokens 1/2"
update,columbia-long-extendable-handle,Columbia Tools,CTT-LEH,PCHXL,Long Extendable Handle,PCHXL,Columbia Predator One Handle - Long Extendable 4'-8',variation,drywall-finishing-tool,99,77,"model name contained, tokens 3/2, variation label"
review,columbia-matrix,Columbia Tools,CTT-MH,CTT-MH,Predator Matrix Handle,COL-PREDATOR-MATRIX-HANDLE,Columbia Predator Matrix Handle,variable,drywall-finishing-tool,99,99,"model name contained, tokens 2/1, exact model phrase, family product"
review,columbia-mud-pump,Columbia Tools,CTT-MP,CTT-MP,Mud Pump,PHMP,Columbia Predator Mud Pump,simple,drywall-finishing-tool,99,99,"model name contained, tokens 2/2, exact model phrase"
review,columbia-nailspotter,Columbia Tools,CTT-NS,CTT-NS,"Nailspotter 3""",2NS,"Columbia Nail Spotter - 2""",variation,drywall-finishing-tool,52,52,"tokens 3/2, variation label"
update,columbia-one,Columbia Tools,CTT-C1,COL-ONE-HANDLE,Columbia One,COL-ONE-HANDLE,Columbia One Handle,variable,drywall-finishing-tool,99,88,"model name contained, tokens 1/1, exact model phrase, family product"
review,columbia-predator-taper,Columbia Tools,CTT-PAT,CTT-PAT,Predator Taper,TAPER,"Columbia Automatic Taper - Standard 53""",variation,drywall-finishing-tool,91,91,"model name contained, tokens 2/1, image filename SKU, variation label not in seed"
review,columbia-sander-head,Columbia Tools,CTT-SH,CTT-SH,Sander Head,3CSF,"Columbia Combo Flusher - 3""",variation,drywall-finishing-tool,43,38,"tokens 4/2, image filename SKU, variation label not in seed"
update,columbia-semi-automatic-taper,Columbia Tools,CTT-SAT,SAT,Semi-Automatic Taper,SAT,Columbia Semi Automatic Taper,simple,drywall-finishing-tool,99,80,"legacy model close to SKU, model name contained, tokens 4/3, image filename SKU, exact model phrase"
review,columbia-standard-corner-flusher,Columbia Tools,CTT-SCF,CTT-SCF,Standard Corner Flusher,COL-COMBO-FLUSHER,Columbia Combo Flusher,variable,drywall-finishing-tool,86,86,"model name contained, tokens 1/1, family product"
review,columbia-standard-outside-corner-roller,Columbia Tools,CTT-OCR,CTT-OCR,Standard Outside Corner Roller,COL-OUTSIDE-CORNER-ROLLER,Columbia Outside Corner Roller,variable,drywall-finishing-tool,86,82,"model name contained, tokens 2/2, family product"
update,columbia-tall-boy-mud-pump,Columbia Tools,CTT-TMP,TBMP,Tall Boy Mud Pump,TBMP,Columbia Hot Mud Pump - Tall Boy,variation,drywall-finishing-tool,99,59,"model name contained, tokens 4/4, variation label"
update,columbia-throttle-box,Columbia Tools,CTT-TCB,COL-THROTTLE-CORNER-FLUSHER-BOX,Throttle Box,COL-THROTTLE-CORNER-FLUSHER-BOX,Columbia Throttle Corner Flusher Box,variable,drywall-finishing-tool,86,66,"model name contained, tokens 2/2, family product"
review,columbia-tomahawk-smoothing-blades,Columbia Tools,CTT-TSB,CTT-TSB,Tomahawk Smoothing Blades,COL-TOMAHAWK-SMOOTHING-BLADE,Columbia Tomahawk Smoothing Blade,variable,drywall-finishing-tool,38,34,"tokens 4/3, family product"
already,level5-10-inch-flat-box-4-765,Level5,4-765,4-765,"10"" Flat Box",4-765,LEVEL5 10” Flat Box (Standard),variation,variation,256,80,"model already SKU, legacy model close to SKU, catalog name contained, tokens 3/3, image filename SKU"
already,level5-10-inch-mega-flat-box-4-768,Level5,4-768,4-768,"10"" Mega Flat Box",4-768,LEVEL5 10” Flat Box (MEGA),variation,variation,256,80,"model already SKU, legacy model close to SKU, catalog name contained, tokens 4/4, image filename SKU"
already,level5-12-inch-flat-box-4-766,Level5,4-766,4-766,"12"" Flat Box",4-766,LEVEL5 12” Flat Box (Standard),variation,variation,256,80,"model already SKU, legacy model close to SKU, catalog name contained, tokens 3/3, image filename SKU"
already,level5-12-inch-mega-box-4-769,Level5,4-769,4-769,"12"" Mega Flat Box",4-769,LEVEL5 12” Flat Box (MEGA),variation,variation,256,80,"model already SKU, legacy model close to SKU, catalog name contained, tokens 4/4, image filename SKU"
already,level5-4-734-3-5-corner-finisher,Level5,4-734,4-734,"3.5"" Corner Finisher",4-734,LEVEL5 3.5” Corner Finisher,variation,variation,256,80,"model already SKU, legacy model close to SKU, catalog name contained, tokens 2/2, image filename SKU"
already,level5-7-inch-flat-box-4-764,Level5,4-764,4-764,"7"" Flat Box",4-764,LEVEL5 7” Flat Box (Standard),variation,variation,256,80,"model already SKU, legacy model close to SKU, catalog name contained, tokens 3/3, image filename SKU"
already,level5-7-inch-mega-flat-box-4-767,Level5,4-767,4-767,"7"" Mega Flat Box",4-767,LEVEL5 7” Flat Box (MEGA),variation,variation,256,80,"model already SKU, legacy model close to SKU, catalog name contained, tokens 4/4, image filename SKU"
review,level5-7097-drive-dog-assembly,Level5,7097,7097,Drive Dog Assembly,LV5-NAIL-SPOTTER,LEVEL5 Nail Spotter,variable,tool,21,21,"tokens 1/2, family product"
review,level5-7218-taper-wheel-assembly,Level5,7218,7218,Taper Wheel Assembly,4-760,LEVEL5 Automatic Taper,simple,tool,34,34,tokens 2/2
review,level5-7293-gooser-assembly,Level5,7293,7293,Gooser Assembly,LV5-NAIL-SPOTTER,LEVEL5 Nail Spotter,variable,tool,38,38,"tokens 1/1, family product"
review,level5-7377-cover-plate-assembly-old-style,Level5,7377,7377,Cover Plate Assembly (Old Style),LV5-NAIL-SPOTTER,LEVEL5 Nail Spotter,variable,tool,12,12,"tokens 1/4, family product"
review,level5-9333-cutter-chain-assembly,Level5,9333,9333,Cutter Chain Assembly,LV5-NAIL-SPOTTER,LEVEL5 Nail Spotter,variable,tool,21,21,"tokens 1/2, family product"
already,level5-compound-pump-4-771,Level5,4-771,4-771,Compound Pump,4-771,LEVEL5 Compound Pump,simple,tool,284,34,"model already SKU, legacy model close to SKU, model name contained, tokens 3/2, image filename SKU, exact model phrase"
already,level5-corner-roller-4-707,Level5,4-707,4-707,Corner Roller,4-707,LEVEL5 Corner Roller,simple,tool,284,99,"model already SKU, legacy model close to SKU, model name contained, tokens 2/1, image filename SKU, exact model phrase"
review,platinum-compound-pump,Platinum Drywall Tools,PDT-CP,PDT-CP,Compound Pump,PT-BF,Platinum Box Filler Attachment,simple,tool,34,34,tokens 2/2
review,platinum-corner-applicator-handle,Platinum Drywall Tools,PDT-CAH,PDT-CAH,Corner Applicator Handle,PT-FA,"Platinum 4"" Flat Applicator",simple,tool,82,82,"model name contained, tokens 1/1"
update,platinum-corner-finisher,Platinum Drywall Tools,PDT-CF,PT-CF,Corner Finisher,PT-CF,Platinum Angle Head Corner Finisher with Wheels,variable,tool,99,88,"model name contained, tokens 1/1, exact model phrase, family product"
update,platinum-corner-finisher-handle,Platinum Drywall Tools,PDT-CFH,PT-CF,Corner Finisher Handle,PT-CF,Platinum Angle Head Corner Finisher with Wheels,variable,tool,86,66,"model name contained, tokens 1/1, family product"
update,platinum-corner-roller-handle,Platinum Drywall Tools,PDT-CRH,PT-CRH50,Corner Roller Handle,PT-CRH50,"Platinum 50"" Corner Roller Handle",simple,tool,99,82,"model name contained, tokens 1/1, exact model phrase"
review,platinum-flat-box,Platinum Drywall Tools,PDT-FB,PDT-FB,Flat Box,PT-BH,Platinum Flat Box Handle,variable,tool,99,99,"model name contained, tokens 2/2, exact model phrase, family product"
review,platinum-flat-box-handle,Platinum Drywall Tools,PDT-FBH,PDT-FBH,Flat Box Handle,PT-BH,Platinum Flat Box Handle,variable,tool,99,99,"model name contained, tokens 2/2, exact model phrase, family product"
update,platinum-outside-corner-roller,Platinum Drywall Tools,PDT-OCR,PT-OCR,Outside Corner Roller,PT-OCR,Platinum Outside 90 Degree Corner Roller,simple,tool,82,21,"model name contained, tokens 2/2"
already,tapetech-07tt,TapeTech,07TT,07TT,TapeTech EasyClean® Automatic Taper,07TT,TapeTech EasyClean® Automatic Taper - Standard,variation,drywall-finishing-tool,284,99,"model already SKU, legacy model close to SKU, model name contained, tokens 3/2, image filename SKU, exact model phrase"
already,tapetech-17tt,TapeTech,17TT,17TT,Corner Roller - Outside Corner (17TT),17TT,TapeTech Corner Roller - Outside Corner,variation,drywall-finishing-tool,274,69,"model already SKU, legacy model close to SKU, catalog name contained, tokens 3/3, image filename SKU, variation label"
already,tapetech-42tt,TapeTech,42TT,42TT,"Corner Finisher - 2.5"" (42TT)",42TT,"TapeTech Corner Finisher - 2.5""",variation,drywall-finishing-tool,274,94,"model already SKU, legacy model close to SKU, catalog name contained, tokens 4/3, image filename SKU, variation label"
already,tapetech-48tt,TapeTech,48TT,48TT,"Corner Finisher - 3"" EasyRoll Adjustable (48TT)",48TT,"TapeTech Corner Finisher - 3"" EasyRoll® Adjustable",variation,drywall-finishing-tool,274,94,"model already SKU, legacy model close to SKU, catalog name contained, tokens 6/5, image filename SKU, variation label"
already,tapetech-76tt,TapeTech,76TT,76TT,TapeTech EasyClean® Pump - Standard,76TT,TapeTech EasyClean® Pump - Standard,variation,drywall-finishing-tool,284,86,"model already SKU, legacy model close to SKU, model name contained, tokens 2/1, image filename SKU, exact model phrase"
review,tapetech-80xxtt,TapeTech,80XXTT,80XXTT,TapeTech Finishing Box Handle Assemblies (80XXTT),TT-EASYCLEAN-FINISHING-BOX,TapeTech EasyClean® Finishing Box,variable,drywall-finishing-tool,80,43,"catalog name contained, tokens 2/2, family product"
already,tapetech-85t,TapeTech,85T,85T,TapeTech Gooseneck - Standard,85T,TapeTech Gooseneck - Standard,variation,drywall-finishing-tool,284,86,"model already SKU, legacy model close to SKU, model name contained, tokens 2/1, image filename SKU, exact model phrase"
already,tapetech-88tte,TapeTech,88TTE,88TTE,TapeTech Box XTender Handle,88TTE,TapeTech Box XTender Handle,simple,drywall-finishing-tool,284,63,"model already SKU, legacy model close to SKU, model name contained, tokens 3/2, image filename SKU, exact model phrase"
already,tapetech-90t,TapeTech,90T,90T,TapeTech Filler Adapter,90T,TapeTech Filler Adapter,simple,drywall-finishing-tool,284,82,"model already SKU, legacy model close to SKU, model name contained, tokens 3/2, image filename SKU, exact model phrase"
already,tapetech-ehc07,TapeTech,EHC07,EHC07,"TapeTech MaxxBox® High Capacity Finishing Box - 7""",EHC07,"TapeTech MaxxBox® High Capacity Finishing Box - 7""",variation,drywall-finishing-tool,302,99,"model already SKU, legacy model close to SKU, model name contained, tokens 5/4, image filename SKU, exact model phrase, variation label"
already,tapetech-ehc10,TapeTech,EHC10,EHC10,"TapeTech MaxxBox® High Capacity Finishing Box - 10""",EHC10,"TapeTech MaxxBox® High Capacity Finishing Box - 10""",variation,drywall-finishing-tool,302,99,"model already SKU, legacy model close to SKU, model name contained, tokens 5/4, image filename SKU, exact model phrase, variation label"
already,tapetech-ehc12,TapeTech,EHC12,EHC12,"TapeTech MaxxBox® High Capacity Finishing Box - 12""",EHC12,"TapeTech MaxxBox® High Capacity Finishing Box - 12""",variation,drywall-finishing-tool,302,99,"model already SKU, legacy model close to SKU, model name contained, tokens 5/4, image filename SKU, exact model phrase, variation label"
already,tapetech-ez07tt,TapeTech,EZ07TT,EZ07TT,"TapeTech EasyClean® Finishing Box - 7""",EZ07TT,"TapeTech EasyClean® Finishing Box - 7""",variation,drywall-finishing-tool,302,99,"model already SKU, legacy model close to SKU, model name contained, tokens 4/2, image filename SKU, exact model phrase, variation label"
already,tapetech-ez10tt,TapeTech,EZ10TT,EZ10TT,"TapeTech EasyClean® Finishing Box - 10""",EZ10TT,"TapeTech EasyClean® Finishing Box - 10""",variation,drywall-finishing-tool,302,99,"model already SKU, legacy model close to SKU, model name contained, tokens 4/2, image filename SKU, exact model phrase, variation label"
already,tapetech-ez12tt,TapeTech,EZ12TT,EZ12TT,"TapeTech EasyClean® Finishing Box - 12""",EZ12TT,"TapeTech EasyClean® Finishing Box - 12""",variation,drywall-finishing-tool,302,99,"model already SKU, legacy model close to SKU, model name contained, tokens 4/2, image filename SKU, exact model phrase, variation label"
already,tapetech-ez15tt,TapeTech,EZ15TT,EZ15TT,"TapeTech EasyClean® Finishing Box - 15""",EZ15TT,"TapeTech EasyClean® Finishing Box - 15""",variation,drywall-finishing-tool,302,99,"model already SKU, legacy model close to SKU, model name contained, tokens 4/2, image filename SKU, exact model phrase, variation label"
already,tapetech-pahc07,TapeTech,PAHC07,PAHC07,"TapeTech Power Assist® MaxxBox® Finishing Box - 7""",PAHC07,"TapeTech Power Assist® MaxxBox® Finishing Box - 7""",variation,drywall-finishing-tool,302,99,"model already SKU, legacy model close to SKU, model name contained, tokens 5/4, image filename SKU, exact model phrase, variation label"
already,tapetech-pahc10,TapeTech,PAHC10,PAHC10,"TapeTech Power Assist® MaxxBox® Finishing Box - 10""",PAHC10,"TapeTech Power Assist® MaxxBox® Finishing Box - 10""",variation,drywall-finishing-tool,302,99,"model already SKU, legacy model close to SKU, model name contained, tokens 5/4, image filename SKU, exact model phrase, variation label"
already,tapetech-pahc12,TapeTech,PAHC12,PAHC12,"TapeTech Power Assist® MaxxBox® Finishing Box - 12""",PAHC12,"TapeTech Power Assist® MaxxBox® Finishing Box - 12""",variation,drywall-finishing-tool,302,99,"model already SKU, legacy model close to SKU, model name contained, tokens 5/4, image filename SKU, exact model phrase, variation label"
already,tapetech-qb06-qsx,TapeTech,QB06-QSX,QB06-QSX,"TapeTech QuickBox® QSX Finishing Box - 6.5""",QB06-QSX,"TapeTech QuickBox® QSX Finishing Box - 6.5""",variation,drywall-finishing-tool,302,99,"model already SKU, legacy model close to SKU, model name contained, tokens 4/3, image filename SKU, exact model phrase, variation label"
already,tapetech-qb08-qsx,TapeTech,QB08-QSX,QB08-QSX,"TapeTech QuickBox® QSX Finishing Box - 8.5""",QB08-QSX,"TapeTech QuickBox® QSX Finishing Box - 8.5""",variation,drywall-finishing-tool,302,99,"model already SKU, legacy model close to SKU, model name contained, tokens 4/3, image filename SKU, exact model phrase, variation label"
already,tapetech-xhtt,TapeTech,XHTT,XHTT,TapeTech Support Handle - Extension,XHTT,TapeTech Support Handle - Extension,variation,drywall-finishing-tool,302,63,"model already SKU, legacy model close to SKU, model name contained, tokens 3/2, image filename SKU, exact model phrase, variation label"
