target,status,strategy,source,score,notes
tapetech_eex10090_01.webp,ambiguous,ambiguous,,0.0,tapetech-EEX10090-01.webp:1.000 | tapetech-EEX10090-01.webp:1.000 | tapetech-EEX10090-01.webp:1.000
tapetech_eex125135_01.webp,ambiguous,ambiguous,,0.0,tapetech-EEX125135-01.webp:1.000 | tapetech-EEX125135-01.webp:1.000 | tapetech-EEX125135-01.webp:1.000
tapetech_eex15090_01.webp,ambiguous,ambiguous,,0.0,tapetech-EEX15090-01.webp:1.000 | tapetech-EEX15090-01.webp:1.000 | tapetech-EEX15090-01.webp:1.000 | tapetech-EEX5090-01.webp:0.848 | tapetech-EEX5090-01.webp:0.848
tapetech_eex200135_01.webp,ambiguous,ambiguous,,0.0,tapetech-EEX200135-01.webp:1.000 | tapetech-EEX200135-01.webp:1.000 | tapetech-EEX200135-01.webp:1.000
tapetech_eex20090_01.webp,ambiguous,ambiguous,,0.0,tapetech-EEX20090-01.webp:1.000 | tapetech-EEX20090-01.webp:1.000 | tapetech-EEX20090-01.webp:1.000
tapetech_eex275135_01.webp,ambiguous,ambiguous,,0.0,tapetech-EEX275135-01.webp:1.000 | tapetech-EEX275135-01.webp:1.000 | tapetech-EEX275135-01.webp:1.000
tapetech_eex5090_01.webp,ambiguous,ambiguous,,0.0,tapetech-EEX5090-01.webp:1.000 | tapetech-EEX5090-01.webp:1.000 | tapetech-EEX5090-01.webp:1.000 | tapetech-EEX15090-01.webp:0.848 | tapetech-EEX15090-01.webp:0.848
tapetech_eex7590_01.webp,ambiguous,ambiguous,,0.0,tapetech-EEX7590-01.webp:1.000 | tapetech-EEX7590-01.webp:1.000 | tapetech-EEX7590-01.webp:1.000
tapetech_eexset590_01.webp,ambiguous,ambiguous,,0.0,tapetech-EEXSET590-01.webp:1.000 | tapetech-EEXSET590-01.webp:1.000 | tapetech-EEXSET590-01.webp:1.000 | TapeTech-EEXSET590-01.webp:1.000
tapetech_efloat0512n_01.webp,ambiguous,ambiguous,,0.0,tapetech-EFLOAT0512N-01.webp:1.000 | tapetech-EFLOAT0512N-01.webp:1.000 | TapeTech-EFLOAT0512N-01.webp:1.000
tapetech_ein10090_01.webp,ambiguous,ambiguous,,0.0,tapetech-EIN10090-01.webp:1.000 | tapetech-EIN10090-01.webp:1.000 | tapetech-EIN10090-01.webp:1.000
tapetech_ein15090_01.webp,ambiguous,ambiguous,,0.0,tapetech-EIN15090-01.webp:1.000 | tapetech-EIN15090-01.webp:1.000 | tapetech-EIN15090-01.webp:1.000 | tapetech-EIN5090-01.webp:0.848 | tapetech-EIN5090-01.webp:0.848
tapetech_ein20090_01.webp,ambiguous,ambiguous,,0.0,tapetech-EIN20090-01.webp:1.000 | tapetech-EIN20090-01.webp:1.000 | tapetech-EIN20090-01.webp:1.000
tapetech_ein5090_01.webp,ambiguous,ambiguous,,0.0,tapetech-EIN5090-01.webp:1.000 | tapetech-EIN5090-01.webp:1.000 | tapetech-EIN5090-01.webp:1.000 | tapetech-EIN15090-01.webp:0.848 | tapetech-EIN15090-01.webp:0.848
tapetech_ein7590_01.webp,ambiguous,ambiguous,,0.0,tapetech-EIN7590-01.webp:1.000 | tapetech-EIN7590-01.webp:1.000 | tapetech-EIN7590-01.webp:1.000
tapetech_einset590_01.webp,ambiguous,ambiguous,,0.0,tapetech-EINSET590-01.webp:1.000 | tapetech-EINSET590-01.webp:1.000 | tapetech-EINSET590-01.webp:1.000 | TapeTech-EINSET590-01.webp:1.000
tapetech_hwk001_ps_01.webp,ambiguous,ambiguous,,0.0,tapetech-HWK001-PS-01.webp:1.000 | tapetech-HWK001-PS-01.webp:1.000 | tapetech-HWK001-PS-01.webp:1.000 | tapetech-HWK001-PS-02.webp:0.910 | tapetech-HWK001-PS-02.webp:0.910
tapetech_hwk001_ps_02.webp,ambiguous,ambiguous,,0.0,tapetech-HWK001-PS-02.webp:1.000 | tapetech-HWK001-PS-02.webp:1.000 | tapetech-HWK001-PS-02.webp:1.000 | tapetech-HWK001-PS-01.webp:0.910 | tapetech-HWK001-PS-01.webp:0.910
tapetech_hwk001ps_01.webp,ambiguous,ambiguous,,0.0,tapetech-HWK001PS-01.webp:1.000 | tapetech-HWK001PS-01.webp:1.000 | TapeTech-HWK001PS-01.webp:1.000 | tapetech_hawk001ps_01.webp:0.849
tapetech_hwk002_blk_01.webp,ambiguous,ambiguous,,0.0,tapetech-HWK002-BLK-01.webp:1.000 | tapetech-HWK002-BLK-01.webp:1.000 | tapetech-HWK002-BLK-01.webp:1.000 | tapetech-HWK002-BLK-02.webp:0.910 | tapetech-HWK002-BLK-02.webp:0.910
tapetech_hwk002_blk_02.webp,ambiguous,ambiguous,,0.0,tapetech-HWK002-BLK-02.webp:1.000 | tapetech-HWK002-BLK-02.webp:1.000 | tapetech-HWK002-BLK-02.webp:1.000 | tapetech-HWK002-BLK-01.webp:0.910 | tapetech-HWK002-BLK-03.webp:0.910
tapetech_mp12tt_01.webp,ambiguous,ambiguous,,0.0,tapetech-MP12TT-01.webp:1.000 | tapetech-MP12TT-01.webp:1.000 | tapetech-MP12TT-01.webp:1.000 | TapeTech-MP12TT-01.webp:1.000 | tapetech-MP12TT-02.webp:0.910
tapetech_mp12tt_02.webp,ambiguous,ambiguous,,0.0,tapetech-MP12TT-02.webp:1.000 | tapetech-MP12TT-02.webp:1.000 | tapetech-MP12TT-01.webp:0.910 | tapetech-MP12TT-03.webp:0.910 | tapetech-MP12TT-01.webp:0.910
tapetech_mp12tt_03.webp,ambiguous,ambiguous,,0.0,tapetech-MP12TT-03.webp:1.000 | tapetech-MP12TT-03.webp:1.000 | tapetech-MP12TT-02.webp:0.910 | tapetech-MP12TT-02.webp:0.910 | tapetech-MP12TT-01.webp:0.890
tapetech_mp14tt_01.webp,ambiguous,ambiguous,,0.0,tapetech-MP14TT-01.webp:1.000 | tapetech-MP14TT-01.webp:1.000 | tapetech-MP14TT-01.webp:1.000 | TapeTech-MP14TT-01.webp:1.000
tapetech_ttbbs_01.webp,ambiguous,ambiguous,,0.0,tapetech-TTBBS-01.webp:1.000 | tapetech-TTBBS-01.webp:1.000 | tapetech-TTBBS-01.webp:1.000 | tapetech-TTBBS-02.webp:0.910 | tapetech-TTBBS-02.webp:0.910
tapetech_ttbbs_02.webp,ambiguous,ambiguous,,0.0,tapetech-TTBBS-02.webp:1.000 | tapetech-TTBBS-02.webp:1.000 | tapetech-TTBBS-02.webp:1.000 | tapetech-TTBBS-01.webp:0.910 | tapetech-TTBBS-01.webp:0.910
tapetech_ttbts_01.webp,ambiguous,ambiguous,,0.0,tapetech-TTBTS-01.webp:1.000 | tapetech-TTBTS-01.webp:1.000 | tapetech-TTBTS-01.webp:1.000
tapetech_ttcfs_01.webp,ambiguous,ambiguous,,0.0,tapetech-TTCFS-01.webp:1.000 | tapetech-TTCFS-01.webp:1.000 | tapetech-TTCFS-01.webp:1.000 | tapetech-TTCFS-M-01.webp:0.916
tapetech_ttpps_01.webp,ambiguous,ambiguous,,0.0,tapetech-TTPPS-01.webp:1.000 | tapetech-TTPPS-01.webp:1.000 | tapetech-TTPPS-01.webp:1.000 | tapetech-TTPPS-02.webp:0.910 | tapetech-TTPPS-02.webp:0.910
tapetech_ttpps_02.webp,ambiguous,ambiguous,,0.0,tapetech-TTPPS-02.webp:1.000 | tapetech-TTPPS-02.webp:1.000 | tapetech-TTPPS-02.webp:1.000 | tapetech-TTPPS-01.webp:0.910 | tapetech-TTPPS-03.webp:0.910
tapetech_ttpps_03.webp,ambiguous,ambiguous,,0.0,tapetech-TTPPS-03.webp:1.000 | tapetech-TTPPS-03.webp:1.000 | tapetech-TTPPS-03.webp:1.000 | tapetech-TTPPS-02.webp:0.910 | tapetech-TTPPS-04.webp:0.910
tapetech_ttpps_04.webp,ambiguous,ambiguous,,0.0,tapetech-TTPPS-04.webp:1.000 | tapetech-TTPPS-04.webp:1.000 | tapetech-TTPPS-04.webp:1.000 | tapetech-TTPPS-03.webp:0.910 | tapetech-TTPPS-05.webp:0.910
tapetech_ttpps_05.webp,ambiguous,ambiguous,,0.0,tapetech-TTPPS-05.webp:1.000 | tapetech-TTPPS-05.webp:1.000 | tapetech-TTPPS-05.webp:1.000 | tapetech-TTPPS-04.webp:0.910 | tapetech-TTPPS-06.webp:0.910
tapetech_ttpps_06.webp,ambiguous,ambiguous,,0.0,tapetech-TTPPS-06.webp:1.000 | tapetech-TTPPS-06.webp:1.000 | tapetech-TTPPS-06.webp:1.000 | tapetech-TTPPS-05.webp:0.910 | tapetech-TTPPS-07.webp:0.910
tapetech_ttpps_07.webp,ambiguous,ambiguous,,0.0,tapetech-TTPPS-07.webp:1.000 | tapetech-TTPPS-07.webp:1.000 | tapetech-TTPPS-07.webp:1.000 | tapetech-TTPPS-06.webp:0.910 | tapetech-TTPPS-06.webp:0.910
tapetech_ttpss_01.webp,ambiguous,ambiguous,,0.0,tapetech-TTPSS-01.webp:1.000 | tapetech-TTPSS-01.webp:1.000 | tapetech-TTPSS-01.webp:1.000 | tapetech-TTPSS-02.webp:0.910 | tapetech-TTPSS-02.webp:0.910
tapetech_ttpss_02.webp,ambiguous,ambiguous,,0.0,tapetech-TTPSS-02.webp:1.000 | tapetech-TTPSS-02.webp:1.000 | tapetech-TTPSS-02.webp:1.000 | tapetech-TTPSS-01.webp:0.910 | tapetech-TTPSS-01.webp:0.910
tapetech_ttpss_04.webp,ambiguous,ambiguous,,0.0,tapetech-TTPSS-04.webp:1.000 | tapetech-TTPSS-04.webp:1.000 | tapetech-TTPSS-04.webp:1.000 | tapetech-TTPSS-03.webp:0.910 | tapetech-TTPSS-05.webp:0.910
tapetech_ttsfs_01.webp,ambiguous,ambiguous,,0.0,tapetech-TTSFS-01.webp:1.000 | tapetech-TTSFS-01.webp:1.000 | tapetech-TTSFS-01.webp:1.000 | tapetech-TTSFS-2-01.webp:0.916 | tapetech-TTSFS-2-01.webp:0.916
tapetech_vabs050_01.webp,ambiguous,ambiguous,,0.0,tapetech-VABS050-01.webp:1.000 | tapetech-VABS050-01.webp:1.000 | TapeTech-VABS050-01.webp:1.000
tapetech_vabs130_01.webp,ambiguous,ambiguous,,0.0,tapetech-VABS130-01.webp:1.000 | tapetech-VABS130-01.webp:1.000 | TapeTech-VABS130-01.webp:1.000
