target,status,strategy,source,score,notes
tapetech_07tt_09.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-07TT-09.webp,1.0,"07TT,TT-EASYCLEAN-AUTOMATIC-TAPER"
tapetech_16tt_04.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-16TT-04.webp,1.0,"16TT,TT-APPLICATOR-HEAD"
tapetech_804003f_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-804003F-01.webp,1.0,804003F
tapetech_ct24tt_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-CT24TT-01.webp,1.0,"CT24TT,TT-COMPOUND-TUBE"
tapetech_ct36tt_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-CT36TT-01.webp,1.0,"CT36TT,TT-COMPOUND-TUBE"
tapetech_ct42tt_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-CT42TT-01.webp,1.0,"CT42TT,TT-COMPOUND-TUBE"
tapetech_cta01tt_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-CTA01TT-01.webp,1.0,CTA01TT
tapetech_cta01tt_02.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-CTA01TT-02.webp,1.0,CTA01TT
tapetech_cta01tt_03.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-CTA01TT-03.webp,1.0,CTA01TT
tapetech_cta01tt_04.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-CTA01TT-04.webp,1.0,CTA01TT
tapetech_eabs127ttsm_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-EABS127TTSM-01.webp,1.0,EABS127TTSM
tapetech_eex10090_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-EEX10090-01.webp,1.0,"EEX10090,TT-90-OUTSIDE-CORNER-EDGER"
tapetech_eex125135_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-EEX125135-01.webp,1.0,"EEX125135,TT-135-OUTSIDE-CORNER-EDGER"
tapetech_eex15090_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-EEX15090-01.webp,1.0,"EEX15090,TT-90-OUTSIDE-CORNER-EDGER"
tapetech_eex200135_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-EEX200135-01.webp,1.0,"EEX200135,TT-135-OUTSIDE-CORNER-EDGER"
tapetech_eex20090_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-EEX20090-01.webp,1.0,"EEX20090,TT-90-OUTSIDE-CORNER-EDGER"
tapetech_eex275135_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-EEX275135-01.webp,1.0,"EEX275135,TT-135-OUTSIDE-CORNER-EDGER"
tapetech_eex5090_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-EEX5090-01.webp,1.0,"EEX5090,TT-90-OUTSIDE-CORNER-EDGER"
tapetech_eex7590_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-EEX7590-01.webp,1.0,"EEX7590,TT-90-OUTSIDE-CORNER-EDGER"
tapetech_eexset590_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-EEXSET590-01.webp,1.0,EEXSET590
tapetech_efloat0512n_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-EFLOAT0512N-01.webp,1.0,EFLOAT0512N
tapetech_ein10090_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-EIN10090-01.webp,1.0,"EIN10090,TT-90-INSIDE-CORNER-EDGER"
tapetech_ein15090_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-EIN15090-01.webp,1.0,"EIN15090,TT-90-INSIDE-CORNER-EDGER"
tapetech_ein20090_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-EIN20090-01.webp,1.0,"EIN20090,TT-90-INSIDE-CORNER-EDGER"
tapetech_ein5090_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-EIN5090-01.webp,1.0,"EIN5090,TT-90-INSIDE-CORNER-EDGER"
tapetech_ein7590_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-EIN7590-01.webp,1.0,"EIN7590,TT-90-INSIDE-CORNER-EDGER"
tapetech_einset590_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-EINSET590-01.webp,1.0,EINSET590
tapetech_hwk001_ps_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-HWK001-PS-01.webp,1.0,HWK001PS
tapetech_hwk001_ps_02.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-HWK001-PS-02.webp,1.0,HWK001PS
tapetech_hwk001ps_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-HWK001PS-01.webp,1.0,HWK001PS
tapetech_hwk002_blk_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-HWK002-BLK-01.webp,1.0,HWK002BLK
tapetech_hwk002_blk_02.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-HWK002-BLK-02.webp,1.0,HWK002BLK
tapetech_mp12tt_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-MP12TT-01.webp,1.0,MP12TT
tapetech_mp12tt_02.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-MP12TT-02.webp,1.0,MP12TT
tapetech_mp12tt_03.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-MP12TT-03.webp,1.0,MP12TT
tapetech_mp14tt_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-MP14TT-01.webp,1.0,MP14TT
tapetech_ttbbs_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-TTBBS-01.webp,1.0,TTBBS
tapetech_ttbbs_02.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-TTBBS-02.webp,1.0,TTBBS
tapetech_ttbts_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-TTBTS-01.webp,1.0,TTBTS
tapetech_ttcfs_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-TTCFS-01.webp,1.0,TTCFS
tapetech_ttpps_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-TTPPS-01.webp,1.0,TTPPS
tapetech_ttpps_02.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-TTPPS-02.webp,1.0,TTPPS
tapetech_ttpps_03.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-TTPPS-03.webp,1.0,TTPPS
tapetech_ttpps_04.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-TTPPS-04.webp,1.0,TTPPS
tapetech_ttpps_05.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-TTPPS-05.webp,1.0,TTPPS
tapetech_ttpps_06.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-TTPPS-06.webp,1.0,TTPPS
tapetech_ttpps_07.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-TTPPS-07.webp,1.0,TTPPS
tapetech_ttpss_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-TTPSS-01.webp,1.0,TTPSS
tapetech_ttpss_02.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-TTPSS-02.webp,1.0,TTPSS
tapetech_ttpss_04.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-TTPSS-04.webp,1.0,TTPSS
tapetech_ttsfs_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-TTSFS-01.webp,1.0,"TT-STANDARD-FULL-SET,TTSFS"
tapetech_vabs050_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-VABS050-01.webp,1.0,"TT-ITALIAN-ABS-FLOAT,VABS050"
tapetech_vabs130_01.webp,copied,exact_basename,c:\Users\Elliott\drywall-toolbox\products\Production\Images\tapetech-VABS130-01.webp,1.0,"TT-ITALIAN-ABS-FLOAT,VABS130"
