Type,SKU,Parent SKU,Slug,Name,Published,Visibility in catalog,Short description,Description,Regular price,Tax status,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Categories,Tags,Brands,Images,Parent,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 used for variations,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 used for variations,meta:search_keywords,meta:seo_title,meta:seo_description,meta:seo_canonical,meta:seo_robots,meta:seo_focus_keyword,meta:seo_secondary_keywords,meta:schema_brand,meta:schema_mpn,meta:schema_condition
variable,COL-FLAT-FINISHING-BOXES,,columbia-flat-finishing-box,Columbia Flat Finishing Box,1,visible,Official Columbia flat finishing boxes for flats and butt joints.,<p>Columbia Flat Finishing Box is an official Columbia tools catalog item from the Columbia Product Catalogue.</p><p><strong>Configuration:</strong></p><ul><li>Official Columbia box-family finishing tool</li><li>Designed for professional compound application</li><li>Grouped into size-correct WooCommerce variations where applicable</li></ul><p><em>Catalog source page: official Columbia Product Catalogue.</em></p>,,taxable,1,,0,0,,,,,Drywall Finishing Tools > Columbia > Automatic Taping Tools,"Columbia, Official Columbia Catalog, Tools Only, Variable Product, Flat Boxes",Columbia,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-flat-finishing-box-5-5-5-5FFB-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-flat-finishing-box-5-5-5-5FFB-02.webp",,0,Size,"5.5"" | 7"" | 8"" | 10"" | 12"" | 14""",1.0,1.0,1.0,,,,,,"Columbia Flat Finishing Box, COL-FLAT-FINISHING-BOXES, Columbia tools, Flat Boxes, drywall finishing tools",Columbia Flat Finishing Box | Columbia Drywall Tools,"Shop Columbia Flat Finishing Box, an official Columbia flat boxes product for professional drywall finishing.",,"index,follow",Columbia Flat Finishing Box,"Columbia Flat Boxes, drywall finishing tools, COL-FLAT-FINISHING-BOXES",Columbia,COL-FLAT-FINISHING-BOXES,NewCondition
variation,5.5FFB,COL-FLAT-FINISHING-BOXES,columbia-flat-finishing-box-5-5-5-5ffb,"Columbia Flat Finishing Box - 5.5""",1,visible,Official Columbia flat finishing boxes for flats and butt joints.,<p>Columbia Flat Finishing Box - 5.5&quot; is an official Columbia tools catalog item from the Columbia Product Catalogue.</p><p><strong>Configuration:</strong></p><ul><li>Size: 5.5&quot;</li><li>Official Columbia box-family finishing tool</li><li>Designed for professional compound application</li><li>Grouped into size-correct WooCommerce variations where applicable</li></ul><p><em>Catalog source page: 12.</em></p>,,taxable,1,,0,0,,,,,Drywall Finishing Tools > Columbia > Automatic Taping Tools,"Columbia, Official Columbia Catalog, Tools Only, Variation, Flat Boxes",Columbia,,COL-FLAT-FINISHING-BOXES,1,Size,"5.5""",,1.0,1.0,,,,,,"Columbia Flat Finishing Box - 5.5"", 5.5FFB, Columbia tools, Flat Boxes, drywall finishing tools","Columbia Flat Finishing Box - 5.5"" | Columbia Drywall Tools","Shop Columbia Flat Finishing Box - 5.5"", an official Columbia flat boxes product for professional drywall finishing.",,"index,follow","Columbia Flat Finishing Box - 5.5""","Columbia Flat Boxes, drywall finishing tools, 5.5FFB",Columbia,5.5FFB,NewCondition
variation,7FFB,COL-FLAT-FINISHING-BOXES,columbia-flat-finishing-box-7-7ffb,"Columbia Flat Finishing Box - 7""",1,visible,Official Columbia flat finishing boxes for flats and butt joints.,<p>Columbia Flat Finishing Box - 7&quot; is an official Columbia tools catalog item from the Columbia Product Catalogue.</p><p><strong>Configuration:</strong></p><ul><li>Size: 7&quot;</li><li>Official Columbia box-family finishing tool</li><li>Designed for professional compound application</li><li>Grouped into size-correct WooCommerce variations where applicable</li></ul><p><em>Catalog source page: 12.</em></p>,367.0,taxable,1,,0,0,5.0,,,,Drywall Finishing Tools > Columbia > Automatic Taping Tools,"Columbia, Official Columbia Catalog, Tools Only, Variation, Flat Boxes",Columbia,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-flat-finishing-box-5-5-5-5FFB-01.webp,COL-FLAT-FINISHING-BOXES,2,Size,"7""",,1.0,1.0,,,,,,"Columbia Flat Finishing Box - 7"", 7FFB, Columbia tools, Flat Boxes, drywall finishing tools","Columbia Flat Finishing Box - 7"" | Columbia Drywall Tools","Shop Columbia Flat Finishing Box - 7"", an official Columbia flat boxes product for professional drywall finishing.",,"index,follow","Columbia Flat Finishing Box - 7""","Columbia Flat Boxes, drywall finishing tools, 7FFB",Columbia,7FFB,NewCondition
variation,8FFB,COL-FLAT-FINISHING-BOXES,columbia-flat-finishing-box-8-8ffb,"Columbia Flat Finishing Box - 8""",1,visible,Official Columbia flat finishing boxes for flats and butt joints.,<p>Columbia Flat Finishing Box - 8&quot; is an official Columbia tools catalog item from the Columbia Product Catalogue.</p><p><strong>Configuration:</strong></p><ul><li>Size: 8&quot;</li><li>Official Columbia box-family finishing tool</li><li>Designed for professional compound application</li><li>Grouped into size-correct WooCommerce variations where applicable</li></ul><p><em>Catalog source page: 12.</em></p>,371.0,taxable,1,,0,0,5.0,,,,Drywall Finishing Tools > Columbia > Automatic Taping Tools,"Columbia, Official Columbia Catalog, Tools Only, Variation, Flat Boxes",Columbia,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-flat-finishing-box-5-5-5-5FFB-01.webp,COL-FLAT-FINISHING-BOXES,3,Size,"8""",,1.0,1.0,,,,,,"Columbia Flat Finishing Box - 8"", 8FFB, Columbia tools, Flat Boxes, drywall finishing tools","Columbia Flat Finishing Box - 8"" | Columbia Drywall Tools","Shop Columbia Flat Finishing Box - 8"", an official Columbia flat boxes product for professional drywall finishing.",,"index,follow","Columbia Flat Finishing Box - 8""","Columbia Flat Boxes, drywall finishing tools, 8FFB",Columbia,8FFB,NewCondition
variation,10FFB,COL-FLAT-FINISHING-BOXES,columbia-flat-finishing-box-10-10ffb,"Columbia Flat Finishing Box - 10""",1,visible,Official Columbia flat finishing boxes for flats and butt joints.,<p>Columbia Flat Finishing Box - 10&quot; is an official Columbia tools catalog item from the Columbia Product Catalogue.</p><p><strong>Configuration:</strong></p><ul><li>Size: 10&quot;</li><li>Official Columbia box-family finishing tool</li><li>Designed for professional compound application</li><li>Grouped into size-correct WooCommerce variations where applicable</li></ul><p><em>Catalog source page: 12.</em></p>,375.0,taxable,1,,0,0,5.0,,,,Drywall Finishing Tools > Columbia > Automatic Taping Tools,"Columbia, Official Columbia Catalog, Tools Only, Variation, Flat Boxes",Columbia,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-flat-finishing-box-5-5-5-5FFB-01.webp,COL-FLAT-FINISHING-BOXES,4,Size,"10""",,1.0,1.0,,,,,,"Columbia Flat Finishing Box - 10"", 10FFB, Columbia tools, Flat Boxes, drywall finishing tools","Columbia Flat Finishing Box - 10"" | Columbia Drywall Tools","Shop Columbia Flat Finishing Box - 10"", an official Columbia flat boxes product for professional drywall finishing.",,"index,follow","Columbia Flat Finishing Box - 10""","Columbia Flat Boxes, drywall finishing tools, 10FFB",Columbia,10FFB,NewCondition
variation,12FFB,COL-FLAT-FINISHING-BOXES,columbia-flat-finishing-box-12-12ffb,"Columbia Flat Finishing Box - 12""",1,visible,Official Columbia flat finishing boxes for flats and butt joints.,<p>Columbia Flat Finishing Box - 12&quot; is an official Columbia tools catalog item from the Columbia Product Catalogue.</p><p><strong>Configuration:</strong></p><ul><li>Size: 12&quot;</li><li>Official Columbia box-family finishing tool</li><li>Designed for professional compound application</li><li>Grouped into size-correct WooCommerce variations where applicable</li></ul><p><em>Catalog source page: 12.</em></p>,380.0,taxable,1,,0,0,5.0,,,,Drywall Finishing Tools > Columbia > Automatic Taping Tools,"Columbia, Official Columbia Catalog, Tools Only, Variation, Flat Boxes",Columbia,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-flat-finishing-box-5-5-5-5FFB-01.webp,COL-FLAT-FINISHING-BOXES,5,Size,"12""",,1.0,1.0,,,,,,"Columbia Flat Finishing Box - 12"", 12FFB, Columbia tools, Flat Boxes, drywall finishing tools","Columbia Flat Finishing Box - 12"" | Columbia Drywall Tools","Shop Columbia Flat Finishing Box - 12"", an official Columbia flat boxes product for professional drywall finishing.",,"index,follow","Columbia Flat Finishing Box - 12""","Columbia Flat Boxes, drywall finishing tools, 12FFB",Columbia,12FFB,NewCondition
variation,14FFB,COL-FLAT-FINISHING-BOXES,columbia-flat-finishing-box-14-14ffb,"Columbia Flat Finishing Box - 14""",1,visible,Official Columbia flat finishing boxes for flats and butt joints.,<p>Columbia Flat Finishing Box - 14&quot; is an official Columbia tools catalog item from the Columbia Product Catalogue.</p><p><strong>Configuration:</strong></p><ul><li>Size: 14&quot;</li><li>Official Columbia box-family finishing tool</li><li>Designed for professional compound application</li><li>Grouped into size-correct WooCommerce variations where applicable</li></ul><p><em>Catalog source page: 12.</em></p>,384.0,taxable,0,,0,0,5.0,,,,Drywall Finishing Tools > Columbia > Automatic Taping Tools,"Columbia, Official Columbia Catalog, Tools Only, Variation, Flat Boxes",Columbia,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-flat-finishing-box-5-5-5-5FFB-01.webp,COL-FLAT-FINISHING-BOXES,6,Size,"14""",,1.0,1.0,,,,,,"Columbia Flat Finishing Box - 14"", 14FFB, Columbia tools, Flat Boxes, drywall finishing tools","Columbia Flat Finishing Box - 14"" | Columbia Drywall Tools","Shop Columbia Flat Finishing Box - 14"", an official Columbia flat boxes product for professional drywall finishing.",,"index,follow","Columbia Flat Finishing Box - 14""","Columbia Flat Boxes, drywall finishing tools, 14FFB",Columbia,14FFB,NewCondition
variable,COL-FAT-BOY-BOX,,columbia-fat-boy-finishing-box,Columbia Fat Boy Finishing Box,1,visible,Official Columbia flat finishing boxes for flats and butt joints.,<p>Columbia Fat Boy Finishing Box is an official Columbia tools catalog item from the Columbia Product Catalogue.</p><p><strong>Configuration:</strong></p><ul><li>Official Columbia box-family finishing tool</li><li>Designed for professional compound application</li><li>Grouped into size-correct WooCommerce variations where applicable</li></ul><p><em>Catalog source page: official Columbia Product Catalogue.</em></p>,,taxable,1,,0,0,,,,,Drywall Finishing Tools > Columbia > Automatic Taping Tools,"Columbia, Official Columbia Catalog, Tools Only, Variable Product, Flat Boxes",Columbia,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-fat-boy-finishing-box-COL-FAT-BOY-BOX-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-fat-boy-finishing-box-COL-FAT-BOY-BOX-02.webp",,0,Size,"5.5"" | 8"" | 10"" | 12""",1.0,1.0,1.0,,,,,,"Columbia Fat Boy Finishing Box, COL-FAT-BOY-BOX, Columbia tools, Flat Boxes, drywall finishing tools",Columbia Fat Boy Finishing Box | Columbia Drywall Tools,"Shop Columbia Fat Boy Finishing Box, an official Columbia flat boxes product for professional drywall finishing.",,"index,follow",Columbia Fat Boy Finishing Box,"Columbia Flat Boxes, drywall finishing tools, COL-FAT-BOY-BOX",Columbia,COL-FAT-BOY-BOX,NewCondition
variation,5.5FBB,COL-FAT-BOY-BOX,columbia-fat-boy-finishing-box-5-5-5-5fbb,"Columbia Fat Boy Finishing Box - 5.5""",1,visible,Official Columbia flat finishing boxes for flats and butt joints.,<p>Columbia Fat Boy Finishing Box - 5.5&quot; is an official Columbia tools catalog item from the Columbia Product Catalogue.</p><p><strong>Configuration:</strong></p><ul><li>Size: 5.5&quot;</li><li>Official Columbia box-family finishing tool</li><li>Designed for professional compound application</li><li>Grouped into size-correct WooCommerce variations where applicable</li></ul><p><em>Catalog source page: 12.</em></p>,,taxable,1,,0,0,,,,,Drywall Finishing Tools > Columbia > Automatic Taping Tools,"Columbia, Official Columbia Catalog, Tools Only, Variation, Flat Boxes",Columbia,,COL-FAT-BOY-BOX,1,Size,"5.5""",,1.0,1.0,,,,,,"Columbia Fat Boy Finishing Box - 5.5"", 5.5FBB, Columbia tools, Flat Boxes, drywall finishing tools","Columbia Fat Boy Finishing Box - 5.5"" | Columbia Drywall Tools","Shop Columbia Fat Boy Finishing Box - 5.5"", an official Columbia flat boxes product for professional drywall finishing.",,"index,follow","Columbia Fat Boy Finishing Box - 5.5""","Columbia Flat Boxes, drywall finishing tools, 5.5FBB",Columbia,5.5FBB,NewCondition
variation,8FBB,COL-FAT-BOY-BOX,columbia-fat-boy-finishing-box-8-8fbb,"Columbia Fat Boy Finishing Box - 8""",1,visible,Official Columbia flat finishing boxes for flats and butt joints.,<p>Columbia Fat Boy Finishing Box - 8&quot; is an official Columbia tools catalog item from the Columbia Product Catalogue.</p><p><strong>Configuration:</strong></p><ul><li>Size: 8&quot;</li><li>Official Columbia box-family finishing tool</li><li>Designed for professional compound application</li><li>Grouped into size-correct WooCommerce variations where applicable</li></ul><p><em>Catalog source page: 12.</em></p>,,taxable,1,,0,0,,,,,Drywall Finishing Tools > Columbia > Automatic Taping Tools,"Columbia, Official Columbia Catalog, Tools Only, Variation, Flat Boxes",Columbia,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-8-fat-boy-flat-box-8FBB-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-8-fat-boy-flat-box-8FBB-02.webp",COL-FAT-BOY-BOX,2,Size,"8""",,1.0,1.0,,,,,,"Columbia Fat Boy Finishing Box - 8"", 8FBB, Columbia tools, Flat Boxes, drywall finishing tools","Columbia Fat Boy Finishing Box - 8"" | Columbia Drywall Tools","Shop Columbia Fat Boy Finishing Box - 8"", an official Columbia flat boxes product for professional drywall finishing.",,"index,follow","Columbia Fat Boy Finishing Box - 8""","Columbia Flat Boxes, drywall finishing tools, 8FBB",Columbia,8FBB,NewCondition
variation,10FBB,COL-FAT-BOY-BOX,columbia-fat-boy-finishing-box-10-10fbb,"Columbia Fat Boy Finishing Box - 10""",1,visible,Official Columbia flat finishing boxes for flats and butt joints.,<p>Columbia Fat Boy Finishing Box - 10&quot; is an official Columbia tools catalog item from the Columbia Product Catalogue.</p><p><strong>Configuration:</strong></p><ul><li>Size: 10&quot;</li><li>Official Columbia box-family finishing tool</li><li>Designed for professional compound application</li><li>Grouped into size-correct WooCommerce variations where applicable</li></ul><p><em>Catalog source page: 12.</em></p>,,taxable,1,,0,0,,,,,Drywall Finishing Tools > Columbia > Automatic Taping Tools,"Columbia, Official Columbia Catalog, Tools Only, Variation, Flat Boxes",Columbia,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-10-fat-boy-flat-box-10FBB-01.webp,COL-FAT-BOY-BOX,3,Size,"10""",,1.0,1.0,,,,,,"Columbia Fat Boy Finishing Box - 10"", 10FBB, Columbia tools, Flat Boxes, drywall finishing tools","Columbia Fat Boy Finishing Box - 10"" | Columbia Drywall Tools","Shop Columbia Fat Boy Finishing Box - 10"", an official Columbia flat boxes product for professional drywall finishing.",,"index,follow","Columbia Fat Boy Finishing Box - 10""","Columbia Flat Boxes, drywall finishing tools, 10FBB",Columbia,10FBB,NewCondition
variation,12FBB,COL-FAT-BOY-BOX,columbia-fat-boy-finishing-box-12-12fbb,"Columbia Fat Boy Finishing Box - 12""",1,visible,Official Columbia flat finishing boxes for flats and butt joints.,<p>Columbia Fat Boy Finishing Box - 12&quot; is an official Columbia tools catalog item from the Columbia Product Catalogue.</p><p><strong>Configuration:</strong></p><ul><li>Size: 12&quot;</li><li>Official Columbia box-family finishing tool</li><li>Designed for professional compound application</li><li>Grouped into size-correct WooCommerce variations where applicable</li></ul><p><em>Catalog source page: 12.</em></p>,,taxable,1,,0,0,,,,,Drywall Finishing Tools > Columbia > Automatic Taping Tools,"Columbia, Official Columbia Catalog, Tools Only, Variation, Flat Boxes",Columbia,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-12-fat-boy-flat-box-12FBB-01.webp,COL-FAT-BOY-BOX,4,Size,"12""",,1.0,1.0,,,,,,"Columbia Fat Boy Finishing Box - 12"", 12FBB, Columbia tools, Flat Boxes, drywall finishing tools","Columbia Fat Boy Finishing Box - 12"" | Columbia Drywall Tools","Shop Columbia Fat Boy Finishing Box - 12"", an official Columbia flat boxes product for professional drywall finishing.",,"index,follow","Columbia Fat Boy Finishing Box - 12""","Columbia Flat Boxes, drywall finishing tools, 12FBB",Columbia,12FBB,NewCondition
variable,COL-AUTOMATIC-FLAT-BOX,,columbia-automatic-flat-finishing-box,Columbia Automatic Flat Finishing Box,1,visible,Official Columbia automatic flat boxes for easier compound application.,<p>Columbia Automatic Flat Finishing Box is an official Columbia tools catalog item from the Columbia Product Catalogue.</p><p><strong>Configuration:</strong></p><ul><li>Official Columbia box-family finishing tool</li><li>Designed for professional compound application</li><li>Grouped into size-correct WooCommerce variations where applicable</li></ul><p><em>Catalog source page: official Columbia Product Catalogue.</em></p>,,taxable,1,,0,0,,,,,Drywall Finishing Tools > Columbia > Automatic Taping Tools,"Columbia, Official Columbia Catalog, Tools Only, Variable Product, Automatic Flat Boxes",Columbia,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-automatic-flat-finishing-box-COL-AUTOMATIC-FLAT-BOX-01.webp,,0,Size,"8"" | 10"" | 12"" | 14""",1.0,1.0,1.0,,,,,,"Columbia Automatic Flat Finishing Box, COL-AUTOMATIC-FLAT-BOX, Columbia tools, Automatic Flat Boxes, drywall finishing tools",Columbia Automatic Flat Finishing Box | Columbia Drywall Tools,"Shop Columbia Automatic Flat Finishing Box, an official Columbia automatic flat boxes product for professional drywall finishing.",,"index,follow",Columbia Automatic Flat Finishing Box,"Columbia Automatic Flat Boxes, drywall finishing tools, COL-AUTOMATIC-FLAT-BOX",Columbia,COL-AUTOMATIC-FLAT-BOX,NewCondition
variation,8FFBA,COL-AUTOMATIC-FLAT-BOX,columbia-automatic-flat-finishing-box-8-8ffba,"Columbia Automatic Flat Finishing Box - 8""",1,visible,Official Columbia automatic flat boxes for easier compound application.,<p>Columbia Automatic Flat Finishing Box - 8&quot; is an official Columbia tools catalog item from the Columbia Product Catalogue.</p><p><strong>Configuration:</strong></p><ul><li>Size: 8&quot;</li><li>Official Columbia box-family finishing tool</li><li>Designed for professional compound application</li><li>Grouped into size-correct WooCommerce variations where applicable</li></ul><p><em>Catalog source page: 13.</em></p>,397.0,taxable,1,,0,0,3.0,,,,Drywall Finishing Tools > Columbia > Automatic Taping Tools,"Columbia, Official Columbia Catalog, Tools Only, Variation, Automatic Flat Boxes",Columbia,,COL-AUTOMATIC-FLAT-BOX,1,Size,"8""",,1.0,1.0,,,,,,"Columbia Automatic Flat Finishing Box - 8"", 8FFBA, Columbia tools, Automatic Flat Boxes, drywall finishing tools","Columbia Automatic Flat Finishing Box - 8"" | Columbia Drywall Tools","Shop Columbia Automatic Flat Finishing Box - 8"", an official Columbia automatic flat boxes product for professional drywall finishing.",,"index,follow","Columbia Automatic Flat Finishing Box - 8""","Columbia Automatic Flat Boxes, drywall finishing tools, 8FFBA",Columbia,8FFBA,NewCondition
variation,10FFBA,COL-AUTOMATIC-FLAT-BOX,columbia-automatic-flat-finishing-box-10-10ffba,"Columbia Automatic Flat Finishing Box - 10""",1,visible,Official Columbia automatic flat boxes for easier compound application.,<p>Columbia Automatic Flat Finishing Box - 10&quot; is an official Columbia tools catalog item from the Columbia Product Catalogue.</p><p><strong>Configuration:</strong></p><ul><li>Size: 10&quot;</li><li>Official Columbia box-family finishing tool</li><li>Designed for professional compound application</li><li>Grouped into size-correct WooCommerce variations where applicable</li></ul><p><em>Catalog source page: 13.</em></p>,401.0,taxable,1,,0,0,3.0,,,,Drywall Finishing Tools > Columbia > Automatic Taping Tools,"Columbia, Official Columbia Catalog, Tools Only, Variation, Automatic Flat Boxes",Columbia,,COL-AUTOMATIC-FLAT-BOX,2,Size,"10""",,1.0,1.0,,,,,,"Columbia Automatic Flat Finishing Box - 10"", 10FFBA, Columbia tools, Automatic Flat Boxes, drywall finishing tools","Columbia Automatic Flat Finishing Box - 10"" | Columbia Drywall Tools","Shop Columbia Automatic Flat Finishing Box - 10"", an official Columbia automatic flat boxes product for professional drywall finishing.",,"index,follow","Columbia Automatic Flat Finishing Box - 10""","Columbia Automatic Flat Boxes, drywall finishing tools, 10FFBA",Columbia,10FFBA,NewCondition
variation,12FFBA,COL-AUTOMATIC-FLAT-BOX,columbia-automatic-flat-finishing-box-12-12ffba,"Columbia Automatic Flat Finishing Box - 12""",1,visible,Official Columbia automatic flat boxes for easier compound application.,<p>Columbia Automatic Flat Finishing Box - 12&quot; is an official Columbia tools catalog item from the Columbia Product Catalogue.</p><p><strong>Configuration:</strong></p><ul><li>Size: 12&quot;</li><li>Official Columbia box-family finishing tool</li><li>Designed for professional compound application</li><li>Grouped into size-correct WooCommerce variations where applicable</li></ul><p><em>Catalog source page: 13.</em></p>,405.0,taxable,1,,0,0,3.0,,,,Drywall Finishing Tools > Columbia > Automatic Taping Tools,"Columbia, Official Columbia Catalog, Tools Only, Variation, Automatic Flat Boxes",Columbia,,COL-AUTOMATIC-FLAT-BOX,3,Size,"12""",,1.0,1.0,,,,,,"Columbia Automatic Flat Finishing Box - 12"", 12FFBA, Columbia tools, Automatic Flat Boxes, drywall finishing tools","Columbia Automatic Flat Finishing Box - 12"" | Columbia Drywall Tools","Shop Columbia Automatic Flat Finishing Box - 12"", an official Columbia automatic flat boxes product for professional drywall finishing.",,"index,follow","Columbia Automatic Flat Finishing Box - 12""","Columbia Automatic Flat Boxes, drywall finishing tools, 12FFBA",Columbia,12FFBA,NewCondition
variation,14FFBA,COL-AUTOMATIC-FLAT-BOX,columbia-automatic-flat-finishing-box-14-14ffba,"Columbia Automatic Flat Finishing Box - 14""",1,visible,Official Columbia automatic flat boxes for easier compound application.,<p>Columbia Automatic Flat Finishing Box - 14&quot; is an official Columbia tools catalog item from the Columbia Product Catalogue.</p><p><strong>Configuration:</strong></p><ul><li>Size: 14&quot;</li><li>Official Columbia box-family finishing tool</li><li>Designed for professional compound application</li><li>Grouped into size-correct WooCommerce variations where applicable</li></ul><p><em>Catalog source page: 13.</em></p>,409.0,taxable,1,,0,0,3.0,,,,Drywall Finishing Tools > Columbia > Automatic Taping Tools,"Columbia, Official Columbia Catalog, Tools Only, Variation, Automatic Flat Boxes",Columbia,,COL-AUTOMATIC-FLAT-BOX,4,Size,"14""",,1.0,1.0,,,,,,"Columbia Automatic Flat Finishing Box - 14"", 14FFBA, Columbia tools, Automatic Flat Boxes, drywall finishing tools","Columbia Automatic Flat Finishing Box - 14"" | Columbia Drywall Tools","Shop Columbia Automatic Flat Finishing Box - 14"", an official Columbia automatic flat boxes product for professional drywall finishing.",,"index,follow","Columbia Automatic Flat Finishing Box - 14""","Columbia Automatic Flat Boxes, drywall finishing tools, 14FFBA",Columbia,14FFBA,NewCondition
variable,COL-AUTOMATIC-FAT-BOY-FLAT-BOX,,columbia-automatic-fat-boy-finishing-box,Columbia Automatic Fat Boy Finishing Box,1,visible,Official Columbia automatic flat boxes for easier compound application.,<p>Columbia Automatic Fat Boy Finishing Box is an official Columbia tools catalog item from the Columbia Product Catalogue.</p><p><strong>Configuration:</strong></p><ul><li>Official Columbia box-family finishing tool</li><li>Designed for professional compound application</li><li>Grouped into size-correct WooCommerce variations where applicable</li></ul><p><em>Catalog source page: official Columbia Product Catalogue.</em></p>,,taxable,1,,0,0,,,,,Drywall Finishing Tools > Columbia > Automatic Taping Tools,"Columbia, Official Columbia Catalog, Tools Only, Variable Product, Automatic Flat Boxes",Columbia,,,0,Size,"8"" | 10"" | 12""",1.0,1.0,1.0,,,,,,"Columbia Automatic Fat Boy Finishing Box, COL-AUTOMATIC-FAT-BOY-FLAT-BOX, Columbia tools, Automatic Flat Boxes, drywall finishing tools",Columbia Automatic Fat Boy Finishing Box | Columbia Drywall Tools,"Shop Columbia Automatic Fat Boy Finishing Box, an official Columbia automatic flat boxes product for professional drywall finishing.",,"index,follow",Columbia Automatic Fat Boy Finishing Box,"Columbia Automatic Flat Boxes, drywall finishing tools, COL-AUTOMATIC-FAT-BOY-FLAT-BOX",Columbia,COL-AUTOMATIC-FAT-BOY-FLAT-BOX,NewCondition
variation,8FBBA,COL-AUTOMATIC-FAT-BOY-FLAT-BOX,columbia-automatic-fat-boy-finishing-box-8-8fbba,"Columbia Automatic Fat Boy Finishing Box - 8""",1,visible,Official Columbia automatic flat boxes for easier compound application.,<p>Columbia Automatic Fat Boy Finishing Box - 8&quot; is an official Columbia tools catalog item from the Columbia Product Catalogue.</p><p><strong>Configuration:</strong></p><ul><li>Size: 8&quot;</li><li>Official Columbia box-family finishing tool</li><li>Designed for professional compound application</li><li>Grouped into size-correct WooCommerce variations where applicable</li></ul><p><em>Catalog source page: 13.</em></p>,431.0,taxable,1,,0,0,3.0,,,,Drywall Finishing Tools > Columbia > Automatic Taping Tools,"Columbia, Official Columbia Catalog, Tools Only, Variation, Automatic Flat Boxes",Columbia,,COL-AUTOMATIC-FAT-BOY-FLAT-BOX,1,Size,"8""",,1.0,1.0,,,,,,"Columbia Automatic Fat Boy Finishing Box - 8"", 8FBBA, Columbia tools, Automatic Flat Boxes, drywall finishing tools","Columbia Automatic Fat Boy Finishing Box - 8"" | Columbia Drywall Tools","Shop Columbia Automatic Fat Boy Finishing Box - 8"", an official Columbia automatic flat boxes product for professional drywall finishing.",,"index,follow","Columbia Automatic Fat Boy Finishing Box - 8""","Columbia Automatic Flat Boxes, drywall finishing tools, 8FBBA",Columbia,8FBBA,NewCondition
variation,10FBBA,COL-AUTOMATIC-FAT-BOY-FLAT-BOX,columbia-automatic-fat-boy-finishing-box-10-10fbba,"Columbia Automatic Fat Boy Finishing Box - 10""",1,visible,Official Columbia automatic flat boxes for easier compound application.,<p>Columbia Automatic Fat Boy Finishing Box - 10&quot; is an official Columbia tools catalog item from the Columbia Product Catalogue.</p><p><strong>Configuration:</strong></p><ul><li>Size: 10&quot;</li><li>Official Columbia box-family finishing tool</li><li>Designed for professional compound application</li><li>Grouped into size-correct WooCommerce variations where applicable</li></ul><p><em>Catalog source page: 13.</em></p>,435.0,taxable,1,,0,0,3.0,,,,Drywall Finishing Tools > Columbia > Automatic Taping Tools,"Columbia, Official Columbia Catalog, Tools Only, Variation, Automatic Flat Boxes",Columbia,,COL-AUTOMATIC-FAT-BOY-FLAT-BOX,2,Size,"10""",,1.0,1.0,,,,,,"Columbia Automatic Fat Boy Finishing Box - 10"", 10FBBA, Columbia tools, Automatic Flat Boxes, drywall finishing tools","Columbia Automatic Fat Boy Finishing Box - 10"" | Columbia Drywall Tools","Shop Columbia Automatic Fat Boy Finishing Box - 10"", an official Columbia automatic flat boxes product for professional drywall finishing.",,"index,follow","Columbia Automatic Fat Boy Finishing Box - 10""","Columbia Automatic Flat Boxes, drywall finishing tools, 10FBBA",Columbia,10FBBA,NewCondition
