Brands,Type,SKU,MPN,Parent SKU,Slug,Name,Published,Visibility in catalog,Short description,Description,Categories,Tags,Product Role,Tool Family,Builder Eligible,Builder Slot,Catalog Source,Catalog Verified,Source Page,Source Confidence,Images,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 used for variations
Columbia,simple,PTS,PTS,,columbia-predator-tactical-set,Columbia Predator Tactical Set,1,visible,Official Columbia tool sets item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: Predator Tactical Set. Product family: Tool Sets. Source: Columbia Product Catalogue 2024, page 4.","Tools > Columbia, Tools > Columbia > Tool Sets","Columbia, Tool Sets, official-catalog, tools-only",tool_set,Tool Sets,yes,tool_set,customercatalogue2024-3.pdf-3.pdf,yes,4,verified_pdf,,,,,,0
Columbia,simple,SACS,SACS,,columbia-commando-set,Columbia Commando Set,1,visible,Official Columbia tool sets item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: Commando Set. Product family: Tool Sets. Source: Columbia Product Catalogue 2024, page 4.","Tools > Columbia, Tools > Columbia > Tool Sets","Columbia, Tool Sets, official-catalog, tools-only",tool_set,Tool Sets,yes,tool_set,customercatalogue2024-3.pdf-3.pdf,yes,4,verified_pdf,,,,,,0
Columbia,simple,TWS,TWS,,columbia-warrior-set,Columbia Warrior Set,1,visible,Official Columbia tool sets item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: Warrior Set. Product family: Tool Sets. Source: Columbia Product Catalogue 2024, page 4.","Tools > Columbia, Tools > Columbia > Tool Sets","Columbia, Tool Sets, official-catalog, tools-only",tool_set,Tool Sets,yes,tool_set,customercatalogue2024-3.pdf-3.pdf,yes,4,verified_pdf,,,,,,0
Columbia,simple,TAPER,TAPER,,columbia-automatic-taper-53-in,Columbia Automatic Taper 53 in,1,visible,Official Columbia automatic tapers item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: Automatic Taper 53 in. Product family: Automatic Tapers. Source: Columbia Product Catalogue 2024, page 6.","Tools > Columbia, Tools > Columbia > Automatic Tapers","Columbia, Automatic Tapers, official-catalog, tools-only",core_tool,Automatic Tapers,yes,automatic_taper,customercatalogue2024-3.pdf-3.pdf,yes,6,verified_pdf,,,,,,0
Columbia,simple,PTAPER,PTAPER,,columbia-predator-carbon-fiber-automatic-taper-53-in,Columbia Predator Carbon Fiber Automatic Taper 53 in,1,visible,Official Columbia automatic tapers item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: Predator Carbon Fiber Automatic Taper 53 in. Product family: Automatic Tapers. Source: Columbia Product Catalogue 2024, page 6.","Tools > Columbia, Tools > Columbia > Automatic Tapers","Columbia, Automatic Tapers, official-catalog, tools-only",core_tool,Automatic Tapers,yes,automatic_taper,customercatalogue2024-3.pdf-3.pdf,yes,6,verified_pdf,,,,,,0
Columbia,simple,STAPER,STAPER,,columbia-sawed-off-taper-39-in,Columbia Sawed Off Taper 39 in,1,visible,Official Columbia automatic tapers item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: Sawed Off Taper 39 in. Product family: Automatic Tapers. Source: Columbia Product Catalogue 2024, page 6.","Tools > Columbia, Tools > Columbia > Automatic Tapers","Columbia, Automatic Tapers, official-catalog, tools-only",core_tool,Automatic Tapers,yes,automatic_taper,customercatalogue2024-3.pdf-3.pdf,yes,6,verified_pdf,,,,,,0
Columbia,simple,SPTAPER,SPTAPER,,columbia-predator-carbon-fiber-sawed-off-taper-39-in,Columbia Predator Carbon Fiber Sawed Off Taper 39 in,1,visible,Official Columbia automatic tapers item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: Predator Carbon Fiber Sawed Off Taper 39 in. Product family: Automatic Tapers. Source: Columbia Product Catalogue 2024, page 6.","Tools > Columbia, Tools > Columbia > Automatic Tapers","Columbia, Automatic Tapers, official-catalog, tools-only",core_tool,Automatic Tapers,yes,automatic_taper,customercatalogue2024-3.pdf-3.pdf,yes,6,verified_pdf,,,,,,0
Columbia,simple,CC,CC,,columbia-corner-cobra,Columbia Corner Cobra,1,visible,Official Columbia corner rollers item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: Corner Cobra. Product family: Corner Rollers. Source: Columbia Product Catalogue 2024, page 8.","Tools > Columbia, Tools > Columbia > Corner Rollers","Columbia, Corner Rollers, official-catalog, tools-only",core_tool,Corner Rollers,yes,corner_roller,customercatalogue2024-3.pdf-3.pdf,yes,8,verified_pdf,,,,,,0
Columbia,simple,CR,CR,,columbia-corner-roller,Columbia Corner Roller,1,visible,Official Columbia corner rollers item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: Corner Roller. Product family: Corner Rollers. Source: Columbia Product Catalogue 2024, page 8.","Tools > Columbia, Tools > Columbia > Corner Rollers","Columbia, Corner Rollers, official-catalog, tools-only",core_tool,Corner Rollers,yes,corner_roller,customercatalogue2024-3.pdf-3.pdf,yes,8,verified_pdf,,,,,,0
Columbia,simple,COBCR,COBCR,,columbia-standard-outside-corner-roller,Columbia Standard Outside Corner Roller,1,visible,Official Columbia outside corner rollers item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: Standard Outside Corner Roller. Product family: Outside Corner Rollers. Source: Columbia Product Catalogue 2024, page 9.","Tools > Columbia, Tools > Columbia > Outside Corner Rollers","Columbia, Outside Corner Rollers, official-catalog, tools-only",core_tool,Outside Corner Rollers,yes,corner_roller,customercatalogue2024-3.pdf-3.pdf,yes,9,verified_pdf,,,,,,0
Columbia,simple,CBNCR,CBNCR,,columbia-bullnose-outside-corner-roller,Columbia Bullnose Outside Corner Roller,1,visible,Official Columbia outside corner rollers item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: Bullnose Outside Corner Roller. Product family: Outside Corner Rollers. Source: Columbia Product Catalogue 2024, page 9.","Tools > Columbia, Tools > Columbia > Outside Corner Rollers","Columbia, Outside Corner Rollers, official-catalog, tools-only",core_tool,Outside Corner Rollers,yes,corner_roller,customercatalogue2024-3.pdf-3.pdf,yes,9,verified_pdf,,,,,,0
Columbia,simple,COBCRE,COBCRE,,columbia-european-outside-corner-roller,Columbia European Outside Corner Roller,1,visible,Official Columbia outside corner rollers item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: European Outside Corner Roller. Product family: Outside Corner Rollers. Source: Columbia Product Catalogue 2024, page 9.","Tools > Columbia, Tools > Columbia > Outside Corner Rollers","Columbia, Outside Corner Rollers, official-catalog, tools-only",core_tool,Outside Corner Rollers,yes,corner_roller,customercatalogue2024-3.pdf-3.pdf,yes,9,verified_pdf,,,,,,0
Columbia,simple,COBCRW,COBCRW,,columbia-wide-outside-corner-roller,Columbia Wide Outside Corner Roller,1,visible,Official Columbia outside corner rollers item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: Wide Outside Corner Roller. Product family: Outside Corner Rollers. Source: Columbia Product Catalogue 2024, page 9.","Tools > Columbia, Tools > Columbia > Outside Corner Rollers","Columbia, Outside Corner Rollers, official-catalog, tools-only",core_tool,Outside Corner Rollers,yes,corner_roller,customercatalogue2024-3.pdf-3.pdf,yes,9,verified_pdf,,,,,,0
Columbia,simple,2AH,2AH,,columbia-2-in-angle-head,Columbia 2 in Angle Head,1,visible,Official Columbia angle heads item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: 2 in Angle Head. Product family: Angle Heads. Source: Columbia Product Catalogue 2024, page 10.","Tools > Columbia, Tools > Columbia > Angle Heads","Columbia, Angle Heads, official-catalog, tools-only",core_tool,Angle Heads,yes,angle_head,customercatalogue2024-3.pdf-3.pdf,yes,10,verified_pdf,,,,,,0
Columbia,simple,2.5AH,2.5AH,,columbia-2-5-in-angle-head,Columbia 2.5 in Angle Head,1,visible,Official Columbia angle heads item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: 2.5 in Angle Head. Product family: Angle Heads. Source: Columbia Product Catalogue 2024, page 10.","Tools > Columbia, Tools > Columbia > Angle Heads","Columbia, Angle Heads, official-catalog, tools-only",core_tool,Angle Heads,yes,angle_head,customercatalogue2024-3.pdf-3.pdf,yes,10,verified_pdf,,,,,,0
Columbia,simple,3AH,3AH,,columbia-3-in-angle-head,Columbia 3 in Angle Head,1,visible,Official Columbia angle heads item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: 3 in Angle Head. Product family: Angle Heads. Source: Columbia Product Catalogue 2024, page 10.","Tools > Columbia, Tools > Columbia > Angle Heads","Columbia, Angle Heads, official-catalog, tools-only",core_tool,Angle Heads,yes,angle_head,customercatalogue2024-3.pdf-3.pdf,yes,10,verified_pdf,,,,,,0
Columbia,simple,3.5AH,3.5AH,,columbia-3-5-in-angle-head,Columbia 3.5 in Angle Head,1,visible,Official Columbia angle heads item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: 3.5 in Angle Head. Product family: Angle Heads. Source: Columbia Product Catalogue 2024, page 10.","Tools > Columbia, Tools > Columbia > Angle Heads","Columbia, Angle Heads, official-catalog, tools-only",core_tool,Angle Heads,yes,angle_head,customercatalogue2024-3.pdf-3.pdf,yes,10,verified_pdf,,,,,,0
Columbia,simple,AHA,AHA,,columbia-angle-head-adapter,Columbia Angle Head Adapter,1,visible,Official Columbia angle heads item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: Angle Head Adapter. Product family: Angle Heads. Source: Columbia Product Catalogue 2024, page 10.","Tools > Columbia, Tools > Columbia > Angle Heads","Columbia, Angle Heads, official-catalog, tools-only",accessory,Angle Heads,yes,angle_head_adapter,customercatalogue2024-3.pdf-3.pdf,yes,10,verified_pdf,,,,,,0
Columbia,simple,7CFB,7CFB,,columbia-7-in-corner-flusher-box,Columbia 7 in Corner Flusher Box,1,visible,Official Columbia throttle boxes item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: 7 in Corner Flusher Box. Product family: Throttle Boxes. Source: Columbia Product Catalogue 2024, page 11.","Tools > Columbia, Tools > Columbia > Throttle Boxes","Columbia, Throttle Boxes, official-catalog, tools-only",core_tool,Throttle Boxes,yes,corner_flusher_box,customercatalogue2024-3.pdf-3.pdf,yes,11,verified_pdf,,,,,,0
Columbia,simple,8CFB,8CFB,,columbia-8-in-corner-flusher-box,Columbia 8 in Corner Flusher Box,1,visible,Official Columbia throttle boxes item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: 8 in Corner Flusher Box. Product family: Throttle Boxes. Source: Columbia Product Catalogue 2024, page 11.","Tools > Columbia, Tools > Columbia > Throttle Boxes","Columbia, Throttle Boxes, official-catalog, tools-only",core_tool,Throttle Boxes,yes,corner_flusher_box,customercatalogue2024-3.pdf-3.pdf,yes,11,verified_pdf,,,,,,0
Columbia,simple,5.5FFB,5.5FFB,,columbia-5-5-in-flat-finisher-box,Columbia 5.5 in Flat Finisher Box,1,visible,Official Columbia flat boxes item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: 5.5 in Flat Finisher Box. Product family: Flat Boxes. Source: Columbia Product Catalogue 2024, page 12.","Tools > Columbia, Tools > Columbia > Flat Boxes","Columbia, Flat Boxes, official-catalog, tools-only",core_tool,Flat Boxes,yes,flat_box,customercatalogue2024-3.pdf-3.pdf,yes,12,verified_pdf,,,,,,0
Columbia,simple,7FFB,7FFB,,columbia-7-in-flat-finisher-box,Columbia 7 in Flat Finisher Box,1,visible,Official Columbia flat boxes item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: 7 in Flat Finisher Box. Product family: Flat Boxes. Source: Columbia Product Catalogue 2024, page 12.","Tools > Columbia, Tools > Columbia > Flat Boxes","Columbia, Flat Boxes, official-catalog, tools-only",core_tool,Flat Boxes,yes,flat_box,customercatalogue2024-3.pdf-3.pdf,yes,12,verified_pdf,,,,,,0
Columbia,simple,8FFB,8FFB,,columbia-8-in-flat-finisher-box,Columbia 8 in Flat Finisher Box,1,visible,Official Columbia flat boxes item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: 8 in Flat Finisher Box. Product family: Flat Boxes. Source: Columbia Product Catalogue 2024, page 12.","Tools > Columbia, Tools > Columbia > Flat Boxes","Columbia, Flat Boxes, official-catalog, tools-only",core_tool,Flat Boxes,yes,flat_box,customercatalogue2024-3.pdf-3.pdf,yes,12,verified_pdf,,,,,,0
Columbia,simple,10FFB,10FFB,,columbia-10-in-flat-finisher-box,Columbia 10 in Flat Finisher Box,1,visible,Official Columbia flat boxes item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: 10 in Flat Finisher Box. Product family: Flat Boxes. Source: Columbia Product Catalogue 2024, page 12.","Tools > Columbia, Tools > Columbia > Flat Boxes","Columbia, Flat Boxes, official-catalog, tools-only",core_tool,Flat Boxes,yes,flat_box,customercatalogue2024-3.pdf-3.pdf,yes,12,verified_pdf,,,,,,0
Columbia,simple,12FFB,12FFB,,columbia-12-in-flat-finisher-box,Columbia 12 in Flat Finisher Box,1,visible,Official Columbia flat boxes item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: 12 in Flat Finisher Box. Product family: Flat Boxes. Source: Columbia Product Catalogue 2024, page 12.","Tools > Columbia, Tools > Columbia > Flat Boxes","Columbia, Flat Boxes, official-catalog, tools-only",core_tool,Flat Boxes,yes,flat_box,customercatalogue2024-3.pdf-3.pdf,yes,12,verified_pdf,,,,,,0
Columbia,simple,14FFB,14FFB,,columbia-14-in-flat-finisher-box,Columbia 14 in Flat Finisher Box,1,visible,Official Columbia flat boxes item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: 14 in Flat Finisher Box. Product family: Flat Boxes. Source: Columbia Product Catalogue 2024, page 12.","Tools > Columbia, Tools > Columbia > Flat Boxes","Columbia, Flat Boxes, official-catalog, tools-only",core_tool,Flat Boxes,yes,flat_box,customercatalogue2024-3.pdf-3.pdf,yes,12,verified_pdf,,,,,,0
Columbia,simple,5.5FBB,5.5FBB,,columbia-5-5-in-fat-boy-flat-box,Columbia 5.5 in Fat Boy Flat Box,1,visible,Official Columbia flat boxes item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: 5.5 in Fat Boy Flat Box. Product family: Flat Boxes. Source: Columbia Product Catalogue 2024, page 12.","Tools > Columbia, Tools > Columbia > Flat Boxes","Columbia, Flat Boxes, official-catalog, tools-only",core_tool,Flat Boxes,yes,flat_box,customercatalogue2024-3.pdf-3.pdf,yes,12,verified_pdf,,,,,,0
Columbia,simple,8FBB,8FBB,,columbia-8-in-fat-boy-flat-box,Columbia 8 in Fat Boy Flat Box,1,visible,Official Columbia flat boxes item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: 8 in Fat Boy Flat Box. Product family: Flat Boxes. Source: Columbia Product Catalogue 2024, page 12.","Tools > Columbia, Tools > Columbia > Flat Boxes","Columbia, Flat Boxes, official-catalog, tools-only",core_tool,Flat Boxes,yes,flat_box,customercatalogue2024-3.pdf-3.pdf,yes,12,verified_pdf,,,,,,0
Columbia,simple,10FBB,10FBB,,columbia-10-in-fat-boy-flat-box,Columbia 10 in Fat Boy Flat Box,1,visible,Official Columbia flat boxes item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: 10 in Fat Boy Flat Box. Product family: Flat Boxes. Source: Columbia Product Catalogue 2024, page 12.","Tools > Columbia, Tools > Columbia > Flat Boxes","Columbia, Flat Boxes, official-catalog, tools-only",core_tool,Flat Boxes,yes,flat_box,customercatalogue2024-3.pdf-3.pdf,yes,12,verified_pdf,,,,,,0
Columbia,simple,12FBB,12FBB,,columbia-12-in-fat-boy-flat-box,Columbia 12 in Fat Boy Flat Box,1,visible,Official Columbia flat boxes item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: 12 in Fat Boy Flat Box. Product family: Flat Boxes. Source: Columbia Product Catalogue 2024, page 12.","Tools > Columbia, Tools > Columbia > Flat Boxes","Columbia, Flat Boxes, official-catalog, tools-only",core_tool,Flat Boxes,yes,flat_box,customercatalogue2024-3.pdf-3.pdf,yes,12,verified_pdf,,,,,,0
Columbia,simple,8FFBA,8FFBA,,columbia-8-in-automatic-flat-box,Columbia 8 in Automatic Flat Box,1,visible,Official Columbia automatic flat boxes item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: 8 in Automatic Flat Box. Product family: Automatic Flat Boxes. Source: Columbia Product Catalogue 2024, page 13.","Tools > Columbia, Tools > Columbia > Automatic Flat Boxes","Columbia, Automatic Flat Boxes, official-catalog, tools-only",core_tool,Automatic Flat Boxes,yes,flat_box,customercatalogue2024-3.pdf-3.pdf,yes,13,verified_pdf,,,,,,0
Columbia,simple,10FFBA,10FFBA,,columbia-10-in-automatic-flat-box,Columbia 10 in Automatic Flat Box,1,visible,Official Columbia automatic flat boxes item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: 10 in Automatic Flat Box. Product family: Automatic Flat Boxes. Source: Columbia Product Catalogue 2024, page 13.","Tools > Columbia, Tools > Columbia > Automatic Flat Boxes","Columbia, Automatic Flat Boxes, official-catalog, tools-only",core_tool,Automatic Flat Boxes,yes,flat_box,customercatalogue2024-3.pdf-3.pdf,yes,13,verified_pdf,,,,,,0
Columbia,simple,12FFBA,12FFBA,,columbia-12-in-automatic-flat-box,Columbia 12 in Automatic Flat Box,1,visible,Official Columbia automatic flat boxes item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: 12 in Automatic Flat Box. Product family: Automatic Flat Boxes. Source: Columbia Product Catalogue 2024, page 13.","Tools > Columbia, Tools > Columbia > Automatic Flat Boxes","Columbia, Automatic Flat Boxes, official-catalog, tools-only",core_tool,Automatic Flat Boxes,yes,flat_box,customercatalogue2024-3.pdf-3.pdf,yes,13,verified_pdf,,,,,,0
Columbia,simple,14FFBA,14FFBA,,columbia-14-in-automatic-flat-box,Columbia 14 in Automatic Flat Box,1,visible,Official Columbia automatic flat boxes item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: 14 in Automatic Flat Box. Product family: Automatic Flat Boxes. Source: Columbia Product Catalogue 2024, page 13.","Tools > Columbia, Tools > Columbia > Automatic Flat Boxes","Columbia, Automatic Flat Boxes, official-catalog, tools-only",core_tool,Automatic Flat Boxes,yes,flat_box,customercatalogue2024-3.pdf-3.pdf,yes,13,verified_pdf,,,,,,0
Columbia,simple,8FBBA,8FBBA,,columbia-8-in-automatic-fat-boy-box,Columbia 8 in Automatic Fat Boy Box,1,visible,Official Columbia automatic flat boxes item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: 8 in Automatic Fat Boy Box. Product family: Automatic Flat Boxes. Source: Columbia Product Catalogue 2024, page 13.","Tools > Columbia, Tools > Columbia > Automatic Flat Boxes","Columbia, Automatic Flat Boxes, official-catalog, tools-only",core_tool,Automatic Flat Boxes,yes,flat_box,customercatalogue2024-3.pdf-3.pdf,yes,13,verified_pdf,,,,,,0
Columbia,simple,10FBBA,10FBBA,,columbia-10-in-automatic-fat-boy-box,Columbia 10 in Automatic Fat Boy Box,1,visible,Official Columbia automatic flat boxes item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: 10 in Automatic Fat Boy Box. Product family: Automatic Flat Boxes. Source: Columbia Product Catalogue 2024, page 13.","Tools > Columbia, Tools > Columbia > Automatic Flat Boxes","Columbia, Automatic Flat Boxes, official-catalog, tools-only",core_tool,Automatic Flat Boxes,yes,flat_box,customercatalogue2024-3.pdf-3.pdf,yes,13,verified_pdf,,,,,,0
Columbia,simple,12FBBA,12FBBA,,columbia-12-in-automatic-fat-boy-box,Columbia 12 in Automatic Fat Boy Box,1,visible,Official Columbia automatic flat boxes item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: 12 in Automatic Fat Boy Box. Product family: Automatic Flat Boxes. Source: Columbia Product Catalogue 2024, page 13.","Tools > Columbia, Tools > Columbia > Automatic Flat Boxes","Columbia, Automatic Flat Boxes, official-catalog, tools-only",core_tool,Automatic Flat Boxes,yes,flat_box,customercatalogue2024-3.pdf-3.pdf,yes,13,verified_pdf,,,,,,0
Columbia,simple,2NS,2NS,,columbia-2-in-nail-spotter,Columbia 2 in Nail Spotter,1,visible,Official Columbia nail spotters item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: 2 in Nail Spotter. Product family: Nail Spotters. Source: Columbia Product Catalogue 2024, page 14.","Tools > Columbia, Tools > Columbia > Nail Spotters","Columbia, Nail Spotters, official-catalog, tools-only",core_tool,Nail Spotters,yes,nail_spotter,customercatalogue2024-3.pdf-3.pdf,yes,14,verified_pdf,,,,,,0
Columbia,simple,3NS,3NS,,columbia-3-in-nail-spotter,Columbia 3 in Nail Spotter,1,visible,Official Columbia nail spotters item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: 3 in Nail Spotter. Product family: Nail Spotters. Source: Columbia Product Catalogue 2024, page 14.","Tools > Columbia, Tools > Columbia > Nail Spotters","Columbia, Nail Spotters, official-catalog, tools-only",core_tool,Nail Spotters,yes,nail_spotter,customercatalogue2024-3.pdf-3.pdf,yes,14,verified_pdf,,,,,,0
Columbia,simple,HMP,HMP,,columbia-hot-mud-pump,Columbia Hot Mud Pump,1,visible,Official Columbia mud pumps item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: Hot Mud Pump. Product family: Mud Pumps. Source: Columbia Product Catalogue 2024, page 15.","Tools > Columbia, Tools > Columbia > Mud Pumps","Columbia, Mud Pumps, official-catalog, tools-only",core_tool,Mud Pumps,yes,mud_pump,customercatalogue2024-3.pdf-3.pdf,yes,15,verified_pdf,,,,,,0
