schematic_id,brand,source_json_path,current_model_number,current_model_name,tool_sku,tool_name,status,notes
asgard-maxxbox-finishing-box-12-ehc12-ad-sch,Asgard,Asgard\Schematics\FinishingBoxes\EHC12-AD\schematic_data.json,EHC12AD,"Asgard MAXXBOX Finishing Box - 12""",EHC12AD,"Asgard MAXXBOX Finishing Box -  12""",normalized_slug_migrated,normalized_from=asgard-ehc12-ad-sch; slug=asgard-maxxbox-finishing-box-12-ehc12-ad; sku=EHC12AD
asgard-finishing-box-7-ez07-ad-sch,Asgard,Asgard\Schematics\FinishingBoxes\EZ07-AD\schematic_data.json,EZ07AD,"Asgard Finishing Box - 7""",EZ07AD,"Asgard Finishing Box -  7""",normalized_slug_migrated,normalized_from=asgard-ez07-ad-sch; slug=asgard-finishing-box-7-ez07-ad; sku=EZ07AD
asgard-finishing-box-10-ez10-ad-sch,Asgard,Asgard\Schematics\FinishingBoxes\EZ10-AD\schematic_data.json,EZ10AD,"Asgard Finishing Box - 10""",EZ10AD,"Asgard Finishing Box -  10""",normalized_slug_migrated,normalized_from=asgard-ez10-ad-sch; slug=asgard-finishing-box-10-ez10-ad; sku=EZ10AD
asgard-finishing-box-12-ez12-ad-sch,Asgard,Asgard\Schematics\FinishingBoxes\EZ12-AD\schematic_data.json,EZ12AD,"Asgard Finishing Box - 12""",EZ12AD,"Asgard Finishing Box -  12""",normalized_slug_migrated,normalized_from=asgard-ez12-ad-sch; slug=asgard-finishing-box-12-ez12-ad; sku=EZ12AD
asgard-angle-head-2-5-ah25-ad-adapters-fa01-ad-sch,Asgard,Asgard\Schematics\Adapters\FA01-AD\schematic_data.json,FA01-AD,Filler Adapter,AH25AD,"Asgard Angle Head -  2.5""",normalized_slug_migrated,normalized_from=asgard-fa01-ad-sch; slug=asgard-angle-head-2-5-ah25-ad; sku=AH25AD
asgard-extendable-finishing-box-handle-41-63-fbhe-ad-sch,Asgard,Asgard\Schematics\Handles\FBHE-AD\schematic_data.json,FBHEAD,"Asgard Extendable Finishing Box Handle - 41"" - 63""",FBHEAD,"Asgard Extendable Finishing Box Handle - 41"" - 63""",normalized_slug_migrated,normalized_from=asgard-fbhe-ad-sch; slug=asgard-extendable-finishing-box-handle-41-63-fbhe-ad; sku=FBHEAD
asgard-fh-ad-fiberglass-handle-43-sch,Asgard,Asgard\Schematics\Handles\FH-AD\schematic_data.json,FHAD,"Asgard Fiberglass Handle - 43""",FHAD,"Asgard Fiberglass Handle - 43""",normalized_slug_migrated,normalized_from=asgard-fh-ad-sch; slug=asgard-fh-ad-fiberglass-handle-43; sku=FHAD
asgard-mud-pumps-gn01-ad-sch,Asgard,Asgard\Schematics\Other\GN01-AD\schematic_data.json,GN01AD,Asgard Gooseneck Adapter,GN01AD,Asgard Gooseneck Adapter,normalized_slug_migrated,normalized_from=asgard-gn01-ad-sch; slug=asgard-mud-pumps-gn01-ad; sku=GN01AD
asgard-loading-pump-lp01-ad-sch,Asgard,Asgard\Schematics\Pumps\LP01-AD\schematic_data.json,LP01AD,Asgard Loading Pump,LP01AD,Asgard Loading Pump,normalized_slug_migrated,normalized_from=asgard-lp01-ad-sch; slug=asgard-loading-pump-lp01-ad; sku=LP01AD
asgard-nail-spotter-head-only-ns03-ad-sch,Asgard,Asgard\Schematics\Spotters\NS03-AD\schematic_data.json,NS03AD,Asgard Nail Spotter – Head Only,NS03AD,Asgard Nail Spotter – Head Only,normalized_slug_migrated,normalized_from=asgard-ns03-ad-sch; slug=asgard-nail-spotter-head-only-ns03-ad; sku=NS03AD
asgard-power-assist-maxxbox-7-pa07-ad-sch,Asgard,Asgard\Schematics\FinishingBoxes\PA07-AD\schematic_data.json,PA07AD,"Asgard Power Assist MAXXBOX Finishing Box - 7""",PA07AD,"Asgard Power Assist MAXXBOX Finishing Box -  7""",normalized_slug_migrated,normalized_from=asgard-pa07-ad-sch; slug=asgard-power-assist-maxxbox-7-pa07-ad; sku=PA07AD
asgard-power-assist-maxxbox-10-pa10-ad-sch,Asgard,Asgard\Schematics\FinishingBoxes\PA10-AD\schematic_data.json,PA10AD,"Asgard Power Assist MAXXBOX Finishing Box - 10""",PA10AD,"Asgard Power Assist MAXXBOX Finishing Box -  10""",normalized_slug_migrated,normalized_from=asgard-pa10-ad-sch; slug=asgard-power-assist-maxxbox-10-pa10-ad; sku=PA10AD
asgard-power-assist-maxxbox-12-pa12-ad-sch,Asgard,Asgard\Schematics\FinishingBoxes\PA12-AD\schematic_data.json,PA12AD,"Asgard Power Assist MAXXBOX Finishing Box - 12""",PA12AD,"Asgard Power Assist MAXXBOX Finishing Box -  12""",normalized_slug_migrated,normalized_from=asgard-pa12-ad-sch; slug=asgard-power-assist-maxxbox-12-pa12-ad; sku=PA12AD
asgard-xh-ad-extension-support-handle-43-76-sch,Asgard,Asgard\Schematics\Handles\XH-AD\schematic_data.json,XHAD,Asgard Extension Support Handle - 43” to 76”,XHAD,Asgard Extension Support Handle - 43” to 76”,normalized_slug_migrated,normalized_from=asgard-xh-ad-sch; slug=asgard-xh-ad-extension-support-handle-43-76; sku=XHAD
columbia-180-grip-flat-box-handle-sch,Columbia Tools,Columbia\Schematics\Handles\FlatBoxHandle\schematic_data.json,180GRIPBOXHANDLE,180GripBoxHandle 2014,COL180GRIPFLATBOXHANDLEFIXEDLENGTH,Columbia 180 Grip Flat Box Handle,normalized_slug_migrated_exact,source=Columbia\Schematics\Handles\FlatBoxHandle\schematic_data.json; images=columbia-180-grip-flat-box-handle-schematic-page-001.webp|columbia-180-grip-flat-box-handle-schematic-page-002.webp; map_source=woocommerce_catalog_production.csv
columbia-billet-mud-applicator-two-way-internal-corner-4-wheels-icatw-sch,Columbia Tools,Columbia\Schematics\Applicators\TwoWayInternalCorner\schematic_data.json,2-WAY-INTERNAL-CORNER-APPLICATOR-1,2 WAY INTERNAL CORNER APPLICATOR 1,ICATW,Columbia Billet Mud Applicator - Two-Way Internal Corner 4 Wheels,normalized_slug_migrated_strict_map,source=Columbia\Schematics\Applicators\TwoWayInternalCorner\schematic_data.json; images=columbia-billet-mud-applicator-two-way-internal-corner-4-wheels-icatw-schematic-page-001.webp|columbia-billet-mud-applicator-two-way-internal-corner-4-wheels-icatw-schematic-page-002.webp; map=Columbia/Schematics/Applicators/TwoWayInternalCorner->ICATW
columbia-standard-flusher-sch,Columbia Tools,Columbia\Schematics\CornerFlushers\StandardCornerFlusher\schematic_data.json,3.5INCH-CORNER-FLUSHER,3.5INCH CORNER FLUSHER SCHEMATIC 2015,COLSTANDARDFLUSHERS,Columbia Standard Flusher,normalized_slug_migrated_exact,source=Columbia\Schematics\CornerFlushers\StandardCornerFlusher\schematic_data.json; images=columbia-standard-flusher-schematic-page-001.webp|columbia-standard-flusher-schematic-page-002.webp; map_source=woocommerce_catalog_production.csv
columbia-billet-mud-applicator-external-90-cext90-sch,Columbia Tools,Columbia\Schematics\Applicators\ExternalCorner\schematic_data.json,8-WHEEL-EXTERNAL-CORNER-APPLICATOR-1,8 WHEEL EXTERNAL CORNER APPLICATOR 1,CEXT90,Columbia Billet Mud Applicator - External 90,normalized_slug_migrated_strict_map,source=Columbia\Schematics\Applicators\ExternalCorner\schematic_data.json; images=columbia-billet-mud-applicator-external-90-cext90-schematic-page-001.webp|columbia-billet-mud-applicator-external-90-cext90-schematic-page-002.webp; map=Columbia/Schematics/Applicators/ExternalCorner->CEXT90
columbia-angle-head-sch,Columbia Tools,Columbia\Schematics\Angleheads\AngleHead\schematic_data.json,ANGLEHEAD-2014-3,AngleHead 2014 3,COLANGLEHEAD,Columbia Angle Head,normalized_slug_migrated_strict_map,source=Columbia\Schematics\Angleheads\AngleHead\schematic_data.json; images=columbia-angle-head-schematic-page-001.webp|columbia-angle-head-schematic-page-002.webp; map=Columbia/Schematics/Angleheads/AngleHead->COLANGLEHEAD
columbia-automatic-flat-finishing-box-sch,Columbia Tools,Columbia\Schematics\FinishingBoxes\AutomaticFlatBox\schematic_data.json,AUTO-BOX,AUTO BOX SCHEMATIC 2022,COLAUTOMATICFLATBOX,Columbia Automatic Flat Finishing Box,normalized_slug_migrated_strict_map,source=Columbia\Schematics\FinishingBoxes\AutomaticFlatBox\schematic_data.json; images=columbia-automatic-flat-finishing-box-schematic-page-001.webp|columbia-automatic-flat-finishing-box-schematic-page-002.webp; map=Columbia/Schematics/FinishingBoxes/AutomaticFlatBox->COLAUTOMATICFLATBOX
columbia-box-filler-sch,Columbia Tools,Columbia\Schematics\Pumps\BoxFiller\schematic_data.json,BOX-FILLER,BOX FILLER,COLBOXFILLER,Columbia Box Filler,normalized_slug_migrated_strict_map,source=Columbia\Schematics\Pumps\BoxFiller\schematic_data.json; images=columbia-box-filler-schematic-page-001.webp|columbia-box-filler-schematic-page-002.webp; map=Columbia/Schematics/Pumps/BoxFiller->COLBOXFILLER
columbia-cam-lock-tube-sch,Columbia Tools,Columbia\Schematics\CompoundTubes\CamLockTube\schematic_data.json,CAM-LOCK-TUBE,CAM LOCK TUBE 2019,COLCAMLOCKTUBE,Columbia Cam Lock Tube,normalized_slug_migrated_strict_map,source=Columbia\Schematics\CompoundTubes\CamLockTube\schematic_data.json; images=columbia-cam-lock-tube-schematic-page-001.webp|columbia-cam-lock-tube-schematic-page-002.webp; map=Columbia/Schematics/CompoundTubes/CamLockTube->COLCAMLOCKTUBE
columbia-combo-flusher-sch,Columbia Tools,Columbia\Schematics\CornerFlushers\ComboFlusher\schematic_data.json,CLASSIC-COMBO-FLUSHER-1,CLASSIC COMBO FLUSHER 1,COLCOMBOFLUSHER,Columbia Combo Flusher,normalized_slug_migrated_strict_map,source=Columbia\Schematics\CornerFlushers\ComboFlusher\schematic_data.json; images=columbia-combo-flusher-schematic-page-001.webp|columbia-combo-flusher-schematic-page-002.webp; map=Columbia/Schematics/CornerFlushers/ComboFlusher->COLCOMBOFLUSHER
columbia-closet-monster-handle-sch,Columbia Tools,Columbia\Schematics\Handles\ClosetMonster\schematic_data.json,CLOSETMONSTER,ClosetMonster 2015,CMH,Columbia Closet Monster Handle,normalized_slug_migrated_strict_map,source=Columbia\Schematics\Handles\ClosetMonster\schematic_data.json; images=columbia-closet-monster-handle-schematic-page-001.webp|columbia-closet-monster-handle-schematic-page-002.webp; map=Columbia/Schematics/Handles/ClosetMonster->CMH
columbia-one-handle-sch,Columbia Tools,Columbia\Schematics\Handles\ColumbiaOne\schematic_data.json,COLUMBIA-ONE,COLUMBIA ONE,COLONEHANDLE,Columbia One Handle,normalized_slug_migrated_strict_map,source=Columbia\Schematics\Handles\ColumbiaOne\schematic_data.json; images=columbia-one-handle-schematic-page-001.webp|columbia-one-handle-schematic-page-002.webp; map=Columbia/Schematics/Handles/ColumbiaOne->COLONEHANDLE
columbia-compound-tube-sch,Columbia Tools,Columbia\Schematics\CompoundTubes\CompoundTube\schematic_data.json,COMPOUND-TUBE,COMPOUND TUBE SCHEMATIC 2022,COLCOMPOUNDTUBE,Columbia Compound Tube,normalized_slug_migrated_strict_map,source=Columbia\Schematics\CompoundTubes\CompoundTube\schematic_data.json; images=columbia-compound-tube-schematic-page-001.webp|columbia-compound-tube-schematic-page-002.webp; map=Columbia/Schematics/CompoundTubes/CompoundTube->COLCOMPOUNDTUBE
columbia-throttle-box-sch,Columbia Tools,Columbia\Schematics\CornerBoxes\ThrottleBox\schematic_data.json,CORNER-BOX,CORNER BOX,COLTHROTTLEBOX,Columbia Throttle Box,normalized_slug_migrated_exact,source=Columbia\Schematics\CornerBoxes\ThrottleBox\schematic_data.json; images=columbia-throttle-box-schematic-page-001.webp|columbia-throttle-box-schematic-page-002.webp; map_source=woocommerce_catalog_production.csv
columbia-corner-cobra-sch,Columbia Tools,Columbia\Schematics\CornerRollers\CornerCobra\schematic_data.json,CORNER-COBRA,CORNER COBRA,CC,Columbia Corner Cobra,normalized_slug_migrated_strict_map,source=Columbia\Schematics\CornerRollers\CornerCobra\schematic_data.json; images=columbia-corner-cobra-schematic-page-001.webp|columbia-corner-cobra-schematic-page-002.webp; map=Columbia/Schematics/CornerRollers/CornerCobra->CC
columbia-direct-flusher-sch,Columbia Tools,Columbia\Schematics\CornerFlushers\DirectCornerFlusher\schematic_data.json,DIRECTSTANDARDFLUSHER,DirectStandardFlusher 2015,COLDIRECTFLUSHER,Columbia Direct Flusher,normalized_slug_migrated_strict_map,source=Columbia\Schematics\CornerFlushers\DirectCornerFlusher\schematic_data.json; images=columbia-direct-flusher-schematic-page-001.webp|columbia-direct-flusher-schematic-page-002.webp; map=Columbia/Schematics/CornerFlushers/DirectCornerFlusher->COLDIRECTFLUSHER
columbia-one-handle-4-8-long-extendible-chxl-sch,Columbia Tools,Columbia\Schematics\Handles\LongExtendableHandle\schematic_data.json,EXTENDABLE-HANDLE,extendable handle,CHXL,Columbia One Handle - 4' - 8' Long Extendible,normalized_slug_migrated_strict_map,source=Columbia\Schematics\Handles\LongExtendableHandle\schematic_data.json; images=columbia-one-handle-4-8-long-extendible-chxl-schematic-page-001.webp|columbia-one-handle-4-8-long-extendible-chxl-schematic-page-002.webp; map=Columbia/Schematics/Handles/LongExtendableHandle->CHXL
columbia-matrix-box-handle-matrixboxhandle-extensionhousing-sch,Columbia Tools,Columbia\Schematics\Handles\MatrixBoxHandle\ExtensionHousing\schematic_data.json,EXTENSION-HOUSING-SCHEMATIC-1,EXTENSION HOUSING SCHEMATIC 1,COLMATRIXBOXHANDLE,Columbia Matrix Box Handle,normalized_slug_migrated_exact,source=Columbia\Schematics\Handles\MatrixBoxHandle\ExtensionHousing\schematic_data.json; images=columbia-matrix-box-handle-schematic-page-001.webp; map_source=woocommerce_catalog_production.csv
columbia-fat-boy-finishing-box-sch,Columbia Tools,Columbia\Schematics\FinishingBoxes\FatBoyBox\schematic_data.json,FAT-BOY-BOX,FAT BOY BOX,COLFATBOYBOX,Columbia Fat Boy Finishing Box,normalized_slug_migrated_exact,source=Columbia\Schematics\FinishingBoxes\FatBoyBox\schematic_data.json; images=columbia-fat-boy-finishing-box-schematic-page-001.webp|columbia-fat-boy-finishing-box-schematic-page-002.webp; map_source=woocommerce_catalog_production.csv
columbia-flat-finishing-box-sch,Columbia Tools,Columbia\Schematics\FinishingBoxes\FlatBox\schematic_data.json,FLAT-BOX-HINGED,FLAT BOX HINGED SCHEMATIC 2022,COLFLATFINISHINGBOXES,Columbia Flat Finishing Box,normalized_slug_migrated_exact,source=Columbia\Schematics\FinishingBoxes\FlatBox\schematic_data.json; images=columbia-flat-finishing-box-schematic-page-001.webp|columbia-flat-finishing-box-schematic-page-002.webp; map_source=woocommerce_catalog_production.csv
columbia-gooseneck-sch,Columbia Tools,Columbia\Schematics\Pumps\GooseneckAdapter\schematic_data.json,GOOSENECK-1-1,Gooseneck 1 1,COLGOOSENECK,Columbia Gooseneck,normalized_slug_migrated_strict_map,source=Columbia\Schematics\Pumps\GooseneckAdapter\schematic_data.json; images=columbia-gooseneck-schematic-page-001.webp|columbia-gooseneck-schematic-page-002.webp; map=Columbia/Schematics/Pumps/GooseneckAdapter->COLGOOSENECK
columbia-billet-mud-applicator-inside-corner-2-wheels-1-ica2-1-sch,Columbia Tools,Columbia\Schematics\Applicators\InsideCornerApplicator\2Wheel\schematic_data.json,ICA1-2,ICA1 2 2015,ICA21,"Columbia Billet Mud Applicator - Inside Corner 2 Wheels - 1""",normalized_slug_migrated_strict_map,source=Columbia\Schematics\Applicators\InsideCornerApplicator\2Wheel\schematic_data.json; images=columbia-billet-mud-applicator-inside-corner-2-wheels-1-ica2-1-schematic-page-001.webp; map=Columbia/Schematics/Applicators/InsideCornerApplicator/2Wheel->ICA21
columbia-billet-mud-applicator-inside-corner-4-wheels-1-ica4-1-sch,Columbia Tools,Columbia\Schematics\Applicators\InsideCornerApplicator\4Wheel\schematic_data.json,ICA1-4,ICA1 4 2015,ICA41,"Columbia Billet Mud Applicator - Inside Corner 4 Wheels - 1""",normalized_slug_migrated_strict_map,source=Columbia\Schematics\Applicators\InsideCornerApplicator\4Wheel\schematic_data.json; images=columbia-billet-mud-applicator-inside-corner-4-wheels-1-ica4-1-schematic-page-001.webp; map=Columbia/Schematics/Applicators/InsideCornerApplicator/4Wheel->ICA41
columbia-corner-roller-sch,Columbia Tools,Columbia\Schematics\CornerRollers\InsideCornerRoller\schematic_data.json,INSIDECORNERROLLER-2014-1-SQUARED,INSIDECORNERROLLER 2014 1 SQUARED,CR,Columbia Corner Roller,normalized_slug_migrated_strict_map,source=Columbia\Schematics\CornerRollers\InsideCornerRoller\schematic_data.json; images=columbia-corner-roller-schematic-page-001.webp|columbia-corner-roller-schematic-page-002.webp; map=Columbia/Schematics/CornerRollers/InsideCornerRoller->CR
columbia-matrix-box-handle-matrixboxhandle-boxhandle-sch,Columbia Tools,Columbia\Schematics\Handles\MatrixBoxHandle\BoxHandle\schematic_data.json,MATRIX-HANDLE,MATRIX HANDLE,COLMATRIXBOXHANDLE,Columbia Matrix Box Handle,normalized_slug_migrated_exact,source=Columbia\Schematics\Handles\MatrixBoxHandle\BoxHandle\schematic_data.json; images=columbia-matrix-box-handle-schematic-page-001.webp|columbia-matrix-box-handle-schematic-page-002.webp; map_source=woocommerce_catalog_production.csv
columbia-ah1-3-5-head-casting-3-5in-sch,Columbia Tools,Columbia\Schematics\Handles\MatrixBoxHandle\Head\schematic_data.json,MATRIX-HEAD,MATRIX HEAD,AH135IN,"AH1 - 3.5 - Head Casting - 3.5""",normalized_slug_migrated_exact,source=Columbia\Schematics\Handles\MatrixBoxHandle\Head\schematic_data.json; images=columbia-ah1-3-5-head-casting-3-5in-schematic-page-001.webp; map_source=woocommerce_catalog_production.csv
columbia-180-grip-lower-brake-lever-bh4-sch,Columbia Tools,Columbia\Schematics\Handles\MatrixBoxHandle\Lever\schematic_data.json,MATRIX-LEVER-1,MATRIX LEVER 1,BH4,Lower Brake Lever,normalized_slug_migrated_exact,source=Columbia\Schematics\Handles\MatrixBoxHandle\Lever\schematic_data.json; images=columbia-180-grip-lower-brake-lever-bh4-schematic-page-001.webp; map_source=woocommerce_catalog_production.csv
columbia-matrix-box-handle-matrixboxhandle-pinchbox-sch,Columbia Tools,Columbia\Schematics\Handles\MatrixBoxHandle\Pinchbox\schematic_data.json,MATRIX-PINCHBOX-1,MATRIX PINCHBOX 1,COLMATRIXBOXHANDLE,Columbia Matrix Box Handle,normalized_slug_migrated_exact,source=Columbia\Schematics\Handles\MatrixBoxHandle\Pinchbox\schematic_data.json; images=columbia-matrix-box-handle-schematic-page-001.webp; map_source=woocommerce_catalog_production.csv
columbia-mud-pump-pumps-mudpump-sch,Columbia Tools,Columbia\Schematics\Pumps\MudPump\schematic_data.json,MUD-PUMP,MUD PUMP SCHEMATIC 2022,COLMUDPUMP,Columbia Mud Pump,normalized_slug_migrated_exact,source=Columbia\Schematics\Pumps\MudPump\schematic_data.json; images=columbia-mud-pump-schematic-page-001.webp|columbia-mud-pump-schematic-page-002.webp|columbia-mud-pump-schematic-page-003.webp; map_source=woocommerce_catalog_production.csv
columbia-nail-spotter-sch,Columbia Tools,Columbia\Schematics\Nailspotters\Nailspotter\schematic_data.json,NAIL-SPOTTER,NAIL SPOTTER SCHEMATIC 2022,COLNAILSPOTTER,Columbia Nail Spotter,normalized_slug_migrated_strict_map,source=Columbia\Schematics\Nailspotters\Nailspotter\schematic_data.json; images=columbia-nail-spotter-schematic-page-001.webp|columbia-nail-spotter-schematic-page-002.webp; map=Columbia/Schematics/Nailspotters/Nailspotter->COLNAILSPOTTER
columbia-outside-corner-roller-sch,Columbia Tools,Columbia\Schematics\CornerRollers\StandardOutsideCornerRoller\schematic_data.json,OUTSIDECORNERROLLERS-2016-1,OutsideCornerRollers 2016 1,COLOUTSIDECORNERROLLER,Columbia Outside Corner Roller,normalized_slug_migrated_strict_map,source=Columbia\Schematics\CornerRollers\StandardOutsideCornerRoller\schematic_data.json; images=columbia-outside-corner-roller-schematic-page-001.webp|columbia-outside-corner-roller-schematic-page-002.webp; map=Columbia/Schematics/CornerRollers/StandardOutsideCornerRoller->COLOUTSIDECORNERROLLER
columbia-automatic-taper-predator-carbon-fiber-53-ptaper-predatortaper-body-sch,Columbia Tools,Columbia\Schematics\AutomaticTapers\PredatorTaper\Body\schematic_data.json,PREDATOR-TAPER-BODY,PREDATOR TAPER BODY,PTAPER,"Columbia Automatic Taper - Predator Carbon Fiber 53""",normalized_slug_migrated_strict_map,source=Columbia\Schematics\AutomaticTapers\PredatorTaper\Body\schematic_data.json; images=columbia-automatic-taper-predator-carbon-fiber-53-ptaper-schematic-page-001.webp; map=Columbia/Schematics/AutomaticTapers/PredatorTaper/Body->PTAPER
columbia-automatic-taper-predator-carbon-fiber-53-ptaper-predatortaper-head-sch,Columbia Tools,Columbia\Schematics\AutomaticTapers\PredatorTaper\Head\schematic_data.json,PREDATOR-TAPER-HEAD,PREDATOR TAPER HEAD,PTAPER,"Columbia Automatic Taper - Predator Carbon Fiber 53""",normalized_slug_migrated_strict_map,source=Columbia\Schematics\AutomaticTapers\PredatorTaper\Head\schematic_data.json; images=columbia-automatic-taper-predator-carbon-fiber-53-ptaper-schematic-page-001.webp; map=Columbia/Schematics/AutomaticTapers/PredatorTaper/Head->PTAPER
columbia-combo-flusher-3-3csf-sch,Columbia Tools,Columbia\Schematics\Sanders\SanderHead\schematic_data.json,SANDER-HEAD,SANDER HEAD,3CSF,"Columbia Combo Flusher - 3""",normalized_slug_migrated_exact,source=Columbia\Schematics\Sanders\SanderHead\schematic_data.json; images=columbia-combo-flusher-3-3csf-schematic-page-001.webp|columbia-combo-flusher-3-3csf-schematic-page-002.webp; map_source=woocommerce_catalog_production.csv
columbia-semi-automatic-taper-sat-sch,Columbia Tools,Columbia\Schematics\SemiAutomaticTapers\SemiAutomaticTaper\schematic_data.json,SEMI-AUTOMATIC-TAPER,SEMI AUTOMATIC TAPER SCHEMATIC 2022,SAT,Columbia Semi Automatic Taper,normalized_slug_migrated_strict_map,source=Columbia\Schematics\SemiAutomaticTapers\SemiAutomaticTaper\schematic_data.json; images=columbia-semi-automatic-taper-sat-schematic-page-001.webp|columbia-semi-automatic-taper-sat-schematic-page-002.webp; map=Columbia/Schematics/SemiAutomaticTapers/SemiAutomaticTaper->SAT
columbia-mud-pump-pumps-tallboymudpump-sch,Columbia Tools,Columbia\Schematics\Pumps\TallBoyMudPump\schematic_data.json,TALL-BOY-MUD-PUMP,TALL BOY MUD PUMP SCHEMATIC 2022,COLMUDPUMP,Columbia Mud Pump,normalized_slug_migrated_exact,source=Columbia\Schematics\Pumps\TallBoyMudPump\schematic_data.json; images=columbia-mud-pump-schematic-page-001.webp|columbia-mud-pump-schematic-page-002.webp|columbia-mud-pump-schematic-page-003.webp; map_source=woocommerce_catalog_production.csv
columbia-tomahawk-smoothing-blade-sch,Columbia Tools,Columbia\Schematics\SmoothingBlades\TomahawkSmoothingBlades\schematic_data.json,TOMAHAWK,TOMAHAWK SCHEMATIC 2022,COLTOMAHAWKSMOOTHINGBLADE,Columbia Tomahawk Smoothing Blade,normalized_slug_migrated_strict_map,source=Columbia\Schematics\SmoothingBlades\TomahawkSmoothingBlades\schematic_data.json; images=columbia-tomahawk-smoothing-blade-schematic-page-001.webp|columbia-tomahawk-smoothing-blade-schematic-page-002.webp; map=Columbia/Schematics/SmoothingBlades/TomahawkSmoothingBlades->COLTOMAHAWKSMOOTHINGBLADE
