"regenerated_image","regenerated_path","regenerated_stem","normalized_key","production_match_count","production_images","columbia_catalog_sku_count","columbia_catalog_skus","match_status"
"ct771.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ct771.webp","ct771","CT771","0","","1","CT771","catalog_only"
"ct776.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ct776.webp","ct776","CT776","0","","1","CT776","catalog_only"
"ct790.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ct790.webp","ct790","CT790","0","","1","CT790","catalog_only"
"fa209.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\fa209.webp","fa209","FA209","0","","0","","no_match"
"fa20a.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\fa20a.webp","fa20a","FA20A","0","","1","FA20A","catalog_only"
"fa21k.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\fa21k.webp","fa21k","FA21K","0","","0","","no_match"
"fa287.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\fa287.webp","fa287","FA287","0","","1","FA287","catalog_only"
"fa309.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\fa309.webp","fa309","FA309","0","","1","FA309","catalog_only"
"ffb-25-10.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ffb-25-10.webp","ffb-25-10","FFB2510","1","columbia-FFB25-10-02.webp","1","FFB25-10","matched_production"
"ffb-sa.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ffb-sa.webp","ffb-sa","FFBSA","0","","1","FFB-SA","catalog_only"
"ffb1a.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ffb1a.webp","ffb1a","FFB1A","0","","1","FFB1A","catalog_only"
"ffb1b.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ffb1b.webp","ffb1b","FFB1B","0","","1","FFB1B","catalog_only"
"ffb24-10.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ffb24-10.webp","ffb24-10","FFB2410","0","","1","FFB24-10","catalog_only"
"ffb9-10.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ffb9-10.webp","ffb9-10","FFB910","1","columbia-FFB9-10-02.webp","1","FFB9-10","matched_production"
"ffb9-7.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ffb9-7.webp","ffb9-7","FFB97","1","columbia-FFB9-7-02.webp","1","FFB9-7","matched_production"
"ffb9-8.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ffb9-8.webp","ffb9-8","FFB98","1","columbia-FFB9-8-02.webp","1","FFB9-8","matched_production"
"ffh12.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ffh12.webp","ffh12","FFH12","0","","0","","no_match"
"hns10a.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\hns10a.webp","hns10a","HNS10A","1","columbia-HNS10A-02.webp","1","HNS10A","matched_production"
"ns-25-2.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ns-25-2.webp","ns-25-2","NS252","0","","0","","no_match"
"ns26a.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ns26a.webp","ns26a","NS26A","0","","0","","no_match"
"ns27.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ns27.webp","ns27","NS27","0","","0","","no_match"
"ns32.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\ns32.webp","ns32","NS32","0","","0","","no_match"
"s1.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\s1.webp","s1","S1","0","","1","S1","catalog_only"
"s2.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\s2.webp","s2","S2","0","","1","S2","catalog_only"
"s5.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\s5.webp","s5","S5","0","","1","S5","catalog_only"
"sb7.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\sb7.webp","sb7","SB7","0","","1","SB7","catalog_only"
"tsb-14.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\tsb-14.webp","tsb-14","TSB14","0","","1","TSB-14","catalog_only"
"vaz10.webp","C:\Users\Elliott\drywall-toolbox\products\scraped_results\new_images\regenerated_images\vaz10.webp","vaz10","VAZ10","0","","1","VAZ10","catalog_only"
